"TH+1"	"index"	"LST gauge algebra"	"full gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"
51	1	"4 e8+3 f4+8(g2+su(2))"	"4 e8+3 f4+so(8)+8(g2+su(2))"	51	231	0	0	1	0	0	0	0	0	"[""s1:1->1"",""s1:51->1""]"	"["""",""""]"
51	1	"4 e8+3 f4+8(g2+su(2))"	"4 e8+3 f4+so(8)+8(g2+su(2))"	52	231	0	0	1	0	0	0	0	0	"[""s1:1->1, 51->1""]"	"[""""]"
51	1	"4 e8+3 f4+8(g2+su(2))"	"4 e8+3 f4+su(3)+8(g2+su(2))"	51	251	0	1	0	0	0	0	0	0	"[""s1:1->1"",""s1:1->1, 51->1"",""s1:51->1""]"	"["""","""",""""]"
51	1	"4 e8+3 f4+8(g2+su(2))"	"4 e8+4 f4+8(g2+su(2))"	51	207	0	0	0	1	0	0	0	0	"[""s1:1->1"",""s1:51->1""]"	"["""",""""]"
51	1	"4 e8+3 f4+8(g2+su(2))"	"4 e8+4 f4+8(g2+su(2))"	53	207	0	0	0	1	0	0	0	0	"[""s1:1->1, 51->1""]"	"[""""]"
51	2	"3 e8+e7+4 f4+8(g2+su(2))"	"3 e8+2 e7+4 f4+8(g2+su(2))"	51	189	0	0	0	0	0	0	1	0	"[""s1:1->1""]"	"[""""]"
51	2	"3 e8+e7+4 f4+8(g2+su(2))"	"3 e8+e7+5 f4+8(g2+su(2))"	51	270	0	0	0	1	0	0	0	0	"[""s1:1->1""]"	"[""""]"
51	2	"3 e8+e7+4 f4+8(g2+su(2))"	"3 e8+e7+e6+4 f4+8(g2+su(2))"	51	244	0	0	0	0	1	0	0	0	"[""s1:1->1""]"	"[""""]"
51	2	"3 e8+e7+4 f4+8(g2+su(2))"	"3 e8+e7+e7'+4 f4+8(g2+su(2))"	51	217	0	0	0	0	0	1	0	0	"[""s1:1->1""]"	"[""""]"
51	2	"3 e8+e7+4 f4+8(g2+su(2))"	"4 e8+e7+4 f4+8(g2+su(2))"	51	74	0	0	0	0	0	0	0	1	"[""s1:1->1""]"	"[""""]"
51	3	"4 e8+3 f4+su(3)+8(g2+su(2))"	"4 e8+3 f4+2 su(3)+8(g2+su(2))"	51	243	0	1	0	0	0	0	0	0	"[""s1:1->1""]"	"[""""]"
51	3	"4 e8+3 f4+su(3)+8(g2+su(2))"	"4 e8+3 f4+9(g2+su(2))"	51	250	1	0	0	0	0	0	0	0	"["""",""s1:1->1""]"	"[""s1:51->1"",""s1:51->1""]"
51	3	"4 e8+3 f4+su(3)+8(g2+su(2))"	"4 e8+3 f4+so(8)+su(3)+8(g2+su(2))"	51	223	0	0	1	0	0	0	0	0	"[""s1:1->1""]"	"[""""]"
51	3	"4 e8+3 f4+su(3)+8(g2+su(2))"	"4 e8+4 f4+su(3)+8(g2+su(2))"	51	199	0	0	0	1	0	0	0	0	"[""s1:1->1""]"	"[""""]"
