"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"
63	1	98	252	1	1	1	0	0	0	0	0
63	1	98	253	0	1	1	0	0	0	0	0
63	3	94	252	1	0	1	0	0	0	0	0
63	7	163	270	2	0	0	0	0	0	0	0
63	10	82	255	1	1	0	0	1	0	0	0
63	10	82	263	1	0	0	0	1	0	0	0
63	10	83	256	1	1	0	0	1	0	0	0
63	10	83	257	0	1	0	0	1	0	0	0
63	11	85	273	1	2	0	1	0	0	0	0
63	11	90	273	1	2	0	1	0	0	0	0
63	11	98	273	1	2	0	1	0	0	0	0
63	11	139	255	1	1	0	0	1	0	0	0
63	14	89	262	1	0	1	0	0	0	0	0
63	14	119	263	1	0	1	0	0	0	0	0
63	14	149	273	2	2	0	0	0	0	0	0
