"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"	"LST gauge algebra"
28	5	32	151	0	3	0	0	0	0	0	0	"s1:25→1"	"s2:4→1 / s3:1→1"	"2 e8+2 f5+su(3)+3(g2+su(2))"
28	5	32	158	1	2	0	0	0	0	0	0	"s2:25→1"	"{s1:4→1 / s2:1→1 / s3:28→1, s1:4→1 / s2:1→1 / s3:28→1}"	"2 e8+2 f5+su(3)+3(g2+su(2))"
28	5	33	159	1	2	0	0	0	0	0	0	"s1:25→1"	"s2:4→1 / s3:28→1"	"2 e8+2 f5+su(3)+3(g2+su(2))"
28	6	32	159	0	3	0	0	0	0	0	0	"{s1:28→1, s1:28→1 / s3:26→1}"	"{s2:4→1 / s3:1→1, s2:4→1 / s3:1→1}"	"2 e8+2 f5+3(g2+su(2))"
28	6	32	160	0	3	0	0	0	0	0	0	"s1:28→1 / s2:26→1"	"s3:4→1"	"2 e8+2 f5+3(g2+su(2))"
28	6	35	167	1	2	0	0	0	0	0	0	"s1:28→1 / s3:26→1"	"s2:4→1 / s3:29→1"	"2 e8+2 f5+3(g2+su(2))"
28	7	32	158	0	3	0	0	0	0	0	0	""	"s1:28→1 / s2:4→1 / s3:1→1"	"2 e8+2 f5+3(g2+su(2))"
28	9	32	151	0	3	0	0	0	0	0	0	"s1:28→1 / s2:26→1"	"s3:5→1"	"2 e8+2 f5+4(g2+su(2))"
28	10	33	159	1	2	0	0	0	0	0	0	"s1:28→1 / s2:1→1 / s3:28→1"	"s3:30→1"	"2 e8+2 f5+4(g2+su(2))"
28	10	33	165	2	1	0	0	0	0	0	0	"{s1:28→1 / s2:1→1 / s3:1→1, s1:28→1 / s2:1→1 / s3:1→1, 28→1, s1:28→1 / s2:1→1 / s3:1→2, 28→1, s1:28→1 / s2:1→1 / s3:1→2, 28→2, s1:28→1 / s2:1→1 / s3:1→3, 28→1, s1:28→1 / s2:1→1 / s3:1→3, 28→2}"	"{s2:29→1 / s3:29→1, s2:29→1 / s3:29→1, s2:29→1 / s3:29→1, s2:29→1 / s3:29→1, s2:29→1 / s3:29→1, s2:29→1 / s3:29→1}"	"2 e8+2 f5+4(g2+su(2))"
28	10	34	139	1	1	1	0	0	0	0	0	"s1:28→1 / s2:1→1 / s3:28→1"	"s3:30→1"	"2 e8+2 f5+4(g2+su(2))"
28	10	34	165	2	1	0	0	0	0	0	0	"s1:28→1 / s2:1→1 / s3:1→1, 28→2"	"s2:29→1 / s3:29→1"	"2 e8+2 f5+4(g2+su(2))"
28	10	35	152	0	3	0	0	0	0	0	0	"s1:28→1 / s2:28→1 / s3:1→1"	""	"2 e8+2 f5+4(g2+su(2))"
28	10	35	165	2	1	0	0	0	0	0	0	"s1:28→1 / s2:1→1 / s3:1→2"	"s2:29→1 / s3:29→1"	"2 e8+2 f5+4(g2+su(2))"
28	10	36	159	1	2	0	0	0	0	0	0	"{s1:28→1 / s2:1→1 / s3:28→2, s1:28→1 / s2:28→1 / s3:1→1}"	"{s3:30→1, s3:30→1}"	"2 e8+2 f5+4(g2+su(2))"
28	10	38	159	1	2	0	0	0	0	0	0	"s1:28→1 / s2:1→1 / s3:28→3"	"s3:30→1"	"2 e8+2 f5+4(g2+su(2))"
28	10	40	159	1	2	0	0	0	0	0	0	"{s1:28→1 / s2:1→1 / s3:28→1, s1:28→1 / s2:1→1 / s3:28→4, s1:28→2 / s2:1→1 / s3:28→1, s1:28→2 / s2:1→1 / s3:28→2}"	"{s3:29→1, s3:30→1, s3:30→1, s3:30→1}"	"2 e8+2 f5+4(g2+su(2))"
28	10	41	159	1	2	0	0	0	0	0	0	"{s1:28→1 / s2:1→1 / s3:28→5, s1:28→2 / s2:1→1 / s3:28→3}"	"{s3:30→1, s3:30→1}"	"2 e8+2 f5+4(g2+su(2))"
28	10	42	159	1	2	0	0	0	0	0	0	"s1:28→2 / s2:1→1 / s3:28→4"	"s3:30→1"	"2 e8+2 f5+4(g2+su(2))"
28	10	43	152	0	3	0	0	0	0	0	0	"s1:28→1 / s2:28→2 / s3:1→1"	""	"2 e8+2 f5+4(g2+su(2))"
28	11	32	156	1	2	0	0	0	0	0	0	""	"s1:4→1 / s2:1→1 / s3:28→1"	"2 e8+2 f5+4(g2+su(2))"
28	14	32	157	2	1	0	0	0	0	0	0	"s1:1→1"	"s2:28→1 / s3:28→1"	"2 e8+2 f5+su(3)+4(g2+su(2))"
28	14	33	158	2	1	0	0	0	0	0	0	"s1:1→1 / s3:27→1"	"s2:28→1 / s3:29→1"	"2 e8+2 f5+su(3)+4(g2+su(2))"
28	14	34	151	1	2	0	0	0	0	0	0	"{s1:27→1 / s2:1→1, s1:27→1 / s2:1→1 / s3:27→1}"	"{s3:28→1, s3:30→1}"	"2 e8+2 f5+su(3)+4(g2+su(2))"
28	14	34	157	2	1	0	0	0	0	0	0	"s1:1→1 / s3:27→1"	"s2:28→1 / s3:28→1"	"2 e8+2 f5+su(3)+4(g2+su(2))"
28	14	34	158	2	1	0	0	0	0	0	0	"{s1:1→1 / s2:27→1 / s3:27→1, s1:1→1 / s3:27→2, s1:1→1 / s3:27→3, s1:1→1 / s3:27→4, s1:1→1 / s3:27→5}"	"{s2:29→1 / s3:28→1, s2:28→1 / s3:29→1, s2:28→1 / s3:29→1, s2:28→1 / s3:29→1, s2:28→1 / s3:29→1}"	"2 e8+2 f5+su(3)+4(g2+su(2))"
28	14	35	157	2	1	0	0	0	0	0	0	"s1:1→1 / s3:27→2"	"s2:28→1 / s3:28→1"	"2 e8+2 f5+su(3)+4(g2+su(2))"
28	18	34	151	1	2	0	0	0	0	0	0	"{s1:28→1 / s2:28→1, s1:28→1 / s2:28→1 / s3:28→1}"	"{s3:1→1, s3:1→1}"	"2 e8+2 f5+su(3)+4(g2+su(2))"
28	18	34	158	2	1	0	0	0	0	0	0	"s1:28→1 / s2:28→1 / s3:28→1"	"s2:29→1 / s3:1→1"	"2 e8+2 f5+su(3)+4(g2+su(2))"
28	18	36	158	2	1	0	0	0	0	0	0	"s1:28→1 / s2:28→1"	"s2:29→1 / s3:1→1"	"2 e8+2 f5+su(3)+4(g2+su(2))"
28	18	37	151	1	2	0	0	0	0	0	0	"s1:28→1 / s2:28→2"	"s3:1→1"	"2 e8+2 f5+su(3)+4(g2+su(2))"
28	18	38	158	2	1	0	0	0	0	0	0	"{s1:28→1 / s2:28→2, s1:28→1 / s2:28→3, s1:28→1 / s2:28→4, s1:28→1 / s2:28→5}"	"{s2:29→1 / s3:1→1, s2:29→1 / s3:1→1, s2:29→1 / s3:1→1, s2:29→1 / s3:1→1}"	"2 e8+2 f5+su(3)+4(g2+su(2))"
28	19	31	194	1	1	0	0	1	0	0	0	"{s1:1→1 / s2:1→1, 28→3, s1:1→1 / s2:28→1 / s3:1→1, 28→1, s1:1→1 / s2:28→1 / s3:1→2, 28→3}"	"{s3:27→1, s3:27→1, s3:27→1}"	"e8+e7+2 f5+5(g2+su(2))"
28	19	32	167	1	1	0	0	0	1	0	0	"{s1:1→1 / s2:28→1, s1:1→1 / s2:28→1 / s3:1→1, 28→1, s1:1→1 / s2:28→1 / s3:1→1, 28→2}"	"{s3:27→1, s3:27→1, s3:27→1}"	"e8+e7+2 f5+5(g2+su(2))"
28	19	32	168	1	1	0	0	0	1	0	0	"s1:1→1 / s2:28→1 / s3:1→1, 28→2"	"s3:30→1"	"e8+e7+2 f5+5(g2+su(2))"
28	19	33	139	1	1	0	0	0	0	1	0	"{s1:1→1 / s2:28→1, s1:1→1 / s2:28→1 / s3:1→1, 28→1, s1:1→1 / s2:28→1 / s3:1→1, 28→2, s1:1→1 / s2:28→1 / s3:1→1, 28→3, s1:1→1 / s2:28→1 / s3:1→1, 28→4}"	"{s3:27→1, s3:27→1, s3:27→1, s3:27→1, s3:27→1}"	"e8+e7+2 f5+5(g2+su(2))"
28	19	33	140	1	1	0	0	0	0	1	0	"{s1:1→1 / s2:28→1 / s3:1→1, 28→2, s1:1→1 / s2:28→1 / s3:1→1, 28→3, s1:1→1 / s2:28→1 / s3:1→1, 28→4}"	"{s3:30→1, s3:30→1, s3:30→1}"	"e8+e7+2 f5+5(g2+su(2))"
28	19	33	147	1	0	1	0	0	1	0	0	"s1:1→1 / s2:28→1"	"s3:27→1"	"e8+e7+2 f5+5(g2+su(2))"
28	19	33	167	1	1	0	0	0	1	0	0	"{s1:1→1 / s2:28→1 / s3:1→1, 28→3, s1:1→1 / s2:28→1 / s3:1→1, 28→4}"	"{s3:27→1, s3:27→1}"	"e8+e7+2 f5+5(g2+su(2))"
