"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"
82	1	87	144	1	1	0	0	0	0	0	1	"s1:1→1 / s2:79→1"	"s3:82→1"
82	2	87	145	0	2	0	0	0	0	0	1	"s1:1→1 / s2:82→1 / s3:80→1"	""
82	2	87	152	1	1	0	0	0	0	0	1	"s1:1→1 / s2:82→1 / s3:80→1"	"s3:84→1"
82	2	88	152	1	1	0	0	0	0	0	1	"s1:1→1 / s2:80→1 / s3:82→1"	"s3:84→1"
82	2	91	152	1	1	0	0	0	0	0	1	"s1:1→1 / s2:82→1 / s3:80→2"	"s3:84→1"
82	2	109	152	1	1	0	0	0	0	0	1	"s1:1→1 / s2:80→1 / s3:82→3"	"s3:84→1"
82	2	110	152	1	1	0	0	0	0	0	1	"s1:1→1 / s2:82→1 / s3:80→3"	"s3:84→1"
82	27	87	148	1	1	0	0	0	0	0	1	"{s1:1→1 / s2:82→1 / s3:78→1, s1:1→1 / s2:82→1 / s3:78→1, 82→1}"	"{s3:84→1, s3:84→1}"
82	27	88	141	0	2	0	0	0	0	0	1	"s1:1→1 / s2:82→1 / s3:82→1"	""
82	27	91	148	1	1	0	0	0	0	0	1	"s1:1→1 / s2:82→1 / s3:82→1"	"s3:84→1"
