T_H,LST_Gauge,SUGRA_Gauge,source_files,num_sources
1,(none),2 f4 + su2+g2,T002/Ext4,1
1,(none),2 so8 + 2 su2+g2,T002/Ext6,1
1,(none),2 so8 + su2+g2,T002/Ext4,1
1,(none),2 so8 + su2+g2 + 2 su3,T002/Ext6,1
1,(none),2 so8 + su2+g2 + su3,T002/Ext5,1
1,(none),2 so8 + su2+so7+su2,T002/Ext5,1
1,(none),2 so8 + su2+so7+su2 + su3,T002/Ext6,1
1,(none),2 su2+g2,T002/Ext4,1
1,(none),2 su2+g2 + 2 su3,T002/Ext6,1
1,(none),2 su2+g2 + 3 su3,T002/Ext7,1
1,(none),2 su2+g2 + 4 su3,T002/Ext8,1
1,(none),2 su2+g2 + su2+so7+su2,T002/Ext7,1
1,(none),2 su2+g2 + su2+so7+su2 + su3,T002/Ext8,1
1,(none),2 su2+g2 + su3,T002/Ext5,1
1,(none),2 su2+so7+su2,T002/Ext6,1
1,(none),2 su2+so7+su2 + 2 su3,T002/Ext8,1
1,(none),2 su2+so7+su2 + su3,T002/Ext7,1
1,(none),3 so8 + su2+g2,T002/Ext5,1
1,(none),3 su2+g2,T002/Ext6,1
1,(none),3 su2+g2 + 2 su3,T002/Ext8,1
1,(none),3 su2+g2 + su3,T002/Ext7,1
1,(none),4 su2+g2,T002/Ext8,1
1,(none),8 su3,T002/Ext8,1
1,(none),e6 + 2 su2+g2,T002/Ext5,1
1,(none),e6 + 2 su2+g2 + su3,T002/Ext6,1
1,(none),e6 + f4 + su2+g2,T002/Ext4,1
1,(none),e6 + so8 + su2+g2,T002/Ext4,1
1,(none),e6 + so8 + su2+g2 + su3,T002/Ext5,1
1,(none),e6 + so8 + su2+so7+su2,T002/Ext5,1
1,(none),e6 + su2+g2,T002/Ext3,1
1,(none),e6 + su2+g2 + 2 su3,T002/Ext5,1
1,(none),e6 + su2+g2 + 3 su3,T002/Ext6,1
1,(none),e6 + su2+g2 + su2+so7+su2,T002/Ext6,1
1,(none),e6 + su2+g2 + su3,T002/Ext4,1
1,(none),e6 + su2+so7+su2,T002/Ext4,1
1,(none),e6 + su2+so7+su2 + 2 su3,T002/Ext6,1
1,(none),e6 + su2+so7+su2 + su3,T002/Ext5,1
1,(none),e7 + 2 su2+g2,T002/Ext5,1
1,(none),e7 + f4 + su2+g2,T002/Ext4,1
1,(none),e7 + so8 + su2+g2,T002/Ext4,1
1,(none),e7 + su2+g2,T002/Ext3,1
1,(none),e7 + su2+g2 + 2 su3,T002/Ext5,1
1,(none),e7 + su2+g2 + su3,T002/Ext4,1
1,(none),e7 + su2+so7+su2,T002/Ext4,1
1,(none),e7 + su2+so7+su2 + su3,T002/Ext5,1
1,(none),e7p + 2 su2+g2,T002/Ext5,1
1,(none),e7p + f4 + su2+g2,T002/Ext4,1
1,(none),e7p + so8 + su2+g2,T002/Ext4,1
1,(none),e7p + su2+g2,T002/Ext3,1
1,(none),e7p + su2+g2 + 2 su3,T002/Ext5,1
1,(none),e7p + su2+g2 + su3,T002/Ext4,1
1,(none),e7p + su2+so7+su2,T002/Ext4,1
1,(none),e7p + su2+so7+su2 + su3,T002/Ext5,1
1,(none),e8 + 2 su2+g2,T002/Ext5,1
1,(none),e8 + so8 + su2+g2,T002/Ext4,1
1,(none),e8 + su2+g2,T002/Ext3,1
1,(none),e8 + su2+g2 + 2 su3,T002/Ext5,1
1,(none),e8 + su2+g2 + su3,T002/Ext4,1
1,(none),e8 + su2+so7+su2,T002/Ext4,1
1,(none),e8 + su2+so7+su2 + su3,T002/Ext5,1
1,(none),f4 + 2 su2+g2,T002/Ext5,1
1,(none),f4 + 2 su2+g2 + su3,T002/Ext6,1
1,(none),f4 + so8 + su2+g2,T002/Ext4,1
1,(none),f4 + so8 + su2+g2 + su3,T002/Ext5,1
1,(none),f4 + so8 + su2+so7+su2,T002/Ext5,1
1,(none),f4 + su2+g2,T002/Ext3,1
1,(none),f4 + su2+g2 + 2 su3,T002/Ext5,1
1,(none),f4 + su2+g2 + 3 su3,T002/Ext6,1
1,(none),f4 + su2+g2 + su2+so7+su2,T002/Ext6,1
1,(none),f4 + su2+g2 + su3,T002/Ext4,1
1,(none),f4 + su2+so7+su2,T002/Ext4,1
1,(none),f4 + su2+so7+su2 + 2 su3,T002/Ext6,1
1,(none),f4 + su2+so7+su2 + su3,T002/Ext5,1
1,(none),so8 + 2 su2+g2,T002/Ext5,1
1,(none),so8 + 2 su2+g2 + 2 su3,T002/Ext7,1
1,(none),so8 + 2 su2+g2 + su3,T002/Ext6,1
1,(none),so8 + 2 su2+so7+su2,T002/Ext7,1
1,(none),so8 + 3 su2+g2,T002/Ext7,1
1,(none),so8 + su2+g2,T002/Ext3,1
1,(none),so8 + su2+g2 + 2 su3,T002/Ext5,1
1,(none),so8 + su2+g2 + 3 su3,T002/Ext6,1
1,(none),so8 + su2+g2 + 4 su3,T002/Ext7,1
1,(none),so8 + su2+g2 + su2+so7+su2,T002/Ext6,1
1,(none),so8 + su2+g2 + su2+so7+su2 + su3,T002/Ext7,1
1,(none),so8 + su2+g2 + su3,T002/Ext4,1
1,(none),so8 + su2+so7+su2,T002/Ext4,1
1,(none),so8 + su2+so7+su2 + 2 su3,T002/Ext6,1
1,(none),so8 + su2+so7+su2 + 3 su3,T002/Ext7,1
1,(none),so8 + su2+so7+su2 + su3,T002/Ext5,1
1,(none),su2+g2,T002/Ext2,1
1,(none),su2+g2 + 2 su2+so7+su2,T002/Ext8,1
1,(none),su2+g2 + 2 su3,T002/Ext4,1
1,(none),su2+g2 + 3 su3,T002/Ext5,1
1,(none),su2+g2 + 4 su3,T002/Ext6,1
1,(none),su2+g2 + 5 su3,T002/Ext7,1
1,(none),su2+g2 + 6 su3,T002/Ext8,1
1,(none),su2+g2 + su2+so7+su2,T002/Ext5,1
1,(none),su2+g2 + su2+so7+su2 + 2 su3,T002/Ext7,1
1,(none),su2+g2 + su2+so7+su2 + 3 su3,T002/Ext8,1
1,(none),su2+g2 + su2+so7+su2 + su3,T002/Ext6,1
1,(none),su2+g2 + su3,T002/Ext3,1
1,(none),su2+so7+su2,T002/Ext3,1
1,(none),su2+so7+su2 + 2 su3,T002/Ext5,1
1,(none),su2+so7+su2 + 3 su3,T002/Ext6,1
1,(none),su2+so7+su2 + 4 su3,T002/Ext7,1
1,(none),su2+so7+su2 + 5 su3,T002/Ext8,1
1,(none),su2+so7+su2 + su3,T002/Ext4,1
2,(none),2 so8 + 2 su2+g2,T003/Ext5; T003/Ext6,2
2,(none),2 so8 + 2 su2+g2 + su3,T003/Ext6,1
2,(none),2 so8 + su2+so7+su2,T003/Ext5,1
2,(none),2 so8 + su2+so7+su2 + su3,T003/Ext6,1
2,(none),2 su2+g2 + 4 su3,T003/Ext7,1
2,(none),2 su2+g2 + su2+so7+su2,T003/Ext5; T003/Ext6; T003/Ext7,3
2,(none),2 su2+g2 + su2+so7+su2 + 2 su3,T003/Ext8,1
2,(none),2 su2+g2 + su2+so7+su2 + su3,T003/Ext7,1
2,(none),2 su2+so7+su2,T003/Ext4; T003/Ext6,2
2,(none),2 su2+so7+su2 + 2 su3,T003/Ext8,1
2,(none),2 su2+so7+su2 + su3,T003/Ext7,1
2,(none),3 so8 + su2+g2,T003/Ext5,1
2,(none),3 su2+g2,T003/Ext4; T003/Ext5; T003/Ext6,3
2,(none),3 su2+g2 + 2 su3,T003/Ext7,1
2,(none),3 su2+g2 + su2+so7+su2,T003/Ext8,1
2,(none),3 su2+g2 + su3,T003/Ext5; T003/Ext6; T003/Ext7,3
2,(none),4 su2+g2,T003/Ext7,1
2,(none),7 su3,T003/Ext7,1
2,(none),e6 + 2 su2+g2 + 2 su3,T003/Ext6,1
2,(none),e6 + 2 su2+g2 + su3,T003/Ext5; T003/Ext6,2
2,(none),e6 + 3 su2+g2,T003/Ext6,1
2,(none),e6 + so8 + 2 su2+g2,T003/Ext5,1
2,(none),e6 + so8 + su2+so7+su2,T003/Ext5,1
2,(none),e6 + su2+g2 + su2+so7+su2,T003/Ext5,1
2,(none),e6 + su2+g2 + su2+so7+su2 + su3,T003/Ext6,1
2,(none),e6 + su2+so7+su2,T003/Ext4,1
2,(none),e6 + su2+so7+su2 + 2 su3,T003/Ext6,1
2,(none),e6 + su2+so7+su2 + su3,T003/Ext5,1
2,(none),e7 + 2 su2+g2,T003/Ext4; T003/Ext5,2
2,(none),e7 + 2 su2+g2 + su3,T003/Ext5,1
2,(none),e7 + su2+g2 + su2+so7+su2,T003/Ext5,1
2,(none),e7 + su2+so7+su2,T003/Ext4,1
2,(none),e7 + su2+so7+su2 + su3,T003/Ext5,1
2,(none),e7p + 2 su2+g2,T003/Ext4; T003/Ext5,2
2,(none),e7p + 2 su2+g2 + su3,T003/Ext5,1
2,(none),e7p + su2+g2 + su2+so7+su2,T003/Ext5,1
2,(none),e7p + su2+so7+su2,T003/Ext4,1
2,(none),e7p + su2+so7+su2 + su3,T003/Ext5,1
2,(none),e8 + 2 su2+g2,T003/Ext5,1
2,(none),e8 + so8 + su2+g2,T003/Ext4,1
2,(none),e8 + su2+g2,T003/Ext3,1
2,(none),e8 + su2+g2 + 2 su3,T003/Ext5,1
2,(none),e8 + su2+g2 + su3,T003/Ext4,1
2,(none),e8 + su2+so7+su2,T003/Ext4,1
2,(none),e8 + su2+so7+su2 + su3,T003/Ext5,1
2,(none),f4 + 2 su2+g2 + 2 su3,T003/Ext6,1
2,(none),f4 + 2 su2+g2 + su3,T003/Ext5; T003/Ext6,2
2,(none),f4 + 3 su2+g2,T003/Ext6,1
2,(none),f4 + so8 + 2 su2+g2,T003/Ext5,1
2,(none),f4 + so8 + su2+so7+su2,T003/Ext5,1
2,(none),f4 + su2+g2 + su2+so7+su2,T003/Ext5; T003/Ext6,2
2,(none),f4 + su2+g2 + su2+so7+su2 + su3,T003/Ext6,1
2,(none),f4 + su2+so7+su2,T003/Ext2; T003/Ext4,2
2,(none),f4 + su2+so7+su2 + 2 su3,T003/Ext6,1
2,(none),f4 + su2+so7+su2 + su3,T003/Ext5,1
2,(none),so8 + 2 su2+g2 + 2 su3,T003/Ext6; T003/Ext7,2
2,(none),so8 + 2 su2+g2 + 3 su3,T003/Ext7,1
2,(none),so8 + 2 su2+g2 + su2+so7+su2,T003/Ext7,1
2,(none),so8 + 2 su2+so7+su2,T003/Ext7,1
2,(none),so8 + 3 su2+g2,T003/Ext6,1
2,(none),so8 + 3 su2+g2 + su3,T003/Ext7,1
2,(none),so8 + su2+g2 + su2+so7+su2,T003/Ext5; T003/Ext6,2
2,(none),so8 + su2+g2 + su2+so7+su2 + su3,T003/Ext6; T003/Ext7,2
2,(none),so8 + su2+so7+su2,T003/Ext2; T003/Ext4,2
2,(none),so8 + su2+so7+su2 + 2 su3,T003/Ext6,1
2,(none),so8 + su2+so7+su2 + 3 su3,T003/Ext7,1
2,(none),so8 + su2+so7+su2 + su3,T003/Ext3; T003/Ext5,2
2,(none),su2+g2 + 2 su2+so7+su2,T003/Ext7; T003/Ext8,2
2,(none),su2+g2 + 2 su2+so7+su2 + su3,T003/Ext8,1
2,(none),su2+g2 + 6 su3,T003/Ext7,1
2,(none),su2+g2 + su2+so7+su2,T003/Ext3; T003/Ext4; T003/Ext5,3
2,(none),su2+g2 + su2+so7+su2 + 2 su3,T003/Ext6; T003/Ext7,2
2,(none),su2+g2 + su2+so7+su2 + 3 su3,T003/Ext7,1
2,(none),su2+g2 + su2+so7+su2 + su3,T003/Ext4; T003/Ext5; T003/Ext6,3
2,(none),su2+so7+su2,T003/Ext1; T003/Ext3,2
2,(none),su2+so7+su2 + 2 su3,T003/Ext3; T003/Ext5,2
2,(none),su2+so7+su2 + 3 su3,T003/Ext4; T003/Ext6,2
2,(none),su2+so7+su2 + 4 su3,T003/Ext7,1
2,(none),su2+so7+su2 + su3,T003/Ext2; T003/Ext4,2
3,(none),2 so8 + 2 su2+g2,T004/Ext5,1
3,(none),2 so8 + 2 su2+g2 + su3,T004/Ext6,1
3,(none),2 so8 + su2+g2 + su2+so7+su2,T004/Ext6,1
3,(none),2 so8 + su2+so7+su2,T004/Ext5,1
3,(none),2 su2+g2,T004/Ext3; T004/Ext4,2
3,(none),2 su2+g2 + 2 su3,T004/Ext5; T004/Ext6,2
3,(none),2 su2+g2 + 3 su3,T004/Ext6,1
3,(none),2 su2+g2 + su2+so7+su2,T004/Ext6,1
3,(none),2 su2+g2 + su2+so7+su2 + su3,T004/Ext7,1
3,(none),2 su2+g2 + su3,T004/Ext4; T004/Ext5,2
3,(none),2 su2+so7+su2,T004/Ext6,1
3,(none),3 su2+g2,T004/Ext5; T004/Ext6,2
3,(none),3 su2+g2 + 2 su3,T004/Ext7,1
3,(none),3 su2+g2 + su3,T004/Ext6,1
3,(none),4 su2+g2,T004/Ext7,1
3,(none),6 su3,T004/Ext6,1
3,(none),e6 + 2 su2+g2,T004/Ext4; T004/Ext5,2
3,(none),e6 + 2 su2+g2 + 2 su3,T004/Ext6,1
3,(none),e6 + 2 su2+g2 + su3,T004/Ext5,1
3,(none),e6 + 3 su2+g2,T004/Ext6,1
3,(none),e6 + so8 + 2 su2+g2,T004/Ext5,1
3,(none),e6 + so8 + su2+so7+su2,T004/Ext5,1
3,(none),e6 + su2+g2 + su2+so7+su2,T004/Ext5,1
3,(none),e6 + su2+g2 + su2+so7+su2 + su3,T004/Ext6,1
3,(none),e6 + su2+so7+su2,T004/Ext4,1
3,(none),e6 + su2+so7+su2 + su3,T004/Ext5,1
3,(none),e7 + 2 su2+g2,T004/Ext4; T004/Ext5,2
3,(none),e7 + 2 su2+g2 + su3,T004/Ext5,1
3,(none),e7 + su2+g2 + su2+so7+su2,T004/Ext5,1
3,(none),e7 + su2+so7+su2,T004/Ext4,1
3,(none),e7 + su2+so7+su2 + su3,T004/Ext5,1
3,(none),e7p + 2 su2+g2,T004/Ext4; T004/Ext5,2
3,(none),e7p + 2 su2+g2 + su3,T004/Ext5,1
3,(none),e7p + su2+g2 + su2+so7+su2,T004/Ext5,1
3,(none),e7p + su2+so7+su2,T004/Ext4,1
3,(none),e7p + su2+so7+su2 + su3,T004/Ext5,1
3,(none),e8 + 2 su2+g2,T004/Ext4; T004/Ext5,2
3,(none),e8 + 2 su2+g2 + su3,T004/Ext5,1
3,(none),e8 + su2+g2 + su2+so7+su2,T004/Ext5,1
3,(none),e8 + su2+so7+su2,T004/Ext4,1
3,(none),e8 + su2+so7+su2 + su3,T004/Ext5,1
3,(none),f4 + 2 su2+g2,T004/Ext4; T004/Ext5,2
3,(none),f4 + 2 su2+g2 + 2 su3,T004/Ext6,1
3,(none),f4 + 2 su2+g2 + su3,T004/Ext5,1
3,(none),f4 + 3 su2+g2,T004/Ext6,1
3,(none),f4 + so8 + 2 su2+g2,T004/Ext5,1
3,(none),f4 + so8 + su2+so7+su2,T004/Ext5,1
3,(none),f4 + su2+g2 + 4 su3,T004/Ext6,1
3,(none),f4 + su2+g2 + su2+so7+su2,T004/Ext5,1
3,(none),f4 + su2+g2 + su2+so7+su2 + su3,T004/Ext6,1
3,(none),f4 + su2+so7+su2,T004/Ext4,1
3,(none),f4 + su2+so7+su2 + su3,T004/Ext5,1
3,(none),so8 + 2 su2+g2,T004/Ext4; T004/Ext5,2
3,(none),so8 + 2 su2+g2 + 2 su3,T004/Ext6,1
3,(none),so8 + 2 su2+g2 + su3,T004/Ext5; T004/Ext6,2
3,(none),so8 + 3 su2+g2,T004/Ext6,1
3,(none),so8 + su2+g2 + 4 su3,T004/Ext6,1
3,(none),so8 + su2+g2 + su2+so7+su2,T004/Ext5; T004/Ext6,2
3,(none),so8 + su2+g2 + su2+so7+su2 + su3,T004/Ext6,1
3,(none),so8 + su2+so7+su2,T004/Ext4,1
3,(none),so8 + su2+so7+su2 + 2 su3,T004/Ext6,1
3,(none),so8 + su2+so7+su2 + su3,T004/Ext5,1
3,(none),su2+g2 + 2 su2+so7+su2,T004/Ext7,1
3,(none),su2+g2 + 5 su3,T004/Ext6,1
3,(none),su2+g2 + su2+so7+su2,T004/Ext4; T004/Ext5,2
3,(none),su2+g2 + su2+so7+su2 + 2 su3,T004/Ext6,1
3,(none),su2+g2 + su2+so7+su2 + 3 su3,T004/Ext7,1
3,(none),su2+g2 + su2+so7+su2 + su3,T004/Ext5; T004/Ext6,2
3,(none),su2+so7+su2,T004/Ext3,1
3,(none),su2+so7+su2 + 2 su3,T004/Ext5,1
3,(none),su2+so7+su2 + 3 su3,T004/Ext6,1
3,(none),su2+so7+su2 + su3,T004/Ext4,1
3,su3,2 su2+g2 + 4 su3,T004/Ext6; T004/Ext7,2
3,su3,2 su2+g2 + 5 su3,T004/Ext8,1
3,su3,2 su2+g2 + su2+so7+su2,T004/Ext5; T004/Ext6,2
3,su3,2 su2+g2 + su2+so7+su2 + 2 su3,T004/Ext8,1
3,su3,2 su2+g2 + su2+so7+su2 + su3,T004/Ext6; T004/Ext7,2
3,su3,2 su2+so7+su2,T004/Ext5,1
3,su3,2 su2+so7+su2 + 2 su3,T004/Ext7,1
3,su3,2 su2+so7+su2 + 3 su3,T004/Ext8,1
3,su3,2 su2+so7+su2 + su3,T004/Ext6,1
3,su3,3 su2+g2,T004/Ext4; T004/Ext5,2
3,su3,3 su2+g2 + 2 su3,T004/Ext6; T004/Ext7,2
3,su3,3 su2+g2 + 3 su3,T004/Ext8,1
3,su3,3 su2+g2 + su2+so7+su2,T004/Ext8,1
3,su3,3 su2+g2 + su3,T004/Ext5; T004/Ext6,2
3,su3,4 su2+g2,T004/Ext6; T004/Ext7,2
3,su3,4 su2+g2 + su3,T004/Ext8,1
3,su3,7 su3,T004/Ext6,1
3,su3,8 su3,T004/Ext7,1
3,su3,9 su3,T004/Ext8,1
3,su3,f4 + 2 su2+g2 + 3 su3,T004/Ext7,1
3,su3,f4 + 2 su2+g2 + su2+so7+su2,T004/Ext7,1
3,su3,f4 + 2 su2+so7+su2 + su3,T004/Ext7,1
3,su3,f4 + 3 su2+g2 + su3,T004/Ext7,1
3,su3,f4 + su2+g2 + su2+so7+su2 + 2 su3,T004/Ext7,1
3,su3,f4 + su2+so7+su2 + 4 su3,T004/Ext7,1
3,su3,so8 + 2 su2+g2 + 3 su3,T004/Ext7,1
3,su3,so8 + 2 su2+g2 + su2+so7+su2,T004/Ext7,1
3,su3,so8 + 2 su2+so7+su2 + su3,T004/Ext7,1
3,su3,so8 + 3 su2+g2 + su3,T004/Ext7,1
3,su3,so8 + 7 su3,T004/Ext7,1
3,su3,so8 + su2+g2 + 5 su3,T004/Ext7,1
3,su3,so8 + su2+g2 + su2+so7+su2 + 2 su3,T004/Ext7,1
3,su3,so8 + su2+so7+su2 + 3 su3,T004/Ext6,1
3,su3,so8 + su2+so7+su2 + 4 su3,T004/Ext7,1
3,su3,su2+g2 + 2 su2+so7+su2,T004/Ext6; T004/Ext7,2
3,su3,su2+g2 + 2 su2+so7+su2 + su3,T004/Ext7; T004/Ext8,2
3,su3,su2+g2 + 6 su3,T004/Ext7,1
3,su3,su2+g2 + su2+so7+su2 + 2 su3,T004/Ext5; T004/Ext6,2
3,su3,su2+g2 + su2+so7+su2 + 3 su3,T004/Ext6; T004/Ext7,2
3,su3,su2+g2 + su2+so7+su2 + 4 su3,T004/Ext8,1
3,su3,su2+so7+su2 + 3 su3,T004/Ext5,1
3,su3,su2+so7+su2 + 4 su3,T004/Ext6,1
3,su3,su2+so7+su2 + 5 su3,T004/Ext7,1
3,su3,su2+so7+su2 + 6 su3,T004/Ext8,1
4,(none),2 e6 + 2 su3,T005/Ext4,1
4,(none),2 f4 + su2+g2,T005/Ext4,1
4,(none),2 so8 + su2+g2,T005/Ext4,1
4,(none),2 su2+g2,T005/Ext4,1
4,(none),2 su2+g2 + su3,T005/Ext5,1
4,(none),2 su2+so7+su2,T005/Ext6,1
4,(none),4 so8,T005/Ext4,1
4,(none),4 su3,T005/Ext4,1
4,(none),5 su3,T005/Ext5,1
4,(none),e6 + 2 so8 + su3,T005/Ext4,1
4,(none),e6 + 2 su2+g2,T005/Ext5,1
4,(none),e6 + 4 su3,T005/Ext5,1
4,(none),e6 + f4 + su2+g2,T005/Ext4,1
4,(none),e6 + so8 + su2+g2,T005/Ext4,1
4,(none),e6 + su2+g2,T005/Ext3,1
4,(none),e6 + su2+g2 + 2 su3,T005/Ext5,1
4,(none),e6 + su2+g2 + su3,T005/Ext4,1
4,(none),e6 + su2+so7+su2,T005/Ext4,1
4,(none),e6 + su2+so7+su2 + su3,T005/Ext5,1
4,(none),e7 + 2 su2+g2,T005/Ext5,1
4,(none),e7 + 3 su3,T005/Ext4,1
4,(none),e7 + 4 su3,T005/Ext5,1
4,(none),e7 + f4 + su2+g2,T005/Ext4,1
4,(none),e7 + so8 + su2+g2,T005/Ext4,1
4,(none),e7 + su2+g2,T005/Ext3,1
4,(none),e7 + su2+g2 + 2 su3,T005/Ext5,1
4,(none),e7 + su2+g2 + su3,T005/Ext4,1
4,(none),e7 + su2+so7+su2,T005/Ext4,1
4,(none),e7 + su2+so7+su2 + su3,T005/Ext5,1
4,(none),e7p + 2 su2+g2,T005/Ext5,1
4,(none),e7p + 3 su3,T005/Ext4,1
4,(none),e7p + 4 su3,T005/Ext5,1
4,(none),e7p + f4 + su2+g2,T005/Ext4,1
4,(none),e7p + so8 + su2+g2,T005/Ext4,1
4,(none),e7p + su2+g2,T005/Ext3,1
4,(none),e7p + su2+g2 + 2 su3,T005/Ext5,1
4,(none),e7p + su2+g2 + su3,T005/Ext4,1
4,(none),e7p + su2+so7+su2,T005/Ext4,1
4,(none),e7p + su2+so7+su2 + su3,T005/Ext5,1
4,(none),e8 + 2 su2+g2,T005/Ext5,1
4,(none),e8 + 3 su3,T005/Ext4,1
4,(none),e8 + 4 su3,T005/Ext5,1
4,(none),e8 + so8 + su2+g2,T005/Ext4,1
4,(none),e8 + su2+g2,T005/Ext3,1
4,(none),e8 + su2+g2 + 2 su3,T005/Ext5,1
4,(none),e8 + su2+g2 + su3,T005/Ext4,1
4,(none),e8 + su2+so7+su2,T005/Ext4,1
4,(none),e8 + su2+so7+su2 + su3,T005/Ext5,1
4,(none),f4 + 2 su2+g2,T005/Ext5,1
4,(none),f4 + 4 su3,T005/Ext5,1
4,(none),f4 + so8 + su2+g2,T005/Ext4,1
4,(none),f4 + su2+g2,T005/Ext3,1
4,(none),f4 + su2+g2 + 2 su3,T005/Ext5,1
4,(none),f4 + su2+g2 + su3,T005/Ext4,1
4,(none),f4 + su2+so7+su2,T005/Ext4,1
4,(none),f4 + su2+so7+su2 + su3,T005/Ext5,1
4,(none),so8 + 2 su2+g2,T005/Ext5,1
4,(none),so8 + 4 su3,T005/Ext5,1
4,(none),so8 + su2+g2,T005/Ext3,1
4,(none),so8 + su2+g2 + 2 su3,T005/Ext5,1
4,(none),so8 + su2+g2 + su3,T005/Ext4,1
4,(none),so8 + su2+so7+su2,T005/Ext4,1
4,(none),so8 + su2+so7+su2 + su3,T005/Ext5,1
4,(none),su2+g2,T005/Ext2,1
4,(none),su2+g2 + 2 su3,T005/Ext4,1
4,(none),su2+g2 + 3 su3,T005/Ext5,1
4,(none),su2+g2 + su2+so7+su2,T005/Ext5,1
4,(none),su2+g2 + su2+so7+su2 + su3,T005/Ext6,1
4,(none),su2+g2 + su3,T005/Ext3,1
4,(none),su2+so7+su2,T005/Ext3,1
4,(none),su2+so7+su2 + 2 su3,T005/Ext5,1
4,(none),su2+so7+su2 + su3,T005/Ext4,1
4,2 su2+g2,2 su2+g2 + 2 su3,T005/Ext2,1
4,2 su2+g2,2 su2+g2 + su2+so7+su2,T005/Ext3,1
4,2 su2+g2,2 su2+g2 + su3,T005/Ext1,1
4,2 su3,2 su2+g2 + 2 su2+so7+su2,T005/Ext8,1
4,2 su3,2 su2+g2 + 3 su3,T005/Ext5,1
4,2 su3,2 su2+g2 + 4 su3,T005/Ext6,1
4,2 su3,2 su2+g2 + su2+so7+su2,T005/Ext5,1
4,2 su3,2 su2+g2 + su2+so7+su2 + 2 su3,T005/Ext7,1
4,2 su3,2 su2+g2 + su2+so7+su2 + su3,T005/Ext6,1
4,2 su3,2 su2+so7+su2 + 2 su3,T005/Ext6,1
4,2 su3,2 su2+so7+su2 + 3 su3,T005/Ext7,1
4,2 su3,2 su2+so7+su2 + su3,T005/Ext5,1
4,2 su3,3 su2+g2,T005/Ext4,1
4,2 su3,3 su2+g2 + 2 su3,T005/Ext6,1
4,2 su3,3 su2+g2 + 3 su3,T005/Ext7,1
4,2 su3,3 su2+g2 + su2+so7+su2,T005/Ext7,1
4,2 su3,3 su2+g2 + su3,T005/Ext5,1
4,2 su3,3 su2+so7+su2 + su3,T005/Ext8,1
4,2 su3,4 su2+g2,T005/Ext6,1
4,2 su3,4 su2+g2 + su3,T005/Ext7,1
4,2 su3,7 su3,T005/Ext5,1
4,2 su3,8 su3,T005/Ext6,1
4,2 su3,f4 + 2 su2+g2 + 3 su3,T005/Ext6,1
4,2 su3,f4 + 2 su2+g2 + su2+so7+su2,T005/Ext6,1
4,2 su3,f4 + 2 su2+so7+su2 + su3,T005/Ext6,1
4,2 su3,f4 + 3 su2+g2 + su3,T005/Ext6,1
4,2 su3,f4 + su2+g2 + su2+so7+su2 + 2 su3,T005/Ext6,1
4,2 su3,f4 + su2+so7+su2 + 4 su3,T005/Ext6,1
4,2 su3,so8 + 2 su2+g2 + 2 su3,T005/Ext5,1
4,2 su3,so8 + 2 su2+g2 + 3 su3,T005/Ext6,1
4,2 su3,so8 + 2 su2+g2 + su2+so7+su2,T005/Ext6,1
4,2 su3,so8 + 2 su2+g2 + su2+so7+su2 + su3,T005/Ext7,1
4,2 su3,so8 + 2 su2+so7+su2 + 2 su3,T005/Ext7,1
4,2 su3,so8 + 2 su2+so7+su2 + su3,T005/Ext6,1
4,2 su3,so8 + 3 su2+g2,T005/Ext5,1
4,2 su3,so8 + 3 su2+g2 + su3,T005/Ext6,1
4,2 su3,so8 + su2+g2 + 5 su3,T005/Ext6,1
4,2 su3,so8 + su2+g2 + su2+so7+su2 + 2 su3,T005/Ext6,1
4,2 su3,so8 + su2+g2 + su2+so7+su2 + 3 su3,T005/Ext7,1
4,2 su3,so8 + su2+g2 + su2+so7+su2 + su3,T005/Ext5,1
4,2 su3,so8 + su2+so7+su2 + 3 su3,T005/Ext5,1
4,2 su3,so8 + su2+so7+su2 + 4 su3,T005/Ext6,1
4,2 su3,su2+g2 + 2 su2+so7+su2 + 2 su3,T005/Ext8,1
4,2 su3,su2+g2 + 2 su2+so7+su2 + su3,T005/Ext7,1
4,2 su3,su2+g2 + 6 su3,T005/Ext6,1
4,2 su3,su2+g2 + su2+so7+su2 + 2 su3,T005/Ext5,1
4,2 su3,su2+g2 + su2+so7+su2 + 3 su3,T005/Ext6,1
4,2 su3,su2+g2 + su2+so7+su2 + 4 su3,T005/Ext7,1
4,2 su3,su2+so7+su2 + 3 su3,T005/Ext4,1
4,2 su3,su2+so7+su2 + 4 su3,T005/Ext5,1
4,2 su3,su2+so7+su2 + 5 su3,T005/Ext6,1
4,2 su3,su2+so7+su2 + 6 su3,T005/Ext7,1
4,3 su3,2 su2+g2 + su2+so7+su2 + su3,T005/Ext5,1
4,3 su3,2 su2+so7+su2 + 2 su3,T005/Ext5,1
4,3 su3,2 su2+so7+su2 + 3 su3,T005/Ext6,1
4,3 su3,3 su2+g2 + 2 su3,T005/Ext5,1
4,3 su3,3 su2+g2 + su3,T005/Ext4,1
4,3 su3,4 su3,T005/Ext1,1
4,3 su3,5 su3,T005/Ext2,1
4,3 su3,6 su3,T005/Ext3,1
4,3 su3,7 su3,T005/Ext4,1
4,3 su3,so8 + 4 su3,T005/Ext2,1
4,3 su3,su2+g2 + su2+so7+su2 + 2 su3,T005/Ext4,1
