mrg_T_H,LST_Gauge_normalized,LST_raw_examples,status,cls_T_H_values,mrg_sources,mrg_base_indices,SUGRA_examples
33,7 e6 + so8 + su2+g2 + 7 su3,7 e6+so(8)+7 su(3)+g2+su(2),LST_missing,,T034/Ext2,167,(none)
34,13 so8 + 2 su2+g2,13 so(8)+2(g2+su(2)),LST_missing,,T035/Ext2,149,2 e8 + 13 so8 + 2 su2+g2; e7 + e8 + 13 so8 + 2 su2+g2
34,5 e7 + 6 su2+so7+su2,5 e7+6(so(7)+2 su(2)),LST_exists_wrong_TH,"35, 36",T035/Ext1; T035/Ext2,81,(none)
34,6 e6 + 2 f4 + 9 su3,6 e6+2 f5+9 su(3),LST_missing,,T035/Ext2,132,7 e6 + 3 f4 + 9 su3; 8 e6 + 2 f4 + 9 su3
34,7 e6 + f4 + 8 su3,7 e6+f5+8 su(3),LST_missing,,T035/Ext2; T035/Ext3,"142, 144, 146, 153",(none)
35,14 so8 + 2 su2+g2,14 so(8)+2(g2+su(2)),LST_missing,,T036/Ext2,152,e7 + e8 + 14 so8 + 2 su2+g2
35,5 e7 + so8 + 6 su2+so7+su2,5 e7+so(8)+6(so(7)+2 su(2)),LST_exists_wrong_TH,36,T036/Ext1; T036/Ext2,127,(none)
35,5 e7 + so8 + su2+g2 + 5 su2+so7+su2 + su3,5 e7+so(8)+su(3)+g2+su(2)+5(so(7)+2 su(2)),LST_missing,,T036/Ext2,138,(none)
35,7 e6 + f4 + 9 su3,7 e6+f5+9 su(3),LST_missing,,T036/Ext2; T036/Ext3,144,8 e6 + 2 f4 + 9 su3; 8 e6 + 2 f4 + su2+g2 + 8 su3; 9 e6 + f4 + 9 su3
35,7 e6 + f4 + su2+g2 + 8 su3,7 e6+f5+8 su(3)+g2+su(2),LST_exists_wrong_TH,"36, 37",T036/Ext2,155,8 e6 + 2 f4 + su2+g2 + 8 su3
35,8 e6 + 8 su3,8 e6+8 su(3),LST_missing,,T036/Ext2,"140, 145",9 e6 + 9 su3
36,14 so8 + 2 su2+g2,14 so(8)+2(g2+su(2)),LST_missing,,T037/Ext2,161,2 e8 + 14 so8 + 2 su2+g2
36,5 e7 + f4 + 2 su2+g2 + 4 su2+so7+su2 + su3,5 e7+f5+su(3)+2(g2+su(2))+4(so(7)+2 su(2)),LST_exists_wrong_TH,37,T037/Ext2,112,(none)
36,5 e7 + f4 + 6 su2+so7+su2,5 e7+f5+6(so(7)+2 su(2)),LST_exists_wrong_TH,37,T037/Ext1,106,(none)
36,6 e6 + 2 f4 + 2 su2+g2 + 7 su3,6 e6+2 f5+7 su(3)+2(g2+su(2)),LST_exists_wrong_TH,"37, 38",T037/Ext2,141,6 e6 + 2 e7 + 2 f4 + 2 su2+g2 + 7 su3; 6 e6 + 2 e7p + 2 f4 + 2 su2+g2 + 7 su3; 6 e6 + e7 + 3 f4 + 2 su2+g2 + 7 su3; 7 e6 + e7 + 2 f4 + 2 su2+g2 + 7 su3; 7 e6 + e7p + 2 f4 + 2 su2+g2 + 7 su3
36,7 e6 + f4 + so8 + 9 su3,7 e6+f5+so(8)+9 su(3),LST_missing,,T037/Ext2,167,(none)
36,8 e6 + 9 su3,8 e6+9 su(3),LST_missing,,T037/Ext2; T037/Ext3,150,10 e6 + 10 su3; 10 e6 + 9 su3; 9 e6 + f4 + 9 su3
36,8 e6 + su2+g2 + 8 su3,8 e6+8 su(3)+g2+su(2),LST_missing,,T037/Ext2,154,9 e6 + f4 + su2+g2 + 8 su3
37,7 e6 + f4 + su2+g2 + su2+so7+su2 + 7 su3,7 e6+f5+7 su(3)+g2+su(2)+so(7)+2 su(2),LST_exists_wrong_TH,38,T038/Ext2,165,7 e6 + 2 e7 + f4 + su2+g2 + su2+so7+su2 + 7 su3; 7 e6 + 2 e7p + f4 + su2+g2 + su2+so7+su2 + 7 su3; 7 e6 + e7 + 2 f4 + su2+g2 + su2+so7+su2 + 7 su3; 8 e6 + e7 + f4 + su2+g2 + su2+so7+su2 + 7 su3; 8 e6 + e7p + f4 + su2+g2 + su2+so7+su2 + 7 su3
37,8 e6 + so8 + 9 su3,8 e6+so(8)+9 su(3),LST_missing,,T038/Ext2; T038/Ext3,160,(none)
37,e6 + 5 e7 + 6 su2+so7+su2,5 e7+e6+6(so(7)+2 su(2)),LST_exists_wrong_TH,38,T038/Ext1,"125, 135",(none)
37,e6 + 5 e7 + su2+g2 + 5 su2+so7+su2 + su3,5 e7+e6+su(3)+g2+su(2)+5(so(7)+2 su(2)),LST_exists_wrong_TH,38,T038/Ext3,134,(none)
38,15 so8 + 2 su2+g2,15 so(8)+2(g2+su(2)),LST_missing,,T039/Ext2,140,2 e8 + 15 so8 + 2 su2+g2
38,5 e7 + e7p + 6 su2+so7+su2,5 e7+e7'+6(so(7)+2 su(2)),LST_exists_wrong_TH,"35, 39",T039/Ext1,"103, 114",(none)
38,7 e6 + 2 f4 + 10 su3,7 e6+2 f5+10 su(3),LST_missing,,T039/Ext2,145,9 e6 + 2 f4 + 10 su3
38,7 e6 + 2 f4 + su2+g2 + 8 su3,7 e6+2 f5+8 su(3)+g2+su(2),LST_exists_wrong_TH,39,T039/Ext2; T039/Ext3,"134, 141",(none)
38,8 e6 + 2 su2+so7+su2 + 7 su3,8 e6+7 su(3)+2(so(7)+2 su(2)),LST_missing,,T039/Ext2,143,8 e6 + 2 e7 + 2 su2+so7+su2 + 7 su3; 8 e6 + 2 e7p + 2 su2+so7+su2 + 7 su3; 8 e6 + e7 + f4 + 2 su2+so7+su2 + 7 su3; 9 e6 + e7 + 2 su2+so7+su2 + 7 su3; 9 e6 + e7p + 2 su2+so7+su2 + 7 su3
39,6 e7 + 6 su2+so7+su2,6 e7+6(so(7)+2 su(2)),LST_exists_wrong_TH,"36, 40",T040/Ext1,"86, 93, 107",(none)
39,6 e7 + su2+g2 + 5 su2+so7+su2 + su3,6 e7+su(3)+g2+su(2)+5(so(7)+2 su(2)),LST_missing,,T040/Ext2,92,(none)
39,7 e6 + 2 f4 + su2+g2 + 9 su3,7 e6+2 f5+9 su(3)+g2+su(2),LST_exists_wrong_TH,40,T040/Ext2,135,7 e6 + e7 + 3 f4 + su2+g2 + 9 su3; 8 e6 + e7 + 2 f4 + su2+g2 + 9 su3; 8 e6 + e7p + 2 f4 + su2+g2 + 9 su3
39,8 e6 + f4 + 10 su3,8 e6+f5+10 su(3),LST_missing,,T040/Ext2,125,10 e6 + f4 + 10 su3
39,8 e6 + f4 + su2+g2 + 8 su3,8 e6+f5+8 su(3)+g2+su(2),LST_exists_wrong_TH,40,T040/Ext2; T040/Ext3,"128, 133",(none)
39,8 e6 + f4 + su2+g2 + 9 su3,8 e6+f5+9 su(3)+g2+su(2),LST_exists_wrong_TH,41,T040/Ext2,137,(none)
39,8 e6 + f4 + su2+so7+su2 + 8 su3,8 e6+f5+8 su(3)+so(7)+2 su(2),LST_missing,,T040/Ext2; T040/Ext3,"124, 134",(none)
40,16 so8 + 2 su2+g2,16 so(8)+2(g2+su(2)),LST_missing,,T041/Ext2,133,2 e8 + 16 so8 + 2 su2+g2
40,7 e6 + 2 f4 + 2 su2+g2 + 8 su3,7 e6+2 f5+8 su(3)+2(g2+su(2)),LST_exists_wrong_TH,"41, 42",T041/Ext2,135,7 e6 + 2 e7 + 2 f4 + 2 su2+g2 + 8 su3; 7 e6 + 2 e7p + 2 f4 + 2 su2+g2 + 8 su3; 7 e6 + e7 + e7p + 2 f4 + 2 su2+g2 + 8 su3; 8 e6 + e7 + 2 f4 + 2 su2+g2 + 8 su3
40,8 e6 + f4 + 2 su2+g2 + 8 su3,8 e6+f5+8 su(3)+2(g2+su(2)),LST_exists_wrong_TH,41,T041/Ext2,139,8 e6 + e7 + 2 f4 + 2 su2+g2 + 8 su3
40,8 e6 + f4 + su2+g2 + 9 su3,8 e6+f5+9 su(3)+g2+su(2),LST_exists_wrong_TH,41,T041/Ext2,124,8 e6 + e7 + 2 f4 + su2+g2 + 9 su3; 9 e6 + e7 + f4 + su2+g2 + 9 su3; 9 e6 + e7p + f4 + su2+g2 + 9 su3
40,8 e6 + f4 + su2+so7+su2 + 9 su3,8 e6+f5+9 su(3)+so(7)+2 su(2),LST_missing,,T041/Ext2,136,8 e6 + e7 + 2 f4 + su2+so7+su2 + 9 su3; 9 e6 + e7 + f4 + su2+so7+su2 + 9 su3; 9 e6 + e7p + f4 + su2+so7+su2 + 9 su3
40,9 e6 + 10 su3,9 e6+10 su(3),LST_missing,,T041/Ext2; T041/Ext3,119,11 e6 + 10 su3; 11 e6 + 11 su3
41,8 e6 + f4 + su2+g2 + su2+so7+su2 + 8 su3,8 e6+f5+8 su(3)+g2+su(2)+so(7)+2 su(2),LST_exists_wrong_TH,42,T042/Ext2,114,8 e6 + 2 e7 + f4 + su2+g2 + su2+so7+su2 + 8 su3; 8 e6 + 2 e7p + f4 + su2+g2 + su2+so7+su2 + 8 su3; 8 e6 + e7 + e7p + f4 + su2+g2 + su2+so7+su2 + 8 su3; 9 e6 + e7 + f4 + su2+g2 + su2+so7+su2 + 8 su3
41,9 e6 + su2+g2 + su2+so7+su2 + 8 su3,9 e6+8 su(3)+g2+su(2)+so(7)+2 su(2),LST_missing,,T042/Ext2,120,9 e6 + e7 + f4 + su2+g2 + su2+so7+su2 + 8 su3
41,9 e6 + su2+so7+su2 + 9 su3,9 e6+9 su(3)+so(7)+2 su(2),LST_missing,,T042/Ext2,103,10 e6 + e7 + su2+so7+su2 + 9 su3; 10 e6 + e7p + su2+so7+su2 + 9 su3; 9 e6 + e7 + f4 + su2+so7+su2 + 9 su3
42,17 so8 + 2 su2+g2,17 so(8)+2(g2+su(2)),LST_missing,,T043/Ext2,142,2 e8 + 17 so8 + 2 su2+g2
42,9 e6 + 2 su2+so7+su2 + 8 su3,9 e6+8 su(3)+2(so(7)+2 su(2)),LST_missing,,T043/Ext2,146,10 e6 + e7 + 2 su2+so7+su2 + 8 su3; 9 e6 + 2 e7 + 2 su2+so7+su2 + 8 su3; 9 e6 + 2 e7p + 2 su2+so7+su2 + 8 su3; 9 e6 + e7 + e7p + 2 su2+so7+su2 + 8 su3
43,8 e6 + 2 f4 + su2+g2 + 10 su3,8 e6+2 f5+10 su(3)+g2+su(2),LST_exists_wrong_TH,44,T044/Ext2,118,9 e6 + e7 + 2 f4 + su2+g2 + 10 su3
44,3 e8 + 4 f4 + 2 so8 + 6 su2+g2 + 2 su3,3 e8+4 f5+2 so(8)+2 su(3)+6(g2+su(2)),LST_missing,,T045/Ext1,72,(none)
44,5 e7 + 2 e7p + 2 su2+g2 + 6 su2+so7+su2,5 e7+2 e7'+2(g2+su(2))+6(so(7)+2 su(2)),LST_missing,,T045/Ext2,131,5 e7 + 2 e7p + 2 f4 + 2 su2+g2 + 6 su2+so7+su2
44,8 e6 + 2 f4 + 2 su2+g2 + 9 su3,8 e6+2 f5+9 su(3)+2(g2+su(2)),LST_exists_wrong_TH,45,T045/Ext2,121,8 e6 + 2 e7 + 2 f4 + 2 su2+g2 + 9 su3; 8 e6 + e7 + e7p + 2 f4 + 2 su2+g2 + 9 su3
44,9 e6 + f4 + su2+g2 + 10 su3,9 e6+f5+10 su(3)+g2+su(2),LST_exists_wrong_TH,45,T045/Ext2,103,10 e6 + e7 + f4 + su2+g2 + 10 su3
44,9 e6 + f4 + su2+so7+su2 + 10 su3,9 e6+f5+10 su(3)+so(7)+2 su(2),LST_missing,,T045/Ext2,122,10 e6 + e7 + f4 + su2+so7+su2 + 10 su3
45,10 e6 + su2+so7+su2 + 10 su3,10 e6+10 su(3)+so(7)+2 su(2),LST_missing,,T046/Ext2,88,11 e6 + e7 + su2+so7+su2 + 10 su3
45,3 e8 + 5 f4 + so8 + 7 su2+g2 + su3,3 e8+5 f5+so(8)+su(3)+7(g2+su(2)),LST_missing,,T046/Ext1,50,(none)
45,6 e7 + e7p + 2 su2+g2 + 6 su2+so7+su2,6 e7+e7'+2(g2+su(2))+6(so(7)+2 su(2)),LST_missing,,T046/Ext2,"91, 111",6 e7 + e7p + 2 f4 + 2 su2+g2 + 6 su2+so7+su2
45,9 e6 + f4 + su2+g2 + su2+so7+su2 + 9 su3,9 e6+f5+9 su(3)+g2+su(2)+so(7)+2 su(2),LST_exists_wrong_TH,46,T046/Ext2,106,9 e6 + 2 e7 + f4 + su2+g2 + su2+so7+su2 + 9 su3; 9 e6 + e7 + e7p + f4 + su2+g2 + su2+so7+su2 + 9 su3
46,10 e6 + 2 su2+so7+su2 + 9 su3,10 e6+9 su(3)+2(so(7)+2 su(2)),LST_missing,,T047/Ext2,114,10 e6 + 2 e7 + 2 su2+so7+su2 + 9 su3; 10 e6 + e7 + e7p + 2 su2+so7+su2 + 9 su3
