mrg_T_H,LST_Gauge_normalized,LST_raw_examples,status,cls_T_H_values,mrg_sources,mrg_base_indices,SUGRA_examples
52,7 e7 + 2 f4 + 2 su2+g2 + 6 su2+so7+su2 + 2 su3,7 e7+2 f5+2 su(3)+2(g2+su(2))+6(so(7)+2 su(2)),LST_missing,,T053/Ext2,88,2 e6 + 7 e7 + 2 f4 + 2 su2+g2 + 6 su2+so7+su2 + 2 su3
53,10 e6 + 2 f4 + 2 su2+g2 + 11 su3,10 e6+2 f5+11 su(3)+2(g2+su(2)),LST_missing,,T054/Ext2,79,10 e6 + e7 + e8 + 2 f4 + 2 su2+g2 + 11 su3; 10 e6 + e7p + e8 + 2 f4 + 2 su2+g2 + 11 su3; 11 e6 + e8 + 2 f4 + 2 su2+g2 + 11 su3
53,11 e6 + f4 + 2 su2+g2 + 11 su3,11 e6+f5+11 su(3)+2(g2+su(2)),LST_missing,,T054/Ext2,85,11 e6 + e8 + 2 f4 + 2 su2+g2 + 11 su3
53,11 e6 + f4 + su2+g2 + 12 su3,11 e6+f5+12 su(3)+g2+su(2),LST_missing,,T054/Ext2,65,11 e6 + e8 + 2 f4 + su2+g2 + 12 su3; 12 e6 + e8 + f4 + su2+g2 + 12 su3
53,7 e7 + 2 f4 + 3 su2+g2 + 6 su2+so7+su2 + su3,7 e7+2 f5+su(3)+3(g2+su(2))+6(so(7)+2 su(2)),LST_exists_wrong_TH,54,T054/Ext2,81,8 e7 + 3 f4 + 3 su2+g2 + 6 su2+so7+su2 + su3; e6 + 7 e7 + e7p + 2 f4 + 3 su2+g2 + 6 su2+so7+su2 + su3; e6 + 8 e7 + 2 f4 + 3 su2+g2 + 6 su2+so7+su2 + su3
53,7 e7 + e7p + 9 su2+so7+su2,7 e7+e7'+9(so(7)+2 su(2)),LST_exists_wrong_TH,52,T054/Ext2,62,7 e7 + 3 e7p + 9 su2+so7+su2; 8 e7 + 2 e7p + 9 su2+so7+su2; 8 e7 + e7p + f4 + 9 su2+so7+su2; e6 + 7 e7 + 2 e7p + 9 su2+so7+su2; e6 + 8 e7 + e7p + 9 su2+so7+su2
53,e6 + 7 e7 + f4 + su2+g2 + 7 su2+so7+su2 + 2 su3,7 e7+e6+f5+2 su(3)+g2+su(2)+7(so(7)+2 su(2)),LST_missing,,T054/Ext2,83,3 e6 + 7 e7 + f4 + su2+g2 + 7 su2+so7+su2 + 2 su3
54,10 e6 + 2 f4 + 2 su2+g2 + 11 su3,10 e6+2 f5+11 su(3)+2(g2+su(2)),LST_missing,,T055/Ext2,73,10 e6 + 2 e8 + 2 f4 + 2 su2+g2 + 11 su3; 10 e6 + e7 + e8 + 2 f4 + 2 su2+g2 + 11 su3; 10 e6 + e7p + e8 + 2 f4 + 2 su2+g2 + 11 su3
54,11 e6 + f4 + su2+g2 + su2+so7+su2 + 11 su3,11 e6+f5+11 su(3)+g2+su(2)+so(7)+2 su(2),LST_missing,,T055/Ext2,76,11 e6 + e7 + e8 + f4 + su2+g2 + su2+so7+su2 + 11 su3; 11 e6 + e7p + e8 + f4 + su2+g2 + su2+so7+su2 + 11 su3; 12 e6 + e8 + f4 + su2+g2 + su2+so7+su2 + 11 su3
54,2 e6 + 7 e7 + 8 su2+so7+su2 + 2 su3,7 e7+2 e6+2 su(3)+8(so(7)+2 su(2)),LST_missing,,T055/Ext2,81,4 e6 + 7 e7 + 8 su2+so7+su2 + 2 su3
54,7 e7 + 2 f4 + 4 su2+g2 + 6 su2+so7+su2,7 e7+2 f5+4(g2+su(2))+6(so(7)+2 su(2)),LST_exists_wrong_TH,"55, 56",T055/Ext2,74,7 e7 + 2 e7p + 2 f4 + 4 su2+g2 + 6 su2+so7+su2; 8 e7 + e7p + 2 f4 + 4 su2+g2 + 6 su2+so7+su2; 9 e7 + 2 f4 + 4 su2+g2 + 6 su2+so7+su2; e6 + 8 e7 + 2 f4 + 4 su2+g2 + 6 su2+so7+su2
54,8 e7 + 9 su2+so7+su2,8 e7+9(so(7)+2 su(2)),LST_exists_wrong_TH,53,T055/Ext2,61,10 e7 + 9 su2+so7+su2; 8 e7 + 2 e7p + 9 su2+so7+su2; 9 e7 + e7p + 9 su2+so7+su2; e6 + 8 e7 + e7p + 9 su2+so7+su2; e6 + 9 e7 + 9 su2+so7+su2
54,e6 + 7 e7 + f4 + 2 su2+g2 + 7 su2+so7+su2 + su3,7 e7+e6+f5+su(3)+2(g2+su(2))+7(so(7)+2 su(2)),LST_exists_wrong_TH,55,T055/Ext2,80,2 e6 + 7 e7 + e7p + f4 + 2 su2+g2 + 7 su2+so7+su2 + su3; 2 e6 + 8 e7 + f4 + 2 su2+g2 + 7 su2+so7+su2 + su3; e6 + 8 e7 + 2 f4 + 2 su2+g2 + 7 su2+so7+su2 + su3
55,7 e7 + e7p + f4 + 3 su2+g2 + 7 su2+so7+su2,7 e7+e7'+f5+3(g2+su(2))+7(so(7)+2 su(2)),LST_exists_wrong_TH,56,T056/Ext2,70,8 e7 + e7p + 2 f4 + 3 su2+g2 + 7 su2+so7+su2
55,7 e7 + e7p + f4 + su2+g2 + 8 su2+so7+su2 + su3,7 e7+e7'+f5+su(3)+g2+su(2)+8(so(7)+2 su(2)),LST_missing,,T056/Ext2,65,8 e7 + e7p + 2 f4 + su2+g2 + 8 su2+so7+su2 + su3; e6 + 7 e7 + 2 e7p + f4 + su2+g2 + 8 su2+so7+su2 + su3; e6 + 8 e7 + e7p + f4 + su2+g2 + 8 su2+so7+su2 + su3
55,8 e7 + f4 + 2 su2+g2 + 7 su2+so7+su2,8 e7+f5+2(g2+su(2))+7(so(7)+2 su(2)),LST_exists_wrong_TH,56,T056/Ext2,"50, 59",(none)
55,8 e7 + f4 + 9 su2+so7+su2,8 e7+f5+9(so(7)+2 su(2)),LST_missing,,T056/Ext3,54,(none)
55,8 e7 + f4 + su2+g2 + 8 su2+so7+su2,8 e7+f5+g2+su(2)+8(so(7)+2 su(2)),LST_missing,,T056/Ext2; T056/Ext3,"49, 53",(none)
56,11 e6 + 2 f4 + su2+g2 + 13 su3,11 e6+2 f5+13 su(3)+g2+su(2),LST_missing,,T057/Ext2,77,12 e6 + e8 + 2 f4 + su2+g2 + 13 su3
56,4 e8 + 5 f4 + 2 so8 + 8 su2+g2 + 2 su3,4 e8+5 f5+2 so(8)+2 su(3)+8(g2+su(2)),LST_missing,,T057/Ext1,59,(none)
56,7 e7 + e7p + f4 + 2 su2+g2 + 8 su2+so7+su2,7 e7+e7'+f5+2(g2+su(2))+8(so(7)+2 su(2)),LST_exists_wrong_TH,57,T057/Ext2,76,7 e7 + 3 e7p + f4 + 2 su2+g2 + 8 su2+so7+su2; 8 e7 + 2 e7p + f4 + 2 su2+g2 + 8 su2+so7+su2; 9 e7 + e7p + f4 + 2 su2+g2 + 8 su2+so7+su2; e6 + 8 e7 + e7p + f4 + 2 su2+g2 + 8 su2+so7+su2
56,8 e7 + f4 + 2 su2+g2 + 8 su2+so7+su2,8 e7+f5+2(g2+su(2))+8(so(7)+2 su(2)),LST_exists_wrong_TH,"57, 58",T057/Ext2,62,(none)
56,8 e7 + f4 + 3 su2+g2 + 7 su2+so7+su2,8 e7+f5+3(g2+su(2))+7(so(7)+2 su(2)),LST_exists_wrong_TH,57,T057/Ext2,"67, 83",9 e7 + 2 f4 + 3 su2+g2 + 7 su2+so7+su2
56,8 e7 + f4 + su2+g2 + 8 su2+so7+su2 + su3,8 e7+f5+su(3)+g2+su(2)+8(so(7)+2 su(2)),LST_missing,,T057/Ext2,63,9 e7 + 2 f4 + su2+g2 + 8 su2+so7+su2 + su3; e6 + 8 e7 + e7p + f4 + su2+g2 + 8 su2+so7+su2 + su3; e6 + 9 e7 + f4 + su2+g2 + 8 su2+so7+su2 + su3
56,e6 + 7 e7 + e7p + 9 su2+so7+su2 + su3,7 e7+e7'+e6+su(3)+9(so(7)+2 su(2)),LST_missing,,T057/Ext2,79,2 e6 + 7 e7 + 2 e7p + 9 su2+so7+su2 + su3; 2 e6 + 8 e7 + e7p + 9 su2+so7+su2 + su3; e6 + 8 e7 + e7p + f4 + 9 su2+so7+su2 + su3
56,e6 + 8 e7 + 9 su2+so7+su2,8 e7+e6+9(so(7)+2 su(2)),LST_missing,,T057/Ext2; T057/Ext3,"60, 64",(none)
57,11 e6 + 2 f4 + 2 su2+g2 + 12 su3,11 e6+2 f5+12 su(3)+2(g2+su(2)),LST_missing,,T058/Ext2,75,11 e6 + e7 + e8 + 2 f4 + 2 su2+g2 + 12 su3; 11 e6 + e7p + e8 + 2 f4 + 2 su2+g2 + 12 su3
57,12 e6 + f4 + su2+g2 + 13 su3,12 e6+f5+13 su(3)+g2+su(2),LST_missing,,T058/Ext2,71,13 e6 + e8 + f4 + su2+g2 + 13 su3
57,4 e8 + 6 f4 + so8 + 9 su2+g2 + su3,4 e8+6 f5+so(8)+su(3)+9(g2+su(2)),LST_missing,,T058/Ext1,54,(none)
57,8 e7 + e7p + 9 su2+so7+su2,8 e7+e7'+9(so(7)+2 su(2)),LST_missing,,T058/Ext2,"64, 69",(none)
57,8 e7 + f4 + so8 + 3 su2+g2 + 7 su2+so7+su2,8 e7+f5+so(8)+3(g2+su(2))+7(so(7)+2 su(2)),LST_exists_wrong_TH,58,T058/Ext3,83,(none)
57,e6 + 8 e7 + 9 su2+so7+su2 + su3,8 e7+e6+su(3)+9(so(7)+2 su(2)),LST_missing,,T058/Ext2,68,2 e6 + 8 e7 + e7p + 9 su2+so7+su2 + su3; 2 e6 + 9 e7 + 9 su2+so7+su2 + su3; e6 + 9 e7 + f4 + 9 su2+so7+su2 + su3
58,11 e6 + 2 f4 + 2 su2+g2 + 12 su3,11 e6+2 f5+12 su(3)+2(g2+su(2)),LST_missing,,T059/Ext2,70,11 e6 + 2 e8 + 2 f4 + 2 su2+g2 + 12 su3; 11 e6 + e7 + e8 + 2 f4 + 2 su2+g2 + 12 su3
58,12 e6 + f4 + su2+g2 + su2+so7+su2 + 12 su3,12 e6+f5+12 su(3)+g2+su(2)+so(7)+2 su(2),LST_missing,,T059/Ext2,74,12 e6 + e7 + e8 + f4 + su2+g2 + su2+so7+su2 + 12 su3; 12 e6 + e7p + e8 + f4 + su2+g2 + su2+so7+su2 + 12 su3
58,8 e7 + e7p + su2+g2 + 9 su2+so7+su2,8 e7+e7'+g2+su(2)+9(so(7)+2 su(2)),LST_missing,,T059/Ext2,64,9 e7 + e7p + f4 + su2+g2 + 9 su2+so7+su2
58,9 e7 + 9 su2+so7+su2,9 e7+9(so(7)+2 su(2)),LST_missing,,T059/Ext2; T059/Ext3,"59, 60",(none)
59,8 e7 + 2 f4 + 3 su2+g2 + 7 su2+so7+su2 + su3,8 e7+2 f5+su(3)+3(g2+su(2))+7(so(7)+2 su(2)),LST_exists_wrong_TH,60,T060/Ext2,70,e6 + 9 e7 + 2 f4 + 3 su2+g2 + 7 su2+so7+su2 + su3
59,9 e7 + 10 su2+so7+su2,9 e7+10(so(7)+2 su(2)),LST_missing,,T060/Ext2,54,(none)
59,9 e7 + su2+g2 + 9 su2+so7+su2,9 e7+g2+su(2)+9(so(7)+2 su(2)),LST_missing,,T060/Ext2,"55, 59",10 e7 + f4 + su2+g2 + 9 su2+so7+su2
60,8 e7 + 2 f4 + 4 su2+g2 + 7 su2+so7+su2,8 e7+2 f5+4(g2+su(2))+7(so(7)+2 su(2)),LST_exists_wrong_TH,61,T061/Ext2,67,10 e7 + 2 f4 + 4 su2+g2 + 7 su2+so7+su2; 9 e7 + e7p + 2 f4 + 4 su2+g2 + 7 su2+so7+su2
60,9 e7 + 10 su2+so7+su2,9 e7+10(so(7)+2 su(2)),LST_missing,,T061/Ext2,56,10 e7 + e7p + 10 su2+so7+su2; 11 e7 + 10 su2+so7+su2; 9 e7 + 2 e7p + 10 su2+so7+su2; e6 + 10 e7 + 10 su2+so7+su2
60,9 e7 + so8 + su2+g2 + 9 su2+so7+su2,9 e7+so(8)+g2+su(2)+9(so(7)+2 su(2)),LST_missing,,T061/Ext3,58,(none)
60,e6 + 8 e7 + f4 + 2 su2+g2 + 8 su2+so7+su2 + su3,8 e7+e6+f5+su(3)+2(g2+su(2))+8(so(7)+2 su(2)),LST_exists_wrong_TH,61,T061/Ext2,72,2 e6 + 9 e7 + f4 + 2 su2+g2 + 8 su2+so7+su2 + su3
61,12 e6 + 2 f4 + 2 su2+g2 + 13 su3,12 e6+2 f5+13 su(3)+2(g2+su(2)),LST_missing,,T062/Ext2,70,12 e6 + e7 + e8 + 2 f4 + 2 su2+g2 + 13 su3
62,12 e6 + 2 f4 + 2 su2+g2 + 13 su3,12 e6+2 f5+13 su(3)+2(g2+su(2)),LST_missing,,T063/Ext2,67,12 e6 + 2 e8 + 2 f4 + 2 su2+g2 + 13 su3
62,13 e6 + f4 + su2+g2 + su2+so7+su2 + 13 su3,13 e6+f5+13 su(3)+g2+su(2)+so(7)+2 su(2),LST_missing,,T063/Ext2,70,13 e6 + e7 + e8 + f4 + su2+g2 + su2+so7+su2 + 13 su3
62,8 e7 + 2 f4 + 4 su2+g2 + 7 su2+so7+su2,8 e7+2 f5+4(g2+su(2))+7(so(7)+2 su(2)),LST_exists_wrong_TH,61,T063/Ext2,68,8 e7 + 2 e8 + 2 f4 + 4 su2+g2 + 7 su2+so7+su2; 8 e7 + e7p + e8 + 2 f4 + 4 su2+g2 + 7 su2+so7+su2; 8 e7 + e8 + 3 f4 + 4 su2+g2 + 7 su2+so7+su2; 9 e7 + e8 + 2 f4 + 4 su2+g2 + 7 su2+so7+su2; e6 + 8 e7 + e8 + 2 f4 + 4 su2+g2 + 7 su2+so7+su2
62,8 e7 + e7p + f4 + 2 su2+g2 + 9 su2+so7+su2,8 e7+e7'+f5+2(g2+su(2))+9(so(7)+2 su(2)),LST_exists_wrong_TH,63,T063/Ext2,71,10 e7 + e7p + f4 + 2 su2+g2 + 9 su2+so7+su2; 9 e7 + 2 e7p + f4 + 2 su2+g2 + 9 su2+so7+su2
62,9 e7 + f4 + su2+g2 + 9 su2+so7+su2 + su3,9 e7+f5+su(3)+g2+su(2)+9(so(7)+2 su(2)),LST_missing,,T063/Ext2,61,e6 + 10 e7 + f4 + su2+g2 + 9 su2+so7+su2 + su3
63,e6 + 9 e7 + 10 su2+so7+su2 + su3,9 e7+e6+su(3)+10(so(7)+2 su(2)),LST_missing,,T064/Ext2,59,2 e6 + 10 e7 + 10 su2+so7+su2 + su3
64,5 e8 + 4 f4 + 2 so8 + 10 su2+g2 + 2 su3,5 e8+4 f5+2 so(8)+2 su(3)+10(g2+su(2)),LST_missing,,T065/Ext2,67,(none)
64,5 e8 + 5 f4 + 10 su2+g2 + 2 su3,5 e8+5 f5+2 su(3)+10(g2+su(2)),LST_exists_wrong_TH,65,T065/Ext2; T065/Ext3,7,(none)
64,5 e8 + 5 f4 + 11 su2+g2 + su3,5 e8+5 f5+su(3)+11(g2+su(2)),LST_exists_wrong_TH,"65, 66, 67",T065/Ext2; T065/Ext3,"11, 16",(none)
64,5 e8 + 5 f4 + 12 su2+g2,5 e8+5 f5+12(g2+su(2)),LST_exists_wrong_TH,"66, 67",T065/Ext2,17,(none)
65,5 e8 + 5 f4 + so8 + 10 su2+g2 + 2 su3,5 e8+5 f5+so(8)+2 su(3)+10(g2+su(2)),LST_exists_wrong_TH,66,T066/Ext1; T066/Ext2; T066/Ext3,"21, 27",(none)
65,5 e8 + 5 f4 + so8 + 11 su2+g2 + su3,5 e8+5 f5+so(8)+su(3)+11(g2+su(2)),LST_exists_wrong_TH,"67, 68",T066/Ext1; T066/Ext2,"33, 34",(none)
66,10 e7 + 11 su2+so7+su2,10 e7+11(so(7)+2 su(2)),LST_missing,,T067/Ext2,47,11 e7 + e7p + 11 su2+so7+su2; 12 e7 + 11 su2+so7+su2
66,13 e6 + 2 f4 + 2 su2+g2 + 14 su3,13 e6+2 f5+14 su(3)+2(g2+su(2)),LST_missing,,T067/Ext2,55,13 e6 + 2 e8 + 2 f4 + 2 su2+g2 + 14 su3
66,5 e8 + 5 f4 + 2 so8 + 10 su2+g2 + 2 su3,5 e8+5 f5+2 so(8)+2 su(3)+10(g2+su(2)),LST_missing,,T067/Ext2,66,(none)
66,5 e8 + 6 f4 + 10 su2+g2 + 2 su3,5 e8+6 f5+2 su(3)+10(g2+su(2)),LST_exists_wrong_TH,"67, 68",T067/Ext2; T067/Ext3; T067/Ext4,19,(none)
66,5 e8 + 6 f4 + 11 su2+g2 + su3,5 e8+6 f5+su(3)+11(g2+su(2)),LST_exists_wrong_TH,"67, 68, 69, 70",T067/Ext2; T067/Ext3,"15, 21",(none)
66,9 e7 + 2 f4 + 4 su2+g2 + 8 su2+so7+su2,9 e7+2 f5+4(g2+su(2))+8(so(7)+2 su(2)),LST_missing,,T067/Ext2,56,11 e7 + 2 f4 + 4 su2+g2 + 8 su2+so7+su2
67,5 e8 + 6 f4 + so8 + 10 su2+g2 + 2 su3,5 e8+6 f5+so(8)+2 su(3)+10(g2+su(2)),LST_exists_wrong_TH,68,T068/Ext2,44,(none)
67,9 e7 + 2 f4 + 4 su2+g2 + 8 su2+so7+su2,9 e7+2 f5+4(g2+su(2))+8(so(7)+2 su(2)),LST_missing,,T068/Ext2,52,10 e7 + e8 + 2 f4 + 4 su2+g2 + 8 su2+so7+su2; 9 e7 + e7p + e8 + 2 f4 + 4 su2+g2 + 8 su2+so7+su2; 9 e7 + e8 + 3 f4 + 4 su2+g2 + 8 su2+so7+su2; e6 + 9 e7 + e8 + 2 f4 + 4 su2+g2 + 8 su2+so7+su2
67,e6 + 5 e8 + 5 f4 + 10 su2+g2 + 2 su3,5 e8+e6+5 f5+2 su(3)+10(g2+su(2)),LST_exists_wrong_TH,68,T068/Ext2; T068/Ext3,"20, 33",(none)
67,e6 + 5 e8 + 5 f4 + 11 su2+g2 + su3,5 e8+e6+5 f5+su(3)+11(g2+su(2)),LST_missing,,T068/Ext2; T068/Ext3,"27, 34, 41",(none)
67,e6 + 5 e8 + 5 f4 + 12 su2+g2,5 e8+e6+5 f5+12(g2+su(2)),LST_missing,,T068/Ext2,39,(none)
68,9 e7 + 2 f4 + 4 su2+g2 + 8 su2+so7+su2,9 e7+2 f5+4(g2+su(2))+8(so(7)+2 su(2)),LST_missing,,T069/Ext2,64,10 e7 + e8 + 2 f4 + 4 su2+g2 + 8 su2+so7+su2; 9 e7 + 2 e8 + 2 f4 + 4 su2+g2 + 8 su2+so7+su2; 9 e7 + e7p + e8 + 2 f4 + 4 su2+g2 + 8 su2+so7+su2; e6 + 9 e7 + e8 + 2 f4 + 4 su2+g2 + 8 su2+so7+su2
68,e6 + 5 e8 + 5 f4 + so8 + 10 su2+g2 + 2 su3,5 e8+e6+5 f5+so(8)+2 su(3)+10(g2+su(2)),LST_exists_wrong_TH,69,T069/Ext2; T069/Ext3,"62, 73",(none)
68,e6 + 5 e8 + 5 f4 + so8 + 11 su2+g2 + su3,5 e8+e6+5 f5+so(8)+su(3)+11(g2+su(2)),LST_missing,,T069/Ext2,72,(none)
68,e7p + 5 e8 + 5 f4 + 11 su2+g2 + su3,5 e8+e7'+5 f5+su(3)+11(g2+su(2)),LST_missing,,T069/Ext2; T069/Ext3,45,(none)
69,10 e7 + f4 + 3 su2+g2 + 9 su2+so7+su2,10 e7+f5+3(g2+su(2))+9(so(7)+2 su(2)),LST_missing,,T070/Ext2,"54, 64",10 e7 + e8 + 2 f4 + 3 su2+g2 + 9 su2+so7+su2; 10 e7 + e8 + f4 + so8 + 3 su2+g2 + 9 su2+so7+su2
69,9 e7 + e7p + f4 + 2 su2+g2 + 10 su2+so7+su2,9 e7+e7'+f5+2(g2+su(2))+10(so(7)+2 su(2)),LST_missing,,T070/Ext2,62,10 e7 + e7p + e8 + f4 + 2 su2+g2 + 10 su2+so7+su2; 9 e7 + 2 e7p + e8 + f4 + 2 su2+g2 + 10 su2+so7+su2; 9 e7 + e7p + e8 + 2 f4 + 2 su2+g2 + 10 su2+so7+su2; e6 + 9 e7 + e7p + e8 + f4 + 2 su2+g2 + 10 su2+so7+su2
69,e7 + 5 e8 + 5 f4 + 11 su2+g2 + su3,5 e8+e7+5 f5+su(3)+11(g2+su(2)),LST_missing,,T070/Ext2; T070/Ext3,"14, 36, 37",(none)
69,e7 + 5 e8 + 5 f4 + 12 su2+g2,5 e8+e7+5 f5+12(g2+su(2)),LST_exists_wrong_TH,70,T070/Ext2,"34, 43, 44",(none)
69,e7p + 5 e8 + 5 f4 + so8 + 11 su2+g2 + su3,5 e8+e7'+5 f5+so(8)+su(3)+11(g2+su(2)),LST_missing,,T070/Ext2,71,(none)
70,10 e7 + f4 + 2 su2+g2 + 10 su2+so7+su2,10 e7+f5+2(g2+su(2))+10(so(7)+2 su(2)),LST_exists_wrong_TH,69,T071/Ext2,42,10 e7 + e7p + e8 + f4 + 2 su2+g2 + 10 su2+so7+su2; 10 e7 + e8 + 2 f4 + 2 su2+g2 + 10 su2+so7+su2; 11 e7 + e8 + f4 + 2 su2+g2 + 10 su2+so7+su2; e6 + 10 e7 + e8 + f4 + 2 su2+g2 + 10 su2+so7+su2
70,10 e7 + f4 + so8 + 3 su2+g2 + 9 su2+so7+su2,10 e7+f5+so(8)+3(g2+su(2))+9(so(7)+2 su(2)),LST_missing,,T071/Ext2,56,10 e7 + e8 + f4 + 2 so8 + 3 su2+g2 + 9 su2+so7+su2
70,14 e6 + 2 f4 + 2 su2+g2 + 15 su3,14 e6+2 f5+15 su(3)+2(g2+su(2)),LST_missing,,T071/Ext2,51,14 e6 + 2 e8 + 2 f4 + 2 su2+g2 + 15 su3
71,10 e7 + 2 f4 + 2 su2+g2 + 10 su2+so7+su2,10 e7+2 f5+2(g2+su(2))+10(so(7)+2 su(2)),LST_missing,,T072/Ext2; T072/Ext3,49,(none)
71,10 e7 + 2 f4 + 3 su2+g2 + 9 su2+so7+su2,10 e7+2 f5+3(g2+su(2))+9(so(7)+2 su(2)),LST_missing,,T072/Ext2; T072/Ext3,"43, 48",(none)
72,10 e7 + 2 f4 + 3 su2+g2 + 9 su2+so7+su2 + su3,10 e7+2 f5+su(3)+3(g2+su(2))+9(so(7)+2 su(2)),LST_missing,,T073/Ext2,50,10 e7 + e8 + 3 f4 + 3 su2+g2 + 9 su2+so7+su2 + su3; e6 + 10 e7 + e8 + 2 f4 + 3 su2+g2 + 9 su2+so7+su2 + su3
72,11 e7 + 12 su2+so7+su2,11 e7+12(so(7)+2 su(2)),LST_missing,,T073/Ext2,39,13 e7 + 12 su2+so7+su2
72,e6 + 10 e7 + f4 + 2 su2+g2 + 10 su2+so7+su2,10 e7+e6+f5+2(g2+su(2))+10(so(7)+2 su(2)),LST_missing,,T073/Ext2; T073/Ext3,"42, 57",(none)
73,10 e7 + 2 f4 + 4 su2+g2 + 9 su2+so7+su2,10 e7+2 f5+4(g2+su(2))+9(so(7)+2 su(2)),LST_missing,,T074/Ext2,49,10 e7 + e7p + e8 + 2 f4 + 4 su2+g2 + 9 su2+so7+su2; 11 e7 + e8 + 2 f4 + 4 su2+g2 + 9 su2+so7+su2; e6 + 10 e7 + e8 + 2 f4 + 4 su2+g2 + 9 su2+so7+su2
73,6 e8 + 5 f4 + 11 su2+g2 + su3,6 e8+5 f5+su(3)+11(g2+su(2)),LST_exists_wrong_TH,69,T074/Ext3,6,(none)
73,6 e8 + 5 f4 + 12 su2+g2,6 e8+5 f5+12(g2+su(2)),LST_exists_wrong_TH,74,T074/Ext2,8,(none)
73,e6 + 10 e7 + f4 + 2 su2+g2 + 10 su2+so7+su2 + su3,10 e7+e6+f5+su(3)+2(g2+su(2))+10(so(7)+2 su(2)),LST_missing,,T074/Ext2,50,2 e6 + 10 e7 + e8 + f4 + 2 su2+g2 + 10 su2+so7+su2 + su3; e6 + 10 e7 + e8 + 2 f4 + 2 su2+g2 + 10 su2+so7+su2 + su3
74,10 e7 + 2 f4 + 4 su2+g2 + 9 su2+so7+su2,10 e7+2 f5+4(g2+su(2))+9(so(7)+2 su(2)),LST_missing,,T075/Ext2,44,10 e7 + 2 e8 + 2 f4 + 4 su2+g2 + 9 su2+so7+su2; 10 e7 + e7p + e8 + 2 f4 + 4 su2+g2 + 9 su2+so7+su2; 11 e7 + e8 + 2 f4 + 4 su2+g2 + 9 su2+so7+su2
74,10 e7 + e7p + f4 + 3 su2+g2 + 10 su2+so7+su2,10 e7+e7'+f5+3(g2+su(2))+10(so(7)+2 su(2)),LST_missing,,T075/Ext2,48,10 e7 + e7p + e8 + 2 f4 + 3 su2+g2 + 10 su2+so7+su2
74,11 e7 + f4 + 2 su2+g2 + 10 su2+so7+su2,11 e7+f5+2(g2+su(2))+10(so(7)+2 su(2)),LST_missing,,T075/Ext2; T075/Ext3,23,(none)
74,15 e6 + 2 f4 + 2 su2+g2 + 16 su3,15 e6+2 f5+16 su(3)+2(g2+su(2)),LST_missing,,T075/Ext2,43,15 e6 + 2 e8 + 2 f4 + 2 su2+g2 + 16 su3
74,6 e8 + 5 f4 + so8 + 11 su2+g2 + su3,6 e8+5 f5+so(8)+su(3)+11(g2+su(2)),LST_missing,,T075/Ext3,19,(none)
75,10 e7 + e7p + f4 + 2 su2+g2 + 11 su2+so7+su2,10 e7+e7'+f5+2(g2+su(2))+11(so(7)+2 su(2)),LST_missing,,T076/Ext2,47,10 e7 + 2 e7p + e8 + f4 + 2 su2+g2 + 11 su2+so7+su2; 11 e7 + e7p + e8 + f4 + 2 su2+g2 + 11 su2+so7+su2; e6 + 10 e7 + e7p + e8 + f4 + 2 su2+g2 + 11 su2+so7+su2
75,11 e7 + f4 + 3 su2+g2 + 10 su2+so7+su2,11 e7+f5+3(g2+su(2))+10(so(7)+2 su(2)),LST_missing,,T076/Ext2,"31, 50",11 e7 + e8 + 2 f4 + 3 su2+g2 + 10 su2+so7+su2
76,11 e7 + f4 + 2 su2+g2 + 11 su2+so7+su2,11 e7+f5+2(g2+su(2))+11(so(7)+2 su(2)),LST_missing,,T077/Ext2,25,11 e7 + e7p + e8 + f4 + 2 su2+g2 + 11 su2+so7+su2; 12 e7 + e8 + f4 + 2 su2+g2 + 11 su2+so7+su2; e6 + 11 e7 + e8 + f4 + 2 su2+g2 + 11 su2+so7+su2
76,e7 + e7p + 5 e8 + 6 f4 + 13 su2+g2,5 e8+e7+e7'+6 f5+13(g2+su(2)),LST_missing,,T077/Ext2,40,(none)
77,2 e7 + 5 e8 + 6 f4 + 13 su2+g2,5 e8+2 e7+6 f5+13(g2+su(2)),LST_missing,,T078/Ext2,"28, 35, 36",(none)
77,6 e8 + 5 f4 + 3 so8 + 12 su2+g2,6 e8+5 f5+3 so(8)+12(g2+su(2)),LST_missing,,T078/Ext2,23,(none)
78,11 e7 + 2 f4 + 3 su2+g2 + 10 su2+so7+su2 + su3,11 e7+2 f5+su(3)+3(g2+su(2))+10(so(7)+2 su(2)),LST_missing,,T079/Ext2,50,e6 + 11 e7 + e8 + 2 f4 + 3 su2+g2 + 10 su2+so7+su2 + su3
78,2 e7 + 5 e8 + 6 f4 + 14 su2+g2,5 e8+2 e7+6 f5+14(g2+su(2)),LST_missing,,T079/Ext2,52,2 e7 + 5 e8 + 8 f4 + 14 su2+g2
78,6 e8 + 5 f4 + 4 so8 + 12 su2+g2,6 e8+5 f5+4 so(8)+12(g2+su(2)),LST_missing,,T079/Ext2,53,(none)
79,11 e7 + 2 f4 + 4 su2+g2 + 10 su2+so7+su2,11 e7+2 f5+4(g2+su(2))+10(so(7)+2 su(2)),LST_missing,,T080/Ext2,44,11 e7 + e7p + e8 + 2 f4 + 4 su2+g2 + 10 su2+so7+su2; 12 e7 + e8 + 2 f4 + 4 su2+g2 + 10 su2+so7+su2
