"TH+1"	"index"	"LST gauge algebra"	"full gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"
56	3	"4 e8+4 f4+9(g2+su(2))"	"5 e8+4 f4+10(g2+su(2))"	65	86	1	1	0	0	0	0	0	1
56	3	"4 e8+4 f4+9(g2+su(2))"	"5 e8+4 f4+su(3)+9(g2+su(2))"	65	87	0	1	0	0	0	0	0	1
56	5	"4 e8+4 f4+su(3)+9(g2+su(2))"	"5 e8+4 f4+10(g2+su(2))"	63	86	1	0	0	0	0	0	0	1
56	20	"4 e8+e6+4 f4+2 su(3)+8(g2+su(2))"	"4 e8+e6+4 f4+su(3)+9(g2+su(2))"	61	257	1	0	0	0	0	0	0	0
56	20	"4 e8+e6+4 f4+2 su(3)+8(g2+su(2))"	"4 e8+e6+4 f4+su(3)+9(g2+su(2))"	62	257	1	0	0	0	0	0	0	0
56	25	"4 e8+5 f4+so(8)+su(3)+8(g2+su(2))"	"4 e8+5 f4+so(8)+9(g2+su(2))"	62	263	1	0	0	0	0	0	0	0
56	33	"4 e8+e6+4 f4+2 su(3)+8(g2+su(2))"	"4 e8+e6+4 f4+su(3)+9(g2+su(2))"	62	257	1	0	0	0	0	0	0	0
56	34	"4 e8+e6+4 f4+su(3)+9(g2+su(2))"	"4 e8+e6+4 f4+10(g2+su(2))"	61	256	1	0	0	0	0	0	0	0
56	34	"4 e8+e6+4 f4+su(3)+9(g2+su(2))"	"4 e8+e6+4 f4+10(g2+su(2))"	62	256	1	0	0	0	0	0	0	0
56	35	"4 e8+e6+4 f4+su(3)+9(g2+su(2))"	"4 e8+e6+4 f4+10(g2+su(2))"	61	256	1	0	0	0	0	0	0	0
56	35	"4 e8+e6+4 f4+su(3)+9(g2+su(2))"	"4 e8+e6+4 f4+10(g2+su(2))"	62	256	1	0	0	0	0	0	0	0
56	36	"4 e8+5 f4+so(8)+2 su(3)+8(g2+su(2))"	"4 e8+5 f4+so(8)+su(3)+9(g2+su(2))"	61	255	1	0	0	0	0	0	0	0
56	44	"4 e8+5 f4+so(8)+2 su(3)+8(g2+su(2))"	"4 e8+5 f4+so(8)+su(3)+9(g2+su(2))"	61	255	1	0	0	0	0	0	0	0
56	44	"4 e8+5 f4+so(8)+2 su(3)+8(g2+su(2))"	"4 e8+5 f4+so(8)+su(3)+9(g2+su(2))"	62	255	1	0	0	0	0	0	0	0
56	46	"4 e8+5 f4+so(8)+su(3)+9(g2+su(2))"	"4 e8+5 f4+so(8)+su(3)+8(g2+su(2))+so(7)+2 su(2)"	61	253	1	0	0	0	0	0	0	0
