"TH"	"index"	"LST gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"count"
42	3	"3 e8+3 f5+6(g2+su(2))"	42	227	0	1	1	0	0	0	0	0	2
42	3	"3 e8+3 f5+6(g2+su(2))"	42	255	0	1	0	0	0	0	0	0	4
42	3	"3 e8+3 f5+6(g2+su(2))"	43	203	0	1	0	1	0	0	0	0	2
42	3	"3 e8+3 f5+6(g2+su(2))"	44	177	0	1	0	0	1	0	0	0	2
42	3	"3 e8+3 f5+6(g2+su(2))"	45	150	0	1	0	0	0	1	0	0	2
42	3	"3 e8+3 f5+6(g2+su(2))"	46	122	0	1	0	0	0	0	1	0	2
42	4	"3 e8+3 f5+su(3)+6(g2+su(2))"	42	204	0	0	0	1	0	0	0	0	2
42	4	"3 e8+3 f5+su(3)+6(g2+su(2))"	42	220	0	1	1	0	0	0	0	0	2
42	4	"3 e8+3 f5+su(3)+6(g2+su(2))"	42	228	0	0	1	0	0	0	0	0	2
42	4	"3 e8+3 f5+su(3)+6(g2+su(2))"	42	247	1	1	0	0	0	0	0	0	2
42	4	"3 e8+3 f5+su(3)+6(g2+su(2))"	42	248	0	1	0	0	0	0	0	0	3
42	4	"3 e8+3 f5+su(3)+6(g2+su(2))"	42	255	1	0	0	0	0	0	0	0	2
42	4	"3 e8+3 f5+su(3)+6(g2+su(2))"	43	196	0	1	0	1	0	0	0	0	2
42	4	"3 e8+3 f5+su(3)+6(g2+su(2))"	44	176	0	0	1	1	0	0	0	0	2
42	4	"3 e8+3 f5+su(3)+6(g2+su(2))"	47	255	1	0	0	0	0	0	0	0	4
42	4	"3 e8+3 f5+su(3)+6(g2+su(2))"	50	169	1	1	0	0	1	0	0	0	3
42	4	"3 e8+3 f5+su(3)+6(g2+su(2))"	50	170	0	1	0	0	1	0	0	0	2
42	5	"3 e8+4 f5+6(g2+su(2))"	42	204	0	1	0	0	0	0	0	0	4
42	5	"3 e8+4 f5+6(g2+su(2))"	43	196	0	2	0	0	0	0	0	0	4
42	5	"3 e8+4 f5+6(g2+su(2))"	44	203	1	1	0	0	0	0	0	0	8
42	5	"3 e8+4 f5+6(g2+su(2))"	44	204	0	1	0	0	0	0	0	0	4
