"TH+1"	"index"	"LST gauge algebra"	"full gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"
15	1	"2 f5+su(3)+2(g2+su(2))"	"e7+2 f5+2 su(3)+3(g2+su(2))"	23	155	1	2	0	0	0	0	1	0
15	1	"2 f5+su(3)+2(g2+su(2))"	"e7+2 f5+3(g2+su(2))"	19	171	1	0	0	0	0	0	1	0
15	1	"2 f5+su(3)+2(g2+su(2))"	"e7'+2 f5+su(3)+3(g2+su(2))"	18	191	1	1	0	0	0	1	0	0
15	1	"2 f5+su(3)+2(g2+su(2))"	"e7+2 f5+su(3)+3(g2+su(2))"	19	163	1	1	0	0	0	0	1	0
15	1	"2 f5+su(3)+2(g2+su(2))"	"e7+2 f5+su(3)+3(g2+su(2))"	20	163	1	1	0	0	0	0	1	0
15	1	"2 f5+su(3)+2(g2+su(2))"	"e8+2 f5+2 su(3)+2(g2+su(2))"	24	49	0	1	0	0	0	0	0	1
15	1	"2 f5+su(3)+2(g2+su(2))"	"e8+2 f5+2 su(3)+3(g2+su(2))"	24	40	1	2	0	0	0	0	0	1
15	1	"2 f5+su(3)+2(g2+su(2))"	"e8+2 f5+3(g2+su(2))"	23	56	1	0	0	0	0	0	0	1
15	1	"2 f5+su(3)+2(g2+su(2))"	"e8+2 f5+3 su(3)+2(g2+su(2))"	24	41	0	2	0	0	0	0	0	1
15	1	"2 f5+su(3)+2(g2+su(2))"	"e8+2 f5+su(3)+2(g2+su(2))+so(7)+2 su(2)"	24	46	2	1	0	0	0	0	0	1
15	1	"2 f5+su(3)+2(g2+su(2))"	"e8+2 f5+su(3)+3(g2+su(2))"	23	48	1	1	0	0	0	0	0	1
15	1	"2 f5+su(3)+2(g2+su(2))"	"e8+2 f5+su(3)+3(g2+su(2))"	24	48	1	1	0	0	0	0	0	1
15	2	"e7+f5+3(g2+su(2))"	"2 e7+f5+2(g2+su(2))+so(7)+2 su(2)"	22	88	1	0	0	0	0	0	1	0
15	2	"e7+f5+3(g2+su(2))"	"2 e7+f5+2(g2+su(2))+so(7)+2 su(2)"	23	88	1	0	0	0	0	0	1	0
15	2	"e7+f5+3(g2+su(2))"	"2 e7+f5+4(g2+su(2))"	23	81	1	1	0	0	0	0	1	0
15	2	"e7+f5+3(g2+su(2))"	"2 e7+f5+4(g2+su(2))"	24	81	1	1	0	0	0	0	1	0
15	2	"e7+f5+3(g2+su(2))"	"2 e7+f5+su(3)+2(g2+su(2))+so(7)+2 su(2)"	23	80	1	1	0	0	0	0	1	0
15	2	"e7+f5+3(g2+su(2))"	"2 e7+f5+su(3)+3(g2+su(2))"	24	82	0	1	0	0	0	0	1	0
15	2	"e7+f5+3(g2+su(2))"	"e7+2 f5+2(g2+su(2))+so(7)+2 su(2)"	20	169	1	0	0	1	0	0	0	0
15	2	"e7+f5+3(g2+su(2))"	"e7+2 f5+4(g2+su(2))"	21	162	1	1	0	1	0	0	0	0
15	2	"e7+f5+3(g2+su(2))"	"e7+2 f5+4(g2+su(2))"	25	162	1	1	0	1	0	0	0	0
15	2	"e7+f5+3(g2+su(2))"	"e7+2 f5+su(3)+2(g2+su(2))+so(7)+2 su(2)"	21	161	1	1	0	1	0	0	0	0
15	2	"e7+f5+3(g2+su(2))"	"e7+2 f5+su(3)+4(g2+su(2))"	33	154	1	2	0	1	0	0	0	0
15	2	"e7+f5+3(g2+su(2))"	"e7+e6+f5+2(g2+su(2))+so(7)+2 su(2)"	20	143	1	0	0	0	1	0	0	0
15	2	"e7+f5+3(g2+su(2))"	"e7+e6+f5+2(g2+su(2))+so(7)+2 su(2)"	22	143	1	0	0	0	1	0	0	0
15	2	"e7+f5+3(g2+su(2))"	"e7+e6+f5+2(g2+su(2))+so(7)+2 su(2)"	26	143	1	0	0	0	1	0	0	0
15	2	"e7+f5+3(g2+su(2))"	"e7+e6+f5+2(g2+su(2))+so(7)+2 su(2)"	27	143	1	0	0	0	1	0	0	0
15	2	"e7+f5+3(g2+su(2))"	"e7+e6+f5+4(g2+su(2))"	21	136	1	1	0	0	1	0	0	0
15	2	"e7+f5+3(g2+su(2))"	"e7+e6+f5+4(g2+su(2))"	24	136	1	1	0	0	1	0	0	0
15	2	"e7+f5+3(g2+su(2))"	"e7+e6+f5+4(g2+su(2))"	39	136	1	1	0	0	1	0	0	0
15	2	"e7+f5+3(g2+su(2))"	"e7+e6+f5+4(g2+su(2))"	41	136	1	1	0	0	1	0	0	0
15	2	"e7+f5+3(g2+su(2))"	"e7+e6+f5+su(3)+2(g2+su(2))+so(7)+2 su(2)"	21	135	1	1	0	0	1	0	0	0
15	2	"e7+f5+3(g2+su(2))"	"e7+e6+f5+su(3)+2(g2+su(2))+so(7)+2 su(2)"	23	135	1	1	0	0	1	0	0	0
15	2	"e7+f5+3(g2+su(2))"	"e7+e6+f5+su(3)+2(g2+su(2))+so(7)+2 su(2)"	27	135	1	1	0	0	1	0	0	0
15	2	"e7+f5+3(g2+su(2))"	"e7+e6+f5+su(3)+2(g2+su(2))+so(7)+2 su(2)"	28	135	1	1	0	0	1	0	0	0
15	2	"e7+f5+3(g2+su(2))"	"e7+e6+f5+su(3)+3(g2+su(2))"	35	137	0	1	0	0	1	0	0	0
15	2	"e7+f5+3(g2+su(2))"	"e7+e6+f5+su(3)+3(g2+su(2))"	38	137	0	1	0	0	1	0	0	0
15	2	"e7+f5+3(g2+su(2))"	"e7+e7'+f5+2(g2+su(2))+so(7)+2 su(2)"	21	116	1	0	0	0	0	1	0	0
15	2	"e7+f5+3(g2+su(2))"	"e7+e7'+f5+2(g2+su(2))+so(7)+2 su(2)"	23	116	1	0	0	0	0	1	0	0
15	2	"e7+f5+3(g2+su(2))"	"e7+e7'+f5+4(g2+su(2))"	22	109	1	1	0	0	0	1	0	0
15	2	"e7+f5+3(g2+su(2))"	"e7+e7'+f5+4(g2+su(2))"	24	109	1	1	0	0	0	1	0	0
15	2	"e7+f5+3(g2+su(2))"	"e7+e7'+f5+su(3)+2(g2+su(2))+so(7)+2 su(2)"	22	108	1	1	0	0	0	1	0	0
15	2	"e7+f5+3(g2+su(2))"	"e7+e7'+f5+su(3)+2(g2+su(2))+so(7)+2 su(2)"	23	108	1	1	0	0	0	1	0	0
15	2	"e7+f5+3(g2+su(2))"	"e7+e7'+f5+su(3)+3(g2+su(2))"	24	110	0	1	0	0	0	1	0	0
15	2	"e7+f5+3(g2+su(2))"	"e7+f5+2(g2+su(2))+so(7)+2 su(2)"	20	221	1	0	0	0	0	0	0	0
15	2	"e7+f5+3(g2+su(2))"	"e7+f5+2(g2+su(2))+so(7)+2 su(2)"	21	221	1	0	0	0	0	0	0	0
15	2	"e7+f5+3(g2+su(2))"	"e7+f5+2(g2+su(2))+so(7)+2 su(2)"	22	221	1	0	0	0	0	0	0	0
15	2	"e7+f5+3(g2+su(2))"	"e7+f5+2(g2+su(2))+so(7)+2 su(2)"	23	221	1	0	0	0	0	0	0	0
15	3	"e7+f5+su(3)+g2+su(2)+so(7)+2 su(2)"	"2 e7+f5+2(g2+su(2))+so(7)+2 su(2)"	22	88	1	0	0	0	0	0	1	0
15	3	"e7+f5+su(3)+g2+su(2)+so(7)+2 su(2)"	"2 e7+f5+2(g2+su(2))+so(7)+2 su(2)"	23	88	1	0	0	0	0	0	1	0
15	3	"e7+f5+su(3)+g2+su(2)+so(7)+2 su(2)"	"2 e7+f5+2 su(3)+g2+su(2)+so(7)+2 su(2)"	24	81	0	1	0	0	0	0	1	0
15	3	"e7+f5+su(3)+g2+su(2)+so(7)+2 su(2)"	"2 e7+f5+3(g2+su(2))+so(7)+2 su(2)"	23	79	2	1	0	0	0	0	1	0
15	3	"e7+f5+su(3)+g2+su(2)+so(7)+2 su(2)"	"2 e7+f5+3(g2+su(2))+so(7)+2 su(2)"	25	79	2	1	0	0	0	0	1	0
15	3	"e7+f5+su(3)+g2+su(2)+so(7)+2 su(2)"	"2 e7+f5+su(3)+2(g2+su(2))+so(7)+2 su(2)"	22	80	1	1	0	0	0	0	1	0
15	3	"e7+f5+su(3)+g2+su(2)+so(7)+2 su(2)"	"2 e7+f5+su(3)+2(g2+su(2))+so(7)+2 su(2)"	23	80	1	1	0	0	0	0	1	0
15	3	"e7+f5+su(3)+g2+su(2)+so(7)+2 su(2)"	"2 e7+f5+su(3)+2(g2+su(2))+so(7)+2 su(2)"	24	80	1	1	0	0	0	0	1	0
15	3	"e7+f5+su(3)+g2+su(2)+so(7)+2 su(2)"	"2 e7+f5+su(3)+2(g2+su(2))+so(7)+2 su(2)"	25	80	1	1	0	0	0	0	1	0
15	3	"e7+f5+su(3)+g2+su(2)+so(7)+2 su(2)"	"e7+2 f5+2(g2+su(2))+so(7)+2 su(2)"	19	169	1	0	0	1	0	0	0	0
15	3	"e7+f5+su(3)+g2+su(2)+so(7)+2 su(2)"	"e7+2 f5+2(g2+su(2))+so(7)+2 su(2)"	20	169	1	0	0	1	0	0	0	0
15	3	"e7+f5+su(3)+g2+su(2)+so(7)+2 su(2)"	"e7+2 f5+2(g2+su(2))+so(7)+2 su(2)"	21	169	1	0	0	1	0	0	0	0
15	3	"e7+f5+su(3)+g2+su(2)+so(7)+2 su(2)"	"e7+2 f5+2 su(3)+2(g2+su(2))+so(7)+2 su(2)"	24	153	1	2	0	1	0	0	0	0
15	3	"e7+f5+su(3)+g2+su(2)+so(7)+2 su(2)"	"e7+2 f5+2 su(3)+2(g2+su(2))+so(7)+2 su(2)"	26	153	1	2	0	1	0	0	0	0
15	3	"e7+f5+su(3)+g2+su(2)+so(7)+2 su(2)"	"e7+2 f5+2 su(3)+2(g2+su(2))+so(7)+2 su(2)"	30	153	1	2	0	1	0	0	0	0
15	3	"e7+f5+su(3)+g2+su(2)+so(7)+2 su(2)"	"e7+2 f5+3(g2+su(2))+so(7)+2 su(2)"	21	160	2	1	0	1	0	0	0	0
15	3	"e7+f5+su(3)+g2+su(2)+so(7)+2 su(2)"	"e7+2 f5+3(g2+su(2))+so(7)+2 su(2)"	29	160	2	1	0	1	0	0	0	0
15	3	"e7+f5+su(3)+g2+su(2)+so(7)+2 su(2)"	"e7+2 f5+so(8)+2(g2+su(2))+so(7)+2 su(2)"	21	141	1	0	1	1	0	0	0	0
15	3	"e7+f5+su(3)+g2+su(2)+so(7)+2 su(2)"	"e7+2 f5+so(8)+2(g2+su(2))+so(7)+2 su(2)"	23	141	1	0	1	1	0	0	0	0
15	3	"e7+f5+su(3)+g2+su(2)+so(7)+2 su(2)"	"e7+2 f5+so(8)+2(g2+su(2))+so(7)+2 su(2)"	25	141	1	0	1	1	0	0	0	0
15	3	"e7+f5+su(3)+g2+su(2)+so(7)+2 su(2)"	"e7+2 f5+su(3)+2(g2+su(2))+so(7)+2 su(2)"	20	161	1	1	0	1	0	0	0	0
15	3	"e7+f5+su(3)+g2+su(2)+so(7)+2 su(2)"	"e7+2 f5+su(3)+2(g2+su(2))+so(7)+2 su(2)"	21	161	1	1	0	1	0	0	0	0
15	3	"e7+f5+su(3)+g2+su(2)+so(7)+2 su(2)"	"e7+2 f5+su(3)+2(g2+su(2))+so(7)+2 su(2)"	22	161	1	1	0	1	0	0	0	0
15	3	"e7+f5+su(3)+g2+su(2)+so(7)+2 su(2)"	"e7+2 f5+su(3)+2(g2+su(2))+so(7)+2 su(2)"	24	161	1	1	0	1	0	0	0	0
15	3	"e7+f5+su(3)+g2+su(2)+so(7)+2 su(2)"	"e7+e6+f5+2(g2+su(2))+so(7)+2 su(2)"	20	143	1	0	0	0	1	0	0	0
15	3	"e7+f5+su(3)+g2+su(2)+so(7)+2 su(2)"	"e7+e6+f5+2(g2+su(2))+so(7)+2 su(2)"	21	143	1	0	0	0	1	0	0	0
15	3	"e7+f5+su(3)+g2+su(2)+so(7)+2 su(2)"	"e7+e6+f5+2(g2+su(2))+so(7)+2 su(2)"	25	143	1	0	0	0	1	0	0	0
15	3	"e7+f5+su(3)+g2+su(2)+so(7)+2 su(2)"	"e7+e6+f5+2(g2+su(2))+so(7)+2 su(2)"	27	143	1	0	0	0	1	0	0	0
15	3	"e7+f5+su(3)+g2+su(2)+so(7)+2 su(2)"	"e7+e6+f5+2 su(3)+2(g2+su(2))+so(7)+2 su(2)"	23	127	1	2	0	0	1	0	0	0
15	3	"e7+f5+su(3)+g2+su(2)+so(7)+2 su(2)"	"e7+e6+f5+2 su(3)+2(g2+su(2))+so(7)+2 su(2)"	35	127	1	2	0	0	1	0	0	0
15	3	"e7+f5+su(3)+g2+su(2)+so(7)+2 su(2)"	"e7+e6+f5+2 su(3)+2(g2+su(2))+so(7)+2 su(2)"	36	127	1	2	0	0	1	0	0	0
15	3	"e7+f5+su(3)+g2+su(2)+so(7)+2 su(2)"	"e7+e6+f5+2 su(3)+g2+su(2)+so(7)+2 su(2)"	32	136	0	1	0	0	1	0	0	0
15	3	"e7+f5+su(3)+g2+su(2)+so(7)+2 su(2)"	"e7+e6+f5+2 su(3)+g2+su(2)+so(7)+2 su(2)"	33	136	0	1	0	0	1	0	0	0
15	3	"e7+f5+su(3)+g2+su(2)+so(7)+2 su(2)"	"e7+e6+f5+2 su(3)+g2+su(2)+so(7)+2 su(2)"	34	136	0	1	0	0	1	0	0	0
15	3	"e7+f5+su(3)+g2+su(2)+so(7)+2 su(2)"	"e7+e6+f5+2 su(3)+g2+su(2)+so(7)+2 su(2)"	36	136	0	1	0	0	1	0	0	0
15	3	"e7+f5+su(3)+g2+su(2)+so(7)+2 su(2)"	"e7+e6+f5+3(g2+su(2))+so(7)+2 su(2)"	21	134	2	1	0	0	1	0	0	0
15	3	"e7+f5+su(3)+g2+su(2)+so(7)+2 su(2)"	"e7+e6+f5+3(g2+su(2))+so(7)+2 su(2)"	22	134	2	1	0	0	1	0	0	0
15	3	"e7+f5+su(3)+g2+su(2)+so(7)+2 su(2)"	"e7+e6+f5+3 su(3)+g2+su(2)+so(7)+2 su(2)"	33	128	0	2	0	0	1	0	0	0
15	3	"e7+f5+su(3)+g2+su(2)+so(7)+2 su(2)"	"e7+e6+f5+3 su(3)+g2+su(2)+so(7)+2 su(2)"	35	128	0	2	0	0	1	0	0	0
15	3	"e7+f5+su(3)+g2+su(2)+so(7)+2 su(2)"	"e7+e6+f5+su(3)+2(g2+su(2))+so(7)+2 su(2)"	21	135	1	1	0	0	1	0	0	0
15	3	"e7+f5+su(3)+g2+su(2)+so(7)+2 su(2)"	"e7+e6+f5+su(3)+2(g2+su(2))+so(7)+2 su(2)"	22	135	1	1	0	0	1	0	0	0
15	3	"e7+f5+su(3)+g2+su(2)+so(7)+2 su(2)"	"e7+e6+f5+su(3)+2(g2+su(2))+so(7)+2 su(2)"	24	135	1	1	0	0	1	0	0	0
15	3	"e7+f5+su(3)+g2+su(2)+so(7)+2 su(2)"	"e7+e6+f5+su(3)+2(g2+su(2))+so(7)+2 su(2)"	25	135	1	1	0	0	1	0	0	0
