LSTGauge,n_bases
e6+e7+e7+e7+e7+e7+f4+g2+g2+so7+so7+so7+so7+so7+sp1+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,94
e7+e7+e7+e7+e7+e7+f4+g2+g2+g2+so7+so7+so7+so7+so7+so8+sp1+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,94
e6+e7+f4+f4+g2+g2+su2+su2+su3,93
e7+e7+e7+f4+f4+g2+g2+so7+so7+so7+sp1+su2+su2+su2+su2+su2+su2+su2,93
e7+e7+e7+e7+f4+g2+g2+so7+so7+so7+su2+su2+su2+su2+su2+su2+su2+su2+su3,93
e6+e6+e6+e6+e6+e8+f4+g2+sp1+su3+su3+su3+su3+su3+su3,93
e7+e8+e8+e8+e8+f4+f4+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1+su2+su3,93
e8+e8+f4+g2+g2+g2+g2+sp1+sp1+sp1+su2,92
e6+e6+e6+e6+e6+e8+f4+g2+sp1+su3+su3+su3+su3+su3,92
e8+e8+f4+f4+f4+g2+g2+g2+g2+so8+sp1+sp1+sp1+sp1+su3+su3,92
e7+e7+e7+e7+f4+g2+g2+so7+so7+so7+so8+su2+su2+su2+su2+su2+su2+su2+su2,92
e6+e8+e8+f4+f4+g2+g2+g2+g2+so8+sp1+sp1+sp1+sp1+su3+su3+su3,92
e8+e8+e8+f4+f4+g2+g2+g2+g2+sp1+sp1+sp1+sp1,92
e6+e8+e8+e8+f4+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+sp1+sp1+su2,92
e6+e6+f4+g2+g2+sp1+su2,91
e6+e6+e7+f4+so7+so7+su2+su2+su2+su2+su3,91
e6+e6+e7+e8+f4+f4+g2+g2+g2+sp1+sp1+su2+su3+su3,91
e7+e8+f4+f4+f4+g2+g2+g2+g2+g2+sp1+sp1+sp1+su2+su2,91
e6+e7+e7+e8+f4+f4+g2+g2+g2+so7+sp1+sp1+su2+su2+su2+su3,91
e8+e8+f4+f4+g2+g2+g2+g2+so8+so8+so8+sp1+sp1+sp1+sp1+su3,91
e6+e7+e8+e8+f4+f4+f4+g2+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+su2+su2+su3,91
e7+e7+e7+e7+e7+f4+g2+g2+g2+so7+so7+so7+so7+sp1+sp1+su2+su2+su2+su2+su2+su2+su2+su2+su2,91
e7+f4+f4+g2+so7+sp1+su2+su2,90
e7+e7+g2+so7+so7+so8+su2+su2+su2+su2+su2+su3,90
e8+g2+so8+so8+so8+so8+so8+so8+sp1,90
e8+f4+f4+f4+f4+g2+g2+g2+sp1+sp1+su2+su3,90
e6+e6+e6+e6+e6+f4+f4+g2+sp1+su3+su3+su3+su3+su3+su3,90
e6+e8+e8+f4+f4+g2+g2+g2+g2+sp1+sp1+sp1+sp1+su3+su3+su3,90
e6+e7+e8+e8+f4+f4+f4+g2+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+su2+su2,90
e6+e8+e8+e8+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+sp1+sp1+su2,90
e6+e8+e8+e8+f4+f4+f4+g2+g2+g2+g2+g2+g2+so8+sp1+sp1+sp1+sp1+sp1+sp1+su3,90
e7+e8+e8+e8+f4+f4+f4+g2+g2+g2+g2+g2+g2+so7+sp1+sp1+sp1+sp1+sp1+su2+su2+su2,90
e7+e8+e8+e8+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+so8+so8+sp1+sp1+sp1+sp1+sp1+sp1+su2,90
e6+f4+f4+so7+su2+su2+su3,89
e6+e7+f4+f4+g2+sp1+su3+su3,89
e6+e7+f4+f4+g2+so7+su2+su2+su2+su3,89
e8+g2+so8+so8+so8+sp1+su3,89
e6+e6+e6+e6+e6+so7+su2+su2+su3+su3+su3+su3+su3+su3,89
e7+e8+f4+f4+f4+g2+g2+g2+g2+so7+sp1+sp1+su2+su2+su2+su2,89
e6+e6+e8+e8+f4+f4+f4+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+su2+su3,88
e7+e7+e7+e7+e7+e7+f4+f4+g2+g2+g2+so7+so7+so7+so7+so7+sp1+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,88
e6+e7+e7+e7+e7+e7+e7+f4+g2+g2+so7+so7+so7+so7+so7+so7+sp1+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,88
e6+f4+g2+so7+su2+su2+su2,87
e7+g2+so8+so8+so8+so8+sp1,87
e6+e6+e6+e7+f4+so7+su2+su2+su3+su3+su3,87
e8+f4+f4+g2+g2+g2+so8+sp1+sp1+sp1+su3,87
e6+e7+e7+e7+e7+g2+so7+so7+so7+so7+sp1+su2+su2+su2+su2+su2+su2+su2+su2,87
e7+e7+e7+e8+e8+f4+f4+f4+g2+g2+g2+g2+g2+g2+so7+sp1+sp1+sp1+sp1+su2+su2+su2+su2,87
e8+e8+e8+e8+e8+f4+f4+f4+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1,87
e6+e6+e6+e6+e6+e6+so7+su2+su2+su3+su3+su3+su3+su3+su3,86
e8+e8+f4+f4+f4+g2+g2+g2+g2+g2+so8+sp1+sp1+sp1+sp1+su2+su3,86
e6+e8+f4+g2+g2+g2+g2+sp1+sp1+sp1+su2,85
e6+e6+e6+e7+f4+g2+sp1+su3+su3+su3,85
e6+e7+e7+e7+e7+g2+so7+so7+so7+so7+su2+su2+su2+su2+su2+su2+su2+su2+su2+su3,85
e6+e7+e7+e7+e7+e7+so7+so7+so7+so7+so7+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,85
e6+e6+e6+e6+e6+e6+f4+g2+sp1+su3+su3+su3+su3+su3+su3,85
e7+e8+e8+f4+f4+g2+g2+g2+g2+g2+g2+so7+sp1+sp1+sp1+sp1+su2+su2+su2+su2,85
e7+e8+e8+e8+f4+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+so7+sp1+sp1+sp1+sp1+sp1+sp1+su2+su2+su2+su3,85
e6+e8+e8+e8+f4+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+sp1+sp1+sp1+su3+su3,85
e6+e6+e6+e6+e6+e7+so7+su2+su2+su3+su3+su3+su3,84
e8+e8+e8+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+so8+so8+sp1+sp1+sp1+sp1+sp1+sp1+su2,84
e7+e8+e8+e8+f4+f4+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+sp1+sp1+su2+su3,84
e7+e7+e8+e8+e8+f4+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+so7+sp1+sp1+sp1+sp1+sp1+sp1+su2+su2+su2,84
e6+e8+e8+e8+e8+f4+f4+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1+su2,84
e6+e7+e8+e8+f4+f4+f4+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+sp1+su3+su3,83
e7+e8+e8+f4+f4+f4+f4+g2+g2+g2+g2+g2+so7+sp1+sp1+sp1+sp1+su2+su2+su2+su3,83
e7+e8+e8+e8+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+sp1+su2+su2,83
e6+e6+e8+e8+e8+f4+f4+f4+f4+g2+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+sp1+sp1+su3+su3+su3,83
e8+e8+e8+e8+f4+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+g2+so8+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1,83
e8+f4+f4+g2+g2+sp1+su2,82
e6+e8+f4+f4+f4+g2+g2+g2+sp1+sp1+sp1+su3,82
e6+e6+e6+e6+f4+so7+su2+su2+su3+su3+su3+su3+su3,82
e7+e7+e7+e7+e7+f4+g2+g2+so7+so7+so7+so7+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,82
e7+e7+e7+e7+e7+f4+g2+g2+so7+so7+so7+so7+so7+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,82
e7+e8+e8+e8+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+sp1+sp1+sp1+su3,82
e7+e7+e7+e7+e7+e7+e7+f4+g2+g2+g2+so7+so7+so7+so7+so7+so7+sp1+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,82
e6+e6+e6+e6+e6+e6+su3+su3+su3+su3+su3+su3+su3,81
e6+e6+e6+e6+e6+e6+e6+f4+g2+sp1+su3+su3+su3+su3+su3+su3+su3+su3,81
e7+e7+e7+e7+e7+e7+f4+g2+g2+g2+so7+so7+so7+so7+so7+sp1+sp1+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,81
e7+e8+e8+e8+e8+f4+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+g2+g2+so8+so8+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1+su2,81
e7+e8+e8+e8+e8+e8+f4+f4+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1+su2,81
e6+e6+e6+e6+f4+so8+su3+su3+su3+su3+su3,80
e6+e8+e8+f4+f4+g2+g2+g2+sp1+sp1+sp1+su3+su3,80
e8+e8+e8+e8+f4+f4+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1+su3,80
e6+e6+e6+e6+e6+e6+f4+f4+g2+sp1+su3+su3+su3+su3+su3+su3+su3,79
e6+e6+e6+e6+e6+e6+e6+f4+g2+sp1+su3+su3+su3+su3+su3+su3+su3,79
e7+e8+e8+e8+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+so7+so8+sp1+sp1+sp1+sp1+sp1+sp1+su2+su2+su2,79
e8+e8+e8+e8+e8+e8+f4+f4+f4+f4+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+g2+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1,79
e7+e7+e7+e7+g2+g2+so7+so7+so7+su2+su2+su2+su2+su2+su2+su2+su2+su3,78
e6+e7+e8+e8+f4+f4+g2+g2+g2+g2+g2+so7+so8+sp1+sp1+sp1+sp1+su2+su2+su2,78
e7+e8+e8+e8+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+g2+so8+sp1+sp1+sp1+sp1+sp1+sp1+su2+su2,78
e6+e6+e6+e7+f4+g2+sp1+su3+su3+su3+su3,77
e6+e7+e7+e7+f4+g2+g2+so7+so7+su2+su2+su2+su2+su2+su2+su3,77
e6+e8+e8+f4+f4+g2+g2+g2+g2+sp1+sp1+sp1+su2,77
e7+e7+e8+e8+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+sp1+su2+su2,77
e6+e8+e8+e8+f4+f4+f4+g2+g2+g2+g2+g2+g2+so8+sp1+sp1+sp1+sp1+sp1+sp1+su3+su3,77
e7+e8+e8+e8+f4+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+g2+so7+sp1+sp1+sp1+sp1+sp1+sp1+su2+su2+su2+su2,77
e7+e8+e8+e8+e8+f4+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+sp1+sp1+sp1+su2+su2,77
e7+f4+f4+g2+su2+su3+su3,76
e6+e7+f4+g2+so8+su2+su3+su3,76
e7+g2+so8+so8+so8+so8+so8+su2,76
e7+e7+f4+g2+g2+g2+sp1+sp1+su2,76
e6+e7+e8+f4+g2+g2+so7+sp1+su2+su2+su2,76
e6+e7+e7+e7+f4+g2+g2+so7+so7+so7+su2+su2+su2+su2+su2+su2+su2+su2+su3,76
e7+e7+e7+e7+e7+f4+g2+g2+so7+so7+so7+so7+sp1+su2+su2+su2+su2+su2+su2+su2+su2+su2,76
e6+e8+e8+e8+e8+f4+f4+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1+su3+su3,76
e7+g2+g2+so8+so8+sp1+su2,75
e7+e8+f4+f4+g2+g2+g2+so7+so8+sp1+sp1+su2+su2+su2+su3,75
e6+e7+e7+e8+f4+g2+g2+so7+so7+sp1+su2+su2+su2+su2+su2,75
e7+e8+e8+e8+f4+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1,75
e7+e8+e8+e8+e8+f4+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1+su2+su3,75
g2+so7+so8+so8+so8+su2+su2+su2,74
e7+e7+f4+g2+g2+g2+so8+su2+su2+su2,74
e6+e7+e8+e8+e8+f4+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+sp1+sp1+sp1+su3,74
e7+e7+f4+f4+g2+g2+g2+g2+so7+su2+su2+su2+su2+su2+su2,73
e6+e7+e8+e8+e8+f4+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+sp1+sp1+su2+su2+su3,73
e7+e7+e8+e8+e8+f4+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+sp1+sp1+sp1+su2+su2,73
e6+e7+f4+so7+su2+su2+su3+su3,72
e7+e7+f4+g2+so7+sp1+su2+su2+su3,72
e6+e6+e6+e6+e6+g2+su2+su3+su3+su3+su3+su3,72
e7+e8+e8+e8+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+so7+sp1+sp1+sp1+sp1+sp1+sp1+su2+su2+su2,72
e8+e8+e8+e8+f4+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+g2+so8+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1+su3,72
e7+e8+e8+e8+e8+f4+f4+f4+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1+su2+su3,72
e6+e8+f4+f4+f4+g2+g2+g2+g2+sp1+sp1+su2+su2,71
e6+e7+e7+e7+f4+g2+g2+so7+so7+su2+su2+su2+su2+su2+su2,71
e6+e8+f4+f4+f4+g2+g2+g2+sp1+sp1+sp1+su3+su3,71
e6+e7+e7+e7+e7+g2+so7+so7+so7+so7+so8+su2+su2+su2+su2+su2+su2+su2+su2+su2,71
e7+e7+e7+e7+e8+f4+g2+g2+so7+so7+so7+so7+sp1+su2+su2+su2+su2+su2+su2+su2+su2+su2,71
e6+e6+e8+e8+f4+f4+f4+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+sp1+su3+su3,71
e8+e8+e8+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+so8+sp1+sp1+sp1+sp1+sp1+sp1+su2+su3,71
e8+e8+e8+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+so8+sp1+sp1+sp1+sp1+sp1+sp1+sp1+su3,71
e6+e7+e8+e8+e8+f4+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+sp1+sp1+sp1+su2,71
e8+e8+e8+e8+f4+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+g2+so8+so8+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1,71
e8+e8+e8+e8+e8+e8+f4+f4+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1,71
g2+so8+so8+so8+so8+so8+so8+so8+so8+so8+sp1,70
e6+e7+e8+f4+f4+g2+g2+g2+g2+sp1+sp1+sp1+sp1,70
e6+e6+e6+e6+e6+e7+so7+su2+su2+su3+su3+su3+su3+su3,70
e8+e8+f4+f4+f4+g2+g2+g2+sp1+sp1+sp1+su3,70
e7+e7+e7+e7+e7+f4+g2+g2+g2+so7+so7+so7+su2+su2+su2+su2+su2+su2+su2+su2+su2,70
e7+e8+e8+f4+f4+f4+f4+g2+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+su2+su2,70
e7+e8+e8+e8+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+so7+so8+so8+sp1+sp1+sp1+sp1+sp1+sp1+su2+su2+su2,70
e7+e7+e8+f4+g2+g2+g2+g2+so7+sp1+sp1+sp1+su2+su2+su2,69
e7+e8+f4+f4+f4+g2+g2+g2+g2+sp1+sp1+sp1+su2,68
e6+e6+e6+e6+f4+g2+su2+su3+su3+su3+su3+su3+su3,68
e7+e8+e8+f4+f4+g2+g2+g2+g2+g2+g2+so8+sp1+sp1+sp1+sp1+su2+su2,68
e7+e7+e7+e7+e7+f4+g2+so7+so7+so7+so7+so7+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2+su3,68
e6+e8+e8+e8+f4+f4+f4+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+sp1+su3+su3,68
e6+e8+e8+e8+e8+f4+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+sp1+sp1+sp1+su3+su3,68
e8+e8+e8+e8+e8+f4+f4+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1,68
e6+e6+e7+f4+g2+g2+su2+su2+su3+su3,67
e8+g2+so8+so8+so8+so8+sp1+su3,67
e6+e6+e6+e6+f4+g2+sp1+su3+su3+su3+su3+su3+su3,67
e6+e7+e7+e7+f4+so7+so7+so7+so7+su2+su2+su2+su2+su2+su2+su2+su2+su3,67
e7+e7+e8+e8+f4+f4+f4+g2+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+sp1+sp1,67
e7+e7+e7+e7+e7+e7+e8+f4+g2+g2+g2+so7+so7+so7+so7+so7+sp1+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,67
e8+e8+e8+e8+f4+f4+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1+su2+su3,67
e6+e8+f4+g2+g2+so7+sp1+sp1+su2+su2+su3,66
e7+e7+e7+f4+f4+g2+g2+g2+so7+su2+su2+su2+su2+su2,66
e7+e7+e7+f4+f4+g2+so7+so7+so7+su2+su2+su2+su2+su2+su2+su2,66
e7+e7+e7+e7+f4+g2+g2+g2+so7+so7+so7+sp1+su2+su2+su2+su2+su2+su2+su2+su2+su3,66
e6+e6+e6+e6+e6+e6+f4+g2+so7+sp1+su2+su2+su3+su3+su3+su3+su3+su3,66
e6+e6+e8+e8+e8+f4+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+sp1+sp1+su2+su3,66
e6+e8+e8+e8+e8+e8+f4+f4+f4+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1+su3+su3,66
e7+e7+e7+e7+f4+g2+g2+g2+so7+so7+so7+su2+su2+su2+su2+su2+su2+su2+su2+su2+su3,65
e8+e8+e8+f4+f4+g2+g2+g2+g2+g2+so8+so8+sp1+sp1+sp1+sp1+sp1,65
e8+e8+e8+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+sp1+sp1+su2+su2,65
e8+e8+e8+e8+f4+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+g2+g2+so8+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1,65
e7+e8+f4+f4+g2+g2+g2+sp1+su2+su2,64
e7+e7+e7+e7+f4+g2+g2+so7+so7+sp1+su2+su2+su2+su2+su2,64
e6+e6+e6+e6+f4+g2+so7+su2+su2+su2+su3+su3+su3+su3,64
e6+e6+e6+e6+e6+f4+g2+sp1+su3+su3+su3+su3+su3+su3+su3,64
e7+e7+e7+e7+f4+f4+g2+so7+so7+so7+so7+su2+su2+su2+su2+su2+su2+su2+su2+su2,64
e7+e7+e7+e7+e7+f4+g2+g2+g2+so7+so7+so7+so7+sp1+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2+su3,64
e6+e7+g2+so7+so8+sp1+su2+su2,63
e7+e7+f4+f4+g2+so7+su2+su2+su2+su3,63
e6+e8+f4+g2+g2+sp1+su2+su3,63
e6+e6+e6+e6+e6+so7+so7+su2+su2+su2+su2+su3+su3+su3+su3,63
e6+e8+e8+f4+f4+f4+f4+g2+g2+g2+g2+sp1+sp1+sp1+sp1+su3+su3+su3,63
e7+e8+e8+f4+f4+g2+g2+g2+g2+g2+g2+so8+so8+sp1+sp1+sp1+sp1+su2+su2,63
e7+e7+e7+e7+e7+e7+e7+so7+so7+so7+so7+so7+so7+so7+so7+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,63
e6+e7+e8+e8+e8+f4+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+sp1+sp1+sp1+su3+su3,63
e6+e8+e8+e8+e8+f4+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1+su3,63
e6+e8+e8+e8+e8+f4+f4+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1+su2+su3,63
e8+g2+g2+so8+sp1+su2,62
e7+e8+f4+g2+g2+g2+so7+sp1+sp1+sp1+su2+su2,62
e8+f4+f4+f4+g2+g2+g2+sp1+sp1+su2+su3+su3,62
e7+e7+e8+f4+f4+g2+g2+g2+so7+sp1+su2+su2+su2+su2,62
e6+e7+e7+e7+e7+e7+so7+so7+so7+so7+so7+so7+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2+su3,62
e7+e8+e8+e8+f4+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+sp1+sp1+su2+su2+su2,62
e7+e8+e8+e8+e8+f4+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1,62
e6+f4+so8+so8+su3+su3,61
e6+e6+f4+g2+g2+su2+su2+su3,61
e6+e8+e8+f4+f4+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+su2+su3+su3,61
e6+e6+e6+e6+e6+e6+f4+g2+sp1+su3+su3+su3+su3+su3+su3+su3+su3,61
e6+e8+e8+e8+f4+f4+f4+g2+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+sp1+su2,61
e8+e8+e8+f4+f4+f4+g2+g2+g2+g2+g2+g2+so8+sp1+sp1+sp1+sp1+sp1+sp1+su3+su3,61
e7+e7+e7+e7+e7+e7+f4+g2+g2+g2+so7+so7+so7+so7+so7+sp1+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2+su3,61
e6+e7+e8+e8+e8+f4+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+sp1+sp1+su2+su2,61
e6+e8+e8+e8+e8+f4+f4+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1+su3,61
so7+so8+so8+so8+su2+su2,60
e6+e6+f4+f4+g2+su2+su3+su3,60
e6+e6+e6+f4+so8+su3+su3+su3+su3,60
g2+g2+so8+so8+so8+so8+so8+so8+so8+so8+sp1+su2,60
e7+e7+e7+f4+f4+g2+g2+g2+so7+so7+su2+su2+su2+su2+su2+su2+su2+su3,60
e8+e8+e8+f4+f4+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+sp1+sp1+su2+su3,60
e7+e8+e8+e8+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+so7+sp1+sp1+sp1+sp1+sp1+sp1+su2+su2+su2+su3,60
e8+e8+e8+e8+e8+f4+f4+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+g2+g2+g2+g2+so8+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1,60
e8+f4+g2+so8+sp1+su3,59
g2+g2+so8+so8+so8+so8+so8+so8+su2+su2,59
e6+e8+f4+f4+g2+g2+g2+so8+sp1+sp1+sp1+su3+su3,59
e7+e7+e7+f4+g2+g2+so7+so7+so8+su2+su2+su2+su2+su2+su2,59
e7+e8+e8+f4+f4+f4+f4+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+sp1+su3,59
e6+e7+e8+e8+f4+f4+g2+g2+g2+g2+g2+so7+sp1+sp1+sp1+sp1+su2+su2+su2,59
e6+e6+e6+e6+e6+e6+e6+f4+g2+g2+sp1+su2+su3+su3+su3+su3+su3+su3+su3,59
e6+e8+e8+e8+f4+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+sp1+sp1+su2+su3+su3,59
e7+e8+e8+e8+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+so8+so8+sp1+sp1+sp1+sp1+sp1+sp1+sp1,59
e8+e8+e8+e8+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+so8+so8+sp1+sp1+sp1+sp1+sp1+sp1+sp1,59
e7+e8+e8+e8+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+g2+so8+so8+sp1+sp1+sp1+sp1+sp1+sp1+su2+su2,59
e6+e7+e8+e8+e8+f4+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+so7+sp1+sp1+sp1+sp1+sp1+sp1+su2+su2+su2+su3,59
e8+e8+e8+e8+e8+f4+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+g2+g2+so8+so8+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1,59
so7+so8+so8+so8+so8+su2+su2+su3,58
e7+e7+f4+f4+g2+g2+so7+sp1+su2+su2+su2,58
e6+e6+f4+f4+g2+g2+su2+su2+su3+su3+su3,58
e6+e8+f4+f4+g2+g2+g2+so8+sp1+sp1+su2+su3+su3,58
e6+e6+e6+e6+e6+so8+su3+su3+su3+su3+su3+su3,58
e6+e6+e6+e6+f4+g2+so8+su2+su3+su3+su3+su3+su3,58
e7+e8+f4+f4+g2+g2+g2+g2+g2+so8+sp1+sp1+su2+su2+su2,58
e7+e7+e7+e7+e7+g2+g2+so7+so7+so7+so7+su2+su2+su2+su2+su2+su2+su2+su2+su2+su2,58
e8+e8+e8+f4+f4+f4+f4+f4+g2+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+sp1+sp1+su3+su3,58
e6+e8+e8+e8+e8+f4+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+sp1+sp1+sp1+su2,58
e8+e8+e8+e8+f4+f4+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+g2+g2+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1+su2,58
e8+e8+e8+e8+f4+f4+f4+f4+g2+g2+g2+g2+g2+g2+g2+g2+g2+so8+so8+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1+sp1,58
