LST_type,T_H,LST_id,n_bases
N7,32,1877,8
N7,32,5989,2
N7,32,6024,1
N7,32,6037,4
N7,33,1868,27
N7,33,1886,2
N7,33,1894,33
N7,33,5613,6
N7,33,5987,5
N7,33,6025,9
N7,33,6038,3
N7,33,6070,12
N7,33,9783,8
N7,34,5988,165
N7,34,6033,14
N7,34,6069,33
N7,35,1871,4
N7,35,1878,3
N7,35,6028,1
N7,35,6039,2
N7,35,6040,2
N7,35,6044,2
N7,35,9784,8
N7,36,1869,8
N7,36,1879,67
N7,36,1887,1
N7,36,5973,3
N7,36,6026,4
N7,36,6036,7
N7,36,6045,1
N7,36,6050,12
N7,36,9747,1
N7,37,1870,81
N7,37,1888,1
N7,37,6027,59
N7,37,6034,10
N7,37,6051,34
N7,38,1847,1
N7,38,5995,1
N7,38,6035,19
N7,38,6054,1
N7,39,1849,1
N7,39,5994,5
N7,39,6001,1
N7,39,6043,3
N7,39,6052,2
N7,39,6053,6
N7,39,9750,2
N7,40,1853,2
N7,40,1854,2
N7,40,5999,2
N7,40,6008,2
N7,40,6041,4
N7,40,6049,9
N7,40,9756,1
N7,41,1851,3
N7,41,1895,4
N7,41,5597,1
N7,41,6000,9
N7,41,6004,2
N7,41,6042,11
N7,41,6072,3
N7,41,9757,3
N7,41,9761,1
N7,41,9771,8
N7,42,1852,20
N7,42,1900,1
N7,42,1903,3
N7,42,5598,5
N7,42,5965,18
N7,42,6048,10
N7,42,6071,7
N7,42,6082,3
N7,42,6083,1
N7,43,540,1
N7,43,1901,6
N7,43,1910,1
N7,43,1922,2
N7,43,1923,1
N7,43,1926,2
N7,43,6080,4
N7,43,6084,5
N7,43,6096,1
N7,43,6102,1
N7,43,6112,19
N7,43,9790,4
N7,44,541,7
N7,44,1920,4
N7,44,1924,5
N7,44,1975,5
N7,44,2001,9
N7,44,6005,2
N7,44,6081,12
N7,44,6092,4
N7,44,6097,1
N7,44,6099,1
N7,44,6143,1
N7,44,6147,4
N7,44,6182,9
N7,44,9762,1
N7,44,9801,6
N7,45,559,5
N7,45,1921,16
N7,45,1979,1
N7,45,1986,5
N7,45,1987,4
N7,45,1999,4
N7,45,2076,17
N7,45,5628,10
N7,45,6006,5
N7,45,6144,9
N7,45,6152,1
N7,45,6167,2
N7,45,6260,10
N7,45,9763,2
N7,45,9802,4
N7,46,574,2
N7,46,578,6
N7,46,581,8
N7,46,1980,10
N7,46,1981,12
N7,46,2036,1
N7,46,2051,3
N7,46,6007,94
N7,46,6100,2
N7,46,6146,11
N7,46,6162,8
N7,46,6168,3
N7,46,6170,2
N7,46,6203,2
N7,46,6258,51
N7,46,9764,11
N7,47,575,22
N7,47,1912,2
N7,47,1985,22
N7,47,2046,12
N7,47,2052,3
N7,47,2054,3
N7,47,6093,3
N7,47,6104,2
N7,47,6259,21
N7,47,9803,5
N7,47,9804,14
N7,48,577,25
N7,48,1913,68
N7,48,1989,2
N7,48,6094,7
N7,48,6105,20
N7,48,6153,1
N7,48,6169,2
N7,48,6171,3
N7,48,6172,2
N7,48,6174,2
N7,49,1990,9
N7,49,2037,1
N7,49,2053,3
N7,49,2055,2
N7,49,2056,2
N7,49,2058,2
N7,49,2068,2
N7,49,6095,37
N7,49,6154,4
N7,49,6164,7
N7,49,6175,6
N7,49,6204,1
N7,49,6224,1
N7,49,10294,4
N7,50,2038,4
N7,50,2048,9
N7,50,2059,13
N7,50,2069,11
N7,50,6155,20
N7,50,6165,10
N7,50,6205,4
N7,50,6225,1
N7,50,6227,1
N7,50,6231,3
N7,51,2039,58
N7,51,2049,11
N7,51,6166,14
N7,51,6206,20
N7,51,6232,41
N7,51,6234,10
N7,52,2050,25
N7,52,6213,1
N7,53,154,32
N7,53,5966,14
N7,53,6214,3
N7,53,6233,2
N7,53,6235,3
N7,53,6236,7
N7,54,6215,11
N7,54,6222,4
N7,55,6223,14
N7,55,9745,11
N7,56,6230,13
N7,57,1830,32
N7,57,5969,18
N7,57,5970,23
N7,57,9746,10
N7,58,1831,17
N7,58,5968,11
N7,58,5971,18
N7,58,5972,14
N7,59,348,5
N7,59,529,4
N7,59,1832,30
N7,59,1833,21
N7,59,5976,16
N7,59,5977,21
N7,60,5974,8
N7,60,9772,27
N7,61,5975,21
N7,63,1838,12
N7,63,1842,13
N7,63,1843,14
N7,63,5979,11
N7,64,142,3
N7,64,155,1
N7,64,1837,1
N7,64,1841,7
N7,64,5978,1
N7,66,349,1
N7,66,1839,1
N7,66,1840,1
N7,66,5980,1
N7,66,5982,1
N7,67,1834,5
N7,68,157,1
N7,68,158,1
N7,68,350,1
N7,68,374,1
N7,68,1835,9
N7,68,5981,1
N7,68,5983,1
N7,69,153,4
N7,69,156,5
N7,69,159,1
N7,69,160,1
N7,69,375,1
N7,69,1836,52
N7,69,5996,3
N7,70,163,1
N7,70,164,1
N7,70,166,25
N7,70,376,1
N7,70,377,1
N7,70,528,24
N7,71,161,2
N7,71,6014,1
N7,71,9753,2
N7,72,162,9
N7,72,6015,5
N7,73,127,2
N7,73,172,8
N7,73,351,6
N7,73,1897,3
N7,73,6075,3
N7,73,6077,3
N7,73,9773,1
N7,73,9785,2
N7,74,167,1
N7,74,173,7
N7,74,352,4
N7,74,382,1
N7,74,386,1
N7,74,387,1
N7,74,1905,2
N7,74,6074,6
N7,74,6086,3
N7,74,6088,2
N7,74,9774,3
N7,75,128,7
N7,75,174,9
N7,75,175,8
N7,75,385,2
N7,75,388,10
N7,75,1864,1
N7,75,1928,1
N7,75,1931,2
N7,75,1933,1
N7,75,6115,2
N7,75,6116,1
N7,75,6119,2
N7,75,6121,1
N7,75,9791,1
N7,76,1929,5
N7,76,6113,4
N7,76,6117,4
N7,76,6122,6
N7,76,9792,3
N7,77,2003,3
N7,77,5610,1
N7,77,6114,12
N7,77,6184,4
N7,77,6187,3
N7,78,378,2
N7,78,1857,1
N7,78,2078,5
N7,78,2081,3
N7,78,6261,1
N7,78,6265,4
N7,78,6268,4
N7,79,180,4
N7,79,379,5
N7,79,390,5
N7,79,391,7
N7,79,523,2
N7,79,1858,3
N7,79,1948,1
N7,79,1959,1
N7,79,1960,2
N7,79,1971,1
N7,79,5625,1
N7,79,6126,1
N7,79,6262,9
N7,80,179,26
N7,80,380,54
N7,80,389,16
N7,80,1859,26
N7,80,1947,1
N7,80,1958,4
N7,80,5603,1
N7,80,6125,1
N7,80,6264,11
N7,81,522,8
N7,81,5604,2
N7,82,181,6
N7,82,182,10
N7,82,2096,2
N7,82,2112,1
N7,82,2117,2
N7,82,2118,4
N7,82,5605,9
N7,82,6127,1
N7,82,6129,1
N7,82,6278,2
N7,83,129,3
N7,83,176,14
N7,83,547,2
N7,83,1944,3
N7,83,1952,2
N7,83,1965,2
N7,83,2095,3
N7,83,2115,8
N7,83,5619,1
N7,83,6277,3
N7,84,177,20
N7,84,548,28
N7,84,565,1
N7,84,1945,7
N7,84,1953,8
N7,84,1966,22
N7,84,2017,2
N7,84,2027,1
N7,84,5620,5
N7,84,6128,1
N7,84,6130,1
N7,85,178,18
N7,85,566,7
N7,85,588,2
N7,85,598,1
N7,85,1946,12
N7,85,2018,5
N7,85,2028,5
N7,85,2085,1
N7,85,2097,2
N7,85,2098,2
N7,85,2100,2
N7,85,2128,2
N7,85,6279,3
N7,85,6281,3
N7,86,589,13
N7,86,599,10
N7,86,656,1
N7,86,2086,4
N7,86,2092,7
N7,86,2101,8
N7,86,2129,7
N7,87,2087,24
N7,87,2093,10
N7,87,6280,2
N7,87,6282,2
N7,88,2094,18
N7,89,617,1
N7,89,635,1
N7,89,644,1
N7,89,645,2
N7,89,2144,1
N7,90,616,1
N7,90,622,1
N7,90,636,4
N7,90,646,1
N7,90,647,3
N7,90,2143,1
N7,90,2150,1
N7,91,621,11
N7,91,637,10
N7,91,2149,13
N7,92,607,1
N7,92,2145,1
N7,92,2147,1
N7,93,608,3
N7,93,623,2
N7,93,624,6
N7,93,2151,2
N7,93,2153,6
N7,94,609,9
N7,94,614,4
N7,95,615,11
N7,95,2152,1
N7,95,2154,3
N7,96,620,10
N8,18,662,2
N8,18,2201,1
N8,19,2197,8
N8,19,6320,3
N8,20,2198,17
N8,20,6316,7
N8,20,6324,7
N8,20,6330,43
N8,20,9805,21
N8,21,2199,695
N8,21,6317,10
N8,21,6327,53
N8,22,6318,268
N8,22,6321,11
N8,23,6322,60
N8,23,6326,1
N8,24,6325,21
N8,33,2216,6
N8,34,6352,6
N8,34,10300,6
N8,35,664,1
N8,35,2244,1
N8,36,663,4
N8,36,2239,1
N8,36,2249,4
N8,36,5649,32
N8,36,6403,2
N8,36,9842,11
N8,37,2240,12
N8,37,2258,1
N8,37,6353,2
N8,37,6391,4
N8,37,6404,1
N8,37,9841,28
N8,38,6354,21
N8,38,6399,6
N8,39,2243,1
N8,40,2241,3
N8,40,2251,6
N8,40,6392,1
N8,40,6402,3
N8,40,6416,2
N8,41,2242,19
N8,41,2260,1
N8,41,6393,6
N8,41,6400,6
N8,41,6417,2
N8,42,6401,10
N8,43,6409,1
N8,43,6418,2
N8,43,6419,3
N8,44,6407,2
N8,44,6415,6
N8,45,6360,2
N8,45,6408,7
N8,45,9810,1
N8,46,6414,5
N8,46,10302,7
N8,47,6366,5
N8,47,9817,2
N8,48,2224,10
N8,48,5634,3
N8,48,6435,2
N8,48,9848,18
N8,49,2272,2
N8,49,5664,8
N8,49,6444,1
N8,49,6448,2
N8,49,9859,8
N8,50,673,2
N8,50,2291,1
N8,50,2295,3
N8,50,2346,2
N8,50,5665,15
N8,50,6445,7
N8,50,6456,1
N8,50,6510,2
N8,50,9862,9
N8,51,691,2
N8,51,2292,8
N8,51,2357,2
N8,51,2358,2
N8,51,2370,2
N8,51,6372,2
N8,51,6507,4
N8,51,6530,1
N8,51,9823,1
N8,51,9860,41
N8,52,710,2
N8,52,713,3
N8,52,2351,4
N8,52,2352,5
N8,52,2421,1
N8,52,6373,16
N8,52,6509,6
N8,52,6525,4
N8,52,6531,1
N8,52,6533,1
N8,52,9824,2
N8,52,9861,20
N8,53,707,7
N8,53,2356,11
N8,53,2416,5
N8,53,2422,1
N8,53,2424,2
N8,53,6457,1
N8,54,709,8
N8,54,2284,6
N8,54,6331,18
N8,54,6458,3
N8,54,6469,2
N8,55,2361,4
N8,55,6459,9
N8,55,6517,1
N8,55,6527,3
N8,55,6538,2
N8,56,2408,1
N8,56,2418,3
N8,56,2429,4
N8,56,2439,3
N8,56,6518,6
N8,56,6528,6
N8,56,6567,1
N8,56,6593,1
N8,57,2409,12
N8,57,2419,6
N8,57,6529,10
N8,57,6568,5
N8,57,6594,2
N8,57,6596,1
N8,58,2420,17
N8,59,6576,1
N8,59,6595,2
N8,59,6597,3
N8,59,6598,3
N8,60,6577,6
N8,60,6584,2
N8,61,6585,7
N8,62,6592,5
N8,65,183,4
N8,65,6332,1
N8,67,9806,1
N8,69,2202,1
N8,69,6335,1
N8,69,6336,1
N8,69,9807,1
N8,70,353,4
N8,70,2203,1
N8,70,6334,5
N8,70,6337,1
N8,70,6338,1
N8,71,2204,1
N8,71,2205,1
N8,71,6342,1
N8,71,6343,1
N8,72,6340,2
N8,73,6341,9
N8,75,2210,1
N8,75,2214,1
N8,75,2215,1
N8,75,6345,1
N8,76,2213,2
N8,79,2206,2
N8,80,123,3
N8,80,2207,5
N8,81,185,2
N8,81,194,20
N8,81,2208,46
N8,81,6362,1
N8,83,9813,1
N8,84,124,5
N8,84,130,7
N8,84,191,5
N8,84,6381,3
N8,85,125,3
N8,85,131,6
N8,86,132,8
N8,86,133,7
N8,86,524,9
N8,86,6438,2
N8,86,9832,2
N8,88,2300,2
N8,88,6476,1
N8,88,6480,2
N8,88,6485,2
N8,88,9850,1
N8,89,2373,1
N8,89,6477,7
N8,89,6546,2
N8,89,6549,1
N8,90,138,3
N8,90,526,4
N8,90,527,6
N8,90,2447,2
N8,90,2450,1
N8,90,6624,2
N8,90,6627,2
N8,91,137,23
N8,91,397,2
N8,91,525,14
N8,91,2230,1
N8,91,6621,4
N8,92,398,7
N8,92,2231,13
N8,92,2329,1
N8,92,6623,6
N8,93,139,5
N8,93,140,9
N8,93,5640,1
N8,94,134,12
N8,94,2465,1
N8,94,2486,1
N8,94,2487,2
N8,94,5641,1
N8,94,6637,1
N8,95,135,19
N8,95,2315,1
N8,95,2464,1
N8,95,2484,4
N8,95,6636,1
N8,96,136,17
N8,96,680,6
N8,96,2316,3
N8,96,2324,2
N8,96,2337,3
N8,96,5656,1
N8,97,698,3
N8,97,2317,7
N8,97,2388,2
N8,97,2398,2
N8,97,6638,1
N8,97,6640,1
N8,98,721,4
N8,98,731,3
N8,98,2455,1
N8,98,2461,3
N8,98,2470,2
N8,98,2498,2
N8,99,2456,7
N8,99,2462,6
N8,100,2463,13
N8,102,754,1
N8,102,768,1
N8,102,778,1
N8,102,779,3
N8,102,2519,1
N8,103,753,2
N8,103,769,5
N8,103,2518,2
N8,105,740,1
N8,105,755,2
N8,105,756,3
N8,105,2520,2
N8,105,2522,2
N8,106,741,6
N8,106,746,2
N8,107,747,7
N8,107,2521,1
N8,107,2523,3
N8,108,752,5
N9,21,9863,42
N9,22,2567,4
N9,22,6675,6
N9,22,6683,2
N9,23,2568,60
N9,23,6676,4
N9,23,6686,10
N9,24,6677,38
N9,24,6680,6
N9,25,6681,25
N9,25,6685,1
N9,26,6684,12
N9,38,6710,3
N9,40,795,7
N9,41,2609,3
N9,41,6749,1
N9,42,6712,4
N9,42,6757,5
N9,44,2610,1
N9,44,2620,4
N9,44,6760,1
N9,44,6774,2
N9,45,2611,8
N9,45,2629,1
N9,45,6751,5
N9,45,6758,3
N9,45,6775,2
N9,46,6759,7
N9,47,6776,2
N9,47,6777,2
N9,48,6765,1
N9,48,6773,4
N9,49,6766,4
N9,50,6772,4
N9,53,6724,2
N9,53,9875,1
N9,54,2593,4
N9,54,5671,2
N9,54,6793,2
N9,56,6803,3
N9,57,2661,3
N9,57,6865,1
N9,58,2720,1
N9,58,2721,1
N9,58,6731,4
N9,58,6867,4
N9,58,6883,1
N9,58,9882,1
N9,59,839,1
N9,59,2725,6
N9,59,2785,1
N9,60,841,5
N9,60,2653,3
N9,60,6816,1
N9,60,6827,2
N9,61,2730,3
N9,61,6817,5
N9,61,6885,1
N9,61,6896,2
N9,62,2787,1
N9,62,2798,3
N9,62,2808,2
N9,62,6876,5
N9,62,6886,3
N9,62,6951,1
N9,63,2778,6
N9,63,2788,3
N9,63,6887,7
N9,63,6926,4
N9,63,6952,2
N9,63,6954,1
N9,64,2789,8
N9,65,6953,2
N9,65,6955,2
N9,65,6956,2
N9,66,6689,3
N9,66,6935,4
N9,66,6942,1
N9,67,6943,4
N9,68,6950,4
N9,81,126,3
N9,82,6692,2
N9,85,6699,5
N9,92,141,17
N9,92,2576,2
N9,93,2577,7
N9,96,209,2
N9,96,6739,1
N9,98,6796,1
N9,98,9890,1
N9,101,6835,3
N9,103,6979,1
N9,104,412,4
N9,104,2600,2
N9,104,6981,4
N9,106,5678,1
N9,107,2853,1
N9,108,812,3
N9,108,2685,1
N9,108,2693,2
N9,108,2706,3
N9,108,5692,1
N9,109,830,2
N9,109,2686,5
N9,109,2757,2
N9,109,2767,2
N9,110,853,3
N9,110,863,2
N9,110,2830,1
N9,110,2839,2
N9,110,2867,2
N9,111,2825,5
N9,111,2831,3
N9,112,2832,7
N9,114,886,1
N9,114,910,1
N9,114,911,2
N9,114,2888,1
N9,115,885,2
N9,115,901,4
N9,115,2887,2
N9,117,887,2
N9,117,888,2
N9,117,2889,2
N9,117,2891,2
N9,118,873,4
N9,118,878,1
N9,119,879,4
N9,119,2890,1
N9,119,2892,2
N9,120,884,4
NN,3,0,701
NN,3,2,60511
NN,3,3,768760
NN,4,12,32546
NN,4,13,795358
NN,4,14,10361
NN,4,15,30969
NN,4,27,7618
NN,4,28,1145
NN,4,30,51
NN,4,42,565003
NN,4,43,5917
NN,4,98,313
NN,5,1,7
NN,5,4,9900
NN,5,5,198687
NN,5,16,7831
NN,5,17,189696
NN,5,29,3098
NN,5,39,508954
NN,5,40,1476
NN,5,99,9368
NN,5,100,8744
NN,5,102,2125
NN,5,103,2253
NN,5,108,105
NN,5,112,344
NN,6,34,99346
NN,6,35,255
NN,6,36,106998
NN,6,37,1224
NN,6,38,200
NN,6,41,22
NN,6,44,32361
NN,6,45,82839
NN,6,46,9890
NN,6,47,12854
NN,6,69,7228
NN,6,70,49352
NN,6,71,1603
NN,6,72,4359
NN,6,73,4598
NN,6,74,2764
NN,6,75,1262
NN,6,76,1509
NN,6,101,656
NN,6,104,63
NN,6,105,506
NN,6,106,474
NN,6,109,939
NN,6,110,109
NN,6,111,22
NN,7,9,12369
NN,7,10,12162
NN,7,11,162854
NN,7,31,26022
NN,7,32,128
NN,7,48,16284
NN,7,49,36049
NN,7,53,1225
NN,7,58,2848
NN,7,59,16605
NN,7,67,54235
NN,7,77,1641
NN,8,18,5560
NN,8,19,3393
NN,8,20,87973
NN,8,33,4129
NN,8,50,5466
NN,8,51,9919
NN,8,52,586
NN,8,54,1808
NN,8,55,206
NN,8,57,39
NN,8,62,15693
NN,8,63,81
NN,8,65,16910
NN,8,66,44
NN,8,68,10
NN,8,78,685
NN,8,79,100
NN,8,107,13
NN,8,113,944
NN,8,114,221
NN,8,115,355
NN,8,116,792
NN,8,117,7708
NN,8,118,2633
NN,8,119,5370
NN,8,120,285
NN,8,122,1235
NN,9,6,12186
NN,9,21,1847
NN,9,22,1208
NN,9,23,26345
NN,9,24,723
NN,9,56,315
NN,9,60,6205
NN,9,64,4189
NN,9,85,2729
NN,9,86,17060
NN,9,95,4850
NN,10,25,13116
NN,10,26,171
NN,10,61,2818
NN,10,82,746
NN,10,83,3031
NN,10,84,129
NN,10,91,1108
NN,10,92,15
NN,10,96,8515
NN,10,97,9
NN,10,121,247
NN,11,7,103
NN,11,8,5037
NN,11,80,385
NN,11,81,1821
NN,11,87,845
NN,11,94,2466
NN,12,90,1876
NN,12,93,964
NN,13,88,1454
NN,14,89,520
