gauge,self_int,n_blocks,percent_of_total
su2,-2,9174382,95.332
su3,-3,3978691,41.343
g2,-3,316433,3.288
so7,-3,1821,0.019
so8,-4,1065343,11.070
f4,-5,409326,4.253
e6,-6,311697,3.239
e7,-7,144392,1.500
e7,-8,179921,1.870
e8,-12,74746,0.777
su8,-1,1724,0.018
su8,-2,9,0.000
su16,-1,3,0.000
so16,-4,3,0.000
(none),-1,34900,0.363
(none),-2,618880,6.431
