gauge,self_int,n_blocks,percent_of_total
su2,-2,9412675,97.797
sp1,-2,454428,4.721
su3,-3,3978691,41.338
g2,-3,2455817,25.516
so7,-3,435201,4.522
so8,-4,1065343,11.069
f4,-5,409326,4.253
e6,-6,311697,3.238
e7,-7,144392,1.500
e7,-8,179921,1.869
e8,-12,74746,0.777
su8,-1,1724,0.018
su8,-2,9,0.000
su16,-1,1169,0.012
so16,-4,3,0.000
(none),-1,34900,0.363
(none),-2,618909,6.430
