"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"count"
95	3	95	243	0	1	0	0	0	0	1	0	2
95	3	95	271	0	1	0	0	0	1	0	0	2
95	4	95	221	0	0	0	0	0	1	1	0	2
95	4	95	248	0	0	0	0	1	0	1	0	2
95	5	98	195	1	2	0	0	0	0	0	1	5
95	5	98	196	0	2	0	0	0	0	0	1	3
95	5	98	201	2	1	0	0	0	0	0	1	2
95	5	98	202	2	1	0	0	0	0	0	1	6
95	5	98	203	1	1	0	0	0	0	0	1	21
95	5	98	204	0	1	0	0	0	0	0	1	4
95	5	98	211	1	0	0	0	0	0	0	1	5
95	5	99	183	1	0	1	0	0	0	0	1	2
95	17	99	183	1	0	0	0	0	0	0	1	2
95	21	98	195	1	2	0	0	0	0	0	0	5
95	21	98	196	0	2	0	0	0	0	0	0	3
95	21	98	201	2	1	0	0	0	0	0	0	2
95	21	98	202	2	1	0	0	0	0	0	0	6
95	21	98	203	1	1	0	0	0	0	0	0	21
95	21	98	204	0	1	0	0	0	0	0	0	4
95	21	98	211	1	0	0	0	0	0	0	0	4
95	21	99	183	1	0	1	0	0	0	0	0	2
