"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"	"LST gauge algebra"
18	2	22	171	1	3	0	0	0	0	0	0	"s1:18→1 / s2:1→1 / s3:1→1, 18→1 / s4:1→1"	"s4:17→1"	"e8+f5+su(3)+2(g2+su(2))"
18	2	22	177	2	2	0	0	0	0	0	0	"{s1:18→1 / s2:1→1, 18→1 / s3:1→1 / s4:1→1, s1:18→1 / s2:1→1 / s3:1→1, 18→1 / s4:1→2, 18→2}"	"{s3:19→1 / s4:19→1, s3:19→1 / s4:19→1}"	"e8+f5+su(3)+2(g2+su(2))"
18	2	22	178	2	2	0	0	0	0	0	0	"{s1:18→1 / s2:1→1, 18→1 / s3:1→1 / s4:1→1, s1:18→1 / s2:1→1, 18→1 / s3:1→1 / s4:1→1, s1:18→1 / s2:1→1 / s3:1→1, 18→1 / s4:1→1, s1:18→1 / s2:1→1 / s3:1→1, 18→1 / s4:1→1, 18→1, s1:18→1 / s2:1→1 / s3:1→1 / s4:1→3, 18→2, s1:18→1 / s2:1→2, 18→1 / s3:1→1 / s4:1→1, s1:1→1 / s2:1→1, 18→1 / s3:18→1}"	"{s3:19→1 / s4:17→1, s3:20→1 / s4:17→1, s3:20→1 / s4:17→1, s3:20→1 / s4:19→1, s3:17→1 / s4:19→1, s3:19→1 / s4:17→1, s3:19→1 / s4:17→1}"	"e8+f5+su(3)+2(g2+su(2))"
18	2	22	184	3	1	0	0	0	0	0	0	"{s1:18→1 / s2:1→1 / s3:1→1, 18→1 / s4:1→1, s1:18→1 / s2:1→1 / s3:1→1 / s4:1→1, s1:18→1 / s2:1→1 / s3:1→1 / s4:1→2, 18→1, s1:18→1 / s2:1→1 / s3:1→1 / s4:1→3, 18→2, s1:1→1 / s2:18→1 / s3:18→1 / s4:1→1, 18→1, s1:1→1 / s2:18→1 / s4:1→1, 18→2, s1:1→1 / s2:18→1 / s4:1→2, 18→3}"	"{s2:19→1 / s3:19→1 / s4:17→1, s2:19→1 / s3:19→1 / s4:17→1, s2:19→1 / s3:17→1 / s4:19→1, s2:19→1 / s3:17→1 / s4:19→1, s2:19→1 / s3:19→1 / s4:17→1, s2:19→1 / s3:17→1 / s4:19→1, s2:19→1 / s3:17→1 / s4:19→1}"	"e8+f5+su(3)+2(g2+su(2))"
18	2	23	158	2	1	1	0	0	0	0	0	"{s1:18→1 / s2:1→1 / s3:1→1, 18→1 / s4:1→1, s1:1→1 / s2:18→1 / s4:1→1, 18→1, s1:1→1 / s2:18→1 / s4:1→1, 18→2}"	"{s3:20→1 / s4:17→1, s3:17→1 / s4:20→1, s3:17→1 / s4:20→1}"	"e8+f5+su(3)+2(g2+su(2))"
18	2	23	171	1	3	0	0	0	0	0	0	"{s1:18→1 / s2:1→1 / s3:1→1, 18→1 / s4:1→1, 18→1, s1:18→1 / s2:1→1 / s3:1→1, 18→1 / s4:1→1, 18→1}"	"{s4:17→1, s4:19→1}"	"e8+f5+su(3)+2(g2+su(2))"
18	2	23	177	2	2	0	0	0	0	0	0	"{s1:18→1 / s2:1→1 / s3:1→1, 18→1 / s4:1→1, 18→1, s1:18→1 / s2:1→1 / s3:1→2, 18→1 / s4:1→2, 18→1, s1:18→1 / s2:1→2, 18→1 / s3:1→1 / s4:1→1}"	"{s3:19→1 / s4:19→1, s3:19→1 / s4:19→1, s3:19→1 / s4:19→1}"	"e8+f5+su(3)+2(g2+su(2))"
18	2	23	178	2	2	0	0	0	0	0	0	"{s1:18→1 / s2:1→1 / s3:1→1, 18→1 / s4:1→1, 18→1, s1:18→1 / s2:1→1 / s3:1→1, 18→1 / s4:1→1, 18→2, s1:18→1 / s2:1→1 / s3:1→1, 18→2 / s4:1→1, 18→1, s1:18→1 / s2:1→1 / s3:1→1 / s4:1→2, 18→1, s1:18→1 / s2:1→1 / s3:1→2, 18→1 / s4:1→2, 18→1, s1:1→1 / s2:1→1, 18→2 / s3:18→1}"	"{s3:19→1 / s4:17→1, s3:19→1 / s4:20→1, s3:20→1 / s4:17→1, s3:17→1 / s4:19→1, s3:19→1 / s4:17→1, s3:19→1 / s4:17→1}"	"e8+f5+su(3)+2(g2+su(2))"
18	2	24	127	1	2	0	1	0	0	0	0	"s1:18→1 / s2:1→1 / s3:1→1 / s4:1→1"	"s4:17→1"	"e8+f5+su(3)+2(g2+su(2))"
18	2	24	158	2	1	1	0	0	0	0	0	"s1:1→1 / s2:18→1 / s4:1→1, 18→3"	"s3:17→1 / s4:20→1"	"e8+f5+su(3)+2(g2+su(2))"
18	2	25	127	1	2	0	1	0	0	0	0	"s1:1→1 / s2:18→1 / s3:18→1"	"s4:17→1"	"e8+f5+su(3)+2(g2+su(2))"
18	2	26	127	1	2	0	1	0	0	0	0	"s1:1→1 / s2:18→1 / s3:18→1 / s4:18→1"	"s4:17→1"	"e8+f5+su(3)+2(g2+su(2))"
18	2	26	134	2	1	0	1	0	0	0	0	"s1:1→1 / s2:18→1 / s3:18→1"	"s3:20→1 / s4:17→1"	"e8+f5+su(3)+2(g2+su(2))"
18	2	26	158	2	1	1	0	0	0	0	0	"s1:1→1 / s2:18→1 / s4:1→1, 18→4"	"s3:17→1 / s4:20→1"	"e8+f5+su(3)+2(g2+su(2))"
18	2	27	120	0	3	0	1	0	0	0	0	"s1:1→1 / s2:18→1 / s3:18→1 / s4:18→1"	""	"e8+f5+su(3)+2(g2+su(2))"
18	2	27	134	2	1	0	1	0	0	0	0	"s1:1→1 / s2:18→1 / s3:18→1 / s4:18→1"	"s3:20→1 / s4:17→1"	"e8+f5+su(3)+2(g2+su(2))"
18	2	28	127	1	2	0	1	0	0	0	0	"s1:1→1 / s2:18→1 / s3:18→1 / s4:18→1"	"s4:21→1"	"e8+f5+su(3)+2(g2+su(2))"
18	2	28	151	1	2	1	0	0	0	0	0	"{s1:18→1 / s2:1→1 / s3:1→1 / s4:1→1, s1:1→1 / s2:18→1 / s3:18→1, s1:1→1 / s2:18→1 / s3:18→1 / s4:1→1, 18→1}"	"{s4:17→1, s4:17→1, s4:17→1}"	"e8+f5+su(3)+2(g2+su(2))"
18	2	29	127	1	2	0	1	0	0	0	0	"s1:1→1 / s2:18→1 / s3:18→2"	"s4:17→1"	"e8+f5+su(3)+2(g2+su(2))"
