"TH"	"index"	"LST gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"
18	2	"e8+f5+su(3)+2(g2+su(2))"	21	186	2	1	0	0	0	0	0	0	"{s1:18→1 / s2:1→1 / s3:1→1, s1:1→1 / s2:18→1}"	"{s2:19→1 / s3:17→1, s2:19→1 / s3:17→1}"
18	2	"e8+f5+su(3)+2(g2+su(2))"	22	159	1	1	1	0	0	0	0	0	"{s1:18→1 / s2:1→1 / s3:1→1, s1:1→1 / s2:18→1}"	"{s3:17→1, s3:17→1}"
18	2	"e8+f5+su(3)+2(g2+su(2))"	22	172	0	3	0	0	0	0	0	0	"{s1:18→1 / s2:1→1, 18→1 / s3:1→2, 18→1, s1:18→1 / s2:1→1 / s3:1→1, 18→1, s1:18→1 / s2:1→1 / s3:1→2, 18→2}"	""
18	2	"e8+f5+su(3)+2(g2+su(2))"	22	179	1	2	0	0	0	0	0	0	"{s1:18→1 / s2:1→1, 18→1 / s3:1→1, s1:18→1 / s2:1→1, 18→1 / s3:1→1, s1:18→1 / s2:1→1, 18→1 / s3:1→1, s1:18→1 / s2:1→1, 18→1 / s3:1→1, 18→1, s1:18→1 / s2:1→1, 18→1 / s3:1→2, 18→1, s1:18→1 / s2:1→1, 18→1 / s3:1→2, 18→1, s1:18→1 / s2:1→1, 18→1 / s3:1→2, 18→1, s1:18→1 / s2:1→1, 18→1 / s3:1→3, 18→1, s1:18→1 / s2:1→1, 18→1 / s3:1→3, 18→1, s1:18→1 / s2:1→1 / s3:1→1, s1:18→1 / s2:1→1 / s3:1→1, 18→1, s1:18→1 / s2:1→1 / s3:1→1, 18→1, s1:18→1 / s2:1→1 / s3:1→1, 18→1, s1:18→1 / s2:1→1 / s3:1→2, 18→1, s1:18→1 / s2:1→1 / s3:1→2, 18→2, s1:18→1 / s2:1→1 / s3:1→2, 18→2, s1:18→1 / s2:1→1 / s3:1→2, 18→2, s1:18→1 / s2:1→1 / s3:1→2, 18→3, s1:18→1 / s2:1→1 / s3:1→3, 18→2, s1:18→1 / s2:1→1 / s3:1→3, 18→2, s1:18→1 / s2:1→2, 18→1 / s3:1→1, s1:18→1 / s2:1→2, 18→1 / s3:1→1, s1:18→1 / s2:1→2, 18→1 / s3:1→1, 18→1, s1:18→1 / s2:1→2, 18→1 / s3:1→2, 18→1, s1:18→1 / s2:1→2, 18→1 / s3:1→2, 18→1, s1:18→1 / s2:1→2, 18→1 / s3:1→3, 18→1, s1:18→1 / s2:1→2, 18→2 / s3:1→1, s1:18→1 / s2:1→2, 18→2 / s3:1→1, s1:18→1 / s2:1→3, 18→2 / s3:1→1, s1:18→1 / s2:1→3, 18→2 / s3:1→1, s1:1→1, 18→1 / s2:1→1, 18→1, s1:1→1, 18→1 / s2:1→1, 18→1 / s3:18→1, s1:1→1, 18→1 / s2:1→1, 18→1 / s3:1→1, s1:1→1, 18→1 / s2:1→1, 18→1 / s3:1→1, 18→1, s1:1→1, 18→1 / s2:1→1, 18→2, s1:1→1, 18→1 / s2:1→1, 18→2 / s3:1→1, s1:1→1, 18→1 / s2:1→2, 18→2, s1:1→1 / s2:1→1, 18→1, s1:1→1 / s2:1→1, 18→1 / s3:18→1, s1:1→1 / s2:1→1, 18→1 / s3:18→1, s1:1→1 / s2:1→1, 18→1 / s3:1→1, s1:1→1 / s2:1→1, 18→1 / s3:1→1, 18→1, s1:1→1 / s2:1→1, 18→1 / s3:1→1, 18→2, s1:1→1 / s2:1→1, 18→2, s1:1→1 / s2:1→1, 18→2 / s3:18→1, s1:1→1 / s2:1→1, 18→2 / s3:1→1, s1:1→1 / s2:1→1, 18→2 / s3:1→1, 18→1, s1:1→1 / s2:1→1, 18→2 / s3:1→1, 18→2, s1:1→1 / s2:1→2, 18→3}"	"{s3:17→1, s3:19→1, s3:20→1, s3:20→1, s3:17→1, s3:19→1, s3:20→1, s3:17→1, s3:19→1, s3:17→1, s3:17→1, s3:19→1, s3:20→1, s3:17→1, s3:17→1, s3:19→1, s3:20→1, s3:20→1, s3:17→1, s3:19→1, s3:17→1, s3:19→1, s3:19→1, s3:17→1, s3:19→1, s3:17→1, s3:17→1, s3:19→1, s3:17→1, s3:19→1, s3:17→1, s3:20→1, s3:17→1, s3:17→1, s3:17→1, s3:17→1, s3:17→1, s3:17→1, s3:19→1, s3:20→1, s3:17→1, s3:17→1, s3:17→1, s3:17→1, s3:19→1, s3:17→1, s3:17→1, s3:17→1, s3:17→1}"
18	2	"e8+f5+su(3)+2(g2+su(2))"	22	185	2	1	0	0	0	0	0	0	"{s1:18→1 / s2:1→1, 18→1 / s3:1→2, 18→1, s1:18→1 / s2:1→1, 18→1 / s3:1→2, 18→2, s1:18→1 / s2:1→1, 18→1 / s3:1→3, 18→2, s1:18→1 / s2:1→1 / s3:1→1, s1:18→1 / s2:1→1 / s3:1→1, 18→1, s1:18→1 / s2:1→1 / s3:1→2, 18→1, s1:18→1 / s2:1→1 / s3:1→2, 18→2, s1:18→1 / s2:1→1 / s3:1→3, 18→2, s1:18→1 / s2:1→2, 18→1 / s3:1→2, 18→1, s1:18→1 / s2:1→2, 18→1 / s3:1→2, 18→2, s1:18→1 / s2:1→2, 18→1 / s3:1→3, 18→1, s1:18→1 / s2:1→2, 18→1 / s3:1→3, 18→2, s1:1→1, 18→1 / s2:18→1 / s3:1→1, 18→1, s1:1→1, 18→1 / s2:18→1 / s3:1→1, 18→2, s1:1→1, 18→1 / s2:18→1 / s3:1→2, 18→2, s1:1→1 / s2:18→1 / s3:18→1, s1:1→1 / s2:18→1 / s3:1→1, 18→1, s1:1→1 / s2:18→1 / s3:1→1, 18→2, s1:1→1 / s2:18→1 / s3:1→2, 18→2, s1:1→1 / s2:18→1 / s3:1→2, 18→3}"	"{s2:19→1 / s3:19→1, s2:19→1 / s3:19→1, s2:19→1 / s3:19→1, s2:19→1 / s3:19→1, s2:19→1 / s3:19→1, s2:19→1 / s3:19→1, s2:19→1 / s3:19→1, s2:19→1 / s3:19→1, s2:19→1 / s3:19→1, s2:19→1 / s3:19→1, s2:19→1 / s3:19→1, s2:19→1 / s3:19→1, s2:19→1 / s3:19→1, s2:19→1 / s3:19→1, s2:19→1 / s3:19→1, s2:19→1 / s3:19→1, s2:19→1 / s3:19→1, s2:19→1 / s3:19→1, s2:19→1 / s3:19→1, s2:19→1 / s3:19→1}"
18	2	"e8+f5+su(3)+2(g2+su(2))"	23	135	1	1	0	1	0	0	0	0	"{s1:18→1 / s2:1→1 / s3:1→1, s1:1→1 / s2:18→1}"	"{s3:17→1, s3:17→1}"
18	2	"e8+f5+su(3)+2(g2+su(2))"	23	139	1	0	2	0	0	0	0	0	"{s1:18→1 / s2:1→1, s1:18→1 / s2:1→1 / s3:1→1, s1:18→1 / s2:1→1 / s3:1→1, 18→1}"	"{s3:17→1, s3:17→1, s3:17→1}"
18	2	"e8+f5+su(3)+2(g2+su(2))"	23	152	0	2	1	0	0	0	0	0	"{s1:18→1 / s2:1→1 / s3:1→1, 18→1, s1:18→1 / s2:1→1 / s3:1→2, 18→1}"	""
18	2	"e8+f5+su(3)+2(g2+su(2))"	23	159	1	1	1	0	0	0	0	0	"{s1:18→1 / s2:1→1 / s3:1→1, 18→1, s1:18→1 / s2:1→1 / s3:1→1, 18→1, s1:18→1 / s2:1→1 / s3:1→2, s1:18→1 / s2:1→1 / s3:1→2, 18→1, s1:18→1 / s2:1→1 / s3:1→2, 18→1, s1:18→1 / s2:1→1 / s3:1→2, 18→2, s1:18→1 / s2:1→1 / s3:1→2, 18→3, s1:18→1 / s2:1→1 / s3:1→3, 18→1, s1:18→1 / s2:1→1 / s3:1→3, 18→2, s1:18→1 / s2:1→1 / s3:1→4, 18→1, s1:1→1 / s2:18→1 / s3:1→1, s1:1→1 / s2:18→1 / s3:1→1, 18→1, s1:1→1 / s2:18→1 / s3:1→1, 18→1, s1:1→1 / s2:18→1 / s3:1→1, 18→2, s1:1→1 / s2:18→1 / s3:1→1, 18→2}"	"{s3:17→1, s3:20→1, s3:17→1, s3:17→1, s3:20→1, s3:20→1, s3:20→1, s3:17→1, s3:20→1, s3:17→1, s3:17→1, s3:17→1, s3:20→1, s3:17→1, s3:20→1}"
18	2	"e8+f5+su(3)+2(g2+su(2))"	23	172	0	3	0	0	0	0	0	0	"{s1:18→1 / s2:1→1, 18→1 / s3:1→1, 18→1, s1:18→1 / s2:1→1 / s3:1→2, 18→3}"	""
