"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"
81	1	83	238	1	0	0	0	0	0	1	0
81	1	83	266	1	0	0	0	0	1	0	0
81	2	83	238	1	1	0	0	0	0	1	0
81	2	83	266	1	1	0	0	0	1	0	0
81	24	85	175	1	1	0	0	0	0	0	0
81	24	85	176	0	1	0	0	0	0	0	0
81	25	83	260	1	1	0	0	1	0	0	0
81	25	83	261	0	1	0	0	1	0	0	0
81	40	85	175	1	0	0	0	0	0	0	0
81	48	83	260	1	0	0	0	1	0	0	0
81	53	82	260	0	1	0	0	0	0	1	0
81	53	83	252	0	2	0	0	0	0	1	0
81	53	83	259	1	1	0	0	0	0	1	0
81	53	84	251	1	2	0	0	0	0	1	0
81	53	84	257	2	1	0	0	0	0	1	0
