"TH"	"index"	"LST gauge algebra"	"full gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"
81	1	"6 e8+7 f5+su(3)+13(g2+su(2))"	"6 e8+e7+7 f5+14(g2+su(2))"	81	238	1	0	0	0	0	0	1	0	"s1:1→1"	"s2:81→1"
81	2	"6 e8+7 f5+13(g2+su(2))"	"6 e8+e7+7 f5+su(3)+13(g2+su(2))"	81	239	0	1	0	0	0	0	1	0	"{s1:1→1 / s2:79→1, s1:1→1 / s2:81→1}"	""
81	3	"6 e8+7 f5+13(g2+su(2))"	"6 e8+e7+7 f5+14(g2+su(2))"	81	238	0	1	0	0	0	0	1	0	"s1:1→1"	"s2:81→1"
81	4	"6 e8+7 f5+2 su(3)+12(g2+su(2))"	"6 e8+2 e6+7 f5+2 su(3)+12(g2+su(2))"	81	217	0	0	0	0	2	0	0	0	"s1:81→1 / s2:1→1"	""
81	4	"6 e8+7 f5+2 su(3)+12(g2+su(2))"	"6 e8+e6+8 f5+2 su(3)+12(g2+su(2))"	81	243	0	0	0	1	1	0	0	0	"{s1:1→1 / s2:81→1, s1:81→1 / s2:1→1}"	""
81	9	"6 e8+7 f5+14(g2+su(2))"	"6 e8+e7+7 f5+13(g2+su(2))+so(7)+2 su(2)"	81	236	1	0	0	0	0	0	1	0	"s1:1→1"	"s2:81→1"
81	23	"6 e8+6 f5+so(8)+13(g2+su(2))"	"6 e8+e7+6 f5+2 so(8)+13(g2+su(2))"	81	243	0	0	1	0	0	0	1	0	"s1:1→1 / s2:81→1"	""
81	23	"6 e8+6 f5+so(8)+13(g2+su(2))"	"7 e8+6 f5+2 so(8)+13(g2+su(2))"	81	128	0	0	1	0	0	0	0	1	"s1:1→1 / s2:81→1"	""
81	23	"6 e8+6 f5+so(8)+13(g2+su(2))"	"7 e8+6 f5+so(8)+su(3)+13(g2+su(2))"	83	148	0	1	0	0	0	0	0	1	"s1:1→1 / s2:81→1"	""
81	23	"6 e8+6 f5+so(8)+13(g2+su(2))"	"7 e8+6 f5+so(8)+su(3)+13(g2+su(2))"	86	148	0	1	0	0	0	0	0	1	"{s1:1→1 / s2:81→2, s1:1→1 / s2:81→3}"	""
