"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"
19	1	23	156	1	2	0	0	0	0	0	0	"s1:19→1 / s2:1→1 / s3:1→1"	"s3:16→1"
19	1	23	163	2	1	0	0	0	0	0	0	"{s1:19→1 / s2:1→1 / s3:1→1, s1:19→1 / s2:1→1 / s3:1→2, s1:19→1 / s2:1→1 / s3:1→3, s1:1→1 / s2:19→1 / s3:1→1, s1:1→1 / s2:19→1 / s3:1→1, 19→1, s1:1→1 / s2:19→1 / s3:1→1, 19→2, s1:1→1 / s2:19→1 / s3:1→2, 19→1, s1:1→1 / s2:19→1 / s3:1→2, 19→2, s1:1→1 / s2:19→1 / s3:1→2, 19→3, s1:1→1 / s2:19→1 / s3:1→3, 19→2}"	"{s2:20→1 / s3:16→1, s2:20→1 / s3:16→1, s2:20→1 / s3:16→1, s2:20→1 / s3:16→1, s2:20→1 / s3:16→1, s2:20→1 / s3:16→1, s2:20→1 / s3:16→1, s2:20→1 / s3:16→1, s2:20→1 / s3:16→1, s2:20→1 / s3:16→1}"
19	1	24	136	1	1	1	0	0	0	0	0	"{s1:1→1 / s2:19→1, s1:1→1 / s2:19→1 / s3:1→1}"	"{s3:16→1, s3:16→1}"
19	1	24	156	1	2	0	0	0	0	0	0	"{s1:19→1 / s2:1→1 / s3:1→1, s1:19→1 / s2:1→1 / s3:1→2, s1:19→1 / s2:1→1 / s3:1→3, s1:1→1 / s2:1→1, 19→1 / s3:1→1}"	"{s3:20→1, s3:16→1, s3:16→1, s3:16→1}"
19	1	24	162	2	1	0	0	0	0	0	0	"{s1:1→1 / s2:19→1 / s3:19→1, s1:1→1 / s2:19→1 / s3:1→1, 19→1, s1:1→1 / s2:19→1 / s3:1→1, 19→2, s1:1→1 / s2:19→1 / s3:1→1, 19→3, s1:1→1 / s2:19→1 / s3:1→2, 19→2, s1:1→1 / s2:19→1 / s3:1→2, 19→3}"	"{s2:20→1 / s3:20→1, s2:20→1 / s3:20→1, s2:20→1 / s3:20→1, s2:20→1 / s3:20→1, s2:20→1 / s3:20→1, s2:20→1 / s3:20→1}"
19	1	24	163	2	1	0	0	0	0	0	0	"{s1:19→1 / s2:1→1 / s3:1→4, s1:19→1 / s2:1→1 / s3:1→5, s1:1→1 / s2:19→1 / s3:1→1, 19→3, s1:1→1 / s2:19→1 / s3:1→2, s1:1→1 / s2:19→1 / s3:1→3, 19→1}"	"{s2:20→1 / s3:16→1, s2:20→1 / s3:16→1, s2:20→1 / s3:16→1, s2:20→1 / s3:16→1, s2:20→1 / s3:16→1}"
19	1	25	112	1	1	0	1	0	0	0	0	"s1:1→1 / s2:19→1"	"s3:16→1"
19	1	25	136	1	1	1	0	0	0	0	0	"s1:1→1 / s2:19→1 / s3:1→1"	"s3:21→1"
19	1	25	156	1	2	0	0	0	0	0	0	"{s1:19→1 / s2:1→1, s1:19→1 / s2:1→1 / s3:1→4}"	"{s3:16→1, s3:16→1}"
19	1	25	163	2	1	0	0	0	0	0	0	"s1:1→1 / s2:19→1 / s3:1→4, 19→1"	"s2:20→1 / s3:16→1"
19	1	26	156	1	2	0	0	0	0	0	0	"s1:19→1 / s2:1→1 / s3:1→5"	"s3:16→1"
19	1	26	162	2	1	0	0	0	0	0	0	"s1:1→1 / s2:19→1 / s3:1→2, 19→1"	"s2:20→1 / s3:20→1"
19	1	27	149	0	3	0	0	0	0	0	0	"s1:19→1 / s2:1→1 / s3:1→1"	""
19	1	27	156	1	2	0	0	0	0	0	0	"s1:1→1 / s2:1→1 / s3:1→1"	"s3:16→1"
19	1	27	162	2	1	0	0	0	0	0	0	"s1:1→1 / s2:19→1 / s3:19→2"	"s2:20→1 / s3:20→1"
19	1	27	163	2	1	0	0	0	0	0	0	"s1:19→1 / s2:1→2 / s3:1→5"	"s2:20→1 / s3:16→1"
19	1	28	156	1	2	0	0	0	0	0	0	"s1:1→1 / s2:1→1 / s3:19→1"	"s3:21→1"
19	1	28	163	2	1	0	0	0	0	0	0	"s1:1→1 / s2:19→1 / s3:19→1"	"s2:20→1 / s3:16→1"
19	1	32	156	1	2	0	0	0	0	0	0	"s1:19→1 / s2:1→1 / s3:1→2"	"s3:20→1"
19	1	172	156	1	2	0	0	0	0	0	0	"s1:19→1 / s2:1→2 / s3:1→4"	"s3:16→1"
19	3	23	155	2	1	0	0	0	0	0	0	"s1:1→1 / s3:1→1"	"s2:19→1 / s3:15→1"
19	3	24	135	2	0	1	0	0	0	0	0	"{s1:1→1, s1:1→1 / s3:1→1}"	"{s2:19→1 / s3:15→1, s2:19→1 / s3:15→1}"
