T_H,External,LST_Gauge,SUGRA_Gauge,Count
1,2 e6,(none),2 e6,1
1,2 e6 + 2 su2,(none),2 e6 + 2 su2,9
1,2 e6 + 2 su2 + su3,(none),2 e6 + 2 su2 + su3,1
1,2 e6 + 2 su3,(none),2 e6 + 2 su3,1
1,2 e6 + 3 su2,(none),2 e6 + 3 su2,4
1,2 e6 + 4 su2,(none),2 e6 + 4 su2,1
1,2 e6 + su2,(none),2 e6 + su2,1
1,2 e6 + su2 + su3,(none),2 e6 + su2 + su3,1
1,2 e6 + su3,(none),2 e6 + su3,2
1,2 e7,(none),2 e7,1
1,2 e7 + 2 su2,(none),2 e7 + 2 su2,1
1,2 e7 + su2,(none),2 e7 + su2,1
1,2 e7',(none),2 e7',1
1,2 e7' + 2 su2,(none),2 e7' + 2 su2,1
1,2 e7' + su2,(none),2 e7' + su2,1
1,2 e8,(none),2 e8,1
1,2 f4,(none),2 f4,1
1,2 f4 + 2 su2,(none),2 f4 + 2 su2,22
1,2 f4 + 2 su2 + su3,(none),2 f4 + 2 su2 + su3,3
1,2 f4 + 2 su2 + su3,(none),2 f4 + sp1+g2,1
1,2 f4 + 2 su2 + su3,(none),2 f4 + su2 + su2+g2,9
1,2 f4 + 2 su3,(none),2 f4 + 2 su3,1
1,2 f4 + 3 su2,(none),2 f4 + 3 su2,14
1,2 f4 + 4 su2,(none),2 f4 + 4 su2,3
1,2 f4 + su2,(none),2 f4 + su2,1
1,2 f4 + su2 + su3,(none),2 f4 + su2 + su3,1
1,2 f4 + su2 + su3,(none),2 f4 + su2+g2,1
1,2 f4 + su3,(none),2 f4 + su3,2
1,2 hat1 + 2 su2,(none),2 su2 + 2 su8,1
1,2 hat1 + su2,(none),su2 + 2 su8,1
1,2 so8,(none),2 so8,5
1,2 so8 + 2 su2,(none),2 so8 + 2 su2,44
1,2 so8 + 2 su2 + 2 su3,(none),2 (su2+g2) + 2 so8,9
1,2 so8 + 2 su2 + 2 su3,(none),2 so8 + 2 su3 + 2 su2,29
1,2 so8 + 2 su2 + 2 su3,(none),2 so8 + sp1+g2 + su3,15
1,2 so8 + 2 su2 + 2 su3,(none),2 so8 + su2 + su2+g2 + su3,120
1,2 so8 + 2 su2 + 2 su3,(none),2 so8 + su2+so7+su2 + su3,6
1,2 so8 + 2 su2 + 3 su3,(none),2 so8 + 3 su3 + 2 su2,2
1,2 so8 + 2 su2 + su3,(none),2 so8 + 2 su2 + su3,85
1,2 so8 + 2 su2 + su3,(none),2 so8 + sp1+g2,4
1,2 so8 + 2 su2 + su3,(none),2 so8 + su2 + su2+g2,63
1,2 so8 + 2 su2 + su3,(none),2 so8 + su2+so7+su2,2
1,2 so8 + 2 su3,(none),2 so8 + 2 su3,20
1,2 so8 + 3 su2,(none),2 so8 + 3 su2,173
1,2 so8 + 3 su2 + 2 su3,(none),2 so8 + 2 su2 + su2+g2 + su3,90
1,2 so8 + 3 su2 + 2 su3,(none),2 so8 + 2 su3 + 3 su2,13
1,2 so8 + 3 su2 + 2 su3,(none),2 so8 + sp1+g2 + su2 + su3,48
1,2 so8 + 3 su2 + su3,(none),2 so8 + 2 su2 + su2+g2,228
1,2 so8 + 3 su2 + su3,(none),2 so8 + 3 su2 + su3,110
1,2 so8 + 3 su2 + su3,(none),2 so8 + sp1+g2 + su2,60
1,2 so8 + 3 su2 + su3,(none),2 so8 + su2 + su2+so7+su2,33
1,2 so8 + 3 su3,(none),2 so8 + 3 su3,7
1,2 so8 + 4 su2,(none),2 so8 + 4 su2,175
1,2 so8 + 4 su2 + 2 su3,(none),2 so8 + 2 su3 + 4 su2,3
1,2 so8 + 4 su2 + su3,(none),2 so8 + 2 su2 + su2+so7+su2,18
1,2 so8 + 4 su2 + su3,(none),2 so8 + 3 su2 + su2+g2,140
1,2 so8 + 4 su2 + su3,(none),2 so8 + 4 su2 + su3,44
1,2 so8 + 4 su2 + su3,(none),2 so8 + sp1+g2 + 2 su2,96
1,2 so8 + 4 su3,(none),2 so8 + 4 su3,2
1,2 so8 + 5 su2,(none),2 so8 + 5 su2,94
1,2 so8 + 6 su2,(none),2 so8 + 6 su2,6
1,2 so8 + 7 su2,(none),2 so8 + 7 su2,3
1,2 so8 + 8 su2,(none),2 so8 + 8 su2,1
1,2 so8 + su2,(none),2 so8 + su2,4
1,2 so8 + su2 + 2 su3,(none),2 so8 + 2 su3 + su2,11
1,2 so8 + su2 + 2 su3,(none),2 so8 + su2+g2 + su3,18
1,2 so8 + su2 + 3 su3,(none),2 so8 + 2 su3 + su2+g2,12
1,2 so8 + su2 + 3 su3,(none),2 so8 + 3 su3 + su2,2
1,2 so8 + su2 + su3,(none),2 so8 + su2 + su3,15
1,2 so8 + su2 + su3,(none),2 so8 + su2+g2,4
1,2 so8 + su3,(none),2 so8 + su3,7
1,2 su2,(none),2 su2,30
1,2 su2 + 2 su3,(none),2 (su2+g2),6
1,2 su2 + 2 su3,(none),2 su3 + 2 su2,1255
1,2 su2 + 2 su3,(none),sp1+g2 + su3,70
1,2 su2 + 2 su3,(none),su2 + su2+g2 + su3,1146
1,2 su2 + 2 su3,(none),su2+so7+su2 + su3,40
1,2 su2 + 3 su3,(none),2 (su2+g2) + su3,90
1,2 su2 + 3 su3,(none),2 su3 + sp1+g2,133
1,2 su2 + 3 su3,(none),2 su3 + su2 + su2+g2,2094
1,2 su2 + 3 su3,(none),2 su3 + su2+so7+su2,62
1,2 su2 + 3 su3,(none),3 su3 + 2 su2,819
1,2 su2 + 4 su3,(none),2 (su2+g2) + 2 su3,129
1,2 su2 + 4 su3,(none),3 su3 + sp1+g2,72
1,2 su2 + 4 su3,(none),3 su3 + su2 + su2+g2,1248
1,2 su2 + 4 su3,(none),3 su3 + su2+so7+su2,31
1,2 su2 + 4 su3,(none),4 su3 + 2 su2,329
1,2 su2 + 5 su3,(none),2 (su2+g2) + 3 su3,52
1,2 su2 + 5 su3,(none),4 su3 + sp1+g2,22
1,2 su2 + 5 su3,(none),4 su3 + su2 + su2+g2,305
1,2 su2 + 5 su3,(none),4 su3 + su2+so7+su2,10
1,2 su2 + 5 su3,(none),5 su3 + 2 su2,69
1,2 su2 + 6 su3,(none),6 su3 + 2 su2,6
1,2 su2 + su3,(none),2 su2 + su3,589
1,2 su2 + su3,(none),sp1+g2,4
1,2 su2 + su3,(none),su2 + su2+g2,55
1,2 su2 + su3,(none),su2+so7+su2,3
1,2 su3,(none),2 su3,66
1,3 so8,(none),3 so8,2
1,3 so8 + 2 su2,(none),3 so8 + 2 su2,7
1,3 so8 + 2 su2 + su3,(none),3 so8 + 2 su2 + su3,1
1,3 so8 + 2 su3,(none),2 su3 + 3 so8,1
1,3 so8 + 3 su2,(none),3 so8 + 3 su2,5
1,3 so8 + 4 su2,(none),3 so8 + 4 su2,1
1,3 so8 + su2,(none),3 so8 + su2,1
1,3 so8 + su2 + su3,(none),3 so8 + su2 + su3,1
1,3 so8 + su2 + su3,(none),3 so8 + su2+g2,1
1,3 so8 + su3,(none),3 so8 + su3,2
1,3 su2,(none),3 su2,293
1,3 su2 + 2 su3,(none),2 (su2+g2) + su2,176
1,3 su2 + 2 su3,(none),2 su2 + su2+g2 + su3,5862
1,3 su2 + 2 su3,(none),2 su3 + 3 su2,3271
1,3 su2 + 2 su3,(none),sp1+g2 + su2 + su3,1332
1,3 su2 + 2 su3,(none),sp1+g2 + su2+g2,28
1,3 su2 + 2 su3,(none),su2 + su2+so7+su2 + su3,710
1,3 su2 + 2 su3,(none),su2+g2 + su2+so7+su2,18
1,3 su2 + 3 su3,(none),2 (su2+g2) + su2 + su3,1476
1,3 su2 + 3 su3,(none),2 su3 + 2 su2 + su2+g2,7368
1,3 su2 + 3 su3,(none),2 su3 + sp1+g2 + su2,1695
1,3 su2 + 3 su3,(none),2 su3 + su2 + su2+so7+su2,813
1,3 su2 + 3 su3,(none),3 (su2+g2),5
1,3 su2 + 3 su3,(none),3 su3 + 3 su2,1346
1,3 su2 + 3 su3,(none),sp1+g2 + su2+g2 + su3,300
1,3 su2 + 3 su3,(none),su2+g2 + su2+so7+su2 + su3,148
1,3 su2 + su3,(none),2 su2 + su2+g2,530
1,3 su2 + su3,(none),3 su2 + su3,3104
1,3 su2 + su3,(none),sp1+g2 + su2,93
1,3 su2 + su3,(none),su2 + su2+so7+su2,72
1,3 su3,(none),3 su3,147
1,4 so8,(none),4 so8,1
1,4 su2,(none),4 su2,1616
1,4 su2 + 2 su3,(none),2 (sp1+g2),7
1,4 su2 + 2 su3,(none),2 (su2+g2) + 2 su2,948
1,4 su2 + 2 su3,(none),2 (su2+so7+su2),6
1,4 su2 + 2 su3,(none),2 su2 + su2+so7+su2 + su3,2079
1,4 su2 + 2 su3,(none),2 su3 + 4 su2,3019
1,4 su2 + 2 su3,(none),3 su2 + su2+g2 + su3,9116
1,4 su2 + 2 su3,(none),sp1+g2 + 2 su2 + su3,4173
1,4 su2 + 2 su3,(none),sp1+g2 + su2 + su2+g2,456
1,4 su2 + 2 su3,(none),sp1+g2 + su2+so7+su2,12
1,4 su2 + 2 su3,(none),su2 + su2+g2 + su2+so7+su2,276
1,4 su2 + 3 su3,(none),2 su3 + 3 su2 + su2+g2,300
1,4 su2 + 3 su3,(none),3 su3 + 4 su2,531
1,4 su2 + su3,(none),2 su2 + su2+so7+su2,436
1,4 su2 + su3,(none),3 su2 + su2+g2,1765
1,4 su2 + su3,(none),4 su2 + su3,6180
1,4 su2 + su3,(none),sp1+g2 + 2 su2,707
1,4 su3,(none),4 su3,101
1,5 su2,(none),5 su2,4252
1,5 su2 + 2 su3,(none),2 (su2+so7+su2) + su2,68
1,5 su2 + 3 su3,(none),2 su3 + 4 su2 + su2+g2,170
1,5 su2 + su3,(none),4 su2 + su2+g2,6
1,5 su2 + su3,(none),5 su2 + su3,27
1,5 su3,(none),5 su3,48
1,6 su2,(none),6 su2,2780
1,6 su2 + 3 su3,(none),2 su3 + 5 su2 + su2+g2,100
1,6 su2 + su3,(none),5 su2 + su2+g2,4
1,6 su2 + su3,(none),6 su2 + su3,21
1,6 su3,(none),6 su3,13
1,7 su2,(none),7 su2,1554
1,7 su2 + 3 su3,(none),2 su3 + 6 su2 + su2+g2,10
1,7 su2 + su3,(none),6 su2 + su2+g2,3
1,7 su2 + su3,(none),7 su2 + su3,16
1,7 su3,(none),7 su3,4
1,8 su2,(none),8 su2,660
1,8 su2 + su3,(none),7 su2 + su2+g2,2
1,8 su2 + su3,(none),8 su2 + su3,4
1,9 su2,(none),9 su2,19
1,e6,(none),e6,2
1,e6 + 2 so8,(none),2 so8 + e6,1
1,e6 + 2 so8 + 2 su2,(none),2 so8 + e6 + 2 su2,1
1,e6 + 2 so8 + su2,(none),2 so8 + e6 + su2,1
1,e6 + 2 so8 + su3,(none),2 so8 + e6 + su3,1
1,e6 + 2 su2,(none),e6 + 2 su2,45
1,e6 + 2 su2 + 2 su3,(none),2 (su2+g2) + e6,6
1,e6 + 2 su2 + 2 su3,(none),2 su3 + e6 + 2 su2,138
1,e6 + 2 su2 + 2 su3,(none),e6 + sp1+g2 + su3,26
1,e6 + 2 su2 + 2 su3,(none),e6 + su2 + su2+g2 + su3,396
1,e6 + 2 su2 + 2 su3,(none),e6 + su2+so7+su2 + su3,16
1,e6 + 2 su2 + 3 su3,(none),2 (su2+g2) + e6 + su3,12
1,e6 + 2 su2 + 3 su3,(none),2 su3 + e6 + sp1+g2,18
1,e6 + 2 su2 + 3 su3,(none),2 su3 + e6 + su2 + su2+g2,132
1,e6 + 2 su2 + 3 su3,(none),2 su3 + e6 + su2+so7+su2,6
1,e6 + 2 su2 + 3 su3,(none),3 su3 + e6 + 2 su2,29
1,e6 + 2 su2 + 4 su3,(none),4 su3 + e6 + 2 su2,2
1,e6 + 2 su2 + su3,(none),e6 + 2 su2 + su3,214
1,e6 + 2 su2 + su3,(none),e6 + sp1+g2,4
1,e6 + 2 su2 + su3,(none),e6 + su2 + su2+g2,74
1,e6 + 2 su2 + su3,(none),e6 + su2+so7+su2,3
1,e6 + 2 su3,(none),2 su3 + e6,31
1,e6 + 3 su2,(none),e6 + 3 su2,158
1,e6 + 3 su2 + 2 su3,(none),2 (su2+g2) + e6 + su2,42
1,e6 + 3 su2 + 2 su3,(none),2 su3 + e6 + 3 su2,146
1,e6 + 3 su2 + 2 su3,(none),e6 + 2 su2 + su2+g2 + su3,744
1,e6 + 3 su2 + 2 su3,(none),e6 + sp1+g2 + su2 + su3,252
1,e6 + 3 su2 + 2 su3,(none),e6 + sp1+g2 + su2+g2,24
1,e6 + 3 su2 + 2 su3,(none),e6 + su2 + su2+so7+su2 + su3,102
1,e6 + 3 su2 + 2 su3,(none),e6 + su2+g2 + su2+so7+su2,8
1,e6 + 3 su2 + 3 su3,(none),2 su3 + e6 + 2 su2 + su2+g2,84
1,e6 + 3 su2 + 3 su3,(none),2 su3 + e6 + sp1+g2 + su2,45
1,e6 + 3 su2 + 3 su3,(none),3 su3 + e6 + 3 su2,8
1,e6 + 3 su2 + su3,(none),e6 + 2 su2 + su2+g2,438
1,e6 + 3 su2 + su3,(none),e6 + 3 su2 + su3,454
1,e6 + 3 su2 + su3,(none),e6 + sp1+g2 + su2,88
1,e6 + 3 su2 + su3,(none),e6 + su2 + su2+so7+su2,70
1,e6 + 3 su3,(none),3 su3 + e6,19
1,e6 + 4 su2,(none),e6 + 4 su2,472
1,e6 + 4 su2 + 2 su3,(none),2 (sp1+g2) + e6,4
1,e6 + 4 su2 + 2 su3,(none),2 (su2+g2) + e6 + 2 su2,30
1,e6 + 4 su2 + 2 su3,(none),2 su3 + e6 + 4 su2,17
1,e6 + 4 su2 + 2 su3,(none),e6 + 2 su2 + su2+so7+su2 + su3,66
1,e6 + 4 su2 + 2 su3,(none),e6 + 3 su2 + su2+g2 + su3,324
1,e6 + 4 su2 + 2 su3,(none),e6 + sp1+g2 + 2 su2 + su3,219
1,e6 + 4 su2 + 2 su3,(none),e6 + sp1+g2 + su2 + su2+g2,44
1,e6 + 4 su2 + su3,(none),e6 + 2 su2 + su2+so7+su2,144
1,e6 + 4 su2 + su3,(none),e6 + 3 su2 + su2+g2,580
1,e6 + 4 su2 + su3,(none),e6 + 4 su2 + su3,441
1,e6 + 4 su2 + su3,(none),e6 + sp1+g2 + 2 su2,372
1,e6 + 4 su3,(none),4 su3 + e6,5
1,e6 + 5 su2,(none),e6 + 5 su2,541
1,e6 + 5 su2 + 2 su3,(none),e6 + 4 su2 + su2+g2 + su3,69
1,e6 + 5 su2 + 2 su3,(none),e6 + sp1+g2 + 3 su2 + su3,66
1,e6 + 5 su2 + su3,(none),e6 + 3 su2 + su2+so7+su2,54
1,e6 + 5 su2 + su3,(none),e6 + 4 su2 + su2+g2,169
1,e6 + 5 su2 + su3,(none),e6 + 5 su2 + su3,2
1,e6 + 5 su2 + su3,(none),e6 + sp1+g2 + 3 su2,171
1,e6 + 5 su3,(none),5 su3 + e6,1
1,e6 + 6 su2,(none),e6 + 6 su2,26
1,e6 + 6 su2 + su3,(none),e6 + 4 su2 + su2+so7+su2,12
1,e6 + 6 su2 + su3,(none),e6 + 5 su2 + su2+g2,42
1,e6 + 6 su2 + su3,(none),e6 + 6 su2 + su3,1
1,e6 + 6 su2 + su3,(none),e6 + sp1+g2 + 4 su2,42
1,e6 + 7 su2,(none),e6 + 7 su2,17
1,e6 + 7 su2 + su3,(none),e6 + 6 su2 + su2+g2,5
1,e6 + 7 su2 + su3,(none),e6 + 7 su2 + su3,1
1,e6 + e7,(none),e6 + e7,1
1,e6 + e7 + 2 su2,(none),e6 + e7 + 2 su2,6
1,e6 + e7 + 3 su2,(none),e6 + e7 + 3 su2,1
1,e6 + e7 + su2,(none),e6 + e7 + su2,2
1,e6 + e7 + su2 + su3,(none),e6 + e7 + su2 + su3,1
1,e6 + e7 + su3,(none),e6 + e7 + su3,1
1,e6 + e7',(none),e6 + e7',1
1,e6 + e7' + 2 su2,(none),e6 + e7' + 2 su2,6
1,e6 + e7' + 3 su2,(none),e6 + e7' + 3 su2,1
1,e6 + e7' + su2,(none),e6 + e7' + su2,2
1,e6 + e7' + su2 + su3,(none),e6 + e7' + su2 + su3,1
1,e6 + e7' + su3,(none),e6 + e7' + su3,1
1,e6 + e8,(none),e6 + e8,1
1,e6 + e8 + 2 su2,(none),e6 + e8 + 2 su2,1
1,e6 + e8 + su2,(none),e6 + e8 + su2,1
1,e6 + e8 + su3,(none),e6 + e8 + su3,1
1,e6 + f4,(none),e6 + f4,1
1,e6 + f4 + 2 su2,(none),e6 + f4 + 2 su2,30
1,e6 + f4 + 2 su2 + su3,(none),e6 + f4 + 2 su2 + su3,4
1,e6 + f4 + 2 su2 + su3,(none),e6 + f4 + sp1+g2,2
1,e6 + f4 + 2 su2 + su3,(none),e6 + f4 + su2 + su2+g2,6
1,e6 + f4 + 2 su3,(none),2 su3 + e6 + f4,1
1,e6 + f4 + 3 su2,(none),e6 + f4 + 3 su2,13
1,e6 + f4 + 4 su2,(none),e6 + f4 + 4 su2,3
1,e6 + f4 + su2,(none),e6 + f4 + su2,2
1,e6 + f4 + su2 + su3,(none),e6 + f4 + su2 + su3,2
1,e6 + f4 + su2 + su3,(none),e6 + f4 + su2+g2,2
1,e6 + f4 + su3,(none),e6 + f4 + su3,3
1,e6 + hat1,(none),e6 + su8,1
1,e6 + hat1 + 2 su2,(none),e6 + 2 su2 + su8,4
1,e6 + hat1 + 3 su2,(none),e6 + 3 su2 + su8,1
1,e6 + hat1 + su2,(none),e6 + su2 + su8,2
1,e6 + hat1 + su2 + su3,(none),e6 + su2 + su3 + su8,1
1,e6 + hat1 + su3,(none),e6 + su3 + su8,1
1,e6 + so8,(none),e6 + so8,1
1,e6 + so8 + 2 su2,(none),e6 + so8 + 2 su2,38
1,e6 + so8 + 2 su2 + 2 su3,(none),2 su3 + e6 + so8 + 2 su2,2
1,e6 + so8 + 2 su2 + su3,(none),e6 + so8 + 2 su2 + su3,27
1,e6 + so8 + 2 su2 + su3,(none),e6 + so8 + sp1+g2,6
1,e6 + so8 + 2 su2 + su3,(none),e6 + so8 + su2 + su2+g2,30
1,e6 + so8 + 2 su2 + su3,(none),e6 + so8 + su2+so7+su2,2
1,e6 + so8 + 2 su3,(none),2 su3 + e6 + so8,5
1,e6 + so8 + 3 su2,(none),e6 + so8 + 3 su2,75
1,e6 + so8 + 3 su2 + su3,(none),e6 + so8 + 2 su2 + su2+g2,24
1,e6 + so8 + 3 su2 + su3,(none),e6 + so8 + 3 su2 + su3,11
1,e6 + so8 + 3 su2 + su3,(none),e6 + so8 + sp1+g2 + su2,18
1,e6 + so8 + 3 su3,(none),3 su3 + e6 + so8,1
1,e6 + so8 + 4 su2,(none),e6 + so8 + 4 su2,26
1,e6 + so8 + 4 su2 + su3,(none),e6 + so8 + 4 su2 + su3,2
1,e6 + so8 + 5 su2,(none),e6 + so8 + 5 su2,4
1,e6 + so8 + su2,(none),e6 + so8 + su2,2
1,e6 + so8 + su2 + 2 su3,(none),2 su3 + e6 + so8 + su2,2
1,e6 + so8 + su2 + 2 su3,(none),e6 + so8 + su2+g2 + su3,6
1,e6 + so8 + su2 + su3,(none),e6 + so8 + su2 + su3,6
1,e6 + so8 + su2 + su3,(none),e6 + so8 + su2+g2,4
1,e6 + so8 + su3,(none),e6 + so8 + su3,4
1,e6 + su2,(none),e6 + su2,3
1,e6 + su2 + 2 su3,(none),2 su3 + e6 + su2,33
1,e6 + su2 + 2 su3,(none),e6 + su2+g2 + su3,24
1,e6 + su2 + 3 su3,(none),2 su3 + e6 + su2+g2,21
1,e6 + su2 + 3 su3,(none),3 su3 + e6 + su2,11
1,e6 + su2 + 4 su3,(none),3 su3 + e6 + su2+g2,4
1,e6 + su2 + 4 su3,(none),4 su3 + e6 + su2,2
1,e6 + su2 + su3,(none),e6 + su2 + su3,20
1,e6 + su2 + su3,(none),e6 + su2+g2,2
1,e6 + su3,(none),e6 + su3,6
1,e7,(none),e7,2
1,e7 + 2 so8,(none),2 so8 + e7,1
1,e7 + 2 so8 + su2,(none),2 so8 + e7 + su2,1
1,e7 + 2 su2,(none),e7 + 2 su2,19
1,e7 + 2 su2 + 2 su3,(none),2 (su2+g2) + e7,4
1,e7 + 2 su2 + 2 su3,(none),2 su3 + e7 + 2 su2,41
1,e7 + 2 su2 + 2 su3,(none),e7 + sp1+g2 + su3,16
1,e7 + 2 su2 + 2 su3,(none),e7 + su2 + su2+g2 + su3,156
1,e7 + 2 su2 + 2 su3,(none),e7 + su2+so7+su2 + su3,6
1,e7 + 2 su2 + 3 su3,(none),2 su3 + e7 + sp1+g2,6
1,e7 + 2 su2 + 3 su3,(none),2 su3 + e7 + su2 + su2+g2,24
1,e7 + 2 su2 + 3 su3,(none),3 su3 + e7 + 2 su2,6
1,e7 + 2 su2 + su3,(none),e7 + 2 su2 + su3,107
1,e7 + 2 su2 + su3,(none),e7 + sp1+g2,3
1,e7 + 2 su2 + su3,(none),e7 + su2 + su2+g2,38
1,e7 + 2 su2 + su3,(none),e7 + su2+so7+su2,2
1,e7 + 2 su3,(none),2 su3 + e7,10
1,e7 + 3 su2,(none),e7 + 3 su2,84
1,e7 + 3 su2 + 2 su3,(none),2 (su2+g2) + e7 + su2,12
1,e7 + 3 su2 + 2 su3,(none),2 su3 + e7 + 3 su2,34
1,e7 + 3 su2 + 2 su3,(none),e7 + 2 su2 + su2+g2 + su3,180
1,e7 + 3 su2 + 2 su3,(none),e7 + sp1+g2 + su2 + su3,96
1,e7 + 3 su2 + 2 su3,(none),e7 + sp1+g2 + su2+g2,12
1,e7 + 3 su2 + 2 su3,(none),e7 + su2 + su2+so7+su2 + su3,18
1,e7 + 3 su2 + 3 su3,(none),3 su3 + e7 + 3 su2,1
1,e7 + 3 su2 + su3,(none),e7 + 2 su2 + su2+g2,243
1,e7 + 3 su2 + su3,(none),e7 + 3 su2 + su3,197
1,e7 + 3 su2 + su3,(none),e7 + sp1+g2 + su2,52
1,e7 + 3 su2 + su3,(none),e7 + su2 + su2+so7+su2,38
1,e7 + 3 su3,(none),3 su3 + e7,3
1,e7 + 4 su2,(none),e7 + 4 su2,279
1,e7 + 4 su2 + 2 su3,(none),2 su3 + e7 + 4 su2,3
1,e7 + 4 su2 + 2 su3,(none),e7 + 3 su2 + su2+g2 + su3,36
1,e7 + 4 su2 + 2 su3,(none),e7 + sp1+g2 + 2 su2 + su3,30
1,e7 + 4 su2 + su3,(none),e7 + 2 su2 + su2+so7+su2,66
1,e7 + 4 su2 + su3,(none),e7 + 3 su2 + su2+g2,244
1,e7 + 4 su2 + su3,(none),e7 + 4 su2 + su3,146
1,e7 + 4 su2 + su3,(none),e7 + sp1+g2 + 2 su2,186
1,e7 + 4 su3,(none),4 su3 + e7,1
1,e7 + 5 su2,(none),e7 + 5 su2,345
1,e7 + 5 su2 + su3,(none),e7 + 3 su2 + su2+so7+su2,12
1,e7 + 5 su2 + su3,(none),e7 + 4 su2 + su2+g2,56
1,e7 + 5 su2 + su3,(none),e7 + sp1+g2 + 3 su2,60
1,e7 + 6 su2,(none),e7 + 6 su2,5
1,e7 + 6 su2 + su3,(none),e7 + 5 su2 + su2+g2,8
1,e7 + 6 su2 + su3,(none),e7 + sp1+g2 + 4 su2,9
1,e7 + 7 su2,(none),e7 + 7 su2,4
1,e7 + 8 su2,(none),e7 + 8 su2,3
1,e7 + e7',(none),e7 + e7',1
1,e7 + e7' + 2 su2,(none),e7 + e7' + 2 su2,1
1,e7 + e7' + su2,(none),e7 + e7' + su2,2
1,e7 + e8,(none),e7 + e8,1
1,e7 + e8 + su2,(none),e7 + e8 + su2,1
1,e7 + f4,(none),e7 + f4,1
1,e7 + f4 + 2 su2,(none),e7 + f4 + 2 su2,13
1,e7 + f4 + 3 su2,(none),e7 + f4 + 3 su2,3
1,e7 + f4 + su2,(none),e7 + f4 + su2,2
1,e7 + f4 + su2 + su3,(none),e7 + f4 + su2 + su3,1
1,e7 + f4 + su2 + su3,(none),e7 + f4 + su2+g2,2
1,e7 + f4 + su3,(none),e7 + f4 + su3,1
1,e7 + hat1,(none),e7 + su8,1
1,e7 + hat1 + 2 su2,(none),e7 + 2 su2 + su8,1
1,e7 + hat1 + su2,(none),e7 + su2 + su8,2
1,e7 + so8,(none),e7 + so8,1
1,e7 + so8 + 2 su2,(none),e7 + so8 + 2 su2,18
1,e7 + so8 + 2 su2 + su3,(none),e7 + so8 + 2 su2 + su3,6
1,e7 + so8 + 2 su2 + su3,(none),e7 + so8 + sp1+g2,4
1,e7 + so8 + 2 su2 + su3,(none),e7 + so8 + su2 + su2+g2,12
1,e7 + so8 + 2 su3,(none),2 su3 + e7 + so8,1
1,e7 + so8 + 3 su2,(none),e7 + so8 + 3 su2,30
1,e7 + so8 + 3 su2 + su3,(none),e7 + so8 + 3 su2 + su3,1
1,e7 + so8 + 4 su2,(none),e7 + so8 + 4 su2,7
1,e7 + so8 + 5 su2,(none),e7 + so8 + 5 su2,1
1,e7 + so8 + su2,(none),e7 + so8 + su2,2
1,e7 + so8 + su2 + 2 su3,(none),2 su3 + e7 + so8 + su2,1
1,e7 + so8 + su2 + su3,(none),e7 + so8 + su2 + su3,4
1,e7 + so8 + su2 + su3,(none),e7 + so8 + su2+g2,4
1,e7 + so8 + su3,(none),e7 + so8 + su3,2
1,e7 + su2,(none),e7 + su2,3
1,e7 + su2 + 2 su3,(none),2 su3 + e7 + su2,17
1,e7 + su2 + 2 su3,(none),e7 + su2+g2 + su3,16
1,e7 + su2 + 3 su3,(none),2 su3 + e7 + su2+g2,9
1,e7 + su2 + 3 su3,(none),3 su3 + e7 + su2,4
1,e7 + su2 + 4 su3,(none),4 su3 + e7 + su2,1
1,e7 + su2 + su3,(none),e7 + su2 + su3,14
1,e7 + su2 + su3,(none),e7 + su2+g2,2
1,e7 + su3,(none),e7 + su3,2
1,e7',(none),e7',2
1,e7' + 2 so8,(none),2 so8 + e7',1
1,e7' + 2 so8 + su2,(none),2 so8 + e7' + su2,1
1,e7' + 2 su2,(none),e7' + 2 su2,19
1,e7' + 2 su2 + 2 su3,(none),2 (su2+g2) + e7',4
1,e7' + 2 su2 + 2 su3,(none),2 su3 + e7' + 2 su2,41
1,e7' + 2 su2 + 2 su3,(none),e7' + sp1+g2 + su3,16
1,e7' + 2 su2 + 2 su3,(none),e7' + su2 + su2+g2 + su3,156
1,e7' + 2 su2 + 2 su3,(none),e7' + su2+so7+su2 + su3,6
1,e7' + 2 su2 + 3 su3,(none),2 su3 + e7' + sp1+g2,6
1,e7' + 2 su2 + 3 su3,(none),2 su3 + e7' + su2 + su2+g2,24
1,e7' + 2 su2 + 3 su3,(none),3 su3 + e7' + 2 su2,6
1,e7' + 2 su2 + su3,(none),e7' + 2 su2 + su3,107
1,e7' + 2 su2 + su3,(none),e7' + sp1+g2,3
1,e7' + 2 su2 + su3,(none),e7' + su2 + su2+g2,38
1,e7' + 2 su2 + su3,(none),e7' + su2+so7+su2,2
1,e7' + 2 su3,(none),2 su3 + e7',10
1,e7' + 3 su2,(none),e7' + 3 su2,84
1,e7' + 3 su2 + 2 su3,(none),2 (su2+g2) + e7' + su2,12
1,e7' + 3 su2 + 2 su3,(none),2 su3 + e7' + 3 su2,34
1,e7' + 3 su2 + 2 su3,(none),e7' + 2 su2 + su2+g2 + su3,180
1,e7' + 3 su2 + 2 su3,(none),e7' + sp1+g2 + su2 + su3,96
1,e7' + 3 su2 + 2 su3,(none),e7' + sp1+g2 + su2+g2,12
1,e7' + 3 su2 + 2 su3,(none),e7' + su2 + su2+so7+su2 + su3,18
1,e7' + 3 su2 + 3 su3,(none),3 su3 + e7' + 3 su2,1
1,e7' + 3 su2 + su3,(none),e7' + 2 su2 + su2+g2,243
