"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"
86	4	87	268	0	1	0	1	0	0	0	0	"{s1:1→1, s1:1→1}"	"{s2:80→1, s2:86→1}"
86	7	86	241	0	1	0	0	0	0	1	0	"s1:1→1"	"s2:86→1"
86	7	87	269	0	1	0	0	0	1	0	0	"s1:1→1"	"s2:86→1"
86	9	86	239	1	0	0	0	0	0	1	0	"s1:1→1"	"s2:86→1"
86	9	87	260	0	1	0	0	0	1	0	0	"s1:1→1 / s2:83→1"	""
86	9	87	267	1	0	0	0	0	1	0	0	"{s1:1→1, s1:1→1 / s2:83→1, s1:1→1 / s2:83→2, s1:1→1 / s2:83→3, s1:1→1 / s2:83→4, s1:1→1 / s2:83→5}"	"{s2:86→1, s2:86→1, s2:86→1, s2:86→1, s2:86→1, s2:86→1}"
86	9	88	232	0	1	0	0	0	0	1	0	"s1:1→1 / s2:83→1"	""
86	9	88	239	1	0	0	0	0	0	1	0	"{s1:1→1 / s2:83→1, s1:1→1 / s2:83→2, s1:1→1 / s2:83→3, s1:1→1 / s2:83→4, s1:1→1 / s2:83→5}"	"{s2:86→1, s2:86→1, s2:86→1, s2:86→1, s2:86→1}"
86	11	86	240	0	1	0	0	0	0	1	0	"{s1:86→1 / s2:1→1, s1:86→1 / s2:2→1}"	""
86	11	87	268	0	1	0	0	0	1	0	0	"{s1:86→1 / s2:1→1, s1:86→1 / s2:1→1, 2→1, s1:86→1 / s2:2→1}"	""
86	11	88	240	0	1	0	0	0	0	1	0	"s1:86→1 / s2:1→1, 2→1"	""
86	16	86	105	0	0	0	0	1	0	0	1	"s1:1→1 / s2:86→1"	""
86	16	86	131	0	0	0	1	0	0	0	1	"s1:1→1 / s2:86→1"	""
86	16	86	155	0	0	1	0	0	0	0	1	"s1:1→1 / s2:86→1"	""
86	16	86	220	0	0	0	0	1	0	1	0	"s1:1→1 / s2:86→1"	""
86	16	86	246	0	0	0	1	0	0	1	0	"s1:1→1 / s2:86→1"	""
86	16	86	248	0	0	0	0	1	1	0	0	"s1:1→1 / s2:86→1"	""
86	16	87	270	0	0	1	0	0	0	1	0	"s1:1→1 / s2:86→1"	""
86	16	88	175	0	1	0	0	0	0	0	1	"s1:1→1 / s2:86→1"	""
86	16	90	175	0	1	0	0	0	0	0	1	"{s1:1→1 / s2:86→2, s1:1→1 / s2:86→3, s1:1→1 / s2:86→4, s1:1→1 / s2:86→5}"	""
86	17	86	154	0	1	0	0	0	0	0	1	"s1:1→1"	"s2:86→1"
86	17	87	269	0	1	0	0	0	0	1	0	"s1:1→1"	"s2:86→1"
86	19	86	241	0	1	0	0	0	0	1	0	"s1:1→1"	"s2:86→1"
86	19	87	269	0	1	0	0	0	1	0	0	"s1:1→1"	"s2:86→1"
86	19	88	241	0	1	0	0	0	0	1	0	"s1:1→1"	"s2:85→1"
86	19	88	269	0	1	0	0	0	1	0	0	"s1:1→1"	"s2:85→1"
86	20	86	241	0	1	0	0	0	0	1	0	"s1:1→1"	"s2:86→1"
86	20	87	269	0	1	0	0	0	1	0	0	"s1:1→1"	"s2:86→1"
86	21	86	245	0	0	0	1	1	0	0	0	"s1:1→1 / s2:86→1"	""
86	21	87	269	0	0	1	0	1	0	0	0	"s1:1→1 / s2:86→1"	""
86	21	87	271	0	0	0	2	0	0	0	0	"s1:86→1 / s2:1→1"	""
86	23	87	252	0	2	0	0	0	0	0	0	"{s1:86→1 / s2:86→1, s1:86→1 / s2:86→2, s1:86→1 / s2:86→3, s1:86→1 / s2:86→4, s1:86→1 / s2:86→5, s1:86→2 / s2:86→2, s1:86→2 / s2:86→3, s1:86→2 / s2:86→4, s1:86→3 / s2:86→3}"	""
86	23	87	259	1	1	0	0	0	0	0	0	"{s1:86→1 / s2:86→1, s1:86→1 / s2:86→2, s1:86→1 / s2:86→3, s1:86→1 / s2:86→4, s1:86→1 / s2:86→5, s1:86→2 / s2:86→1, s1:86→2 / s2:86→2, s1:86→2 / s2:86→3, s1:86→2 / s2:86→4, s1:86→2 / s2:86→5, s1:86→3 / s2:86→1, s1:86→3 / s2:86→2, s1:86→3 / s2:86→3, s1:86→3 / s2:86→4, s1:86→4 / s2:86→1}"	"{s2:87→1, s2:87→1, s2:87→1, s2:87→1, s2:87→1, s2:87→1, s2:87→1, s2:87→1, s2:87→1, s2:87→1, s2:87→1, s2:87→1, s2:87→1, s2:87→1, s2:87→1}"
86	23	88	232	0	1	1	0	0	0	0	0	"{s1:86→1 / s2:86→1, s1:86→1 / s2:86→2, s1:86→1 / s2:86→3}"	""
86	23	89	208	0	1	0	1	0	0	0	0	"s1:86→1 / s2:86→1"	""
86	23	89	212	0	0	2	0	0	0	0	0	"s1:86→1 / s2:86→1"	""
86	23	90	182	0	1	0	0	1	0	0	0	"s1:86→1 / s2:86→1"	""
86	24	87	268	0	1	0	0	1	0	0	0	"{s1:86→1 / s2:1→1, s1:86→1 / s2:1→1, 2→1, s1:86→1 / s2:2→1}"	""
86	32	86	239	0	1	0	0	0	0	1	0	"s1:86→1"	"s2:1→1"
86	32	87	267	0	1	0	0	0	1	0	0	"s1:86→1"	"s2:1→1"
86	32	87	268	0	1	0	0	0	1	0	0	"s1:86→1 / s2:2→1"	""
86	32	88	240	0	1	0	0	0	0	1	0	"s1:86→1 / s2:2→1"	""
86	40	86	256	0	0	0	0	0	0	1	1	"s1:86→1 / s2:1→1"	""
86	41	86	237	1	0	0	0	0	0	1	0	"s1:1→1"	"s2:86→1"
86	41	87	265	1	0	0	0	0	1	0	0	"{s1:1→1, s1:1→1 / s2:84→1, s1:1→1 / s2:84→2, s1:1→1 / s2:84→3}"	"{s2:86→1, s2:86→1, s2:86→1, s2:86→1}"
86	41	88	237	1	0	0	0	0	0	1	0	"{s1:1→1 / s2:84→1, s1:1→1 / s2:84→2, s1:1→1 / s2:84→3}"	"{s2:86→1, s2:86→1, s2:86→1}"
86	43	87	267	0	1	0	0	1	0	0	0	"s1:1→1"	"s2:86→1"
86	43	87	268	0	1	0	0	1	0	0	0	"s1:1→1 / s2:85→1"	""
86	44	87	267	0	1	0	0	1	0	0	0	"s1:1→1 / s2:85→1"	""
86	46	86	216	0	0	1	0	0	0	1	0	"s1:86→1 / s2:1→1"	""
86	46	86	236	0	1	0	0	0	0	1	0	"s1:86→1 / s2:1→1"	""
86	46	86	244	0	0	1	0	0	1	0	0	"s1:86→1 / s2:1→1"	""
86	46	87	264	0	1	0	0	0	1	0	0	"s1:86→1 / s2:1→1"	""
86	46	87	271	0	0	1	0	1	0	0	0	"s1:86→1 / s2:1→1"	""
86	46	88	236	0	1	0	0	0	0	1	0	"{s1:86→1 / s2:1→2, s1:86→1 / s2:1→3}"	""
86	46	88	264	0	1	0	0	0	1	0	0	"{s1:86→1 / s2:1→2, s1:86→1 / s2:1→3}"	""
86	47	87	267	0	1	0	0	1	0	0	0	"s1:86→1 / s2:1→1"	""
