"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"count"
86	4	87	268	0	1	0	1	0	0	0	0	2
86	9	87	267	1	0	0	0	0	1	0	0	6
86	9	88	239	1	0	0	0	0	0	1	0	5
86	11	86	240	0	1	0	0	0	0	1	0	2
86	11	87	268	0	1	0	0	0	1	0	0	3
86	11	88	239	1	1	0	0	0	0	1	0	10
86	11	88	267	1	1	0	0	0	1	0	0	10
86	16	90	166	1	2	0	0	0	0	0	1	2
86	16	90	167	0	2	0	0	0	0	0	1	3
86	16	90	172	2	1	0	0	0	0	0	1	2
86	16	90	174	1	1	0	0	0	0	0	1	6
86	16	90	175	0	1	0	0	0	0	0	1	4
86	23	87	252	0	2	0	0	0	0	0	0	9
86	23	87	259	1	1	0	0	0	0	0	0	15
86	23	87	260	0	1	0	0	0	0	0	0	4
86	23	88	232	0	1	1	0	0	0	0	0	3
86	23	88	244	0	3	0	0	0	0	0	0	3
86	23	88	251	1	2	0	0	0	0	0	0	16
86	23	88	257	2	1	0	0	0	0	0	0	16
86	23	89	243	1	3	0	0	0	0	0	0	3
86	23	89	249	2	2	0	0	0	0	0	0	4
86	23	89	250	2	2	0	0	0	0	0	0	2
86	24	87	268	0	1	0	0	1	0	0	0	3
86	41	87	265	1	0	0	0	0	1	0	0	4
86	41	88	237	1	0	0	0	0	0	1	0	3
86	46	88	235	1	1	0	0	0	0	1	0	3
86	46	88	236	0	1	0	0	0	0	1	0	2
86	46	88	263	1	1	0	0	0	1	0	0	3
86	46	88	264	0	1	0	0	0	1	0	0	2
