"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"
75	1	77	215	0	0	0	2	0	0	0	0	"s1:75→1 / s2:1→1"	""
75	1	77	239	0	0	1	1	0	0	0	0	"s1:1→1 / s2:75→1"	""
75	2	79	125	0	1	0	0	0	0	0	1	"s1:1→1"	"s2:75→1"
75	2	79	240	0	1	0	0	0	0	1	0	"s1:1→1"	"s2:75→1"
75	6	82	251	0	2	0	0	0	0	0	0	"s1:75→1 / s2:75→1"	""
75	6	82	258	1	1	0	0	0	0	0	0	"s1:75→1 / s2:75→1"	"s2:76→1"
75	6	83	207	0	1	0	1	0	0	0	0	"s1:75→1 / s2:75→1"	""
75	6	83	231	0	1	1	0	0	0	0	0	"s1:75→1 / s2:75→1"	""
75	6	84	181	0	1	0	0	1	0	0	0	"s1:75→1 / s2:75→1"	""
75	6	84	211	0	0	2	0	0	0	0	0	"s1:75→1 / s2:75→1"	""
75	6	84	231	0	1	1	0	0	0	0	0	"s1:75→1 / s2:75→2"	""
75	6	84	251	0	2	0	0	0	0	0	0	"{s1:75→1 / s2:75→2, s1:75→1 / s2:75→3, s1:75→1 / s2:75→4, s1:75→1 / s2:75→5, s1:75→2 / s2:75→2, s1:75→2 / s2:75→3, s1:75→2 / s2:75→4, s1:75→3 / s2:75→3}"	""
75	6	84	258	1	1	0	0	0	0	0	0	"{s1:75→1 / s2:75→2, s1:75→1 / s2:75→3, s1:75→1 / s2:75→4, s1:75→1 / s2:75→5, s1:75→2 / s2:75→1, s1:75→2 / s2:75→2, s1:75→2 / s2:75→3, s1:75→2 / s2:75→4, s1:75→2 / s2:75→5, s1:75→3 / s2:75→1, s1:75→3 / s2:75→2, s1:75→3 / s2:75→3, s1:75→3 / s2:75→4, s1:75→4 / s2:75→1}"	"{s2:76→1, s2:76→1, s2:76→1, s2:76→1, s2:76→1, s2:76→1, s2:76→1, s2:76→1, s2:76→1, s2:76→1, s2:76→1, s2:76→1, s2:76→1, s2:76→1}"
75	6	85	231	0	1	1	0	0	0	0	0	"s1:75→1 / s2:75→3"	""
75	8	79	240	0	1	0	0	0	0	1	0	"s1:1→1"	"s2:75→1"
75	8	80	125	0	1	0	0	0	0	0	1	"s1:1→1"	"s2:75→1"
75	8	81	125	0	1	0	0	0	0	0	1	"s1:1→1"	"s2:74→1"
