"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"count"
75	1	75	239	0	0	1	1	0	0	0	0	2
75	1	75	267	0	0	0	1	0	0	0	0	3
75	1	78	251	0	2	0	1	0	0	0	0	4
75	1	78	258	1	1	0	1	0	0	0	0	10
75	1	78	259	0	1	0	1	0	0	0	0	8
75	3	78	251	0	1	0	1	0	0	0	0	2
75	6	78	242	1	3	0	0	0	0	0	0	3
75	6	78	248	2	2	0	0	0	0	0	0	4
75	6	78	249	2	2	0	0	0	0	0	0	2
75	10	78	224	0	2	0	0	0	0	1	0	2
75	10	78	229	2	1	0	0	0	0	1	0	2
75	10	78	230	1	1	0	0	0	0	1	0	7
75	10	78	231	1	1	0	0	0	0	1	0	5
75	10	78	232	0	1	0	0	0	0	1	0	3
75	10	78	252	0	2	0	0	0	1	0	0	2
75	10	78	257	2	1	0	0	0	1	0	0	2
75	11	75	242	0	0	0	1	1	0	0	0	2
75	11	78	210	1	0	1	0	0	0	1	0	2
75	11	78	222	1	2	0	0	0	0	1	0	5
75	11	78	223	0	2	0	0	0	0	1	0	3
75	11	78	228	2	1	0	0	0	0	1	0	2
75	11	78	229	2	1	0	0	0	0	1	0	6
75	11	78	250	1	2	0	0	0	1	0	0	5
75	11	78	256	2	1	0	0	0	1	0	0	2
75	11	78	257	2	1	0	0	0	1	0	0	6
75	11	78	265	1	0	1	0	1	0	0	0	2
75	11	78	270	0	3	0	0	1	0	0	0	2
75	12	78	242	1	3	0	0	0	0	0	0	3
75	12	78	248	2	2	0	0	0	0	0	0	4
75	12	78	249	2	2	0	0	0	0	0	0	2
75	14	78	269	1	0	0	1	0	0	0	0	5
75	44	75	225	0	0	0	0	0	0	1	1	2
75	44	75	253	0	0	0	0	0	1	0	1	2
75	46	78	210	1	0	0	0	0	0	1	0	2
75	46	78	265	1	0	0	0	1	0	0	0	2
75	47	75	215	0	0	0	1	1	0	0	0	2
75	47	75	239	0	0	1	0	1	0	0	0	2
75	47	75	267	0	0	0	0	1	0	0	0	3
75	47	78	231	0	1	1	0	1	0	0	0	2
75	47	78	243	0	3	0	0	1	0	0	0	2
75	47	78	250	1	2	0	0	1	0	0	0	4
75	47	78	256	2	1	0	0	1	0	0	0	4
75	47	79	257	0	1	1	1	0	0	0	0	2
75	47	79	269	0	3	0	1	0	0	0	0	2
