"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"
75	1	78	258	1	1	0	1	0	0	0	0
75	1	78	259	0	1	0	1	0	0	0	0
75	3	77	258	1	0	0	1	0	0	0	0
75	6	76	251	0	2	0	0	0	0	0	0
75	6	76	258	1	1	0	0	0	0	0	0
75	6	76	259	0	1	0	0	0	0	0	0
75	6	77	250	1	2	0	0	0	0	0	0
75	6	77	256	2	1	0	0	0	0	0	0
75	10	77	232	0	1	0	0	0	0	1	0
75	10	77	238	1	0	0	0	0	0	1	0
75	10	77	258	1	1	0	0	0	1	0	0
75	10	77	259	1	1	0	0	0	1	0	0
75	10	77	260	0	1	0	0	0	1	0	0
75	10	77	266	1	0	0	0	0	1	0	0
75	10	78	230	1	1	0	0	0	0	1	0
75	10	78	231	1	1	0	0	0	0	1	0
75	10	78	232	0	1	0	0	0	0	1	0
75	11	76	266	1	0	0	0	0	1	0	0
75	11	77	230	1	1	0	0	0	0	1	0
75	11	77	231	0	1	0	0	0	0	1	0
75	11	77	238	1	0	0	0	0	0	1	0
75	11	77	258	1	1	0	0	0	1	0	0
75	11	77	259	0	1	0	0	0	1	0	0
75	11	78	229	2	1	0	0	0	0	1	0
75	11	78	257	2	1	0	0	0	1	0	0
75	12	76	251	0	2	0	0	0	0	0	0
75	12	76	258	1	1	0	0	0	0	0	0
75	12	76	259	0	1	0	0	0	0	0	0
75	12	77	250	1	2	0	0	0	0	0	0
75	12	77	256	2	1	0	0	0	0	0	0
75	14	78	269	1	0	0	1	0	0	0	0
75	47	77	258	1	1	0	0	1	0	0	0
75	47	77	259	0	1	0	0	1	0	0	0
