"TH+1"	"index"	"LST gauge algebra"	"full gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"count"
8	1	"f4+su(3)+g2+su(2)"	"2 f4+2(g2+su(2))"	14	110	1	0	0	1	0	0	0	0	31
8	1	"f4+su(3)+g2+su(2)"	"2 f4+2(g2+su(2))"	15	110	1	0	0	1	0	0	0	0	6
8	1	"f4+su(3)+g2+su(2)"	"2 f4+2(g2+su(2))"	16	110	1	0	0	1	0	0	0	0	2
8	1	"f4+su(3)+g2+su(2)"	"2 f4+2(g2+su(2))+so(7)+2 su(2)"	14	99	3	1	0	1	0	0	0	0	3
8	1	"f4+su(3)+g2+su(2)"	"2 f4+2 su(3)+2(g2+su(2))"	15	94	1	2	0	1	0	0	0	0	12
8	1	"f4+su(3)+g2+su(2)"	"2 f4+2 su(3)+2(g2+su(2))"	17	94	1	2	0	1	0	0	0	0	3
8	1	"f4+su(3)+g2+su(2)"	"2 f4+2 su(3)+g2+su(2)"	12	103	0	1	0	1	0	0	0	0	2
8	1	"f4+su(3)+g2+su(2)"	"2 f4+2 su(3)+g2+su(2)"	15	103	0	1	0	1	0	0	0	0	2
8	1	"f4+su(3)+g2+su(2)"	"2 f4+2 su(3)+g2+su(2)"	17	103	0	1	0	1	0	0	0	0	4
8	1	"f4+su(3)+g2+su(2)"	"2 f4+2 su(3)+g2+su(2)"	18	103	0	1	0	1	0	0	0	0	2
8	1	"f4+su(3)+g2+su(2)"	"2 f4+2 su(3)+so(7)+2 su(2)"	14	101	1	1	0	1	0	0	0	0	11
8	1	"f4+su(3)+g2+su(2)"	"2 f4+2 su(3)+so(7)+2 su(2)"	15	101	1	1	0	1	0	0	0	0	5
8	1	"f4+su(3)+g2+su(2)"	"2 f4+2 su(3)+so(7)+2 su(2)"	16	101	1	1	0	1	0	0	0	0	4
8	1	"f4+su(3)+g2+su(2)"	"2 f4+3(g2+su(2))"	14	101	2	1	0	1	0	0	0	0	11
8	1	"f4+su(3)+g2+su(2)"	"2 f4+3(g2+su(2))"	15	101	2	1	0	1	0	0	0	0	4
8	1	"f4+su(3)+g2+su(2)"	"2 f4+3(g2+su(2))"	18	101	2	1	0	1	0	0	0	0	2
8	1	"f4+su(3)+g2+su(2)"	"2 f4+3 su(3)+g2+su(2)"	15	95	0	2	0	1	0	0	0	0	2
8	1	"f4+su(3)+g2+su(2)"	"2 f4+3 su(3)+g2+su(2)"	17	95	0	2	0	1	0	0	0	0	2
8	1	"f4+su(3)+g2+su(2)"	"2 f4+3 su(3)+so(7)+2 su(2)"	15	93	1	2	0	1	0	0	0	0	3
8	1	"f4+su(3)+g2+su(2)"	"2 f4+g2+su(2)+so(7)+2 su(2)"	14	108	2	0	0	1	0	0	0	0	33
8	1	"f4+su(3)+g2+su(2)"	"2 f4+g2+su(2)+so(7)+2 su(2)"	15	108	2	0	0	1	0	0	0	0	9
8	1	"f4+su(3)+g2+su(2)"	"2 f4+g2+su(2)+so(7)+2 su(2)"	17	108	2	0	0	1	0	0	0	0	2
8	1	"f4+su(3)+g2+su(2)"	"2 f4+so(8)+2(g2+su(2))"	15	82	1	0	1	1	0	0	0	0	15
8	1	"f4+su(3)+g2+su(2)"	"2 f4+so(8)+g2+su(2)+so(7)+2 su(2)"	15	80	2	0	1	1	0	0	0	0	7
8	1	"f4+su(3)+g2+su(2)"	"2 f4+so(8)+su(3)+g2+su(2)"	13	83	0	0	1	1	0	0	0	0	2
8	1	"f4+su(3)+g2+su(2)"	"2 f4+so(8)+su(3)+so(7)+2 su(2)"	15	81	1	0	1	1	0	0	0	0	4
8	1	"f4+su(3)+g2+su(2)"	"2 f4+su(3)+2(g2+su(2))"	14	102	1	1	0	1	0	0	0	0	42
8	1	"f4+su(3)+g2+su(2)"	"2 f4+su(3)+2(g2+su(2))"	15	102	1	1	0	1	0	0	0	0	19
8	1	"f4+su(3)+g2+su(2)"	"2 f4+su(3)+2(g2+su(2))"	16	102	1	1	0	1	0	0	0	0	10
8	1	"f4+su(3)+g2+su(2)"	"2 f4+su(3)+2(g2+su(2))"	17	102	1	1	0	1	0	0	0	0	10
8	1	"f4+su(3)+g2+su(2)"	"2 f4+su(3)+2(g2+su(2))"	18	102	1	1	0	1	0	0	0	0	5
8	1	"f4+su(3)+g2+su(2)"	"2 f4+su(3)+g2+su(2)"	8	111	0	0	0	1	0	0	0	0	2
8	1	"f4+su(3)+g2+su(2)"	"2 f4+su(3)+g2+su(2)+so(7)+2 su(2)"	14	100	2	1	0	1	0	0	0	0	27
8	1	"f4+su(3)+g2+su(2)"	"2 f4+su(3)+g2+su(2)+so(7)+2 su(2)"	15	100	2	1	0	1	0	0	0	0	8
8	1	"f4+su(3)+g2+su(2)"	"2 f4+su(3)+g2+su(2)+so(7)+2 su(2)"	17	100	2	1	0	1	0	0	0	0	2
8	1	"f4+su(3)+g2+su(2)"	"2 f4+su(3)+g2+su(2)+so(7)+2 su(2)"	18	100	2	1	0	1	0	0	0	0	3
8	1	"f4+su(3)+g2+su(2)"	"2 f4+su(3)+so(7)+2 su(2)"	14	109	1	0	0	1	0	0	0	0	13
8	1	"f4+su(3)+g2+su(2)"	"2 f4+su(3)+so(7)+2 su(2)"	15	109	1	0	0	1	0	0	0	0	2
8	1	"f4+su(3)+g2+su(2)"	"2 f4+su(3)+so(7)+2 su(2)"	16	109	1	0	0	1	0	0	0	0	2
8	1	"f4+su(3)+g2+su(2)"	"3 f4+2(g2+su(2))"	16	58	1	0	0	2	0	0	0	0	4
8	1	"f4+su(3)+g2+su(2)"	"e6+f4+2 su(3)+2(g2+su(2))"	16	68	1	2	0	0	1	0	0	0	4
8	1	"f4+su(3)+g2+su(2)"	"e6+f4+2 su(3)+g2+su(2)"	17	77	0	1	0	0	1	0	0	0	3
8	1	"f4+su(3)+g2+su(2)"	"e6+f4+2 su(3)+so(7)+2 su(2)"	15	75	1	1	0	0	1	0	0	0	14
8	1	"f4+su(3)+g2+su(2)"	"e6+f4+2 su(3)+so(7)+2 su(2)"	16	75	1	1	0	0	1	0	0	0	6
8	1	"f4+su(3)+g2+su(2)"	"e6+f4+3 su(3)+so(7)+2 su(2)"	16	67	1	2	0	0	1	0	0	0	3
8	1	"f4+su(3)+g2+su(2)"	"e6+f4+so(8)+su(3)+so(7)+2 su(2)"	16	55	1	0	1	0	1	0	0	0	4
8	1	"f4+su(3)+g2+su(2)"	"e6+f4+su(3)+2(g2+su(2))"	15	76	1	1	0	0	1	0	0	0	12
8	1	"f4+su(3)+g2+su(2)"	"e6+f4+su(3)+2(g2+su(2))"	17	76	1	1	0	0	1	0	0	0	4
8	1	"f4+su(3)+g2+su(2)"	"e6+f4+su(3)+g2+su(2)+so(7)+2 su(2)"	15	74	2	1	0	0	1	0	0	0	9
8	1	"f4+su(3)+g2+su(2)"	"e6+f4+su(3)+so(7)+2 su(2)"	15	83	1	0	0	0	1	0	0	0	14
8	1	"f4+su(3)+g2+su(2)"	"e6+f4+su(3)+so(7)+2 su(2)"	16	83	1	0	0	0	1	0	0	0	3
8	1	"f4+su(3)+g2+su(2)"	"f4+2(g2+su(2))"	12	162	1	0	0	0	0	0	0	0	11
8	1	"f4+su(3)+g2+su(2)"	"f4+2(g2+su(2))"	13	162	1	0	0	0	0	0	0	0	30
8	1	"f4+su(3)+g2+su(2)"	"f4+2(g2+su(2))"	14	162	1	0	0	0	0	0	0	0	4
8	1	"f4+su(3)+g2+su(2)"	"f4+2(g2+su(2))"	15	162	1	0	0	0	0	0	0	0	3
8	1	"f4+su(3)+g2+su(2)"	"f4+2(g2+su(2))"	16	162	1	0	0	0	0	0	0	0	2
8	1	"f4+su(3)+g2+su(2)"	"f4+2(g2+su(2))+so(7)+2 su(2)"	12	151	3	1	0	0	0	0	0	0	2
8	1	"f4+su(3)+g2+su(2)"	"f4+2(g2+su(2))+so(7)+2 su(2)"	13	151	3	1	0	0	0	0	0	0	298
8	1	"f4+su(3)+g2+su(2)"	"f4+2(g2+su(2))+so(7)+2 su(2)"	14	151	3	1	0	0	0	0	0	0	57
8	1	"f4+su(3)+g2+su(2)"	"f4+2(g2+su(2))+so(7)+2 su(2)"	15	151	3	1	0	0	0	0	0	0	19
8	1	"f4+su(3)+g2+su(2)"	"f4+2(g2+su(2))+so(7)+2 su(2)"	16	151	3	1	0	0	0	0	0	0	16
8	1	"f4+su(3)+g2+su(2)"	"f4+2(g2+su(2))+so(7)+2 su(2)"	17	151	3	1	0	0	0	0	0	0	13
8	1	"f4+su(3)+g2+su(2)"	"f4+2(g2+su(2))+so(7)+2 su(2)"	18	151	3	1	0	0	0	0	0	0	12
8	1	"f4+su(3)+g2+su(2)"	"f4+2(g2+su(2))+so(7)+2 su(2)"	19	151	3	1	0	0	0	0	0	0	8
8	1	"f4+su(3)+g2+su(2)"	"f4+2(g2+su(2))+so(7)+2 su(2)"	20	151	3	1	0	0	0	0	0	0	4
8	1	"f4+su(3)+g2+su(2)"	"f4+2(g2+su(2))+so(7)+2 su(2)"	21	151	3	1	0	0	0	0	0	0	6
8	1	"f4+su(3)+g2+su(2)"	"f4+2(g2+su(2))+so(7)+2 su(2)"	25	151	3	1	0	0	0	0	0	0	3
8	1	"f4+su(3)+g2+su(2)"	"f4+2(g2+su(2))+so(7)+2 su(2)"	28	151	3	1	0	0	0	0	0	0	3
8	1	"f4+su(3)+g2+su(2)"	"f4+2(g2+su(2))+so(7)+2 su(2)"	29	151	3	1	0	0	0	0	0	0	3
8	1	"f4+su(3)+g2+su(2)"	"f4+2(g2+su(2))+so(7)+2 su(2)"	30	151	3	1	0	0	0	0	0	0	3
8	1	"f4+su(3)+g2+su(2)"	"f4+2(g2+su(2))+so(7)+2 su(2)"	33	151	3	1	0	0	0	0	0	0	2
