"TH"	"index"	"LST gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"
8	1	"f5+su(3)+g2+su(2)"	10	147	0	2	0	0	0	0	0	0	"s1:8→1 / s2:1→1"	""
8	1	"f5+su(3)+g2+su(2)"	10	153	1	1	0	0	0	0	0	0	"s1:8→1"	"s2:2→1"
8	1	"f5+su(3)+g2+su(2)"	10	154	1	1	0	0	0	0	0	0	"s1:1→1"	"s2:7→1"
8	1	"f5+su(3)+g2+su(2)"	10	160	2	0	0	0	0	0	0	0	""	"s1:7→1 / s2:2→1"
8	1	"f5+su(3)+g2+su(2)"	11	127	0	1	1	0	0	0	0	0	"{s1:1→1 / s2:8→1, s1:8→1 / s2:1→1}"	""
8	1	"f5+su(3)+g2+su(2)"	11	133	1	0	1	0	0	0	0	0	"s1:8→1"	"s2:2→1"
8	1	"f5+su(3)+g2+su(2)"	11	134	1	0	1	0	0	0	0	0	"s1:1→1"	"s2:7→1"
8	1	"f5+su(3)+g2+su(2)"	11	154	1	1	0	0	0	0	0	0	"{s1:1→1 / s2:8→1, s1:8→1 / s2:1→1}"	"{s2:9→1, s2:9→1}"
8	1	"f5+su(3)+g2+su(2)"	12	103	0	1	0	1	0	0	0	0	"{s1:1→1 / s2:8→1, s1:8→1 / s2:1→1}"	""
8	1	"f5+su(3)+g2+su(2)"	12	107	0	0	2	0	0	0	0	0	"s1:8→1 / s2:1→1"	""
8	1	"f5+su(3)+g2+su(2)"	12	109	1	0	0	1	0	0	0	0	"s1:8→1"	"s2:2→1"
8	1	"f5+su(3)+g2+su(2)"	12	110	1	0	0	1	0	0	0	0	"s1:1→1"	"s2:7→1"
8	1	"f5+su(3)+g2+su(2)"	12	153	1	1	0	0	0	0	0	0	"{s1:1→1, s1:1→1, 8→1, s1:1→1, 8→1 / s2:1→1, 4→1, 8→2, s1:1→1, 8→1 / s2:1→1, 4→1, 8→3, s1:1→1, 8→1 / s2:1→2, 4→1, 8→2, s1:1→1, 8→1 / s2:8→1, s1:1→1 / s2:1→1, 4→1, 8→3, s1:1→1 / s2:8→1, s1:8→1 / s2:1→1, 8→1, s1:8→1 / s2:1→2, 4→1, 8→2}"	"{s2:2→1, s2:2→1, s2:2→1, s2:2→1, s2:2→1, s2:2→1, s2:2→1, s2:2→1, s2:2→1, s2:2→1}"
8	1	"f5+su(3)+g2+su(2)"	12	154	1	1	0	0	0	0	0	0	"{s1:1→1, 8→1, s1:1→1, 8→1 / s2:1→1, s1:1→1, 8→1 / s2:1→1, 4→1, 8→1, s1:1→1, 8→1 / s2:1→1, 4→1, 8→1, s1:1→1, 8→1 / s2:1→1, 4→1, 8→2, s1:1→1, 8→1 / s2:1→1, 4→1, 8→2, s1:1→1, 8→1 / s2:1→1, 4→2, 8→2, s1:1→1, 8→1 / s2:1→1, 4→2, 8→2, s1:1→1, 8→1 / s2:1→2, 4→1, 8→1, s1:1→1, 8→1 / s2:1→2, 4→1, 8→2, s1:1→1, 8→1 / s2:1→2, 4→1, 8→2, s1:1→1, 8→1 / s2:4→1, 8→1, s1:1→1 / s2:1→1, 4→1, 8→2, s1:1→1 / s2:1→1, 4→1, 8→3, s1:1→1 / s2:1→1, 4→1, 8→3, s1:1→1 / s2:1→1, 8→1, s1:1→1 / s2:4→1, 8→2, s1:8→1, s1:8→1 / s2:1→1, s1:8→1 / s2:1→2, 4→1, 8→1, s1:8→1 / s2:1→2, 4→1, 8→1, s1:8→1 / s2:1→3, 4→1, 8→1, s1:8→1 / s2:1→3, 4→1, 8→1}"	"{s2:7→1, s2:7→1, s2:7→1, s2:9→1, s2:7→1, s2:9→1, s2:7→1, s2:9→1, s2:7→1, s2:7→1, s2:9→1, s2:9→1, s2:7→1, s2:7→1, s2:9→1, s2:7→1, s2:9→1, s2:7→1, s2:7→1, s2:7→1, s2:9→1, s2:7→1, s2:9→1}"
