"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"
66	4	71	255	1	1	0	1	0	0	0	0
66	4	73	255	1	1	0	1	0	0	0	0
66	4	84	255	1	1	0	1	0	0	0	0
66	4	84	256	0	1	0	1	0	0	0	0
66	4	145	255	1	1	0	1	0	0	0	0
66	5	100	263	1	1	0	0	0	0	0	0
66	5	101	263	1	1	0	0	0	0	0	0
66	9	71	255	1	0	0	1	0	0	0	0
66	9	73	254	2	0	0	1	0	0	0	0
66	9	73	255	1	0	0	1	0	0	0	0
66	9	74	254	2	0	0	1	0	0	0	0
66	9	81	255	1	0	0	1	0	0	0	0
66	11	73	254	1	0	0	1	0	0	0	0
66	11	74	254	1	0	0	1	0	0	0	0
66	16	84	259	1	0	1	0	0	0	0	0
66	17	87	259	1	1	1	0	0	0	0	0
66	17	88	259	1	1	1	0	0	0	0	0
66	28	71	256	1	1	0	0	1	0	0	0
66	28	71	257	0	1	0	0	1	0	0	0
66	48	153	273	2	1	0	0	0	0	0	0
66	48	180	273	2	1	0	0	0	0	0	0
66	48	183	273	2	1	0	0	0	0	0	0
