"TH"	"index"	"LST gauge algebra"	"full gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"count"
49	1	"3 e8+4 f5+8(g2+su(2))"	"3 e8+e7+4 f5+8(g2+su(2))"	49	264	0	0	0	0	0	0	1	0	3
49	1	"3 e8+4 f5+8(g2+su(2))"	"3 e8+e7+4 f5+so(8)+8(g2+su(2))"	49	236	0	0	1	0	0	0	1	0	2
49	1	"3 e8+4 f5+8(g2+su(2))"	"3 e8+e7'+5 f5+8(g2+su(2))"	49	240	0	0	0	1	0	1	0	0	2
49	1	"3 e8+4 f5+8(g2+su(2))"	"3 e8+e7+5 f5+8(g2+su(2))"	50	212	0	0	0	1	0	0	1	0	2
49	1	"3 e8+4 f5+8(g2+su(2))"	"3 e8+e7'+e6+4 f5+8(g2+su(2))"	50	214	0	0	0	0	1	1	0	0	2
49	1	"3 e8+4 f5+8(g2+su(2))"	"3 e8+e7+e6+4 f5+8(g2+su(2))"	51	186	0	0	0	0	1	0	1	0	2
49	1	"3 e8+4 f5+8(g2+su(2))"	"3 e8+e7+e7'+4 f5+8(g2+su(2))"	52	159	0	0	0	0	0	1	1	0	2
49	1	"3 e8+4 f5+8(g2+su(2))"	"4 e8+4 f5+10(g2+su(2))"	55	131	2	2	0	0	0	0	0	1	4
49	1	"3 e8+4 f5+8(g2+su(2))"	"4 e8+4 f5+2 so(8)+8(g2+su(2))"	56	93	0	0	2	0	0	0	0	1	2
49	1	"3 e8+4 f5+8(g2+su(2))"	"4 e8+4 f5+2 su(3)+8(g2+su(2))"	54	133	0	2	0	0	0	0	0	1	10
49	1	"3 e8+4 f5+8(g2+su(2))"	"4 e8+4 f5+2 su(3)+8(g2+su(2))"	55	133	0	2	0	0	0	0	0	1	8
49	1	"3 e8+4 f5+8(g2+su(2))"	"4 e8+4 f5+2 su(3)+9(g2+su(2))"	55	124	1	3	0	0	0	0	0	1	6
49	1	"3 e8+4 f5+8(g2+su(2))"	"4 e8+4 f5+3 su(3)+8(g2+su(2))"	55	125	0	3	0	0	0	0	0	1	6
49	1	"3 e8+4 f5+8(g2+su(2))"	"4 e8+4 f5+4 su(3)+8(g2+su(2))"	55	117	0	4	0	0	0	0	0	1	2
49	1	"3 e8+4 f5+8(g2+su(2))"	"4 e8+4 f5+8(g2+su(2))"	49	149	0	0	0	0	0	0	0	1	2
49	1	"3 e8+4 f5+8(g2+su(2))"	"4 e8+4 f5+8(g2+su(2))+so(7)+2 su(2)"	54	138	2	1	0	0	0	0	0	1	32
49	1	"3 e8+4 f5+8(g2+su(2))"	"4 e8+4 f5+9(g2+su(2))"	54	140	1	1	0	0	0	0	0	1	30
49	1	"3 e8+4 f5+8(g2+su(2))"	"4 e8+4 f5+so(8)+2 su(3)+8(g2+su(2))"	56	105	0	2	1	0	0	0	0	1	2
49	1	"3 e8+4 f5+8(g2+su(2))"	"4 e8+4 f5+so(8)+8(g2+su(2))"	53	121	0	0	1	0	0	0	0	1	2
49	1	"3 e8+4 f5+8(g2+su(2))"	"4 e8+4 f5+so(8)+8(g2+su(2))"	55	121	0	0	1	0	0	0	0	1	2
49	1	"3 e8+4 f5+8(g2+su(2))"	"4 e8+4 f5+so(8)+9(g2+su(2))"	55	112	1	1	1	0	0	0	0	1	2
49	1	"3 e8+4 f5+8(g2+su(2))"	"4 e8+4 f5+so(8)+su(3)+8(g2+su(2))"	55	113	0	1	1	0	0	0	0	1	6
49	1	"3 e8+4 f5+8(g2+su(2))"	"4 e8+4 f5+su(3)+8(g2+su(2))"	52	141	0	1	0	0	0	0	0	1	2
49	1	"3 e8+4 f5+8(g2+su(2))"	"4 e8+4 f5+su(3)+8(g2+su(2))"	54	141	0	1	0	0	0	0	0	1	8
49	1	"3 e8+4 f5+8(g2+su(2))"	"4 e8+4 f5+su(3)+8(g2+su(2))+so(7)+2 su(2)"	55	130	2	2	0	0	0	0	0	1	8
49	1	"3 e8+4 f5+8(g2+su(2))"	"4 e8+4 f5+su(3)+9(g2+su(2))"	55	132	1	2	0	0	0	0	0	1	32
49	1	"3 e8+4 f5+8(g2+su(2))"	"4 e8+5 f5+8(g2+su(2))"	54	97	0	0	0	1	0	0	0	1	2
49	1	"3 e8+4 f5+8(g2+su(2))"	"4 e8+5 f5+su(3)+8(g2+su(2))"	56	89	0	1	0	1	0	0	0	1	2
49	1	"3 e8+4 f5+8(g2+su(2))"	"4 e8+e6+4 f5+8(g2+su(2))"	55	71	0	0	0	0	1	0	0	1	2
49	1	"3 e8+4 f5+8(g2+su(2))"	"4 e8+e6+4 f5+su(3)+8(g2+su(2))"	57	63	0	1	0	0	1	0	0	1	2
49	1	"3 e8+4 f5+8(g2+su(2))"	"4 e8+e7'+4 f5+8(g2+su(2))"	55	44	0	0	0	0	0	1	0	1	2
