"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"
49	1	59	105	0	2	1	0	0	0	0	1	"s1:1→1 / s2:49→1 / s3:49→1 / s4:49→1"	""
49	1	59	125	0	3	0	0	0	0	0	1	"s1:1→1 / s2:49→1 / s3:49→1 / s4:49→1"	""
49	1	61	132	1	2	0	0	0	0	0	1	"s1:1→1 / s2:49→1 / s3:49→1 / s4:49→1"	"s4:52→1"
49	1	62	112	1	1	1	0	0	0	0	1	"s1:1→1 / s2:49→1 / s3:49→1 / s4:49→1"	"s4:52→1"
49	1	64	125	0	3	0	0	0	0	0	1	"s1:1→1 / s2:49→1 / s3:49→1 / s4:49→2"	""
49	1	66	132	1	2	0	0	0	0	0	1	"s1:1→1 / s2:49→1 / s3:49→2 / s4:49→1"	"s4:51→1"
49	1	66	138	2	1	0	0	0	0	0	1	"s1:1→1 / s2:49→1 / s3:49→1 / s4:49→1"	"s3:51→1 / s4:51→1"
49	1	69	132	1	2	0	0	0	0	0	1	"s1:1→1 / s2:49→1 / s3:49→2 / s4:49→1"	"s4:52→1"
49	1	70	132	1	2	0	0	0	0	0	1	"s1:49→1 / s2:1→1 / s3:1→1 / s4:1→2"	"s4:52→1"
49	1	71	132	1	2	0	0	0	0	0	1	"s1:1→1 / s2:49→1 / s3:49→1 / s4:49→2"	"s4:52→1"
49	1	72	125	0	3	0	0	0	0	0	1	"s1:1→1 / s2:49→1 / s3:49→1 / s4:49→3"	""
49	1	74	132	1	2	0	0	0	0	0	1	"s1:1→1 / s2:49→1 / s3:49→3 / s4:49→1"	"s4:51→1"
49	1	76	132	1	2	0	0	0	0	0	1	"s1:1→1 / s2:49→1 / s3:49→2 / s4:49→2"	"s4:51→1"
49	1	78	138	2	1	0	0	0	0	0	1	"{s1:1→1 / s2:49→1 / s3:49→1 / s4:49→2, s1:1→1 / s2:49→2 / s3:49→1 / s4:49→1}"	"{s3:51→1 / s4:51→1, s3:51→1 / s4:51→1}"
49	1	85	132	1	2	0	0	0	0	0	1	"s1:1→1 / s2:49→1 / s3:49→1 / s4:49→3"	"s4:52→1"
49	1	90	132	1	2	0	0	0	0	0	1	"s1:1→1 / s2:49→1 / s3:49→2 / s4:49→3"	"s4:51→1"
49	1	90	138	2	1	0	0	0	0	0	1	"s1:1→1 / s2:49→1 / s3:49→2 / s4:49→2"	"s3:51→1 / s4:51→1"
49	1	94	138	2	1	0	0	0	0	0	1	"s1:1→1 / s2:49→1 / s3:49→1 / s4:49→3"	"s3:51→1 / s4:51→1"
49	1	104	132	1	2	0	0	0	0	0	1	"s1:1→1 / s2:49→1 / s3:49→1 / s4:49→4"	"s4:52→1"
49	1	107	138	2	1	0	0	0	0	0	1	"s1:1→1 / s2:49→1 / s3:49→2 / s4:49→3"	"s3:51→1 / s4:51→1"
49	1	108	138	2	1	0	0	0	0	0	1	"s1:49→1 / s2:1→1 / s3:1→2 / s4:1→3"	"s3:51→1 / s4:51→1"
49	1	109	132	1	2	0	0	0	0	0	1	"s1:1→1 / s2:49→1 / s3:49→2 / s4:49→4"	"s4:51→1"
49	1	116	138	2	1	0	0	0	0	0	1	"s1:1→1 / s2:49→1 / s3:49→1 / s4:49→4"	"s3:51→1 / s4:51→1"
