"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"count"
78	3	78	212	0	1	0	0	0	0	1	0	2
78	3	78	240	0	1	0	0	0	1	0	0	2
78	3	79	267	0	1	0	0	1	0	0	0	2
78	4	79	266	0	0	1	1	0	0	0	0	2
78	4	80	259	1	1	0	0	1	0	0	0	5
78	4	80	260	0	1	0	0	1	0	0	0	4
78	4	80	265	1	0	1	1	0	0	0	0	2
78	9	80	252	0	1	0	0	1	0	0	0	2
78	9	80	257	2	0	0	0	1	0	0	0	3
78	9	80	259	1	0	0	0	1	0	0	0	5
78	11	80	257	1	0	0	0	1	0	0	0	3
78	18	80	265	1	0	0	1	0	0	0	0	2
78	32	78	243	0	0	0	1	1	0	0	0	2
78	32	79	267	0	0	1	0	1	0	0	0	2
78	32	80	231	1	1	0	0	0	0	1	0	6
78	32	80	232	0	1	0	0	0	0	1	0	4
78	32	80	252	0	2	0	0	0	1	0	0	3
78	32	80	259	1	1	0	0	0	1	0	0	6
78	32	80	260	0	1	0	0	0	1	0	0	4
78	32	81	223	1	2	0	0	0	0	1	0	2
78	32	81	224	0	2	0	0	0	0	1	0	3
78	32	81	229	2	1	0	0	0	0	1	0	2
78	32	81	251	1	2	0	0	0	1	0	0	2
78	32	81	257	2	1	0	0	0	1	0	0	2
78	32	81	271	0	3	0	0	1	0	0	0	2
