"TH"	"index"	"LST gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"
27	4	"2 e8+f5+4(g2+su(2))"	34	162	1	1	1	0	0	0	0	0
27	4	"2 e8+f5+4(g2+su(2))"	37	138	1	1	0	1	0	0	0	0
27	4	"2 e8+f5+4(g2+su(2))"	37	139	0	1	0	1	0	0	0	0
27	9	"2 e8+f5+su(3)+4(g2+su(2))"	31	180	2	1	0	0	0	0	0	0
27	9	"2 e8+f5+su(3)+4(g2+su(2))"	31	182	1	1	0	0	0	0	0	0
27	9	"2 e8+f5+su(3)+4(g2+su(2))"	31	183	0	1	0	0	0	0	0	0
27	9	"2 e8+f5+su(3)+4(g2+su(2))"	32	162	1	0	1	0	0	0	0	0
27	9	"2 e8+f5+su(3)+4(g2+su(2))"	32	180	2	1	0	0	0	0	0	0
27	9	"2 e8+f5+su(3)+4(g2+su(2))"	32	190	1	0	0	0	0	0	0	0
27	9	"2 e8+f5+su(3)+4(g2+su(2))"	33	138	1	0	0	1	0	0	0	0
27	9	"2 e8+f5+su(3)+4(g2+su(2))"	33	190	1	0	0	0	0	0	0	0
27	9	"2 e8+f5+su(3)+4(g2+su(2))"	34	162	1	0	1	0	0	0	0	0
27	11	"2 e8+f5+5(g2+su(2))"	30	188	1	0	0	0	0	0	0	0
27	11	"2 e8+f5+5(g2+su(2))"	31	180	1	1	0	0	0	0	0	0
27	11	"2 e8+f5+5(g2+su(2))"	31	181	1	1	0	0	0	0	0	0
27	11	"2 e8+f5+5(g2+su(2))"	31	182	0	1	0	0	0	0	0	0
27	11	"2 e8+f5+5(g2+su(2))"	32	180	1	1	0	0	0	0	0	0
27	11	"2 e8+f5+5(g2+su(2))"	32	188	1	0	0	0	0	0	0	0
27	16	"2 e8+f5+2 su(3)+4(g2+su(2))"	31	180	2	0	0	0	0	0	0	0
27	16	"2 e8+f5+2 su(3)+4(g2+su(2))"	31	181	2	0	0	0	0	0	0	0
27	16	"2 e8+f5+2 su(3)+4(g2+su(2))"	31	182	1	0	0	0	0	0	0	0
27	16	"2 e8+f5+2 su(3)+4(g2+su(2))"	32	180	2	0	0	0	0	0	0	0
27	16	"2 e8+f5+2 su(3)+4(g2+su(2))"	32	182	1	0	0	0	0	0	0	0
27	16	"2 e8+f5+2 su(3)+4(g2+su(2))"	33	182	1	0	0	0	0	0	0	0
27	20	"e8+e7+2 f5+5(g2+su(2))"	31	173	1	0	0	0	1	0	0	0
27	20	"e8+e7+2 f5+5(g2+su(2))"	32	165	1	1	0	0	1	0	0	0
27	20	"e8+e7+2 f5+5(g2+su(2))"	32	166	1	1	0	0	1	0	0	0
27	20	"e8+e7+2 f5+5(g2+su(2))"	34	110	1	1	0	0	0	0	1	0
27	20	"e8+e7+2 f5+5(g2+su(2))"	34	118	1	0	0	0	0	0	1	0
27	20	"e8+e7+2 f5+5(g2+su(2))"	34	251	1	0	0	0	0	0	0	0
27	20	"e8+e7+2 f5+5(g2+su(2))"	35	111	1	1	0	0	0	0	1	0
27	20	"e8+e7+2 f5+5(g2+su(2))"	35	112	0	1	0	0	0	0	1	0
27	20	"e8+e7+2 f5+5(g2+su(2))"	35	138	1	1	0	0	0	1	0	0
27	20	"e8+e7+2 f5+5(g2+su(2))"	35	146	1	0	0	0	0	1	0	0
27	20	"e8+e7+2 f5+5(g2+su(2))"	37	139	1	1	0	0	0	1	0	0
27	20	"e8+e7+2 f5+5(g2+su(2))"	37	140	0	1	0	0	0	1	0	0
27	21	"e8+e7+2 f5+su(3)+3(g2+su(2))+so(7)+2 su(2)"	31	173	1	0	0	0	1	0	0	0
27	21	"e8+e7+2 f5+su(3)+3(g2+su(2))+so(7)+2 su(2)"	32	164	2	1	0	0	1	0	0	0
27	21	"e8+e7+2 f5+su(3)+3(g2+su(2))+so(7)+2 su(2)"	32	165	1	1	0	0	1	0	0	0
27	21	"e8+e7+2 f5+su(3)+3(g2+su(2))+so(7)+2 su(2)"	32	251	1	0	0	0	0	0	0	0
27	21	"e8+e7+2 f5+su(3)+3(g2+su(2))+so(7)+2 su(2)"	34	110	1	1	0	0	0	0	1	0
27	21	"e8+e7+2 f5+su(3)+3(g2+su(2))+so(7)+2 su(2)"	34	118	1	0	0	0	0	0	1	0
27	21	"e8+e7+2 f5+su(3)+3(g2+su(2))+so(7)+2 su(2)"	34	146	1	0	0	0	0	1	0	0
27	21	"e8+e7+2 f5+su(3)+3(g2+su(2))+so(7)+2 su(2)"	34	251	1	0	0	0	0	0	0	0
27	21	"e8+e7+2 f5+su(3)+3(g2+su(2))+so(7)+2 su(2)"	35	109	2	1	0	0	0	0	1	0
27	21	"e8+e7+2 f5+su(3)+3(g2+su(2))+so(7)+2 su(2)"	35	110	1	1	0	0	0	0	1	0
27	21	"e8+e7+2 f5+su(3)+3(g2+su(2))+so(7)+2 su(2)"	35	111	0	1	0	0	0	0	1	0
27	21	"e8+e7+2 f5+su(3)+3(g2+su(2))+so(7)+2 su(2)"	35	138	1	1	0	0	0	1	0	0
27	21	"e8+e7+2 f5+su(3)+3(g2+su(2))+so(7)+2 su(2)"	36	138	1	1	0	0	0	1	0	0
27	21	"e8+e7+2 f5+su(3)+3(g2+su(2))+so(7)+2 su(2)"	36	139	0	1	0	0	0	1	0	0
27	21	"e8+e7+2 f5+su(3)+3(g2+su(2))+so(7)+2 su(2)"	37	138	1	1	0	0	0	1	0	0
27	21	"e8+e7+2 f5+su(3)+3(g2+su(2))+so(7)+2 su(2)"	38	137	2	1	0	0	0	1	0	0
27	21	"e8+e7+2 f5+su(3)+3(g2+su(2))+so(7)+2 su(2)"	38	138	1	1	0	0	0	1	0	0
27	21	"e8+e7+2 f5+su(3)+3(g2+su(2))+so(7)+2 su(2)"	39	137	2	1	0	0	0	1	0	0
27	21	"e8+e7+2 f5+su(3)+3(g2+su(2))+so(7)+2 su(2)"	45	157	1	2	0	0	1	0	0	0
27	22	"2 e8+f5+su(3)+5(g2+su(2))"	31	179	2	0	0	0	0	0	0	0
27	22	"2 e8+f5+su(3)+5(g2+su(2))"	31	180	1	0	0	0	0	0	0	0
27	22	"2 e8+f5+su(3)+5(g2+su(2))"	31	181	1	0	0	0	0	0	0	0
27	22	"2 e8+f5+su(3)+5(g2+su(2))"	32	179	2	0	0	0	0	0	0	0
27	22	"2 e8+f5+su(3)+5(g2+su(2))"	32	180	1	0	0	0	0	0	0	0
27	22	"2 e8+f5+su(3)+5(g2+su(2))"	32	181	1	0	0	0	0	0	0	0
27	22	"2 e8+f5+su(3)+5(g2+su(2))"	33	181	1	0	0	0	0	0	0	0
27	23	"e8+e7+2 f5+5(g2+su(2))"	33	173	1	0	0	0	1	0	0	0
27	23	"e8+e7+2 f5+5(g2+su(2))"	34	173	1	0	0	0	1	0	0	0
27	24	"2 e7+2 f5+4(g2+su(2))+so(7)+2 su(2)"	34	107	2	1	0	0	0	0	0	1
27	24	"2 e7+2 f5+4(g2+su(2))+so(7)+2 su(2)"	34	109	1	1	0	0	0	0	0	1
27	24	"2 e7+2 f5+4(g2+su(2))+so(7)+2 su(2)"	34	110	0	1	0	0	0	0	0	1
27	24	"2 e7+2 f5+4(g2+su(2))+so(7)+2 su(2)"	35	101	1	2	0	0	0	0	0	1
27	24	"2 e7+2 f5+4(g2+su(2))+so(7)+2 su(2)"	35	102	0	2	0	0	0	0	0	1
27	25	"e8+e7+3 f5+su(3)+4(g2+su(2))"	31	173	1	0	1	0	0	0	0	0
27	25	"e8+e7+3 f5+su(3)+4(g2+su(2))"	32	200	1	0	0	0	0	0	0	0
27	25	"e8+e7+3 f5+su(3)+4(g2+su(2))"	33	149	1	0	0	1	0	0	0	0
27	25	"e8+e7+3 f5+su(3)+4(g2+su(2))"	33	172	1	0	1	0	0	0	0	0
27	25	"e8+e7+3 f5+su(3)+4(g2+su(2))"	33	200	1	0	0	0	0	0	0	0
27	25	"e8+e7+3 f5+su(3)+4(g2+su(2))"	33	201	1	0	0	0	0	0	0	0
27	25	"e8+e7+3 f5+su(3)+4(g2+su(2))"	34	200	1	0	0	0	0	0	0	0
27	25	"e8+e7+3 f5+su(3)+4(g2+su(2))"	35	172	1	0	1	0	0	0	0	0
27	26	"e8+e7+3 f5+5(g2+su(2))"	34	199	1	0	0	0	0	0	0	0
27	28	"e8+e7+3 f5+su(3)+4(g2+su(2))"	31	173	1	0	1	0	0	0	0	0
27	28	"e8+e7+3 f5+su(3)+4(g2+su(2))"	32	149	1	0	0	1	0	0	0	0
27	28	"e8+e7+3 f5+su(3)+4(g2+su(2))"	32	201	1	0	0	0	0	0	0	0
27	28	"e8+e7+3 f5+su(3)+4(g2+su(2))"	33	149	1	0	0	1	0	0	0	0
27	28	"e8+e7+3 f5+su(3)+4(g2+su(2))"	33	173	1	0	1	0	0	0	0	0
27	28	"e8+e7+3 f5+su(3)+4(g2+su(2))"	33	201	1	0	0	0	0	0	0	0
27	28	"e8+e7+3 f5+su(3)+4(g2+su(2))"	35	173	1	0	1	0	0	0	0	0
27	29	"2 e8+f5+6(g2+su(2))"	31	179	1	0	0	0	0	0	0	0
