"TH"	"index"	"LST gauge algebra"	"full gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"count"
93	8	"7 e8+8 f5+15(g2+su(2))"	"7 e8+e7+8 f5+su(3)+15(g2+su(2))"	93	269	0	1	0	0	0	0	1	0	2
93	12	"7 e8+7 f5+so(8)+15(g2+su(2))"	"8 e8+7 f5+so(8)+16(g2+su(2))"	97	177	1	1	0	0	0	0	0	1	3
93	12	"7 e8+7 f5+so(8)+15(g2+su(2))"	"8 e8+7 f5+so(8)+su(3)+15(g2+su(2))"	97	178	0	1	0	0	0	0	0	1	2
93	14	"7 e8+8 f5+2 su(3)+14(g2+su(2))"	"7 e8+e6+9 f5+2 su(3)+14(g2+su(2))"	93	273	0	0	0	1	1	0	0	0	2
93	26	"7 e8+7 f5+so(8)+su(3)+15(g2+su(2))"	"8 e8+7 f5+so(8)+16(g2+su(2))"	97	177	1	0	0	0	0	0	0	1	3
93	30	"8 e8+7 f5+so(8)+15(g2+su(2))"	"8 e8+7 f5+so(8)+16(g2+su(2))"	97	177	1	1	0	0	0	0	0	0	3
93	30	"8 e8+7 f5+so(8)+15(g2+su(2))"	"8 e8+7 f5+so(8)+su(3)+15(g2+su(2))"	97	178	0	1	0	0	0	0	0	0	2
93	46	"6 e8+2 e7+7 f5+14(g2+su(2))+2(so(7)+2 su(2))"	"6 e8+2 e7+e7'+e6+7 f5+14(g2+su(2))+2(so(7)+2 su(2))"	93	248	0	0	0	0	1	1	0	0	2
93	46	"6 e8+2 e7+7 f5+14(g2+su(2))+2(so(7)+2 su(2))"	"6 e8+3 e7+7 f5+so(8)+14(g2+su(2))+2(so(7)+2 su(2))"	93	270	0	0	1	0	0	0	1	0	2
93	46	"6 e8+2 e7+7 f5+14(g2+su(2))+2(so(7)+2 su(2))"	"6 e8+3 e7+8 f5+14(g2+su(2))+2(so(7)+2 su(2))"	93	246	0	0	0	1	0	0	1	0	2
93	46	"6 e8+2 e7+7 f5+14(g2+su(2))+2(so(7)+2 su(2))"	"6 e8+3 e7+e6+7 f5+14(g2+su(2))+2(so(7)+2 su(2))"	93	220	0	0	0	0	1	0	1	0	2
93	46	"6 e8+2 e7+7 f5+14(g2+su(2))+2(so(7)+2 su(2))"	"6 e8+3 e7+e7'+7 f5+14(g2+su(2))+2(so(7)+2 su(2))"	93	193	0	0	0	0	0	1	1	0	2
