"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"count"
79	5	79	126	0	1	0	0	0	0	0	1	2
79	5	79	241	0	1	0	0	0	0	1	0	2
79	5	80	269	0	1	0	0	0	1	0	0	2
79	6	81	233	0	1	0	0	0	0	1	0	4
79	6	81	260	1	1	0	0	0	1	0	0	5
79	6	81	261	0	1	0	0	0	1	0	0	4
79	6	82	225	0	2	0	0	0	0	1	0	2
79	6	82	232	1	1	0	0	0	0	1	0	4
79	10	81	270	1	0	0	1	0	0	0	0	6
79	14	81	232	1	0	0	0	0	0	1	0	5
79	14	81	253	0	1	0	0	0	1	0	0	2
79	14	81	260	1	0	0	0	0	1	0	0	5
79	17	81	230	1	0	0	0	0	0	1	0	3
79	17	81	258	1	0	0	0	0	1	0	0	3
79	30	81	260	1	1	0	0	1	0	0	0	3
79	30	81	261	0	1	0	0	1	0	0	0	2
79	36	81	258	2	0	0	0	1	0	0	0	2
79	36	81	260	1	0	0	0	1	0	0	0	3
79	52	80	267	0	0	1	1	0	0	0	0	2
79	52	82	265	1	0	1	1	0	0	0	0	2
