"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"
40	72	187	256	2	1	0	0	0	1	0	0	"s1:40→1 / s2:1→1 / s4:1→1"	"s3:2→1 / s4:42→1"
40	73	186	184	2	2	0	0	0	0	0	0	"s1:40→1 / s2:1→1 / s3:40→1 / s4:1→1, 38→1"	"s3:42→1 / s4:41→1"
40	76	46	133	1	2	0	0	0	0	0	1	"{s1:40→1 / s2:1→1 / s3:1→1 / s4:1→1, s1:40→1 / s2:1→1 / s3:1→1 / s4:1→2, s1:40→1 / s2:1→1 / s3:1→1 / s4:1→3, s1:40→1 / s2:1→1 / s3:1→1 / s4:1→4, s1:40→1 / s2:1→1 / s3:1→1 / s4:1→5, s1:40→1 / s2:1→1 / s3:1→2 / s4:1→1}"	"{s4:43→1, s4:43→1, s4:43→1, s4:43→1, s4:43→1, s4:42→1}"
40	76	46	139	2	1	0	0	0	0	0	1	"{s1:40→1 / s2:1→1 / s3:1→1 / s4:1→1, s1:40→1 / s2:1→1 / s3:1→1 / s4:1→2, s1:40→1 / s2:1→1 / s3:1→1 / s4:1→3, s1:40→1 / s2:1→1 / s3:1→1 / s4:1→4, s1:40→1 / s2:1→1 / s3:1→1 / s4:1→5, s1:40→1 / s2:1→1 / s3:1→2 / s4:1→2, s1:40→1 / s2:1→1 / s3:1→2 / s4:1→3, s1:40→1 / s2:1→1 / s3:1→2 / s4:1→4}"	"{s3:42→1 / s4:42→1, s3:42→1 / s4:42→1, s3:42→1 / s4:42→1, s3:42→1 / s4:42→1, s3:42→1 / s4:42→1, s3:42→1 / s4:42→1, s3:42→1 / s4:42→1, s3:42→1 / s4:42→1}"
40	76	47	126	0	3	0	0	0	0	0	1	"s1:40→1 / s2:1→1 / s3:1→1 / s4:1→1"	""
40	76	193	269	0	3	0	0	0	1	0	0	"s1:40→1 / s2:1→1 / s3:1→1 / s4:1→1"	""
40	79	47	107	1	2	0	0	0	0	0	1	"s1:40→1 / s2:1→1 / s3:1→1 / s4:5→1"	"s4:43→1"
40	79	178	250	1	2	0	0	0	1	0	0	"s1:40→1 / s2:1→1 / s3:1→1 / s4:5→1"	"s4:43→1"
40	94	174	193	1	2	0	0	0	0	1	0	"s1:1→1 / s2:40→1 / s3:40→1 / s4:6→1, 36→1, 40→1"	"s4:43→1"
40	94	178	227	2	1	0	0	0	1	0	0	"s1:1→1 / s2:40→1 / s3:40→1 / s4:6→1, 40→2"	"s3:42→1 / s4:42→1"
40	94	180	199	2	1	0	0	0	0	1	0	"s1:1→1 / s2:40→1 / s3:40→1 / s4:36→1, 40→2"	"s3:42→1 / s4:42→1"
40	94	183	254	1	1	1	1	0	0	0	0	"s1:40→1 / s2:1→1 / s3:1→1 / s4:6→1"	"s4:43→1"
40	94	184	267	0	3	0	1	0	0	0	0	"s1:40→1 / s2:1→1 / s3:1→1 / s4:1→1"	""
40	94	191	221	1	2	0	0	0	1	0	0	"s1:1→1 / s2:40→1 / s3:40→1 / s4:6→1, 40→1"	"s4:43→1"
40	94	191	254	2	1	0	0	1	0	0	0	"s1:40→1 / s2:1→1 / s3:1→2, 6→1 / s4:1→4"	"s3:42→1 / s4:42→1"
40	97	166	254	2	1	0	1	0	0	0	0	"s1:40→1 / s2:1→1 / s4:1→2"	"s3:2→1 / s4:42→1"
40	97	170	254	2	1	0	1	0	0	0	0	"{s1:40→1 / s2:1→1 / s3:5→1 / s4:1→1, s1:40→1 / s2:1→1 / s3:5→1 / s4:1→1}"	"{s3:42→1 / s4:2→1, s3:42→1 / s4:42→1}"
40	114	187	248	1	2	0	0	1	0	0	0	"s1:40→1 / s2:1→1 / s3:1→1"	"s4:4→1"
40	139	167	247	1	2	0	1	0	0	0	0	"s1:40→1 / s2:1→1 / s3:1→1"	"s4:4→1"
