"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"	"LST gauge algebra"
40	5	41	197	1	1	0	0	0	0	0	0	""	"{s1:1→1 / s2:40→1, s1:4→1 / s2:40→1}"	"3 e8+3 f5+su(3)+5(g2+su(2))"
40	5	43	189	0	2	0	0	0	0	0	0	"{s1:37→1, s2:37→1}"	"{s1:4→1 / s2:1→1, s1:4→1 / s2:1→1}"	"3 e8+3 f5+su(3)+5(g2+su(2))"
40	6	41	198	0	2	0	0	0	0	0	0	"{s1:38→1, s1:38→1, s1:40→1, s1:40→1}"	"{s2:1→1, s2:4→1, s2:1→1, s2:4→1}"	"3 e8+3 f5+5(g2+su(2))"
40	7	41	197	0	2	0	0	0	0	0	0	""	"{s1:40→1 / s2:1→1, s1:40→1 / s2:4→1}"	"3 e8+3 f5+5(g2+su(2))"
40	9	41	190	0	2	0	0	0	0	0	0	"{s1:38→1 / s2:1→1, s1:40→1 / s2:1→1}"	""	"3 e8+3 f5+6(g2+su(2))"
40	9	42	170	0	1	1	0	0	0	0	0	"{s1:1→1 / s2:38→1, s1:1→1 / s2:40→1}"	""	"3 e8+3 f5+6(g2+su(2))"
40	9	42	197	1	1	0	0	0	0	0	0	"{s1:1→1 / s2:38→1, s1:1→1 / s2:40→1, s1:38→1 / s2:1→1, s1:40→1 / s2:1→1}"	"{s2:41→1, s2:41→1, s2:41→1, s2:41→1}"	"3 e8+3 f5+6(g2+su(2))"
40	9	43	146	0	1	0	1	0	0	0	0	"{s1:1→1 / s2:38→1, s1:1→1 / s2:40→1}"	""	"3 e8+3 f5+6(g2+su(2))"
40	9	43	190	0	2	0	0	0	0	0	0	"{s1:1→1, 40→1 / s2:1→1, 38→1, s1:1→1 / s2:1→1, 38→1, 40→1, s1:38→1 / s2:1→1, 40→1, s1:40→1 / s2:1→1, 38→1}"	""	"3 e8+3 f5+6(g2+su(2))"
40	9	45	146	0	1	0	1	0	0	0	0	"s1:1→1 / s2:38→1, 40→1"	""	"3 e8+3 f5+6(g2+su(2))"
40	9	45	170	0	1	1	0	0	0	0	0	"s1:1→1 / s2:38→1, 40→1"	""	"3 e8+3 f5+6(g2+su(2))"
40	11	41	190	0	2	0	0	0	0	0	0	"s1:40→1"	"s2:1→1"	"3 e8+3 f5+su(3)+5(g2+su(2))"
40	11	41	197	1	1	0	0	0	0	0	0	""	"s1:1→1 / s2:39→1"	"3 e8+3 f5+su(3)+5(g2+su(2))"
40	11	42	146	0	1	0	1	0	0	0	0	"s1:40→1"	"s2:1→1"	"3 e8+3 f5+su(3)+5(g2+su(2))"
