"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"
36	1	43	82	0	1	0	0	0	0	0	1
36	1	44	73	1	2	0	0	0	0	0	1
36	1	44	74	0	2	0	0	0	0	0	1
36	1	44	79	2	1	0	0	0	0	0	1
36	1	44	81	1	1	0	0	0	0	0	1
36	1	51	188	1	2	0	0	0	0	1	0
36	1	51	189	0	2	0	0	0	0	1	0
36	1	51	194	2	1	0	0	0	0	1	0
36	1	51	196	1	1	0	0	0	0	1	0
36	1	51	197	0	1	0	0	0	0	1	0
36	1	58	225	0	1	0	0	0	1	0	0
36	1	59	216	1	2	0	0	0	1	0	0
36	1	59	217	0	2	0	0	0	1	0	0
36	1	59	222	2	1	0	0	0	1	0	0
36	1	59	224	1	1	0	0	0	1	0	0
36	1	59	225	0	1	0	0	0	1	0	0
36	1	67	251	1	1	0	0	1	0	0	0
36	1	98	217	0	2	0	0	0	1	0	0
36	1	98	225	0	1	0	0	0	1	0	0
36	1	99	216	1	2	0	0	0	1	0	0
36	1	99	217	0	2	0	0	0	1	0	0
36	1	99	222	2	1	0	0	0	1	0	0
36	1	99	224	1	1	0	0	0	1	0	0
36	1	110	243	1	2	0	0	1	0	0	0
36	1	110	244	0	2	0	0	1	0	0	0
36	1	110	249	2	1	0	0	1	0	0	0
36	1	110	251	1	1	0	0	1	0	0	0
36	1	110	252	0	1	0	0	1	0	0	0
36	1	111	249	2	1	0	0	1	0	0	0
36	1	112	216	1	2	0	0	0	1	0	0
36	1	128	243	1	2	0	0	1	0	0	0
36	1	157	244	0	2	0	0	1	0	0	0
36	1	158	251	1	1	0	0	1	0	0	0
36	1	168	196	1	1	0	0	0	0	1	0
36	2	40	181	1	0	0	0	0	1	0	0
36	2	41	153	1	0	0	0	0	0	1	0
36	2	42	153	1	0	0	0	0	0	1	0
36	2	44	38	1	0	0	0	0	0	0	1
36	2	45	38	1	0	0	0	0	0	0	1
36	2	47	250	1	1	1	0	0	0	0	0
36	2	52	270	1	2	0	0	0	0	0	0
36	2	58	262	1	3	0	0	0	0	0	0
36	2	58	269	2	2	0	0	0	0	0	0
36	2	84	270	1	2	0	0	0	0	0	0
36	2	85	270	1	2	0	0	0	0	0	0
36	2	86	271	0	2	0	0	0	0	0	0
36	2	92	269	2	2	0	0	0	0	0	0
36	2	93	269	2	2	0	0	0	0	0	0
36	2	96	270	1	2	0	0	0	0	0	0
36	2	107	200	1	1	0	0	1	0	0	0
36	2	107	270	1	2	0	0	0	0	0	0
36	2	110	270	1	2	0	0	0	0	0	0
36	2	116	226	1	1	0	1	0	0	0	0
36	2	125	270	1	2	0	0	0	0	0	0
36	2	128	226	1	1	0	1	0	0	0	0
36	2	130	250	1	1	1	0	0	0	0	0
36	2	137	249	2	1	1	0	0	0	0	0
36	2	137	250	1	1	1	0	0	0	0	0
36	2	138	249	2	1	1	0	0	0	0	0
36	2	138	270	1	2	0	0	0	0	0	0
36	2	141	271	0	2	0	0	0	0	0	0
36	2	152	269	2	2	0	0	0	0	0	0
36	2	152	270	1	2	0	0	0	0	0	0
36	2	153	269	2	2	0	0	0	0	0	0
36	2	154	270	1	2	0	0	0	0	0	0
36	2	154	271	0	2	0	0	0	0	0	0
36	2	160	208	1	0	0	0	1	0	0	0
36	2	160	270	1	2	0	0	0	0	0	0
36	2	162	269	2	2	0	0	0	0	0	0
36	2	165	200	1	1	0	0	1	0	0	0
36	2	165	208	1	0	0	0	1	0	0	0
36	2	165	226	1	1	0	1	0	0	0	0
36	2	166	250	1	1	1	0	0	0	0	0
36	2	166	270	1	2	0	0	0	0	0	0
36	2	168	226	1	1	0	1	0	0	0	0
36	2	168	250	1	1	1	0	0	0	0	0
36	2	169	270	1	2	0	0	0	0	0	0
36	2	170	242	1	2	1	0	0	0	0	0
36	2	170	262	1	3	0	0	0	0	0	0
36	2	171	262	1	3	0	0	0	0	0	0
36	2	174	254	1	4	0	0	0	0	0	0
36	2	176	269	2	2	0	0	0	0	0	0
36	2	176	270	1	2	0	0	0	0	0	0
36	2	177	263	0	3	0	0	0	0	0	0
36	2	177	270	1	2	0	0	0	0	0	0
36	2	177	271	0	2	0	0	0	0	0	0
36	2	178	261	2	3	0	0	0	0	0	0
36	2	178	262	1	3	0	0	0	0	0	0
36	2	178	263	0	3	0	0	0	0	0	0
36	2	178	268	2	2	0	0	0	0	0	0
36	2	178	269	2	2	0	0	0	0	0	0
36	2	178	270	1	2	0	0	0	0	0	0
36	2	178	271	0	2	0	0	0	0	0	0
36	2	181	261	2	3	0	0	0	0	0	0
36	2	181	262	1	3	0	0	0	0	0	0
36	2	182	270	1	2	0	0	0	0	0	0
36	2	186	267	3	2	0	0	0	0	0	0
36	2	186	269	2	2	0	0	0	0	0	0
36	2	186	270	1	2	0	0	0	0	0	0
36	2	189	234	1	0	0	1	0	0	0	0
36	2	189	269	2	2	0	0	0	0	0	0
36	2	192	267	3	2	0	0	0	0	0	0
36	2	192	269	2	2	0	0	0	0	0	0
36	2	192	270	1	2	0	0	0	0	0	0
36	3	100	269	1	2	0	0	0	0	0	0
36	9	66	196	1	2	0	0	0	0	0	0
36	9	132	196	1	2	0	0	0	0	0	0
36	9	134	196	1	2	0	0	0	0	0	0
36	10	41	205	1	0	0	0	0	0	0	0
36	13	41	205	1	0	0	0	0	0	0	0
36	13	47	196	1	1	0	0	0	0	0	0
36	13	87	196	1	1	0	0	0	0	0	0
36	13	88	196	1	1	0	0	0	0	0	0
36	16	41	168	1	1	0	0	1	0	0	0
36	16	43	113	1	1	0	0	0	0	1	0
36	16	43	114	0	1	0	0	0	0	1	0
36	16	43	141	1	1	0	0	0	1	0	0
36	16	43	142	0	1	0	0	0	1	0	0
36	16	49	168	1	1	0	0	1	0	0	0
36	16	49	169	0	1	0	0	1	0	0	0
36	16	50	168	1	1	0	0	1	0	0	0
36	16	52	186	1	2	0	1	0	0	0	0
36	16	52	187	0	2	0	1	0	0	0	0
36	16	52	192	2	1	0	1	0	0	0	0
36	16	52	194	1	1	0	1	0	0	0	0
36	16	52	195	0	1	0	1	0	0	0	0
36	16	53	186	1	2	0	1	0	0	0	0
36	16	53	192	2	1	0	1	0	0	0	0
36	16	58	244	2	1	0	0	0	0	0	0
36	16	59	246	1	1	0	0	0	0	0	0
36	16	63	218	1	1	1	0	0	0	0	0
36	16	84	246	1	1	0	0	0	0	0	0
36	16	86	219	0	1	1	0	0	0	0	0
36	16	92	210	1	2	1	0	0	0	0	0
36	16	110	211	0	2	1	0	0	0	0	0
36	16	110	219	0	1	1	0	0	0	0	0
36	16	111	210	1	2	1	0	0	0	0	0
36	16	111	216	2	1	1	0	0	0	0	0
36	16	111	218	1	1	1	0	0	0	0	0
36	16	116	195	0	1	0	1	0	0	0	0
36	16	117	195	0	1	0	1	0	0	0	0
36	16	118	194	1	1	0	1	0	0	0	0
36	16	127	246	1	1	0	0	0	0	0	0
36	16	128	244	2	1	0	0	0	0	0	0
36	16	131	246	1	1	0	0	0	0	0	0
36	16	132	244	2	1	0	0	0	0	0	0
36	16	135	238	1	2	0	0	0	0	0	0
36	16	149	218	1	1	1	0	0	0	0	0
36	16	150	244	2	1	0	0	0	0	0	0
36	16	158	216	2	1	1	0	0	0	0	0
