"TH"	"index"	"LST gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"
13	1	"2 f5+2 su(3)+g2+su(2)"	14	238	2	1	0	0	0	0	0	0	"s1:1→1 / s2:13→1 / s3:13→1"	"s2:14→1 / s3:2→1"
13	1	"2 f5+2 su(3)+g2+su(2)"	15	211	1	1	1	0	0	0	0	0	"s1:1→1 / s2:13→1 / s3:13→1"	"s3:2→1"
13	1	"2 f5+2 su(3)+g2+su(2)"	16	187	1	1	0	1	0	0	0	0	"{s1:13→1 / s2:1→1 / s3:1→1, 13→1, s1:13→1 / s2:1→1 / s3:1→2, 13→1, s1:13→1 / s2:1→1 / s3:1→3, 13→2, s1:1→1 / s2:13→1 / s3:13→1}"	"{s3:2→1, s3:6→1, s3:6→1, s3:2→1}"
13	1	"2 f5+2 su(3)+g2+su(2)"	16	191	1	0	2	0	0	0	0	0	"{s1:13→1 / s2:1→1 / s3:13→1, s1:13→1 / s2:1→1 / s3:1→1, 13→2, s1:13→1 / s2:1→1 / s3:1→1, 13→2, s1:13→1 / s2:1→1 / s3:1→2, 13→2, s1:13→1 / s2:1→1 / s3:1→2, 13→3}"	"{s3:2→1, s3:2→1, s3:6→1, s3:6→1, s3:6→1}"
13	1	"2 f5+2 su(3)+g2+su(2)"	16	194	2	0	0	1	0	0	0	0	"{s1:13→1 / s2:1→1, 13→1 / s3:1→2, 13→1, s1:13→1 / s2:1→1, 13→1 / s3:1→3, 13→2, s1:13→1 / s2:1→2, 13→1 / s3:1→3, 13→1, s1:13→1 / s3:1→2, 13→1, s1:13→1 / s3:1→3, 13→1, s1:13→1 / s3:1→4, 13→1, s1:1→1 / s2:13→2 / s3:13→2, s1:1→1 / s2:13→3 / s3:13→2}"	"{s2:2→1 / s3:6→1, s2:2→1 / s3:6→1, s2:2→1 / s3:6→1, s2:2→1 / s3:6→1, s2:2→1 / s3:6→1, s2:2→1 / s3:6→1, s2:6→1 / s3:2→1, s2:6→1 / s3:2→1}"
13	1	"2 f5+2 su(3)+g2+su(2)"	17	161	1	1	0	0	1	0	0	0	"{s1:13→1 / s2:1→1, s1:13→1 / s2:1→1 / s3:1→1, 13→1, s1:13→1 / s2:1→1 / s3:1→2, 13→1, s1:13→1 / s2:1→1 / s3:1→2, 13→1, s1:13→1 / s2:1→1 / s3:1→3, 13→1, s1:13→1 / s2:1→1 / s3:1→3, 13→2, s1:13→1 / s2:1→1 / s3:1→3, 13→2, s1:13→1 / s2:1→3, 13→1, s1:1→1 / s2:13→1 / s3:13→2, s1:1→1 / s2:13→1 / s3:13→3}"	"{s3:2→1, s3:2→1, s3:2→1, s3:6→1, s3:6→1, s3:2→1, s3:6→1, s3:2→1, s3:6→1, s3:6→1}"
13	1	"2 f5+2 su(3)+g2+su(2)"	17	167	1	0	1	1	0	0	0	0	"{s1:13→1 / s2:1→1 / s3:13→1, s1:13→1 / s2:1→1 / s3:1→1, 13→1, s1:13→1 / s2:1→1 / s3:1→1, 13→1, s1:13→1 / s2:1→1 / s3:1→1, 13→2, s1:13→1 / s2:1→1 / s3:1→1, 13→2, s1:13→1 / s2:1→1 / s3:1→2, 13→1, s1:13→1 / s2:1→1 / s3:1→2, 13→2, s1:13→1 / s2:1→1 / s3:1→2, 13→3, s1:13→1 / s2:1→1 / s3:1→3, 13→2, s1:1→1 / s2:13→1 / s3:13→1, s1:1→1 / s2:13→1 / s3:13→1}"	"{s3:2→1, s3:2→1, s3:6→1, s3:2→1, s3:6→1, s3:6→1, s3:6→1, s3:6→1, s3:6→1, s3:2→1, s3:6→1}"
13	1	"2 f5+2 su(3)+g2+su(2)"	17	168	2	0	0	0	1	0	0	0	"{s1:13→1 / s2:1→1, 13→1 / s3:1→2, 13→1, s1:13→1 / s3:1→1, s1:13→1 / s3:1→2, 13→1, s1:13→1 / s3:1→3, 13→1, s1:13→1 / s3:1→4, 13→1}"	"{s2:2→1 / s3:6→1, s2:2→1 / s3:6→1, s2:2→1 / s3:6→1, s2:2→1 / s3:6→1, s2:2→1 / s3:6→1}"
13	1	"2 f5+2 su(3)+g2+su(2)"	17	180	0	2	0	1	0	0	0	0	"s1:13→1 / s2:1→1 / s3:1→2, 13→1"	""
13	1	"2 f5+2 su(3)+g2+su(2)"	17	184	0	1	2	0	0	0	0	0	"s1:13→1 / s2:1→1 / s3:1→1, 13→1"	""
