"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"
68	1	71	235	1	0	0	0	1	0	0	0
68	1	71	261	1	0	0	1	0	0	0	0
68	1	72	260	2	0	0	1	0	0	0	0
68	1	72	261	1	0	0	1	0	0	0	0
68	1	73	260	2	0	0	1	0	0	0	0
68	1	81	261	1	0	0	1	0	0	0	0
68	2	70	269	1	0	0	1	0	0	0	0
68	2	71	235	1	1	0	0	1	0	0	0
68	2	71	261	1	1	0	1	0	0	0	0
68	2	72	261	1	1	0	1	0	0	0	0
68	2	84	261	1	1	0	1	0	0	0	0
68	2	85	261	1	1	0	1	0	0	0	0
68	3	70	231	1	1	0	0	0	0	1	0
68	3	70	259	1	1	0	0	0	1	0	0
68	3	72	231	1	1	0	0	0	0	1	0
68	3	72	232	0	1	0	0	0	0	1	0
68	3	74	116	1	1	0	0	0	0	0	1
68	3	74	117	0	1	0	0	0	0	0	1
68	3	82	259	1	1	0	0	0	1	0	0
68	3	82	260	0	1	0	0	0	1	0	0
68	4	72	269	1	0	0	1	0	0	0	0
68	4	73	269	1	0	0	1	0	0	0	0
68	5	70	231	1	0	0	0	0	0	1	0
68	5	70	259	1	0	0	0	0	1	0	0
68	5	71	231	1	0	0	0	0	0	1	0
68	5	74	116	1	0	0	0	0	0	0	1
68	5	79	259	1	0	0	0	0	1	0	0
68	25	69	265	1	0	1	0	0	0	0	0
68	25	85	265	1	0	1	0	0	0	0	0
68	25	86	265	1	0	1	0	0	0	0	0
68	38	69	264	1	0	0	0	1	0	0	0
68	38	70	256	1	1	0	0	1	0	0	0
68	38	70	257	1	1	0	0	1	0	0	0
68	38	71	201	1	1	0	0	0	0	1	0
68	38	71	202	1	1	0	0	0	0	1	0
68	38	71	203	0	1	0	0	0	0	1	0
68	38	71	209	1	0	0	0	0	0	1	0
68	38	71	229	1	1	0	0	0	1	0	0
68	38	71	230	1	1	0	0	0	1	0	0
68	38	71	231	0	1	0	0	0	1	0	0
68	38	71	237	1	0	0	0	0	1	0	0
68	38	72	256	1	1	0	0	1	0	0	0
68	38	72	257	1	1	0	0	1	0	0	0
68	38	72	258	0	1	0	0	1	0	0	0
68	38	72	264	1	0	0	0	1	0	0	0
68	48	70	265	1	0	0	1	0	0	0	0
68	48	71	265	1	0	0	1	0	0	0	0
68	48	73	257	1	1	0	1	0	0	0	0
68	48	74	257	1	1	0	1	0	0	0	0
68	54	69	264	0	1	0	0	0	0	0	1
68	54	70	263	1	1	0	0	0	0	0	1
