"TH"	"index"	"LST gauge algebra"	"full gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"
23	1	"e8+2 f5+su(3)+3(g2+su(2))"	"2 e8+2 f5+2 su(3)+3(g2+su(2))"	33	24	0	1	0	0	0	0	0	1
23	1	"e8+2 f5+su(3)+3(g2+su(2))"	"2 e8+2 f5+4(g2+su(2))"	32	31	1	0	0	0	0	0	0	1
23	1	"e8+2 f5+su(3)+3(g2+su(2))"	"2 e8+2 f5+5(g2+su(2))"	33	22	2	1	0	0	0	0	0	1
23	1	"e8+2 f5+su(3)+3(g2+su(2))"	"2 e8+2 f5+su(3)+4(g2+su(2))"	32	23	1	1	0	0	0	0	0	1
23	1	"e8+2 f5+su(3)+3(g2+su(2))"	"2 e8+2 f5+su(3)+4(g2+su(2))"	33	23	1	1	0	0	0	0	0	1
23	1	"e8+2 f5+su(3)+3(g2+su(2))"	"e8+e6+3 f5+4(g2+su(2))"	75	149	1	0	0	1	1	0	0	0
23	1	"e8+2 f5+su(3)+3(g2+su(2))"	"e8+e7+2 f5+2 su(3)+3(g2+su(2))"	35	139	0	1	0	0	0	0	1	0
23	1	"e8+2 f5+su(3)+3(g2+su(2))"	"e8+e7'+2 f5+4(g2+su(2))"	27	174	1	0	0	0	0	1	0	0
23	1	"e8+2 f5+su(3)+3(g2+su(2))"	"e8+e7+2 f5+4(g2+su(2))"	28	146	1	0	0	0	0	0	1	0
23	1	"e8+2 f5+su(3)+3(g2+su(2))"	"e8+e7+2 f5+4(g2+su(2))"	31	146	1	0	0	0	0	0	1	0
23	1	"e8+2 f5+su(3)+3(g2+su(2))"	"e8+e7+2 f5+4(g2+su(2))"	32	146	1	0	0	0	0	0	1	0
23	1	"e8+2 f5+su(3)+3(g2+su(2))"	"e8+e7'+2 f5+5(g2+su(2))"	28	165	2	1	0	0	0	1	0	0
23	1	"e8+2 f5+su(3)+3(g2+su(2))"	"e8+e7+2 f5+5(g2+su(2))"	29	137	2	1	0	0	0	0	1	0
23	1	"e8+2 f5+su(3)+3(g2+su(2))"	"e8+e7+2 f5+5(g2+su(2))"	53	137	2	1	0	0	0	0	1	0
23	1	"e8+2 f5+su(3)+3(g2+su(2))"	"e8+e7+2 f5+5(g2+su(2))"	56	137	2	1	0	0	0	0	1	0
23	1	"e8+2 f5+su(3)+3(g2+su(2))"	"e8+e7'+2 f5+su(3)+4(g2+su(2))"	28	166	1	1	0	0	0	1	0	0
23	1	"e8+2 f5+su(3)+3(g2+su(2))"	"e8+e7+2 f5+su(3)+4(g2+su(2))"	28	138	1	1	0	0	0	0	1	0
23	1	"e8+2 f5+su(3)+3(g2+su(2))"	"e8+e7+2 f5+su(3)+4(g2+su(2))"	29	138	1	1	0	0	0	0	1	0
23	1	"e8+2 f5+su(3)+3(g2+su(2))"	"e8+e7+2 f5+su(3)+4(g2+su(2))"	32	138	1	1	0	0	0	0	1	0
23	1	"e8+2 f5+su(3)+3(g2+su(2))"	"e8+e7+2 f5+su(3)+4(g2+su(2))"	33	138	1	1	0	0	0	0	1	0
23	1	"e8+2 f5+su(3)+3(g2+su(2))"	"e8+e7+2 f5+su(3)+4(g2+su(2))"	35	138	1	1	0	0	0	0	1	0
23	1	"e8+2 f5+su(3)+3(g2+su(2))"	"e8+e7+2 f5+su(3)+4(g2+su(2))"	36	138	1	1	0	0	0	0	1	0
23	1	"e8+2 f5+su(3)+3(g2+su(2))"	"e8+e7+2 f5+su(3)+4(g2+su(2))"	44	138	1	1	0	0	0	0	1	0
23	1	"e8+2 f5+su(3)+3(g2+su(2))"	"e8+e7+2 f5+su(3)+4(g2+su(2))"	50	138	1	1	0	0	0	0	1	0
23	1	"e8+2 f5+su(3)+3(g2+su(2))"	"e8+e7+2 f5+su(3)+4(g2+su(2))"	62	138	1	1	0	0	0	0	1	0
23	2	"e8+2 f5+4(g2+su(2))"	"e8+e7+2 f5+2 su(3)+4(g2+su(2))"	33	130	0	2	0	0	0	0	1	0
