"TH"	"index"	"LST gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"
23	1	"e8+2 f5+su(3)+3(g2+su(2))"	23	32	0	0	0	0	0	0	0	1	"s1:23→1"	""
23	1	"e8+2 f5+su(3)+3(g2+su(2))"	23	147	0	0	0	0	0	0	1	0	"s1:23→1"	""
23	1	"e8+2 f5+su(3)+3(g2+su(2))"	23	175	0	0	0	0	0	1	0	0	"s1:23→1"	""
23	1	"e8+2 f5+su(3)+3(g2+su(2))"	23	202	0	0	0	0	1	0	0	0	"{s1:1→1, s1:23→1}"	""
23	1	"e8+2 f5+su(3)+3(g2+su(2))"	23	228	0	0	0	1	0	0	0	0	"{s1:1→1, s1:23→1}"	""
23	1	"e8+2 f5+su(3)+3(g2+su(2))"	23	252	0	0	1	0	0	0	0	0	"{s1:1→1, s1:1→1, 23→1, s1:23→1}"	""
23	1	"e8+2 f5+su(3)+3(g2+su(2))"	23	272	0	1	0	0	0	0	0	0	"{s1:1→1, s1:23→1}"	""
23	1	"e8+2 f5+su(3)+3(g2+su(2))"	24	228	0	0	0	1	0	0	0	0	"s1:1→1, 23→1"	""
23	1	"e8+2 f5+su(3)+3(g2+su(2))"	25	202	0	0	0	0	1	0	0	0	"s1:1→1, 23→1"	""
23	2	"e8+2 f5+4(g2+su(2))"	23	146	0	0	0	0	0	0	1	0	"s1:1→1"	""
23	2	"e8+2 f5+4(g2+su(2))"	23	174	0	0	0	0	0	1	0	0	"s1:1→1"	""
23	2	"e8+2 f5+4(g2+su(2))"	23	201	0	0	0	0	1	0	0	0	"s1:1→1"	""
23	2	"e8+2 f5+4(g2+su(2))"	23	227	0	0	0	1	0	0	0	0	"s1:1→1"	""
23	2	"e8+2 f5+4(g2+su(2))"	23	251	0	0	1	0	0	0	0	0	"{s1:1→1, 23→1, s1:23→1}"	""
