"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"
48	1	49	120	0	0	0	0	0	0	0	1	"s1:48→1"	""
48	1	49	235	0	0	0	0	0	0	1	0	"{s1:1→1, s1:1→1, 48→1, s1:48→1}"	""
48	1	49	263	0	0	0	0	0	1	0	0	"{s1:1→1, s1:1→1, 48→1, s1:48→1}"	""
48	2	49	120	0	0	0	0	0	0	0	1	"s1:1→1"	""
48	2	49	235	0	0	0	0	0	0	1	0	"{s1:1→1, s1:1→1, 48→1}"	""
48	2	49	263	0	0	0	0	0	1	0	0	"{s1:1→1, s1:1→1, 48→1}"	""
48	2	53	120	0	0	0	0	0	0	0	1	"s1:1→1, 48→1"	""
48	3	49	69	0	0	0	0	0	0	0	1	"s1:1→1"	""
48	3	49	184	0	0	0	0	0	0	1	0	"s1:1→1"	""
48	3	49	212	0	0	0	0	0	1	0	0	"s1:1→1"	""
48	3	49	239	0	0	0	0	1	0	0	0	"s1:1→1"	""
48	3	49	265	0	0	0	1	0	0	0	0	"s1:1→1"	""
48	4	49	68	0	0	0	0	0	0	0	1	"s1:1→1"	""
48	4	49	183	0	0	0	0	0	0	1	0	"s1:1→1"	""
48	4	49	211	0	0	0	0	0	1	0	0	"s1:1→1"	""
48	4	49	238	0	0	0	0	1	0	0	0	"s1:1→1"	""
48	4	49	264	0	0	0	1	0	0	0	0	"s1:1→1"	""
48	5	49	129	0	0	0	1	0	0	0	0	"s1:1→1"	""
48	5	49	153	0	0	1	0	0	0	0	0	"s1:1→1"	""
48	5	49	172	0	1	0	0	0	0	0	0	""	"s1:48→1"
48	5	49	173	0	1	0	0	0	0	0	0	"s1:1→1"	""
48	5	51	172	0	1	0	0	0	0	0	0	"s1:1→1"	"s1:48→1"
48	5	53	172	0	1	0	0	0	0	0	0	"s1:1→2"	"s1:48→1"
48	5	56	173	0	1	0	0	0	0	0	0	"s1:1→2"	""
48	5	57	173	0	1	0	0	0	0	0	0	"{s1:1→3, s1:1→4, s1:1→5}"	""
48	6	49	235	0	1	0	0	0	0	0	0	""	"s1:48→1"
48	6	49	236	0	1	0	0	0	0	0	0	"s1:2→1"	""
48	6	50	235	0	1	0	0	0	0	0	0	"{s1:1→1, 2→1, s1:2→1}"	"{s1:48→1, s1:48→1}"
48	6	54	236	0	1	0	0	0	0	0	0	"s1:1→1, 2→1"	""
48	7	49	129	0	0	0	1	0	0	0	0	"s1:48→1"	""
48	7	49	153	0	0	1	0	0	0	0	0	"s1:48→1"	""
48	7	49	173	0	1	0	0	0	0	0	0	"s1:48→1"	""
48	7	55	173	0	1	0	0	0	0	0	0	"s1:48→2"	""
48	7	56	173	0	1	0	0	0	0	0	0	"s1:48→3"	""
48	7	57	173	0	1	0	0	0	0	0	0	"{s1:48→4, s1:48→5}"	""
48	8	49	235	1	0	0	0	0	0	0	0	""	"s1:48→1"
48	8	50	235	1	0	0	0	0	0	0	0	"{s1:1→1, 2→1, s1:1→1, 2→1, 45→1, s1:1→1, 2→1, 45→2, s1:1→1, 2→1, 4→1, 45→1, s1:1→1, 2→1, 4→1, 45→2, s1:2→1, s1:2→1, 4→1, 45→1, s1:2→1, 4→1, 45→2, s1:2→1, 4→1, 45→3, s1:4→1, 45→1, s1:4→1, 45→2, s1:4→1, 45→3, s1:4→1, 45→4}"	"{s1:48→1, s1:48→1, s1:48→1, s1:48→1, s1:48→1, s1:48→1, s1:48→1, s1:48→1, s1:48→1, s1:48→1, s1:48→1, s1:48→1, s1:48→1}"
48	8	51	235	1	0	0	0	0	0	0	0	"{s1:1→1, 2→1, 45→3, s1:2→1, 45→1, s1:2→1, 45→2}"	"{s1:48→1, s1:48→1, s1:48→1}"
48	8	52	228	0	1	0	0	0	0	0	0	"s1:45→1"	""
48	8	52	235	1	0	0	0	0	0	0	0	"{s1:1→1, 2→1, 4→1, s1:2→1, 45→3, s1:2→1, 45→4, s1:2→1, 4→1, s1:4→1}"	"{s1:48→1, s1:48→1, s1:48→1, s1:48→1, s1:48→1}"
48	8	53	235	1	0	0	0	0	0	0	0	"{s1:45→1, s1:45→2, s1:45→3, s1:45→4, s1:45→5}"	"{s1:48→1, s1:48→1, s1:48→1, s1:48→1, s1:48→1}"
48	9	49	236	0	1	0	0	0	0	0	0	"s1:48→1"	""
48	9	54	236	0	1	0	0	0	0	0	0	"s1:46→1, 48→1"	""
48	10	49	233	0	1	0	0	0	0	0	0	""	"s1:48→1, 1→1"
48	10	49	235	0	1	0	0	0	0	0	0	""	"{s1:1→1, s1:48→1}"
48	10	50	235	0	1	0	0	0	0	0	0	"s1:2→1"	"s1:48→1"
48	10	54	236	0	1	0	0	0	0	0	0	"s1:2→1"	""
48	11	49	227	0	1	0	0	0	0	0	0	""	"s1:1→1"
48	11	49	235	1	0	0	0	0	0	0	0	""	"s1:48→1"
48	11	50	227	0	1	0	0	0	0	0	0	"s1:45→1"	"s1:1→1"
48	11	50	235	1	0	0	0	0	0	0	0	"{s1:2→1, s1:2→1, 3→1, 45→1, s1:2→1, 3→1, 45→2, s1:2→1, 3→1, 45→3, s1:2→1, 45→1, s1:2→1, 45→2, s1:3→1, s1:3→1, 45→1}"	"{s1:48→1, s1:48→1, s1:48→1, s1:48→1, s1:48→1, s1:48→1, s1:48→1, s1:48→1}"
48	11	51	235	1	0	0	0	0	0	0	0	"{s1:2→1, 3→1, s1:2→1, 45→3, s1:2→1, 45→4, s1:3→1, 45→2}"	"{s1:48→1, s1:48→1, s1:48→1, s1:48→1}"
48	11	52	228	0	1	0	0	0	0	0	0	"s1:45→1"	""
48	11	52	235	1	0	0	0	0	0	0	0	"{s1:3→1, 45→3, s1:3→1, 45→4}"	"{s1:48→1, s1:48→1}"
48	11	53	235	1	0	0	0	0	0	0	0	"{s1:45→1, s1:45→2, s1:45→3, s1:45→4, s1:45→5}"	"{s1:48→1, s1:48→1, s1:48→1, s1:48→1, s1:48→1}"
48	12	49	172	1	0	0	0	0	0	0	0	""	"s1:48→1"
48	12	54	165	0	1	0	0	0	0	0	0	"{s1:47→1, s1:47→2}"	""
48	12	54	172	1	0	0	0	0	0	0	0	"{s1:47→1, s1:47→2, s1:47→3, s1:47→4, s1:47→5}"	"{s1:48→1, s1:48→1, s1:48→1, s1:48→1, s1:48→1}"
48	13	49	129	0	0	0	1	0	0	0	0	"s1:48→1"	""
48	13	49	153	0	0	1	0	0	0	0	0	"s1:48→1"	""
48	13	49	172	0	1	0	0	0	0	0	0	""	"s1:1→1"
48	13	49	173	0	1	0	0	0	0	0	0	"s1:48→1"	""
48	13	51	172	0	1	0	0	0	0	0	0	"s1:48→1"	"s1:1→1"
48	13	53	172	0	1	0	0	0	0	0	0	"s1:48→2"	"s1:1→1"
48	13	55	173	0	1	0	0	0	0	0	0	"s1:48→2"	""
48	13	57	173	0	1	0	0	0	0	0	0	"{s1:48→3, s1:48→4, s1:48→5}"	""
48	14	49	129	0	0	0	1	0	0	0	0	"s1:1→1"	""
48	14	49	153	0	0	1	0	0	0	0	0	"s1:1→1"	""
48	14	49	173	0	1	0	0	0	0	0	0	"s1:1→1"	""
48	14	55	173	0	1	0	0	0	0	0	0	"s1:1→2"	""
48	14	57	173	0	1	0	0	0	0	0	0	"{s1:1→3, s1:1→4, s1:1→5}"	""
48	15	49	152	0	0	0	0	0	0	1	0	"s1:48→1"	""
48	15	49	180	0	0	0	0	0	1	0	0	"s1:48→1"	""
48	15	49	207	0	0	0	0	1	0	0	0	"s1:48→1"	""
48	15	49	233	0	0	0	1	0	0	0	0	"{s1:1→1, s1:48→1}"	""
48	15	49	257	0	0	1	0	0	0	0	0	"{s1:1→1, s1:1→1, 48→1, s1:48→1}"	""
48	15	50	233	0	0	0	1	0	0	0	0	"s1:1→1, 48→1"	""
48	15	50	257	0	0	1	0	0	0	0	0	"s1:1→1, 48→2"	""
48	15	57	257	0	0	1	0	0	0	0	0	"s1:48→2"	""
48	16	49	235	0	1	0	0	0	0	0	0	""	"s1:48→1"
48	16	49	236	0	1	0	0	0	0	0	0	"s1:2→1"	""
48	16	50	235	0	1	0	0	0	0	0	0	"{s1:1→1, 2→1, s1:1→1, 2→1, s1:2→1, s1:2→1}"	"{s1:47→1, s1:48→1, s1:47→1, s1:48→1}"
48	16	53	235	0	1	0	0	0	0	0	0	""	"s1:47→1"
48	16	53	236	0	1	0	0	0	0	0	0	"s1:1→1, 2→1"	""
48	17	49	235	0	1	0	0	0	0	0	0	"s1:2→1"	"{s1:48→1, s1:48→1}"
48	17	49	236	0	1	0	0	0	0	0	0	"s1:2→1"	""
48	17	50	235	0	1	0	0	0	0	0	0	"{s1:1→1, s1:1→1, 2→1}"	"{s1:48→1, s1:48→1}"
48	17	54	236	0	1	0	0	0	0	0	0	"s1:1→1, 2→1"	""
48	18	49	158	0	0	0	0	0	0	1	0	"s1:48→1"	""
48	18	49	186	0	0	0	0	0	1	0	0	"s1:48→1"	""
48	18	49	213	0	0	0	0	1	0	0	0	"s1:48→1"	""
48	18	49	239	0	0	0	1	0	0	0	0	"s1:48→1"	""
48	18	49	263	0	0	1	0	0	0	0	0	"s1:48→1"	""
48	18	57	263	0	0	1	0	0	0	0	0	"s1:48→2"	""
48	19	49	186	0	0	0	0	1	0	0	0	"s1:48→1"	""
48	19	49	212	0	0	0	1	0	0	0	0	"s1:48→1"	""
48	19	49	236	0	0	1	0	0	0	0	0	"s1:48→1"	""
48	19	49	256	0	1	0	0	0	0	0	0	"s1:48→1"	""
