"TH+1"	"index"	"LST gauge algebra"	"full gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"
48	1	"3 e8+4 f4+8(g2+su(2))"	"4 e8+4 f4+3 su(3)+8(g2+su(2))"	56	96	0	3	0	0	0	0	0	1	"[""s1:48->1 / s2:1->1 / s3:1->1 / s4:1->1""]"	"[""""]"
48	1	"3 e8+4 f4+8(g2+su(2))"	"4 e8+4 f4+8(g2+su(2))+so(7)+2 su(2)"	57	109	2	1	0	0	0	0	0	1	"[""s1:48->1 / s2:1->1 / s3:1->1 / s4:1->1"",""s1:48->1 / s2:1->1 / s3:1->1 / s4:1->2"",""s1:48->1 / s2:1->1 / s3:1->1 / s4:1->3"",""s1:48->1 / s2:1->1 / s3:1->2 / s4:1->2""]"	"[""s3:50->1 / s4:50->1"",""s3:50->1 / s4:50->1"",""s3:50->1 / s4:50->1"",""s3:50->1 / s4:50->1""]"
48	1	"3 e8+4 f4+8(g2+su(2))"	"4 e8+4 f4+8(g2+su(2))+so(7)+2 su(2)"	58	109	2	1	0	0	0	0	0	1	"[""s1:48->1 / s2:1->1 / s3:1->1 / s4:1->4"",""s1:48->1 / s2:1->1 / s3:1->1 / s4:1->5"",""s1:48->1 / s2:1->1 / s3:1->2 / s4:1->3"",""s1:48->1 / s2:1->1 / s3:1->2 / s4:1->4""]"	"[""s3:50->1 / s4:50->1"",""s3:50->1 / s4:50->1"",""s3:50->1 / s4:50->1"",""s3:50->1 / s4:50->1""]"
48	1	"3 e8+4 f4+8(g2+su(2))"	"4 e8+4 f4+su(3)+9(g2+su(2))"	57	103	1	2	0	0	0	0	0	1	"[""s1:48->1 / s2:1->1 / s3:1->1 / s4:1->1"",""s1:48->1 / s2:1->1 / s3:1->1 / s4:1->1"",""s1:48->1 / s2:1->1 / s3:1->1 / s4:1->2"",""s1:48->1 / s2:1->1 / s3:1->1 / s4:1->2"",""s1:48->1 / s2:1->1 / s3:1->2 / s4:1->1""]"	"[""s4:50->1"",""s4:51->1"",""s4:50->1"",""s4:51->1"",""s4:50->1""]"
48	1	"3 e8+4 f4+8(g2+su(2))"	"4 e8+4 f4+su(3)+9(g2+su(2))"	58	103	1	2	0	0	0	0	0	1	"[""s1:48->1 / s2:1->1 / s3:1->1 / s4:1->3"",""s1:48->1 / s2:1->1 / s3:1->1 / s4:1->3"",""s1:48->1 / s2:1->1 / s3:1->1 / s4:1->4"",""s1:48->1 / s2:1->1 / s3:1->1 / s4:1->4"",""s1:48->1 / s2:1->1 / s3:1->1 / s4:1->5"",""s1:48->1 / s2:1->1 / s3:1->1 / s4:1->5""]"	"[""s4:50->1"",""s4:51->1"",""s4:50->1"",""s4:51->1"",""s4:50->1"",""s4:51->1""]"
48	2	"3 e8+4 f4+8(g2+su(2))"	"4 e8+4 f4+3 su(3)+8(g2+su(2))"	56	96	0	3	0	0	0	0	0	1	"[""s1:1->1 / s2:48->1 / s3:48->1 / s4:48->1"",""s1:48->1 / s2:1->1 / s3:1->1 / s4:1->1""]"	"["""",""""]"
48	2	"3 e8+4 f4+8(g2+su(2))"	"4 e8+4 f4+3 su(3)+8(g2+su(2))"	57	96	0	3	0	0	0	0	0	1	"[""s1:1->1 / s2:48->1 / s3:48->1 / s4:48->2"",""s1:48->1 / s2:1->1 / s3:1->1 / s4:1->2""]"	"["""",""""]"
48	2	"3 e8+4 f4+8(g2+su(2))"	"4 e8+4 f4+3 su(3)+8(g2+su(2))"	58	96	0	3	0	0	0	0	0	1	"[""s1:1->1 / s2:48->1 / s3:48->1 / s4:48->3"",""s1:48->1 / s2:1->1 / s3:1->1 / s4:1->3""]"	"["""",""""]"
48	2	"3 e8+4 f4+8(g2+su(2))"	"4 e8+4 f4+8(g2+su(2))+so(7)+2 su(2)"	57	109	2	1	0	0	0	0	0	1	"[""s1:1->1 / s2:48->1 / s3:48->1 / s4:48->1"",""s1:1->1 / s2:48->1 / s3:48->1 / s4:48->2"",""s1:1->1 / s2:48->1 / s3:48->1 / s4:48->3"",""s1:1->1 / s2:48->1 / s3:48->1 / s4:48->4"",""s1:1->1 / s2:48->1 / s3:48->1 / s4:48->5"",""s1:1->1 / s2:48->1 / s3:48->2 / s4:48->2"",""s1:1->1 / s2:48->1 / s3:48->2 / s4:48->3"",""s1:1->1 / s2:48->1 / s3:48->2 / s4:48->4"",""s1:1->1 / s2:48->1 / s3:48->2 / s4:48->5"",""s1:1->1 / s2:48->1 / s3:48->3 / s4:48->3"",""s1:1->1 / s2:48->1 / s3:48->3 / s4:48->4"",""s1:1->1 / s2:48->1 / s3:48->3 / s4:48->5"",""s1:1->1 / s2:48->1 / s3:48->4 / s4:48->4"",""s1:1->1 / s2:48->1 / s3:48->4 / s4:48->5"",""s1:1->1 / s2:48->1 / s3:48->5 / s4:48->5"",""s1:1->1 / s2:48->2 / s3:48->1 / s4:48->1"",""s1:48->1 / s2:1->1 / s3:1->1 / s4:1->1"",""s1:48->1 / s2:1->1 / s3:1->1 / s4:1->2"",""s1:48->1 / s2:1->1 / s3:1->1 / s4:1->3"",""s1:48->1 / s2:1->1 / s3:1->1 / s4:1->4"",""s1:48->1 / s2:1->1 / s3:1->1 / s4:1->5"",""s1:48->1 / s2:1->1 / s3:1->2 / s4:1->2"",""s1:48->1 / s2:1->1 / s3:1->2 / s4:1->3"",""s1:48->1 / s2:1->1 / s3:1->2 / s4:1->4"",""s1:48->1 / s2:1->1 / s3:1->2 / s4:1->5"",""s1:48->1 / s2:1->1 / s3:1->3 / s4:1->3"",""s1:48->1 / s2:1->1 / s3:1->3 / s4:1->4"",""s1:48->1 / s2:1->1 / s3:1->3 / s4:1->5"",""s1:48->1 / s2:1->1 / s3:1->4 / s4:1->4"",""s1:48->1 / s2:1->1 / s3:1->4 / s4:1->5"",""s1:48->1 / s2:1->1 / s3:1->5 / s4:1->5"",""s1:48->1 / s2:1->2 / s3:1->1 / s4:1->1""]"	"[""s3:50->1 / s4:50->1"",""s3:50->1 / s4:50->1"",""s3:50->1 / s4:50->1"",""s3:50->1 / s4:50->1"",""s3:50->1 / s4:50->1"",""s3:50->1 / s4:50->1"",""s3:50->1 / s4:50->1"",""s3:50->1 / s4:50->1"",""s3:50->1 / s4:50->1"",""s3:50->1 / s4:50->1"",""s3:50->1 / s4:50->1"",""s3:50->1 / s4:50->1"",""s3:50->1 / s4:50->1"",""s3:50->1 / s4:50->1"",""s3:50->1 / s4:50->1"",""s3:50->1 / s4:50->1"",""s3:50->1 / s4:50->1"",""s3:50->1 / s4:50->1"",""s3:50->1 / s4:50->1"",""s3:50->1 / s4:50->1"",""s3:50->1 / s4:50->1"",""s3:50->1 / s4:50->1"",""s3:50->1 / s4:50->1"",""s3:50->1 / s4:50->1"",""s3:50->1 / s4:50->1"",""s3:50->1 / s4:50->1"",""s3:50->1 / s4:50->1"",""s3:50->1 / s4:50->1"",""s3:50->1 / s4:50->1"",""s3:50->1 / s4:50->1"",""s3:50->1 / s4:50->1"",""s3:50->1 / s4:50->1""]"
48	2	"3 e8+4 f4+8(g2+su(2))"	"4 e8+4 f4+so(8)+2 su(3)+8(g2+su(2))"	57	76	0	2	1	0	0	0	0	1	"[""s1:1->1 / s2:48->1 / s3:48->1 / s4:48->1"",""s1:48->1 / s2:1->1 / s3:1->1 / s4:1->1""]"	"["""",""""]"
48	2	"3 e8+4 f4+8(g2+su(2))"	"4 e8+4 f4+so(8)+9(g2+su(2))"	57	83	1	1	1	0	0	0	0	1	"[""s1:1->1 / s2:48->1 / s3:48->1 / s4:48->1"",""s1:48->1 / s2:1->1 / s3:1->1 / s4:1->1""]"	"[""s4:51->1"",""s4:51->1""]"
48	2	"3 e8+4 f4+8(g2+su(2))"	"4 e8+4 f4+su(3)+9(g2+su(2))"	56	103	1	2	0	0	0	0	0	1	"[""s1:1->1 / s2:48->1 / s3:48->1 / s4:48->1"",""s1:1->1 / s2:48->1 / s3:48->1 / s4:48->1"",""s1:48->1 / s2:1->1 / s3:1->1 / s4:1->1"",""s1:48->1 / s2:1->1 / s3:1->1 / s4:1->1""]"	"[""s4:50->1"",""s4:51->1"",""s4:50->1"",""s4:51->1""]"
48	2	"3 e8+4 f4+8(g2+su(2))"	"4 e8+4 f4+su(3)+9(g2+su(2))"	57	103	1	2	0	0	0	0	0	1	"[""s1:1->1 / s2:48->1 / s3:48->1 / s4:48->2"",""s1:1->1 / s2:48->1 / s3:48->1 / s4:48->2"",""s1:1->1 / s2:48->1 / s3:48->1 / s4:48->3"",""s1:1->1 / s2:48->1 / s3:48->1 / s4:48->3"",""s1:1->1 / s2:48->1 / s3:48->1 / s4:48->4"",""s1:1->1 / s2:48->1 / s3:48->1 / s4:48->4"",""s1:1->1 / s2:48->1 / s3:48->1 / s4:48->5"",""s1:1->1 / s2:48->1 / s3:48->1 / s4:48->5"",""s1:1->1 / s2:48->1 / s3:48->2 / s4:48->1"",""s1:1->1 / s2:48->1 / s3:48->2 / s4:48->1"",""s1:1->1 / s2:48->1 / s3:48->2 / s4:48->2"",""s1:1->1 / s2:48->1 / s3:48->2 / s4:48->3"",""s1:1->1 / s2:48->1 / s3:48->2 / s4:48->4"",""s1:1->1 / s2:48->1 / s3:48->3 / s4:48->1"",""s1:48->1 / s2:1->1 / s3:1->1 / s4:1->2"",""s1:48->1 / s2:1->1 / s3:1->1 / s4:1->2"",""s1:48->1 / s2:1->1 / s3:1->1 / s4:1->3"",""s1:48->1 / s2:1->1 / s3:1->1 / s4:1->3"",""s1:48->1 / s2:1->1 / s3:1->1 / s4:1->4"",""s1:48->1 / s2:1->1 / s3:1->1 / s4:1->4"",""s1:48->1 / s2:1->1 / s3:1->1 / s4:1->5"",""s1:48->1 / s2:1->1 / s3:1->1 / s4:1->5"",""s1:48->1 / s2:1->1 / s3:1->2 / s4:1->1"",""s1:48->1 / s2:1->1 / s3:1->2 / s4:1->1"",""s1:48->1 / s2:1->1 / s3:1->2 / s4:1->2"",""s1:48->1 / s2:1->1 / s3:1->2 / s4:1->3"",""s1:48->1 / s2:1->1 / s3:1->2 / s4:1->4"",""s1:48->1 / s2:1->1 / s3:1->3 / s4:1->1""]"	"[""s4:50->1"",""s4:51->1"",""s4:50->1"",""s4:51->1"",""s4:50->1"",""s4:51->1"",""s4:50->1"",""s4:51->1"",""s4:50->1"",""s4:51->1"",""s4:50->1"",""s4:50->1"",""s4:50->1"",""s4:50->1"",""s4:50->1"",""s4:51->1"",""s4:50->1"",""s4:51->1"",""s4:50->1"",""s4:51->1"",""s4:50->1"",""s4:51->1"",""s4:50->1"",""s4:51->1"",""s4:50->1"",""s4:50->1"",""s4:50->1"",""s4:50->1""]"
