"TH"	"index"	"LST gauge algebra"	"full gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"count"
77	5	"6 e8+6 f5+su(3)+11(g2+su(2))"	"6 e8+e6+6 f5+su(3)+12(g2+su(2))"	77	239	0	1	0	0	1	0	0	0	2
77	13	"5 e8+e7+6 f5+12(g2+su(2))+so(7)+2 su(2)"	"5 e8+2 e7+7 f5+12(g2+su(2))+so(7)+2 su(2)"	77	244	0	0	0	1	0	0	1	0	2
77	13	"5 e8+e7+6 f5+12(g2+su(2))+so(7)+2 su(2)"	"5 e8+2 e7+e6+6 f5+12(g2+su(2))+so(7)+2 su(2)"	77	218	0	0	0	0	1	0	1	0	2
77	13	"5 e8+e7+6 f5+12(g2+su(2))+so(7)+2 su(2)"	"5 e8+2 e7+e7'+6 f5+12(g2+su(2))+so(7)+2 su(2)"	77	191	0	0	0	0	0	1	1	0	2
77	13	"5 e8+e7+6 f5+12(g2+su(2))+so(7)+2 su(2)"	"5 e8+e7+e7'+e6+6 f5+12(g2+su(2))+so(7)+2 su(2)"	77	246	0	0	0	0	1	1	0	0	2
77	13	"5 e8+e7+6 f5+12(g2+su(2))+so(7)+2 su(2)"	"6 e8+e7+6 f5+12(g2+su(2))+2(so(7)+2 su(2))"	81	170	2	1	0	0	0	0	0	1	8
77	13	"5 e8+e7+6 f5+12(g2+su(2))+so(7)+2 su(2)"	"6 e8+e7+6 f5+13(g2+su(2))+so(7)+2 su(2)"	81	172	1	1	0	0	0	0	0	1	11
77	13	"5 e8+e7+6 f5+12(g2+su(2))+so(7)+2 su(2)"	"6 e8+e7+6 f5+2 su(3)+12(g2+su(2))+so(7)+2 su(2)"	81	165	0	2	0	0	0	0	0	1	6
77	13	"5 e8+e7+6 f5+12(g2+su(2))+so(7)+2 su(2)"	"6 e8+e7+6 f5+su(3)+12(g2+su(2))+so(7)+2 su(2)"	81	173	0	1	0	0	0	0	0	1	4
77	13	"5 e8+e7+6 f5+12(g2+su(2))+so(7)+2 su(2)"	"6 e8+e7+6 f5+su(3)+13(g2+su(2))+so(7)+2 su(2)"	81	164	1	2	0	0	0	0	0	1	11
77	27	"5 e8+e7+e6+6 f5+su(3)+11(g2+su(2))+so(7)+2 su(2)"	"5 e8+2 e7+e6+6 f5+2 su(3)+11(g2+su(2))+so(7)+2 su(2)"	77	211	0	1	0	0	0	0	1	0	2
77	27	"5 e8+e7+e6+6 f5+su(3)+11(g2+su(2))+so(7)+2 su(2)"	"5 e8+e7+e7'+e6+6 f5+2 su(3)+11(g2+su(2))+so(7)+2 su(2)"	77	239	0	1	0	0	0	1	0	0	2
