"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"
50	4	52	178	0	1	0	1	0	0	0	0	"s1:1→1"	"s2:50→1"
50	4	52	202	0	1	1	0	0	0	0	0	"s1:1→1"	"s2:50→1"
50	4	53	178	0	1	0	1	0	0	0	0	"s1:1→1"	"s2:44→1"
50	6	54	171	0	2	0	0	0	0	0	0	"s1:50→1 / s2:48→1"	""
50	8	52	206	0	1	0	0	1	0	0	0	"s1:1→1"	"s2:50→1"
50	8	53	151	0	1	0	0	0	0	1	0	"s1:1→1"	"s2:50→1"
50	8	53	179	0	1	0	0	0	1	0	0	"s1:1→1"	"s2:50→1"
50	10	52	170	0	2	0	0	0	0	0	0	"s1:48→1"	"s2:1→1"
50	10	53	170	0	2	0	0	0	0	0	0	"s1:50→1"	"s2:1→1"
50	10	54	170	0	2	0	0	0	0	0	0	"s1:50→1 / s2:48→1"	"s2:1→1"
50	10	54	171	0	2	0	0	0	0	0	0	"s1:50→1 / s2:48→1"	""
50	10	55	178	1	1	0	0	0	0	0	0	"s1:50→1 / s2:48→1"	"s2:51→1"
50	12	52	204	1	0	0	0	1	0	0	0	"s1:1→1"	"s2:50→1"
50	12	53	149	1	0	0	0	0	0	1	0	"s1:1→1"	"s2:50→1"
50	12	53	177	1	0	0	0	0	1	0	0	"s1:1→1"	"s2:50→1"
50	12	54	170	0	1	0	0	0	1	0	0	"s1:1→1 / s2:47→1"	""
50	12	55	142	0	1	0	0	0	0	1	0	"s1:1→1 / s2:47→1"	""
50	12	55	149	1	0	0	0	0	0	1	0	"{s1:1→1 / s2:47→1, s1:1→1 / s2:47→2, s1:1→1 / s2:47→3, s1:1→1 / s2:47→4, s1:1→1 / s2:47→5}"	"{s2:50→1, s2:50→1, s2:50→1, s2:50→1, s2:50→1}"
50	12	55	177	1	0	0	0	0	1	0	0	"s1:1→1 / s2:47→1"	"s2:50→1"
50	14	52	178	0	1	0	0	0	1	0	0	"s1:50→1 / s2:2→1"	""
50	14	52	205	0	1	0	0	1	0	0	0	"s1:50→1 / s2:2→1"	""
50	14	53	178	0	1	0	0	0	1	0	0	"s1:50→1 / s2:1→1"	""
50	14	54	150	0	1	0	0	0	0	1	0	"s1:50→1 / s2:2→1"	""
50	14	55	150	0	1	0	0	0	0	1	0	"s1:50→1 / s2:1→1, 2→1"	""
50	17	53	169	0	2	0	0	0	0	0	0	""	"s1:50→1 / s2:1→1"
50	18	54	171	0	2	0	0	0	0	0	0	"s1:50→1 / s2:48→1"	""
50	20	52	180	0	0	1	0	0	0	1	0	"s1:1→1 / s2:50→1"	""
50	20	52	184	0	0	0	1	0	1	0	0	"s1:1→1 / s2:50→1"	""
50	20	52	185	0	0	0	0	2	0	0	0	"s1:50→1 / s2:1→1"	""
50	20	52	200	0	1	0	0	0	0	1	0	"s1:1→1 / s2:50→1"	""
50	20	52	208	0	0	1	0	0	1	0	0	"s1:1→1 / s2:50→1"	""
50	20	52	211	0	0	0	1	1	0	0	0	"{s1:1→1 / s2:50→1, s1:50→1 / s2:1→1}"	""
50	20	53	156	0	0	0	1	0	0	1	0	"s1:1→1 / s2:50→1"	""
50	20	53	158	0	0	0	0	1	1	0	0	"s1:1→1 / s2:50→1"	""
50	20	54	130	0	0	0	0	1	0	1	0	"s1:1→1 / s2:50→1"	""
50	20	56	65	0	0	1	0	0	0	0	1	"s1:1→1 / s2:50→1"	""
50	20	56	85	0	1	0	0	0	0	0	1	"s1:1→1 / s2:50→1"	""
50	20	57	41	0	0	0	1	0	0	0	1	"s1:1→1 / s2:50→1"	""
50	20	58	85	0	1	0	0	0	0	0	1	"s1:1→1 / s2:50→2"	""
50	20	59	15	0	0	0	0	1	0	0	1	"s1:1→1 / s2:50→1"	""
50	20	59	85	0	1	0	0	0	0	0	1	"{s1:1→1 / s2:50→3, s1:1→1 / s2:50→4, s1:1→1 / s2:50→5}"	""
50	21	52	207	0	1	0	0	0	1	0	0	"s1:1→1"	"s2:50→1"
50	21	53	179	0	1	0	0	0	0	1	0	"s1:1→1"	"s2:50→1"
50	21	57	64	0	1	0	0	0	0	0	1	"s1:1→1"	"s2:50→1"
50	23	52	179	0	1	0	0	0	1	0	0	"s1:1→1"	"s2:50→1"
50	23	52	206	0	1	0	0	1	0	0	0	"s1:1→1"	"s2:50→1"
50	23	53	151	0	1	0	0	0	0	1	0	"s1:1→1"	"s2:50→1"
50	23	55	151	0	1	0	0	0	0	1	0	"s1:1→1"	"s2:49→1"
50	24	52	206	0	1	0	0	1	0	0	0	"s1:1→1"	"s2:50→1"
50	24	53	179	0	1	0	0	0	1	0	0	"s1:1→1"	"s2:50→1"
50	24	54	151	0	1	0	0	0	0	1	0	"s1:1→1"	"s2:50→1"
50	25	52	199	0	1	0	0	1	0	0	0	"s1:1→1 / s2:50→1"	""
50	25	52	205	0	0	1	1	0	0	0	0	"{s1:1→1 / s2:50→1, s1:50→1 / s2:1→1}"	""
50	25	52	205	1	0	0	0	1	0	0	0	"s1:1→1"	"s2:49→1"
50	25	53	155	0	0	0	1	1	0	0	0	"s1:1→1 / s2:50→1"	""
50	25	53	179	0	0	1	0	1	0	0	0	"s1:1→1 / s2:50→1"	""
50	25	53	181	0	0	0	2	0	0	0	0	"s1:50→1 / s2:1→1"	""
50	26	52	162	0	2	0	0	0	0	0	0	"s1:50→1 / s2:1→1"	""
50	26	53	142	0	1	1	0	0	0	0	0	"s1:50→1 / s2:1→1"	""
50	26	53	169	1	1	0	0	0	0	0	0	"s1:50→1 / s2:1→1"	"s2:51→1"
50	26	54	118	0	1	0	1	0	0	0	0	"s1:50→1 / s2:1→1"	""
50	26	54	169	1	1	0	0	0	0	0	0	"s1:1→1 / s2:50→1"	"s2:51→1"
50	26	55	162	0	2	0	0	0	0	0	0	"s1:50→1 / s2:1→1, 50→1"	""
50	26	55	169	1	1	0	0	0	0	0	0	"{s1:1→1, 50→1 / s2:50→1, s1:50→1 / s2:1→1, 50→1, s1:50→1 / s2:1→2, 50→1, s1:50→1 / s2:1→2, 50→2, s1:50→1 / s2:1→3, 50→1, s1:50→1 / s2:1→3, 50→2}"	"{s2:51→1, s2:51→1, s2:51→1, s2:51→1, s2:51→1, s2:51→1}"
50	26	56	162	0	2	0	0	0	0	0	0	"{s1:50→1 / s2:1→1, 50→2, s1:50→1 / s2:50→1}"	""
50	26	56	169	1	1	0	0	0	0	0	0	"{s1:1→1, 50→1 / s2:50→2, s1:50→1 / s2:1→1, 50→2, s1:50→1 / s2:1→1, 50→3, s1:50→1 / s2:1→2, 50→3, s1:50→1 / s2:1→4, 50→1}"	"{s2:51→1, s2:51→1, s2:51→1, s2:51→1, s2:51→1}"
50	26	57	169	1	1	0	0	0	0	0	0	"{s1:50→1 / s2:1→1, 50→4, s1:50→1 / s2:50→1}"	"{s2:51→1, s2:51→1}"
50	26	58	162	0	2	0	0	0	0	0	0	"s1:50→2 / s2:1→1, 50→1"	""
50	26	58	169	1	1	0	0	0	0	0	0	"s1:50→1 / s2:50→2"	"s2:51→1"
50	26	59	162	0	2	0	0	0	0	0	0	"s1:50→1 / s2:50→2"	""
50	26	66	169	1	1	0	0	0	0	0	0	"s1:1→1, 50→1 / s2:50→4"	"s2:51→1"
50	26	101	169	1	1	0	0	0	0	0	0	"s1:1→1, 50→1 / s2:50→5"	"s2:51→1"
50	29	52	177	0	1	0	0	0	1	0	0	"s1:50→1"	"s2:1→1"
50	29	52	204	0	1	0	0	1	0	0	0	"s1:50→1"	"s2:1→1"
50	29	54	149	0	1	0	0	0	0	1	0	"s1:50→1"	"s2:1→1"
50	29	56	150	0	1	0	0	0	0	1	0	"s1:50→1 / s2:2→1"	""
50	35	52	202	1	0	0	0	1	0	0	0	"s1:1→1"	"s2:50→1"
50	35	53	175	1	0	0	0	0	1	0	0	"s1:1→1"	"s2:50→1"
50	35	54	147	1	0	0	0	0	0	1	0	"s1:1→1"	"s2:50→1"
50	35	55	147	1	0	0	0	0	0	1	0	"{s1:1→1 / s2:48→1, s1:1→1 / s2:48→2, s1:1→1 / s2:48→3}"	"{s2:50→1, s2:50→1, s2:50→1}"
50	35	57	175	1	0	0	0	0	1	0	0	"{s1:1→1 / s2:48→1, s1:1→1 / s2:48→2, s1:1→1 / s2:48→3}"	"{s2:50→1, s2:50→1, s2:50→1}"
50	35	67	272	1	1	0	0	0	0	0	0	"{s1:1→2 / s2:1→2, s1:1→3 / s2:1→4}"	"{s2:50→1, s2:50→1}"
50	35	81	272	1	1	0	0	0	0	0	0	"s1:1→4 / s2:1→5"	"s2:50→1"
50	35	155	272	1	1	0	0	0	0	0	0	"s1:1→3 / s2:1→3"	"s2:50→1"
50	43	52	166	0	1	1	0	0	0	0	0	"{s1:1→1 / s2:50→1, s1:50→1 / s2:1→1}"	""
50	43	52	186	0	2	0	0	0	0	0	0	"s1:50→1 / s2:1→1"	""
50	43	53	146	0	0	2	0	0	0	0	0	"s1:50→1 / s2:1→1"	""
50	43	53	193	1	1	0	0	0	0	0	0	"{s1:1→1, 50→1 / s2:1→2, 48→1, s1:1→1, 50→1 / s2:1→2, 48→1, 50→1, s1:1→1, 50→1 / s2:1→3, 48→1, 50→1, s1:1→1 / s2:1→1, 48→1, 50→1, s1:1→1 / s2:1→2, 48→1, 50→2, s1:1→1 / s2:50→1, s1:50→1 / s2:1→1, s1:50→1 / s2:1→3, 48→1}"	"{s2:51→1, s2:51→1, s2:51→1, s2:51→1, s2:51→1, s2:51→1, s2:51→1, s2:51→1}"
50	43	54	142	0	1	0	1	0	0	0	0	"s1:1→1 / s2:50→1"	""
50	43	55	122	0	0	1	1	0	0	0	0	"s1:1→1 / s2:50→1"	""
50	43	59	142	0	1	0	1	0	0	0	0	"s1:1→1 / s2:50→2"	""
50	43	67	142	0	1	0	1	0	0	0	0	"s1:1→1 / s2:50→3"	""
50	43	84	193	1	1	0	0	0	0	0	0	"s1:1→1, 50→1 / s2:1→3"	"s2:51→1"
50	46	54	170	0	2	0	0	0	0	0	0	"s1:2→1 / s2:1→1"	""
50	46	56	177	1	1	0	0	0	0	0	0	"s1:2→1 / s2:1→1"	"s2:51→1"
50	47	52	178	0	1	0	0	1	0	0	0	"s1:50→1 / s2:1→1"	""
50	47	52	204	0	1	0	1	0	0	0	0	"s1:50→1 / s2:2→1"	""
50	47	53	178	0	1	0	0	1	0	0	0	"s1:50→1 / s2:2→1"	""
50	56	52	203	0	1	0	1	0	0	0	0	"s1:1→1"	"s2:50→1"
50	56	53	177	0	1	0	0	1	0	0	0	"s1:1→1"	"s2:50→1"
50	59	52	177	0	1	0	0	1	0	0	0	"s1:50→1 / s2:1→1"	""
50	59	52	203	0	1	0	1	0	0	0	0	"s1:50→1 / s2:1→1"	""
50	67	52	201	0	1	0	0	0	0	0	1	"s1:50→1 / s2:1→1"	""
50	67	53	157	0	0	0	1	0	0	0	1	"s1:50→1 / s2:1→1"	""
50	67	53	181	0	0	1	0	0	0	0	1	"s1:50→1 / s2:1→1"	""
50	67	53	191	0	0	0	0	0	0	2	0	"s1:50→1 / s2:1→1"	""
50	67	55	104	0	0	0	0	0	1	0	1	"s1:50→1 / s2:1→1"	""
50	67	55	131	0	0	0	0	1	0	0	1	"s1:50→1 / s2:1→1"	""
50	67	57	76	0	0	0	0	0	0	1	1	"s1:50→1 / s2:1→1"	""
50	68	52	201	0	1	0	0	1	0	0	0	"s1:50→1 / s2:1→1"	""
50	68	52	207	0	0	1	1	0	0	0	0	"s1:50→1 / s2:1→1"	""
50	68	53	174	0	1	0	0	0	1	0	0	"s1:50→1 / s2:1→1"	""
50	68	53	181	0	0	1	0	1	0	0	0	"s1:50→1 / s2:1→1"	""
50	68	54	126	0	0	1	0	0	0	1	0	"s1:50→1 / s2:1→1"	""
50	68	54	146	0	1	0	0	0	0	1	0	"s1:50→1 / s2:1→1"	""
50	68	54	154	0	0	1	0	0	1	0	0	"s1:50→1 / s2:1→1"	""
50	68	59	146	0	1	0	0	0	0	1	0	"s1:50→1 / s2:1→2"	""
50	68	67	146	0	1	0	0	0	0	1	0	"s1:50→1 / s2:1→3"	""
50	68	67	271	0	2	0	0	0	0	0	0	"s1:50→2 / s2:1→1, 50→2"	""
50	69	53	173	1	1	0	0	0	0	0	0	"s1:50→1 / s2:1→1"	"s2:51→1"
