"TH"	"index"	"LST gauge algebra"	"full gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"count"
50	4	"4 e8+3 f5+7(g2+su(2))"	"4 e8+3 f5+8(g2+su(2))"	50	230	0	1	0	0	0	0	0	0	2
50	4	"4 e8+3 f5+7(g2+su(2))"	"4 e8+3 f5+8(g2+su(2))"	51	230	0	1	0	0	0	0	0	0	2
50	4	"4 e8+3 f5+7(g2+su(2))"	"4 e8+3 f5+so(8)+8(g2+su(2))"	51	202	0	1	1	0	0	0	0	0	2
50	4	"4 e8+3 f5+7(g2+su(2))"	"4 e8+3 f5+su(3)+8(g2+su(2))"	50	222	0	2	0	0	0	0	0	0	2
50	4	"4 e8+3 f5+7(g2+su(2))"	"4 e8+4 f5+8(g2+su(2))"	52	178	0	1	0	1	0	0	0	0	2
50	6	"4 e8+4 f5+7(g2+su(2))"	"4 e8+4 f5+8(g2+su(2))"	54	178	1	1	0	0	0	0	0	0	2
50	6	"4 e8+4 f5+7(g2+su(2))"	"4 e8+4 f5+8(g2+su(2))"	55	178	1	1	0	0	0	0	0	0	8
50	6	"4 e8+4 f5+7(g2+su(2))"	"4 e8+4 f5+su(3)+7(g2+su(2))"	50	179	0	1	0	0	0	0	0	0	2
50	7	"4 e8+3 f5+su(3)+7(g2+su(2))"	"4 e8+3 f5+9(g2+su(2))"	50	221	1	1	0	0	0	0	0	0	2
50	7	"4 e8+3 f5+su(3)+7(g2+su(2))"	"4 e8+3 f5+su(3)+8(g2+su(2))"	50	222	0	1	0	0	0	0	0	0	2
50	10	"4 e8+4 f5+7(g2+su(2))"	"4 e8+4 f5+8(g2+su(2))"	53	178	0	1	0	0	0	0	0	0	2
50	10	"4 e8+4 f5+7(g2+su(2))"	"4 e8+4 f5+8(g2+su(2))"	54	178	1	1	0	0	0	0	0	0	2
50	10	"4 e8+4 f5+7(g2+su(2))"	"4 e8+4 f5+8(g2+su(2))"	55	178	1	1	0	0	0	0	0	0	8
50	10	"4 e8+4 f5+7(g2+su(2))"	"4 e8+4 f5+9(g2+su(2))"	54	169	1	2	0	0	0	0	0	0	2
50	10	"4 e8+4 f5+7(g2+su(2))"	"4 e8+4 f5+9(g2+su(2))"	55	169	1	2	0	0	0	0	0	0	8
50	10	"4 e8+4 f5+7(g2+su(2))"	"4 e8+4 f5+su(3)+7(g2+su(2))"	50	179	0	1	0	0	0	0	0	0	2
50	10	"4 e8+4 f5+7(g2+su(2))"	"4 e8+4 f5+su(3)+8(g2+su(2))"	51	170	0	2	0	0	0	0	0	0	2
50	10	"4 e8+4 f5+7(g2+su(2))"	"4 e8+4 f5+su(3)+8(g2+su(2))"	54	170	0	2	0	0	0	0	0	0	3
50	11	"4 e8+3 f5+8(g2+su(2))"	"4 e8+3 f5+9(g2+su(2))"	50	221	0	1	0	0	0	0	0	0	2
50	12	"3 e8+e7+4 f5+su(3)+7(g2+su(2))+so(7)+2 su(2)"	"3 e8+2 e7+4 f5+8(g2+su(2))+so(7)+2 su(2)"	55	149	1	0	0	0	0	0	1	0	5
50	12	"3 e8+e7+4 f5+su(3)+7(g2+su(2))+so(7)+2 su(2)"	"3 e8+e7+e7'+4 f5+8(g2+su(2))+so(7)+2 su(2)"	54	177	1	0	0	0	0	1	0	0	5
50	14	"3 e8+e7+4 f5+7(g2+su(2))+so(7)+2 su(2)"	"3 e8+2 e7+4 f5+8(g2+su(2))+so(7)+2 su(2)"	55	149	1	1	0	0	0	0	1	0	10
50	14	"3 e8+e7+4 f5+7(g2+su(2))+so(7)+2 su(2)"	"3 e8+2 e7+4 f5+su(3)+7(g2+su(2))+so(7)+2 su(2)"	53	150	0	1	0	0	0	0	1	0	2
50	14	"3 e8+e7+4 f5+7(g2+su(2))+so(7)+2 su(2)"	"3 e8+e7+5 f5+su(3)+7(g2+su(2))+so(7)+2 su(2)"	50	231	0	1	0	1	0	0	0	0	2
