"TH"	"index"	"LST gauge algebra"	"full gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"count"
83	1	"6 e8+7 f5+14(g2+su(2))"	"6 e8+e7+8 f5+14(g2+su(2))"	83	244	0	0	0	1	0	0	1	0	2
83	1	"6 e8+7 f5+14(g2+su(2))"	"6 e8+e7'+e6+7 f5+14(g2+su(2))"	83	246	0	0	0	0	1	1	0	0	2
83	1	"6 e8+7 f5+14(g2+su(2))"	"6 e8+e7+e6+7 f5+14(g2+su(2))"	83	218	0	0	0	0	1	0	1	0	2
83	1	"6 e8+7 f5+14(g2+su(2))"	"6 e8+e7+e7'+7 f5+14(g2+su(2))"	83	191	0	0	0	0	0	1	1	0	2
83	2	"6 e8+7 f5+su(3)+13(g2+su(2))"	"7 e8+7 f5+14(g2+su(2))"	87	181	1	0	0	0	0	0	0	1	5
83	2	"6 e8+7 f5+su(3)+13(g2+su(2))"	"7 e8+7 f5+15(g2+su(2))"	87	172	2	1	0	0	0	0	0	1	6
83	2	"6 e8+7 f5+su(3)+13(g2+su(2))"	"7 e8+7 f5+2 su(3)+13(g2+su(2))"	87	174	0	1	0	0	0	0	0	1	4
83	2	"6 e8+7 f5+su(3)+13(g2+su(2))"	"7 e8+7 f5+2 su(3)+14(g2+su(2))"	87	165	1	2	0	0	0	0	0	1	5
83	2	"6 e8+7 f5+su(3)+13(g2+su(2))"	"7 e8+7 f5+3 su(3)+13(g2+su(2))"	87	166	0	2	0	0	0	0	0	1	3
83	2	"6 e8+7 f5+su(3)+13(g2+su(2))"	"7 e8+7 f5+so(8)+14(g2+su(2))"	88	153	1	0	1	0	0	0	0	1	2
83	2	"6 e8+7 f5+su(3)+13(g2+su(2))"	"7 e8+7 f5+su(3)+13(g2+su(2))+so(7)+2 su(2)"	87	171	2	1	0	0	0	0	0	1	2
83	2	"6 e8+7 f5+su(3)+13(g2+su(2))"	"7 e8+7 f5+su(3)+14(g2+su(2))"	87	173	1	1	0	0	0	0	0	1	21
83	10	"6 e8+e7+6 f5+12(g2+su(2))+so(7)+2 su(2)"	"6 e8+2 e7+6 f5+13(g2+su(2))+so(7)+2 su(2)"	83	213	0	1	0	0	0	0	1	0	2
83	10	"6 e8+e7+6 f5+12(g2+su(2))+so(7)+2 su(2)"	"6 e8+e7+e7'+6 f5+13(g2+su(2))+so(7)+2 su(2)"	83	241	0	1	0	0	0	1	0	0	2
83	14	"7 e8+7 f5+13(g2+su(2))"	"7 e8+7 f5+14(g2+su(2))"	87	181	1	1	0	0	0	0	0	0	10
83	14	"7 e8+7 f5+13(g2+su(2))"	"7 e8+7 f5+su(3)+13(g2+su(2))"	83	182	0	1	0	0	0	0	0	0	2
83	15	"6 e8+e6+7 f5+2 su(3)+12(g2+su(2))"	""	84	267	0	1	0	0	1	0	0	0	3
83	15	"6 e8+e6+7 f5+2 su(3)+12(g2+su(2))"	""	85	266	1	1	0	0	1	0	0	0	10
83	18	"6 e8+e6+7 f5+2 su(3)+12(g2+su(2))"	""	84	267	0	1	0	0	1	0	0	0	2
83	24	"6 e8+7 f5+so(8)+su(3)+13(g2+su(2))"	"7 e8+7 f5+so(8)+14(g2+su(2))"	88	153	1	0	0	0	0	0	0	1	2
