"TH"	"index"	"LST gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"
17	1	"e7+f5+2(g2+su(2))+so(7)+2 su(2)"	28	114	0	4	0	0	0	0	1	0	"s1:1→1 / s2:17→1 / s3:17→1 / s4:17→1 / s5:17→1"	""
17	1	"e7+f5+2(g2+su(2))+so(7)+2 su(2)"	28	121	1	3	0	0	0	0	1	0	"s1:1→1 / s2:17→1 / s3:17→1 / s4:17→1 / s5:17→1"	"s5:21→1"
17	1	"e7+f5+2(g2+su(2))+so(7)+2 su(2)"	29	127	2	2	0	0	0	0	1	0	"s1:1→1 / s2:17→1 / s3:17→1 / s4:17→1 / s5:17→1"	"s4:20→1 / s5:20→1"
17	1	"e7+f5+2(g2+su(2))+so(7)+2 su(2)"	29	128	2	2	0	0	0	0	1	0	"s1:1→1 / s2:17→1 / s3:17→1 / s4:17→1 / s5:17→1"	"s4:20→1 / s5:19→1"
17	1	"e7+f5+2(g2+su(2))+so(7)+2 su(2)"	31	127	2	2	0	0	0	0	1	0	"s1:1→1 / s2:17→1 / s3:17→1 / s4:17→1 / s5:17→2"	"s4:20→1 / s5:20→1"
17	1	"e7+f5+2(g2+su(2))+so(7)+2 su(2)"	50	142	0	4	0	0	0	1	0	0	"s1:1→1 / s2:17→1 / s3:17→1 / s4:17→1 / s5:17→1"	""
17	1	"e7+f5+2(g2+su(2))+so(7)+2 su(2)"	66	149	1	3	0	0	0	1	0	0	"s1:1→1 / s2:17→1 / s3:17→1 / s4:17→1 / s5:17→1"	"s5:21→1"
17	14	"e8+f5+2(g2+su(2))"	22	147	2	3	0	0	0	0	0	0	"{s1:17→1 / s3:1→1 / s4:15→1 / s5:15→1, s1:17→1 / s3:1→1 / s4:15→1 / s5:1→1, 15→1, s1:17→1 / s3:1→1 / s4:15→1 / s5:1→1, 15→2, s1:17→1 / s3:1→1 / s4:15→1 / s5:1→1, 15→3, s1:17→1 / s3:1→1 / s4:15→1 / s5:1→2, 15→2, s1:17→1 / s3:1→1 / s4:15→1 / s5:1→2, 15→3}"	"{s2:6→1 / s4:20→1 / s5:20→1, s2:6→1 / s4:20→1 / s5:20→1, s2:6→1 / s4:20→1 / s5:20→1, s2:6→1 / s4:20→1 / s5:20→1, s2:6→1 / s4:20→1 / s5:20→1, s2:6→1 / s4:20→1 / s5:20→1}"
17	14	"e8+f5+2(g2+su(2))"	22	148	2	3	0	0	0	0	0	0	"{s1:17→1 / s3:1→1 / s4:15→1 / s5:1→1, 15→1, s1:17→1 / s3:1→1 / s4:15→1 / s5:1→1, 15→2, s1:17→1 / s3:1→1 / s4:15→1 / s5:1→2, 15→2, s1:17→1 / s3:1→1 / s4:15→1 / s5:1→2, 15→3, s1:17→1 / s3:1→1 / s4:1→1, 15→1 / s5:1→1, 15→1, s1:17→1 / s3:1→1 / s4:1→1, 15→1 / s5:1→1, 15→2, s1:17→1 / s3:1→1 / s4:1→1, 15→1 / s5:1→1, 15→3}"	"{s2:6→1 / s4:20→1 / s5:18→1, s2:6→1 / s4:20→1 / s5:18→1, s2:6→1 / s4:20→1 / s5:18→1, s2:6→1 / s4:20→1 / s5:18→1, s2:6→1 / s4:20→1 / s5:18→1, s2:6→1 / s4:18→1 / s5:20→1, s2:6→1 / s4:18→1 / s5:20→1}"
17	14	"e8+f5+2(g2+su(2))"	23	141	1	4	0	0	0	0	0	0	"s1:17→1 / s3:1→1 / s4:1→1, 15→1 / s5:1→1"	"s2:6→1 / s5:18→1"
