"TH+1"	"index"	"LST gauge algebra"	"full gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"
17	1	"e7+f4+2(g2+su(2))+so(7)+2 su(2)"	"2 e7+f4+2(g2+su(2))+2(so(7)+2 su(2))"	26	135	2	1	0	0	0	0	1	0	"[""s1:17->1 / s2:1->1 / s3:1->1 / s4:1->2, 6->1"",""s1:17->1 / s2:1->1 / s3:1->1 / s4:1->3, 6->1"",""s1:1->1 / s2:17->1 / s3:17->1 / s4:6->1, 17->4""]"	"[""s3:19->1 / s4:19->1"",""s3:19->1 / s4:19->1"",""s3:19->1 / s4:19->1""]"
17	1	"e7+f4+2(g2+su(2))+so(7)+2 su(2)"	"2 e7+f4+2(g2+su(2))+2(so(7)+2 su(2))"	27	135	2	1	0	0	0	0	1	0	"[""s1:17->1 / s2:1->1 / s3:1->1 / s4:1->4, 6->1""]"	"[""s3:19->1 / s4:19->1""]"
17	1	"e7+f4+2(g2+su(2))+so(7)+2 su(2)"	"2 e7+f4+2(g2+su(2))+2(so(7)+2 su(2))"	28	135	2	1	0	0	0	0	1	0	"[""s1:1->1 / s2:17->1 / s3:17->1 / s4:6->1, 17->3""]"	"[""s3:19->1 / s4:19->1""]"
17	1	"e7+f4+2(g2+su(2))+so(7)+2 su(2)"	"2 e7+f4+2(g2+su(2))+2(so(7)+2 su(2))"	34	135	2	1	0	0	0	0	1	0	"[""s1:17->1 / s2:1->1 / s3:1->1 / s4:1->1"",""s1:1->1 / s2:17->1 / s3:17->1 / s4:17->1""]"	"[""s3:19->1 / s4:19->1"",""s3:19->1 / s4:19->1""]"
17	1	"e7+f4+2(g2+su(2))+so(7)+2 su(2)"	"2 e7+f4+2(g2+su(2))+2(so(7)+2 su(2))"	37	135	2	1	0	0	0	0	1	0	"[""s1:17->1 / s2:1->1 / s3:1->1 / s4:1->1, 6->1""]"	"[""s3:19->1 / s4:19->1""]"
17	1	"e7+f4+2(g2+su(2))+so(7)+2 su(2)"	"2 e7+f4+2(g2+su(2))+2(so(7)+2 su(2))"	45	135	2	1	0	0	0	0	1	0	"[""s1:17->1 / s2:1->1 / s3:1->1 / s4:1->2"",""s1:1->1 / s2:17->1 / s3:17->1 / s4:17->2"",""s1:1->1 / s2:17->2 / s3:17->1 / s4:17->1""]"	"[""s3:19->1 / s4:19->1"",""s3:19->1 / s4:19->1"",""s3:19->1 / s4:19->1""]"
17	1	"e7+f4+2(g2+su(2))+so(7)+2 su(2)"	"2 e7+f4+2(g2+su(2))+2(so(7)+2 su(2))"	56	135	2	1	0	0	0	0	1	0	"[""s1:1->1 / s2:17->1 / s3:17->2 / s4:17->2""]"	"[""s3:19->1 / s4:19->1""]"
17	1	"e7+f4+2(g2+su(2))+so(7)+2 su(2)"	"2 e7+f4+2(g2+su(2))+2(so(7)+2 su(2))"	57	135	2	1	0	0	0	0	1	0	"[""s1:17->1 / s2:1->1 / s3:1->2 / s4:1->2""]"	"[""s3:19->1 / s4:19->1""]"
17	1	"e7+f4+2(g2+su(2))+so(7)+2 su(2)"	"2 e7+f4+2(g2+su(2))+2(so(7)+2 su(2))"	59	135	2	1	0	0	0	0	1	0	"[""s1:1->1 / s2:17->1 / s3:17->1 / s4:17->3""]"	"[""s3:19->1 / s4:19->1""]"
17	1	"e7+f4+2(g2+su(2))+so(7)+2 su(2)"	"2 e7+f4+2(g2+su(2))+2(so(7)+2 su(2))"	60	135	2	1	0	0	0	0	1	0	"[""s1:17->1 / s2:1->1 / s3:1->1 / s4:1->3""]"	"[""s3:19->1 / s4:19->1""]"
17	1	"e7+f4+2(g2+su(2))+so(7)+2 su(2)"	"2 e7+f4+2(g2+su(2))+2(so(7)+2 su(2))"	70	135	2	1	0	0	0	0	1	0	"[""s1:1->1 / s2:17->1 / s3:17->2 / s4:17->3""]"	"[""s3:19->1 / s4:19->1""]"
17	1	"e7+f4+2(g2+su(2))+so(7)+2 su(2)"	"2 e7+f4+3 su(3)+2(g2+su(2))+so(7)+2 su(2)"	26	122	0	3	0	0	0	0	1	0	"[""s1:17->1 / s2:1->1 / s3:1->1 / s4:1->1"",""s1:1->1 / s2:17->1 / s3:17->1 / s4:17->1""]"	"["""",""""]"
17	1	"e7+f4+2(g2+su(2))+so(7)+2 su(2)"	"2 e7+f4+3 su(3)+2(g2+su(2))+so(7)+2 su(2)"	32	122	0	3	0	0	0	0	1	0	"[""s1:1->1 / s2:17->1 / s3:17->1 / s4:17->2""]"	"[""""]"
17	1	"e7+f4+2(g2+su(2))+so(7)+2 su(2)"	"2 e7+f4+3 su(3)+2(g2+su(2))+so(7)+2 su(2)"	40	122	0	3	0	0	0	0	1	0	"[""s1:1->1 / s2:17->1 / s3:17->1 / s4:17->3""]"	"[""""]"
17	1	"e7+f4+2(g2+su(2))+so(7)+2 su(2)"	"2 e7+f4+so(8)+2 su(3)+2(g2+su(2))+so(7)+2 su(2)"	27	102	0	2	1	0	0	0	1	0	"[""s1:1->1 / s2:17->1 / s3:17->1 / s4:17->1""]"	"[""""]"
17	1	"e7+f4+2(g2+su(2))+so(7)+2 su(2)"	"2 e7+f4+so(8)+3(g2+su(2))+so(7)+2 su(2)"	25	109	1	1	1	0	0	0	1	0	"[""s1:1->1 / s2:17->1 / s3:17->1 / s4:6->1, 17->1""]"	"[""s4:20->1""]"
17	1	"e7+f4+2(g2+su(2))+so(7)+2 su(2)"	"2 e7+f4+so(8)+3(g2+su(2))+so(7)+2 su(2)"	27	109	1	1	1	0	0	0	1	0	"[""s1:17->1 / s2:1->1 / s3:1->1 / s4:6->1""]"	"[""s4:20->1""]"
17	1	"e7+f4+2(g2+su(2))+so(7)+2 su(2)"	"2 e7+f4+so(8)+3(g2+su(2))+so(7)+2 su(2)"	30	109	1	1	1	0	0	0	1	0	"[""s1:1->1 / s2:17->1 / s3:17->1 / s4:17->1""]"	"[""s4:20->1""]"
17	1	"e7+f4+2(g2+su(2))+so(7)+2 su(2)"	"2 e7+f4+su(3)+3(g2+su(2))+so(7)+2 su(2)"	24	129	1	2	0	0	0	0	1	0	"[""s1:17->1 / s2:1->1 / s3:1->1 / s4:1->1, 6->1"",""s1:17->1 / s2:1->1 / s3:1->1 / s4:1->1, 6->1"",""s1:17->1 / s2:1->1 / s3:1->1 / s4:1->2, 17->1"",""s1:17->1 / s2:1->1 / s3:1->1 / s4:1->2, 17->1"",""s1:17->1 / s2:1->1 / s3:1->1 / s4:1->2, 6->1"",""s1:17->1 / s2:1->1 / s3:1->1 / s4:1->2, 6->1"",""s1:17->1 / s2:1->1 / s3:1->1 / s4:1->3, 17->1"",""s1:17->1 / s2:1->1 / s3:1->1 / s4:1->3, 17->1"",""s1:17->1 / s2:1->1 / s3:1->1 / s4:1->3, 6->1, 17->1"",""s1:17->1 / s2:1->1 / s3:1->1 / s4:1->3, 6->1, 17->1"",""s1:17->1 / s2:1->1 / s3:1->1 / s4:1->4, 17->1"",""s1:17->1 / s2:1->1 / s3:1->1 / s4:1->4, 17->1"",""s1:1->1 / s2:17->1 / s3:17->1 / s4:6->1, 17->1"",""s1:1->1 / s2:17->1 / s3:17->1 / s4:6->1, 17->1"",""s1:1->1 / s2:17->1 / s3:17->1 / s4:6->1, 17->2"",""s1:1->1 / s2:17->1 / s3:17->1 / s4:6->1, 17->2"",""s1:1->1 / s2:17->1 / s3:17->1 / s4:6->1, 17->3"",""s1:1->1 / s2:17->1 / s3:17->1 / s4:6->1, 17->3"",""s1:1->1 / s2:17->1 / s3:17->1 / s4:6->1, 17->4"",""s1:1->1 / s2:17->1 / s3:17->1 / s4:6->1, 17->4""]"	"[""s4:19->1"",""s4:20->1"",""s4:19->1"",""s4:20->1"",""s4:19->1"",""s4:20->1"",""s4:19->1"",""s4:20->1"",""s4:19->1"",""s4:20->1"",""s4:19->1"",""s4:20->1"",""s4:19->1"",""s4:20->1"",""s4:19->1"",""s4:20->1"",""s4:19->1"",""s4:20->1"",""s4:19->1"",""s4:20->1""]"
17	1	"e7+f4+2(g2+su(2))+so(7)+2 su(2)"	"2 e7+f4+su(3)+3(g2+su(2))+so(7)+2 su(2)"	25	129	1	2	0	0	0	0	1	0	"[""s1:17->1 / s2:1->1 / s3:1->1 / s4:1->3, 6->1"",""s1:17->1 / s2:1->1 / s3:1->1 / s4:1->3, 6->1""]"	"[""s4:19->1"",""s4:20->1""]"
17	1	"e7+f4+2(g2+su(2))+so(7)+2 su(2)"	"2 e7+f4+su(3)+3(g2+su(2))+so(7)+2 su(2)"	26	129	1	2	0	0	0	0	1	0	"[""s1:17->1 / s2:1->1 / s3:1->1 / s4:1->4, 6->1"",""s1:17->1 / s2:1->1 / s3:1->1 / s4:1->4, 6->1""]"	"[""s4:19->1"",""s4:20->1""]"
17	1	"e7+f4+2(g2+su(2))+so(7)+2 su(2)"	"2 e7+f4+su(3)+3(g2+su(2))+so(7)+2 su(2)"	29	129	1	2	0	0	0	0	1	0	"[""s1:17->1 / s2:1->1 / s3:1->1 / s4:1->1"",""s1:17->1 / s2:1->1 / s3:1->1 / s4:1->1"",""s1:1->1 / s2:17->1 / s3:17->1 / s4:17->1"",""s1:1->1 / s2:17->1 / s3:17->1 / s4:17->1""]"	"[""s4:19->1"",""s4:20->1"",""s4:19->1"",""s4:20->1""]"
17	1	"e7+f4+2(g2+su(2))+so(7)+2 su(2)"	"2 e7+f4+su(3)+3(g2+su(2))+so(7)+2 su(2)"	34	129	1	2	0	0	0	0	1	0	"[""s1:17->1 / s2:1->1 / s3:1->2 / s4:1->1"",""s1:1->1 / s2:17->1 / s3:17->2 / s4:17->1""]"	"[""s4:19->1"",""s4:19->1""]"
