"TH"	"index"	"LST gauge algebra"	"full gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"
17	1	"e7+f5+2(g2+su(2))+so(7)+2 su(2)"	"2 e7+2 f5+su(3)+2(g2+su(2))+so(7)+2 su(2)"	25	86	0	1	0	1	0	0	1	0	"s1:1→1 / s2:17→1 / s3:17→1"	""
17	1	"e7+f5+2(g2+su(2))+so(7)+2 su(2)"	"2 e7+e6+f5+su(3)+2(g2+su(2))+so(7)+2 su(2)"	26	60	0	1	0	0	1	0	1	0	"s1:1→1 / s2:17→1 / s3:17→1"	""
17	1	"e7+f5+2(g2+su(2))+so(7)+2 su(2)"	"2 e7+f5+2 so(8)+2(g2+su(2))+so(7)+2 su(2)"	25	90	0	0	2	0	0	0	1	0	"s1:1→1 / s2:17→1 / s3:17→1"	""
17	1	"e7+f5+2(g2+su(2))+so(7)+2 su(2)"	"2 e7+f5+2 su(3)+2(g2+su(2))+so(7)+2 su(2)"	23	130	0	2	0	0	0	0	1	0	"{s1:17→1 / s2:1→1 / s3:1→1, s1:1→1 / s2:17→1 / s3:17→1}"	""
17	1	"e7+f5+2(g2+su(2))+so(7)+2 su(2)"	"2 e7+f5+2 su(3)+2(g2+su(2))+so(7)+2 su(2)"	27	130	0	2	0	0	0	0	1	0	"{s1:17→1 / s2:1→1 / s3:1→2, s1:1→1 / s2:17→1 / s3:17→2}"	""
17	1	"e7+f5+2(g2+su(2))+so(7)+2 su(2)"	"2 e7+f5+2 su(3)+2(g2+su(2))+so(7)+2 su(2)"	29	130	0	2	0	0	0	0	1	0	"{s1:1→1 / s2:17→1 / s3:17→3, s1:1→1 / s2:17→2 / s3:17→2}"	""
17	1	"e7+f5+2(g2+su(2))+so(7)+2 su(2)"	"2 e7+f5+2 su(3)+2(g2+su(2))+so(7)+2 su(2)"	30	130	0	2	0	0	0	0	1	0	"{s1:17→1 / s2:1→2 / s3:1→2, s1:1→1 / s2:17→1 / s3:17→4, s1:1→1 / s2:17→2 / s3:17→3}"	""
17	1	"e7+f5+2(g2+su(2))+so(7)+2 su(2)"	"2 e7+f5+2 su(3)+2(g2+su(2))+so(7)+2 su(2)"	31	130	0	2	0	0	0	0	1	0	"{s1:17→1 / s2:1→1 / s3:1→3, s1:1→1 / s2:17→1 / s3:17→5, s1:1→1 / s2:17→2 / s3:17→4, s1:1→1 / s2:17→3 / s3:17→3}"	""
17	1	"e7+f5+2(g2+su(2))+so(7)+2 su(2)"	"2 e7+f5+2 su(3)+2(g2+su(2))+so(7)+2 su(2)"	33	130	0	2	0	0	0	0	1	0	"s1:17→1 / s2:1→1 / s3:1→4"	""
17	1	"e7+f5+2(g2+su(2))+so(7)+2 su(2)"	"2 e7+f5+2 su(3)+2(g2+su(2))+so(7)+2 su(2)"	35	130	0	2	0	0	0	0	1	0	"s1:17→1 / s2:1→1 / s3:1→5"	""
