"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"
61	1	65	162	1	2	0	0	0	0	0	1
61	1	65	163	0	2	0	0	0	0	0	1
61	1	65	168	2	1	0	0	0	0	0	1
61	1	65	170	1	1	0	0	0	0	0	1
61	1	65	171	0	1	0	0	0	0	0	1
61	1	66	162	1	2	0	0	0	0	0	1
61	9	65	179	1	1	0	0	0	0	0	0
61	11	82	257	1	0	1	0	0	0	0	0
61	11	89	256	1	0	1	0	0	0	0	0
61	11	96	256	1	0	1	0	0	0	0	0
61	11	97	255	2	0	1	0	0	0	0	0
61	11	101	255	2	0	1	0	0	0	0	0
61	11	117	257	1	0	1	0	0	0	0	0
61	12	67	233	1	1	0	1	0	0	0	0
61	12	77	264	1	0	1	0	0	0	0	0
61	12	84	264	1	0	1	0	0	0	0	0
61	12	87	257	1	1	1	0	0	0	0	0
61	12	89	264	1	0	1	0	0	0	0	0
61	12	92	256	1	1	1	0	0	0	0	0
61	12	97	256	1	1	1	0	0	0	0	0
61	12	121	257	1	1	1	0	0	0	0	0
61	12	122	257	1	1	1	0	0	0	0	0
61	17	65	170	1	2	0	0	0	0	0	0
61	17	65	179	1	1	0	0	0	0	0	0
61	22	69	273	1	2	0	1	0	0	0	0
61	22	83	255	1	1	0	0	1	0	0	0
61	22	83	256	0	1	0	0	1	0	0	0
61	29	99	264	1	0	1	0	0	0	0	0
61	29	105	264	1	0	1	0	0	0	0	0
61	32	67	238	1	0	0	1	0	0	0	0
61	32	91	262	1	0	1	0	0	0	0	0
61	32	120	254	1	1	1	0	0	0	0	0
61	32	140	262	1	0	1	0	0	0	0	0
61	32	141	262	1	0	1	0	0	0	0	0
61	32	141	273	2	2	0	0	0	0	0	0
61	32	146	254	1	1	1	0	0	0	0	0
61	32	150	273	2	2	0	0	0	0	0	0
61	32	151	266	1	3	0	0	0	0	0	0
61	32	155	273	2	2	0	0	0	0	0	0
61	32	158	273	2	2	0	0	0	0	0	0
61	34	162	273	2	1	0	0	0	0	0	0
61	34	168	273	2	1	0	0	0	0	0	0
61	37	128	261	1	1	0	0	0	0	0	0
61	37	129	261	1	1	0	0	0	0	0	0
61	41	89	271	1	2	1	0	0	0	0	0
61	41	89	272	0	2	1	0	0	0	0	0
61	78	74	260	1	0	1	0	0	0	0	0
61	78	75	252	1	1	1	0	0	0	0	0
61	78	75	253	1	1	1	0	0	0	0	0
61	78	75	254	0	1	1	0	0	0	0	0
61	78	77	260	1	0	1	0	0	0	0	0
61	78	89	260	1	0	1	0	0	0	0	0
61	78	93	260	1	0	1	0	0	0	0	0
61	78	100	252	1	1	1	0	0	0	0	0
61	78	104	252	1	1	1	0	0	0	0	0
61	78	175	273	1	2	0	0	0	0	0	0
61	78	176	272	1	2	0	0	0	0	0	0
61	78	176	273	1	2	0	0	0	0	0	0
61	78	178	272	1	2	0	0	0	0	0	0
61	78	180	273	1	2	0	0	0	0	0	0
61	78	182	273	1	2	0	0	0	0	0	0
61	78	183	273	1	2	0	0	0	0	0	0
61	78	185	271	2	2	0	0	0	0	0	0
61	78	187	272	1	2	0	0	0	0	0	0
61	78	187	273	1	2	0	0	0	0	0	0
61	78	188	273	1	2	0	0	0	0	0	0
