"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"
65	1	66	218	0	0	0	0	1	0	0	0	"s1:1→1"	""
65	1	66	244	0	0	0	1	0	0	0	0	"s1:1→1"	""
65	1	66	268	0	0	1	0	0	0	0	0	"s1:1→1"	""
65	2	66	218	0	0	0	0	1	0	0	0	"s1:1→1"	""
65	2	66	244	0	0	0	1	0	0	0	0	"s1:1→1"	""
65	2	66	268	0	0	1	0	0	0	0	0	"s1:1→1"	""
65	3	66	235	0	0	0	1	0	0	0	0	"s1:1→1"	""
65	3	66	259	0	0	1	0	0	0	0	0	"s1:1→1"	""
65	4	66	243	0	0	0	1	0	0	0	0	"s1:1→1"	""
65	4	66	267	0	0	1	0	0	0	0	0	"s1:1→1"	""
65	5	66	218	0	0	0	0	1	0	0	0	"s1:65→1"	""
65	5	66	244	0	0	0	1	0	0	0	0	"s1:65→1"	""
65	5	66	268	0	0	1	0	0	0	0	0	"s1:65→1"	""
65	6	66	243	0	0	0	1	0	0	0	0	"s1:1→1"	""
65	6	66	267	0	0	1	0	0	0	0	0	"s1:1→1"	""
65	7	66	271	0	1	0	0	0	0	0	0	"s1:2→1, 62→1"	""
65	7	67	271	0	1	0	0	0	0	0	0	"s1:2→2, 62→1"	""
65	7	69	271	0	1	0	0	0	0	0	0	"s1:62→1"	""
65	7	71	271	0	1	0	0	0	0	0	0	"{s1:2→1, s1:2→2}"	""
65	9	66	234	0	0	0	1	0	0	0	0	"s1:1→1"	""
65	9	66	258	0	0	1	0	0	0	0	0	"s1:1→1"	""
65	11	66	270	0	1	0	0	0	0	0	0	"s1:3→1, 62→1"	""
65	11	69	270	0	1	0	0	0	0	0	0	"s1:62→1"	""
65	11	71	270	0	1	0	0	0	0	0	0	"s1:3→1"	""
65	13	66	151	0	0	0	0	0	0	0	1	"s1:1→1"	""
65	13	66	266	0	0	0	0	0	0	1	0	"{s1:1→1, s1:1→1, 65→1, s1:65→1}"	""
65	14	66	218	0	0	0	0	1	0	0	0	"s1:1→1"	""
65	14	66	244	0	0	0	1	0	0	0	0	"s1:1→1"	""
65	14	66	268	0	0	1	0	0	0	0	0	"s1:1→1"	""
65	16	71	270	0	1	0	0	0	0	0	0	"{s1:2→1, s1:2→2}"	""
65	17	71	269	0	1	0	0	0	0	0	0	"s1:3→1"	""
65	18	66	268	0	1	0	0	0	0	0	0	""	"s1:65→1"
65	20	66	266	0	1	0	0	0	0	0	0	""	"s1:65→1, 1→1"
65	20	66	268	0	1	0	0	0	0	0	0	""	"s1:1→1"
65	21	66	259	0	1	0	0	0	0	0	0	""	"s1:4→1"
65	21	70	267	1	0	0	0	0	0	0	0	"s1:64→1"	"{s1:63→1, s1:63→1}"
65	21	71	260	0	1	0	0	0	0	0	0	"s1:64→1"	""
65	24	66	153	0	1	0	0	0	0	0	0	""	"s1:65→1"
