"TH+1"	"index"	"LST gauge algebra"	"full gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"
46	1	"3 e8+4 f4+su(3)+7(g2+su(2))"	"3 e8+e7+4 f4+8(g2+su(2))"	50	177	1	0	0	0	0	0	1	0
46	1	"3 e8+4 f4+su(3)+7(g2+su(2))"	"4 e8+4 f4+8(g2+su(2))"	54	62	1	0	0	0	0	0	0	1
46	2	"3 e8+4 f4+7(g2+su(2))"	"3 e8+e7+4 f4+8(g2+su(2))"	50	177	1	1	0	0	0	0	1	0
46	2	"3 e8+4 f4+7(g2+su(2))"	"4 e8+4 f4+8(g2+su(2))"	54	62	1	1	0	0	0	0	0	1
46	2	"3 e8+4 f4+7(g2+su(2))"	"4 e8+4 f4+8(g2+su(2))"	55	62	1	1	0	0	0	0	0	1
46	7	"3 e8+4 f4+su(3)+7(g2+su(2))"	"3 e8+e7+4 f4+8(g2+su(2))"	50	177	1	0	0	0	0	0	1	0
46	7	"3 e8+4 f4+su(3)+7(g2+su(2))"	"3 e8+e7+4 f4+9(g2+su(2))"	51	168	2	1	0	0	0	0	1	0
46	7	"3 e8+4 f4+su(3)+7(g2+su(2))"	"3 e8+e7+4 f4+su(3)+8(g2+su(2))"	51	169	1	1	0	0	0	0	1	0
46	7	"3 e8+4 f4+su(3)+7(g2+su(2))"	"4 e8+4 f4+2 su(3)+7(g2+su(2))"	55	55	0	1	0	0	0	0	0	1
46	7	"3 e8+4 f4+su(3)+7(g2+su(2))"	"4 e8+4 f4+8(g2+su(2))"	54	62	1	0	0	0	0	0	0	1
46	7	"3 e8+4 f4+su(3)+7(g2+su(2))"	"4 e8+4 f4+9(g2+su(2))"	56	53	2	1	0	0	0	0	0	1
46	7	"3 e8+4 f4+su(3)+7(g2+su(2))"	"4 e8+4 f4+su(3)+8(g2+su(2))"	55	54	1	1	0	0	0	0	0	1
46	7	"3 e8+4 f4+su(3)+7(g2+su(2))"	"4 e8+4 f4+su(3)+8(g2+su(2))"	56	54	1	1	0	0	0	0	0	1
46	8	"3 e8+5 f4+2 su(3)+6(g2+su(2))"	"3 e8+5 f4+su(3)+7(g2+su(2))"	51	259	1	0	0	0	0	0	0	0
46	8	"3 e8+5 f4+2 su(3)+6(g2+su(2))"	"3 e8+5 f4+su(3)+7(g2+su(2))"	52	259	1	0	0	0	0	0	0	0
46	8	"3 e8+5 f4+2 su(3)+6(g2+su(2))"	"3 e8+5 f4+su(3)+7(g2+su(2))"	53	259	1	0	0	0	0	0	0	0
46	8	"3 e8+5 f4+2 su(3)+6(g2+su(2))"	"3 e8+5 f4+su(3)+7(g2+su(2))"	54	259	1	0	0	0	0	0	0	0
46	9	"3 e8+5 f4+su(3)+7(g2+su(2))"	"3 e8+5 f4+8(g2+su(2))"	53	258	1	0	0	0	0	0	0	0
46	9	"3 e8+5 f4+su(3)+7(g2+su(2))"	"3 e8+5 f4+8(g2+su(2))"	54	258	1	0	0	0	0	0	0	0
46	12	"3 e8+e6+4 f4+2 su(3)+6(g2+su(2))"	"3 e8+e6+4 f4+su(3)+7(g2+su(2))"	51	233	1	0	0	0	0	0	0	0
46	14	"3 e8+e7+3 f4+7(g2+su(2))"	"3 e8+e7+3 f4+6(g2+su(2))+so(7)+2 su(2)"	53	236	1	0	0	0	0	0	0	0
46	14	"3 e8+e7+3 f4+7(g2+su(2))"	"3 e8+e7+3 f4+6(g2+su(2))+so(7)+2 su(2)"	54	236	1	0	0	0	0	0	0	0
46	15	"3 e8+e7+3 f4+su(3)+7(g2+su(2))"	"3 e8+e7+3 f4+8(g2+su(2))"	51	229	1	0	0	0	0	0	0	0
46	15	"3 e8+e7+3 f4+su(3)+7(g2+su(2))"	"3 e8+e7+3 f4+8(g2+su(2))"	52	229	1	0	0	0	0	0	0	0
46	18	"3 e8+e6+4 f4+su(3)+7(g2+su(2))"	"3 e8+e6+4 f4+8(g2+su(2))"	51	232	1	0	0	0	0	0	0	0
46	19	"3 e8+e7+4 f4+7(g2+su(2))"	"3 e8+e7+4 f4+8(g2+su(2))"	52	177	1	1	0	0	0	0	0	0
46	20	"3 e8+e7+4 f4+7(g2+su(2))"	"3 e8+e7+4 f4+8(g2+su(2))"	50	177	1	1	0	0	0	0	0	0
46	25	"3 e8+e7+3 f4+su(3)+7(g2+su(2))"	"3 e8+e7+3 f4+8(g2+su(2))"	51	229	1	0	0	0	0	0	0	0
46	25	"3 e8+e7+3 f4+su(3)+7(g2+su(2))"	"3 e8+e7+3 f4+8(g2+su(2))"	52	229	1	0	0	0	0	0	0	0
46	26	"3 e8+e6+4 f4+2 su(3)+6(g2+su(2))"	"3 e8+e6+4 f4+su(3)+7(g2+su(2))"	51	233	1	0	0	0	0	0	0	0
46	27	"3 e8+e7+3 f4+7(g2+su(2))"	"3 e8+e7+3 f4+6(g2+su(2))+so(7)+2 su(2)"	53	236	1	0	0	0	0	0	0	0
46	27	"3 e8+e7+3 f4+7(g2+su(2))"	"3 e8+e7+3 f4+6(g2+su(2))+so(7)+2 su(2)"	54	236	1	0	0	0	0	0	0	0
46	30	"3 e8+e7'+4 f4+su(3)+7(g2+su(2))"	"3 e8+e7'+4 f4+8(g2+su(2))"	53	205	1	0	0	0	0	0	0	0
46	32	"3 e8+e6+4 f4+su(3)+7(g2+su(2))"	"3 e8+e6+4 f4+su(3)+6(g2+su(2))+so(7)+2 su(2)"	51	231	1	0	0	0	0	0	0	0
46	39	"3 e8+e7+3 f4+7(g2+su(2))"	"3 e8+e7+3 f4+6(g2+su(2))+so(7)+2 su(2)"	53	236	1	0	0	0	0	0	0	0
46	39	"3 e8+e7+3 f4+7(g2+su(2))"	"3 e8+e7+3 f4+6(g2+su(2))+so(7)+2 su(2)"	54	236	1	0	0	0	0	0	0	0
46	40	"3 e8+e7+3 f4+su(3)+7(g2+su(2))"	"3 e8+e7+3 f4+8(g2+su(2))"	52	229	1	0	0	0	0	0	0	0
46	41	"3 e8+e7+3 f4+su(3)+7(g2+su(2))"	"3 e8+e7+3 f4+8(g2+su(2))"	52	229	1	0	0	0	0	0	0	0
46	42	"3 e8+e6+4 f4+su(3)+7(g2+su(2))"	"3 e8+e6+4 f4+8(g2+su(2))"	51	232	1	0	0	0	0	0	0	0
46	43	"3 e8+e7+3 f4+7(g2+su(2))"	"3 e8+e7+3 f4+6(g2+su(2))+so(7)+2 su(2)"	53	236	1	0	0	0	0	0	0	0
46	43	"3 e8+e7+3 f4+7(g2+su(2))"	"3 e8+e7+3 f4+6(g2+su(2))+so(7)+2 su(2)"	54	236	1	0	0	0	0	0	0	0
46	44	"3 e8+5 f4+so(8)+2 su(3)+6(g2+su(2))"	"3 e8+5 f4+so(8)+su(3)+7(g2+su(2))"	52	231	1	0	0	0	0	0	0	0
46	45	"3 e8+e6+4 f4+8(g2+su(2))"	"3 e8+e6+4 f4+7(g2+su(2))+so(7)+2 su(2)"	51	230	1	0	0	0	0	0	0	0
46	46	"3 e8+e6+4 f4+su(3)+7(g2+su(2))"	"3 e8+e6+4 f4+su(3)+6(g2+su(2))+so(7)+2 su(2)"	51	231	1	0	0	0	0	0	0	0
46	49	"3 e8+e6+4 f4+8(g2+su(2))"	"3 e8+e6+4 f4+7(g2+su(2))+so(7)+2 su(2)"	51	230	1	0	0	0	0	0	0	0
46	57	"3 e8+e6+3 f4+so(8)+3 su(3)+6(g2+su(2))"	"3 e8+e6+3 f4+so(8)+2 su(3)+7(g2+su(2))"	51	249	1	0	0	0	0	0	0	0
46	63	"6 e7+f4+3(g2+su(2))+5(so(7)+2 su(2))"	"e8+6 e7+f4+2(g2+su(2))+6(so(7)+2 su(2))"	53	152	1	0	0	0	0	0	0	1
46	63	"6 e7+f4+3(g2+su(2))+5(so(7)+2 su(2))"	"e8+6 e7+f4+2(g2+su(2))+6(so(7)+2 su(2))"	57	152	1	0	0	0	0	0	0	1
46	63	"6 e7+f4+3(g2+su(2))+5(so(7)+2 su(2))"	"e8+6 e7+f4+2(g2+su(2))+6(so(7)+2 su(2))"	58	152	1	0	0	0	0	0	0	1
46	63	"6 e7+f4+3(g2+su(2))+5(so(7)+2 su(2))"	"e8+6 e7+f4+4(g2+su(2))+5(so(7)+2 su(2))"	55	145	1	1	0	0	0	0	0	1
46	63	"6 e7+f4+3(g2+su(2))+5(so(7)+2 su(2))"	"e8+6 e7+f4+4(g2+su(2))+5(so(7)+2 su(2))"	78	145	1	1	0	0	0	0	0	1
46	63	"6 e7+f4+3(g2+su(2))+5(so(7)+2 su(2))"	"e8+6 e7+f4+4(g2+su(2))+5(so(7)+2 su(2))"	83	145	1	1	0	0	0	0	0	1
46	63	"6 e7+f4+3(g2+su(2))+5(so(7)+2 su(2))"	"e8+6 e7+f4+su(3)+2(g2+su(2))+6(so(7)+2 su(2))"	54	144	1	1	0	0	0	0	0	1
46	63	"6 e7+f4+3(g2+su(2))+5(so(7)+2 su(2))"	"e8+6 e7+f4+su(3)+2(g2+su(2))+6(so(7)+2 su(2))"	58	144	1	1	0	0	0	0	0	1
46	63	"6 e7+f4+3(g2+su(2))+5(so(7)+2 su(2))"	"e8+6 e7+f4+su(3)+2(g2+su(2))+6(so(7)+2 su(2))"	60	144	1	1	0	0	0	0	0	1
46	63	"6 e7+f4+3(g2+su(2))+5(so(7)+2 su(2))"	"e8+6 e7+f4+su(3)+3(g2+su(2))+5(so(7)+2 su(2))"	68	146	0	1	0	0	0	0	0	1
46	63	"6 e7+f4+3(g2+su(2))+5(so(7)+2 su(2))"	"e8+6 e7+f4+su(3)+3(g2+su(2))+5(so(7)+2 su(2))"	75	146	0	1	0	0	0	0	0	1
46	68	"6 e7+f4+3(g2+su(2))+5(so(7)+2 su(2))"	"e8+6 e7+f4+4(g2+su(2))+5(so(7)+2 su(2))"	52	145	1	1	0	0	0	0	0	1
46	68	"6 e7+f4+3(g2+su(2))+5(so(7)+2 su(2))"	"e8+6 e7+f4+4(g2+su(2))+5(so(7)+2 su(2))"	78	145	1	1	0	0	0	0	0	1
46	68	"6 e7+f4+3(g2+su(2))+5(so(7)+2 su(2))"	"e8+6 e7+f4+4(g2+su(2))+5(so(7)+2 su(2))"	83	145	1	1	0	0	0	0	0	1
46	68	"6 e7+f4+3(g2+su(2))+5(so(7)+2 su(2))"	"e8+6 e7+f4+su(3)+3(g2+su(2))+5(so(7)+2 su(2))"	68	146	0	1	0	0	0	0	0	1
46	68	"6 e7+f4+3(g2+su(2))+5(so(7)+2 su(2))"	"e8+6 e7+f4+su(3)+3(g2+su(2))+5(so(7)+2 su(2))"	74	146	0	1	0	0	0	0	0	1
46	73	"6 e7+f4+su(3)+3(g2+su(2))+5(so(7)+2 su(2))"	"e8+6 e7+f4+4(g2+su(2))+5(so(7)+2 su(2))"	52	145	1	0	0	0	0	0	0	1
46	73	"6 e7+f4+su(3)+3(g2+su(2))+5(so(7)+2 su(2))"	"e8+6 e7+f4+su(3)+2(g2+su(2))+6(so(7)+2 su(2))"	52	144	1	0	0	0	0	0	0	1
