"TH"	"index"	"LST gauge algebra"	"full gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"
9	1	"f5+2(g2+su(2))"	"2 f5+2(g2+su(2))+so(7)+2 su(2)"	43	128	2	1	0	1	0	0	0	0
9	1	"f5+2(g2+su(2))"	"2 f5+2(g2+su(2))+so(7)+2 su(2)"	45	128	2	1	0	1	0	0	0	0
9	1	"f5+2(g2+su(2))"	"2 f5+2(g2+su(2))+so(7)+2 su(2)"	46	128	2	1	0	1	0	0	0	0
9	1	"f5+2(g2+su(2))"	"2 f5+2 su(3)+2(g2+su(2))"	34	123	0	2	0	1	0	0	0	0
9	1	"f5+2(g2+su(2))"	"2 f5+2 su(3)+2(g2+su(2))"	39	123	0	2	0	1	0	0	0	0
9	1	"f5+2(g2+su(2))"	"2 f5+3(g2+su(2))"	14	130	1	1	0	1	0	0	0	0
9	1	"f5+2(g2+su(2))"	"2 f5+3(g2+su(2))"	15	130	1	1	0	1	0	0	0	0
9	1	"f5+2(g2+su(2))"	"2 f5+3(g2+su(2))"	16	130	1	1	0	1	0	0	0	0
9	1	"f5+2(g2+su(2))"	"2 f5+3(g2+su(2))"	40	130	1	1	0	1	0	0	0	0
9	1	"f5+2(g2+su(2))"	"2 f5+3(g2+su(2))"	43	130	1	1	0	1	0	0	0	0
9	1	"f5+2(g2+su(2))"	"2 f5+3(g2+su(2))"	44	130	1	1	0	1	0	0	0	0
9	1	"f5+2(g2+su(2))"	"2 f5+3(g2+su(2))"	46	130	1	1	0	1	0	0	0	0
9	1	"f5+2(g2+su(2))"	"2 f5+3(g2+su(2))"	53	130	1	1	0	1	0	0	0	0
9	1	"f5+2(g2+su(2))"	"2 f5+g2+su(2)+so(7)+2 su(2)"	14	137	1	0	0	1	0	0	0	0
9	1	"f5+2(g2+su(2))"	"2 f5+g2+su(2)+so(7)+2 su(2)"	15	137	1	0	0	1	0	0	0	0
9	1	"f5+2(g2+su(2))"	"2 f5+g2+su(2)+so(7)+2 su(2)"	20	137	1	0	0	1	0	0	0	0
9	1	"f5+2(g2+su(2))"	"2 f5+g2+su(2)+so(7)+2 su(2)"	22	137	1	0	0	1	0	0	0	0
9	1	"f5+2(g2+su(2))"	"2 f5+su(3)+2(g2+su(2))"	32	131	0	1	0	1	0	0	0	0
9	1	"f5+2(g2+su(2))"	"2 f5+su(3)+2(g2+su(2))"	34	131	0	1	0	1	0	0	0	0
9	1	"f5+2(g2+su(2))"	"2 f5+su(3)+2(g2+su(2))"	37	131	0	1	0	1	0	0	0	0
9	1	"f5+2(g2+su(2))"	"2 f5+su(3)+2(g2+su(2))"	42	131	0	1	0	1	0	0	0	0
9	1	"f5+2(g2+su(2))"	"2 f5+su(3)+3(g2+su(2))"	16	122	1	2	0	1	0	0	0	0
