"TH"	"index"	"LST gauge algebra"	"full gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"
35	1	"2 e8+3 f5+6(g2+su(2))"	"2 e8+4 f5+6(g2+su(2))"	35	257	0	0	0	1	0	0	0	0	"{s1:1→1, s1:1→1, 35→1}"	""
35	1	"2 e8+3 f5+6(g2+su(2))"	"2 e8+e6+3 f5+6(g2+su(2))"	35	231	0	0	0	0	1	0	0	0	"s1:1→1"	""
35	1	"2 e8+3 f5+6(g2+su(2))"	"2 e8+e6+3 f5+6(g2+su(2))"	36	231	0	0	0	0	1	0	0	0	"s1:1→1, 35→1"	""
35	1	"2 e8+3 f5+6(g2+su(2))"	"2 e8+e7'+3 f5+6(g2+su(2))"	35	204	0	0	0	0	0	1	0	0	"s1:1→1"	""
35	1	"2 e8+3 f5+6(g2+su(2))"	"2 e8+e7'+3 f5+6(g2+su(2))"	37	204	0	0	0	0	0	1	0	0	"s1:1→1, 35→1"	""
35	1	"2 e8+3 f5+6(g2+su(2))"	"2 e8+e7+3 f5+6(g2+su(2))"	35	176	0	0	0	0	0	0	1	0	"s1:1→1"	""
35	1	"2 e8+3 f5+6(g2+su(2))"	"2 e8+e7+3 f5+6(g2+su(2))"	38	176	0	0	0	0	0	0	1	0	"s1:1→1, 35→1"	""
35	2	"2 e8+3 f5+su(3)+5(g2+su(2))"	"2 e8+4 f5+su(3)+5(g2+su(2))"	35	258	0	0	0	1	0	0	0	0	"{s1:1→1, s1:1→1, 35→1, s1:35→1}"	""
35	2	"2 e8+3 f5+su(3)+5(g2+su(2))"	"2 e8+e6+3 f5+su(3)+5(g2+su(2))"	35	232	0	0	0	0	1	0	0	0	"{s1:1→1, s1:35→1}"	""
35	2	"2 e8+3 f5+su(3)+5(g2+su(2))"	"2 e8+e6+3 f5+su(3)+5(g2+su(2))"	36	232	0	0	0	0	1	0	0	0	"s1:1→1, 35→1"	""
35	2	"2 e8+3 f5+su(3)+5(g2+su(2))"	"2 e8+e7'+3 f5+su(3)+5(g2+su(2))"	35	205	0	0	0	0	0	1	0	0	"s1:35→1"	""
35	2	"2 e8+3 f5+su(3)+5(g2+su(2))"	"2 e8+e7+3 f5+su(3)+5(g2+su(2))"	35	177	0	0	0	0	0	0	1	0	"s1:35→1"	""
35	2	"2 e8+3 f5+su(3)+5(g2+su(2))"	"3 e8+3 f5+su(3)+5(g2+su(2))"	35	62	0	0	0	0	0	0	0	1	"s1:35→1"	""
35	3	"2 e8+4 f5+su(3)+5(g2+su(2))"	"2 e8+4 f5+2 su(3)+5(g2+su(2))"	35	250	0	1	0	0	0	0	0	0	"{s1:1→1, s1:1→1, 35→1, s1:35→1}"	""
35	3	"2 e8+4 f5+su(3)+5(g2+su(2))"	"2 e8+4 f5+6(g2+su(2))"	40	257	1	0	0	0	0	0	0	0	"{s1:35→1, s1:35→2, s1:35→3, s1:35→4}"	"{s1:32→1, s1:32→1, s1:32→1, s1:32→1, s1:32→1}"
35	3	"2 e8+4 f5+su(3)+5(g2+su(2))"	"2 e8+4 f5+6(g2+su(2))"	41	257	1	0	0	0	0	0	0	0	"s1:35→5"	"s1:32→1"
35	3	"2 e8+4 f5+su(3)+5(g2+su(2))"	"2 e8+4 f5+so(8)+su(3)+5(g2+su(2))"	35	230	0	0	1	0	0	0	0	0	"s1:1→1"	""
35	3	"2 e8+4 f5+su(3)+5(g2+su(2))"	"2 e8+5 f5+su(3)+5(g2+su(2))"	35	206	0	0	0	1	0	0	0	0	"s1:1→1"	""
35	3	"2 e8+4 f5+su(3)+5(g2+su(2))"	"2 e8+e6+4 f5+su(3)+5(g2+su(2))"	35	180	0	0	0	0	1	0	0	0	"s1:1→1"	""
35	3	"2 e8+4 f5+su(3)+5(g2+su(2))"	"2 e8+e7'+4 f5+su(3)+5(g2+su(2))"	35	153	0	0	0	0	0	1	0	0	"s1:1→1"	""
