"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"
35	1	42	152	0	3	0	0	0	0	1	0	"s1:1→1 / s2:35→1 / s3:35→1 / s4:35→1"	""
35	1	42	159	1	2	0	0	0	0	1	0	"{s1:1→1 / s2:35→1 / s3:35→1 / s4:35→1, s1:1→1 / s2:35→1 / s3:35→1 / s4:35→2, s1:1→1 / s2:35→1 / s3:35→1 / s4:35→3, s1:1→1 / s2:35→1 / s3:35→1 / s4:35→4, s1:1→1 / s2:35→1 / s3:35→1 / s4:35→5, s1:1→1 / s2:35→1 / s3:35→2 / s4:35→1}"	"{s4:38→1, s4:38→1, s4:38→1, s4:38→1, s4:38→1, s4:37→1}"
35	1	42	165	2	1	0	0	0	0	1	0	"{s1:1→1 / s2:35→1 / s3:35→1 / s4:35→1, s1:1→1 / s2:35→1 / s3:35→1 / s4:35→2, s1:1→1 / s2:35→1 / s3:35→1 / s4:35→3, s1:1→1 / s2:35→1 / s3:35→1 / s4:35→4, s1:1→1 / s2:35→1 / s3:35→1 / s4:35→5, s1:1→1 / s2:35→1 / s3:35→2 / s4:35→2, s1:1→1 / s2:35→1 / s3:35→2 / s4:35→3, s1:1→1 / s2:35→1 / s3:35→2 / s4:35→4}"	"{s3:37→1 / s4:37→1, s3:37→1 / s4:37→1, s3:37→1 / s4:37→1, s3:37→1 / s4:37→1, s3:37→1 / s4:37→1, s3:37→1 / s4:37→1, s3:37→1 / s4:37→1, s3:37→1 / s4:37→1}"
35	1	46	180	0	3	0	0	0	1	0	0	"s1:1→1 / s2:35→1 / s3:35→1 / s4:35→1"	""
35	1	48	187	1	2	0	0	0	1	0	0	"s1:1→1 / s2:35→1 / s3:35→1 / s4:35→1"	"s4:38→1"
35	1	50	187	1	2	0	0	0	1	0	0	"s1:1→1 / s2:35→1 / s3:35→2 / s4:35→1"	"s4:37→1"
35	1	50	193	2	1	0	0	0	1	0	0	"s1:1→1 / s2:35→1 / s3:35→1 / s4:35→1"	"s3:37→1 / s4:37→1"
35	1	51	187	1	2	0	0	0	1	0	0	"{s1:1→1 / s2:35→1 / s3:35→1 / s4:35→2, s1:1→1 / s2:35→1 / s3:35→1 / s4:35→3}"	"{s4:38→1, s4:38→1}"
35	1	51	193	2	1	0	0	0	1	0	0	"s1:1→1 / s2:35→1 / s3:35→1 / s4:35→2"	"s3:37→1 / s4:37→1"
35	1	52	187	1	2	0	0	0	1	0	0	"{s1:1→1 / s2:35→1 / s3:35→1 / s4:35→4, s1:1→1 / s2:35→1 / s3:35→1 / s4:35→5}"	"{s4:38→1, s4:38→1}"
35	1	52	193	2	1	0	0	0	1	0	0	"{s1:1→1 / s2:35→1 / s3:35→1 / s4:35→3, s1:1→1 / s2:35→1 / s3:35→1 / s4:35→4, s1:1→1 / s2:35→1 / s3:35→1 / s4:35→5, s1:1→1 / s2:35→1 / s3:35→2 / s4:35→2, s1:1→1 / s2:35→1 / s3:35→2 / s4:35→3, s1:1→1 / s2:35→1 / s3:35→2 / s4:35→4}"	"{s3:37→1 / s4:37→1, s3:37→1 / s4:37→1, s3:37→1 / s4:37→1, s3:37→1 / s4:37→1, s3:37→1 / s4:37→1, s3:37→1 / s4:37→1}"
35	1	91	207	0	3	0	0	1	0	0	0	"s1:1→1 / s2:35→1 / s3:35→1 / s4:35→1"	""
35	1	96	214	1	2	0	0	1	0	0	0	"s1:1→1 / s2:35→1 / s3:35→1 / s4:1→1, 35→4"	"s4:38→1"
35	1	97	214	1	2	0	0	1	0	0	0	"s1:1→1 / s2:35→1 / s3:35→1 / s4:35→1"	"s4:38→1"
35	1	99	214	1	2	0	0	1	0	0	0	"s1:1→1 / s2:35→1 / s3:35→2 / s4:35→1"	"s4:37→1"
35	1	100	214	1	2	0	0	1	0	0	0	"s1:1→1 / s2:35→1 / s3:35→1 / s4:35→2"	"s4:38→1"
35	1	100	220	2	1	0	0	1	0	0	0	"s1:1→1 / s2:35→1 / s3:35→1 / s4:35→1"	"s3:37→1 / s4:37→1"
35	1	101	220	2	1	0	0	1	0	0	0	"s1:1→1 / s2:35→1 / s3:35→1 / s4:35→2"	"s3:37→1 / s4:37→1"
