"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"
80	1	82	265	1	0	0	0	1	0	0	0
80	2	82	265	1	1	0	0	1	0	0	0
80	3	81	261	1	1	0	0	0	0	1	0
80	3	82	261	1	1	0	0	0	0	1	0
80	3	82	262	0	1	0	0	0	0	1	0
80	3	85	146	1	1	0	0	0	0	0	1
80	3	85	147	0	1	0	0	0	0	0	1
80	5	81	261	1	0	0	0	0	0	1	0
80	5	82	261	1	0	0	0	0	0	1	0
80	5	85	146	1	0	0	0	0	0	0	1
80	47	81	267	1	0	0	0	0	1	0	0
80	47	82	231	1	1	0	0	0	0	1	0
80	47	82	232	1	1	0	0	0	0	1	0
80	47	82	233	0	1	0	0	0	0	1	0
80	47	82	239	1	0	0	0	0	0	1	0
80	47	82	259	1	1	0	0	0	1	0	0
80	47	82	260	1	1	0	0	0	1	0	0
80	47	82	261	0	1	0	0	0	1	0	0
