"TH"	"index"	"LST gauge algebra"	"full gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"count"
80	2	"6 e8+7 f5+su(3)+12(g2+su(2))"	""	81	266	0	1	0	0	1	0	0	0	2
80	2	"6 e8+7 f5+su(3)+12(g2+su(2))"	""	82	265	1	1	0	0	1	0	0	0	10
80	3	"6 e8+6 f5+13(g2+su(2))"	"7 e8+6 f5+14(g2+su(2))"	85	146	1	1	0	0	0	0	0	1	5
80	3	"6 e8+6 f5+13(g2+su(2))"	"7 e8+6 f5+2 su(3)+13(g2+su(2))"	85	139	0	2	0	0	0	0	0	1	2
80	3	"6 e8+6 f5+13(g2+su(2))"	"7 e8+6 f5+su(3)+13(g2+su(2))"	85	147	0	1	0	0	0	0	0	1	4
80	5	"6 e8+6 f5+su(3)+13(g2+su(2))"	"7 e8+6 f5+14(g2+su(2))"	85	146	1	0	0	0	0	0	0	1	5
80	5	"6 e8+6 f5+su(3)+13(g2+su(2))"	"7 e8+6 f5+2 su(3)+13(g2+su(2))"	85	139	0	1	0	0	0	0	0	1	2
80	6	"6 e8+6 f5+14(g2+su(2))"	"7 e8+6 f5+13(g2+su(2))+so(7)+2 su(2)"	85	144	1	0	0	0	0	0	0	1	3
80	11	"6 e8+e6+6 f5+su(3)+12(g2+su(2))"	""	81	266	0	1	0	1	0	0	0	0	2
80	13	"6 e8+e6+6 f5+2 su(3)+11(g2+su(2))"	"6 e8+2 e6+6 f5+2 su(3)+12(g2+su(2))"	80	240	0	1	0	0	1	0	0	0	2
