"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"count"
97	9	97	136	0	0	0	0	0	0	1	1	2
97	9	97	164	0	0	0	0	0	1	0	1	2
97	9	97	191	0	0	0	0	1	0	0	1	2
97	9	97	241	0	0	1	0	0	0	0	1	2
97	9	97	261	0	1	0	0	0	0	0	1	2
97	9	97	269	0	0	0	0	0	0	0	1	3
97	9	98	217	0	0	0	1	0	0	0	1	2
97	9	100	209	0	1	0	1	0	0	0	1	2
97	9	100	213	0	0	2	0	0	0	0	1	2
97	9	100	225	0	2	1	0	0	0	0	1	2
97	9	100	232	1	1	1	0	0	0	0	1	2
97	9	100	245	0	3	0	0	0	0	0	1	6
97	9	100	252	1	2	0	0	0	0	0	1	32
97	9	100	258	2	1	0	0	0	0	0	1	32
97	9	101	183	0	1	0	0	1	0	0	1	2
97	9	101	237	0	4	0	0	0	0	0	1	2
97	9	101	244	1	3	0	0	0	0	0	1	6
97	9	101	250	2	2	0	0	0	0	0	1	8
97	9	101	251	2	2	0	0	0	0	0	1	4
97	11	97	184	0	1	0	0	0	0	0	1	2
97	15	100	244	1	3	0	0	0	0	0	0	3
97	15	100	250	2	2	0	0	0	0	0	0	4
97	15	100	251	2	2	0	0	0	0	0	0	2
