"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"	"LST gauge algebra"
97	9	97	269	0	0	0	0	0	0	0	1	"{s1:1→1, s1:1→1, 97→1, s1:97→1}"	""	"7 e8+8 f5+16(g2+su(2))"
97	11	97	192	0	0	0	0	0	0	0	1	"s1:97→1"	""	"7 e8+e6+8 f5+su(3)+15(g2+su(2))"
97	15	97	21	0	0	0	0	0	0	0	1	"s1:1→1"	""	"8 e8+8 f5+16(g2+su(2))"
97	15	97	136	0	0	0	0	0	0	1	0	"s1:1→1"	""	"8 e8+8 f5+16(g2+su(2))"
97	15	97	164	0	0	0	0	0	1	0	0	"s1:1→1"	""	"8 e8+8 f5+16(g2+su(2))"
97	15	97	191	0	0	0	0	1	0	0	0	"s1:1→1"	""	"8 e8+8 f5+16(g2+su(2))"
97	15	97	217	0	0	0	1	0	0	0	0	"s1:1→1"	""	"8 e8+8 f5+16(g2+su(2))"
97	15	97	241	0	0	1	0	0	0	0	0	"s1:1→1"	""	"8 e8+8 f5+16(g2+su(2))"
97	15	97	261	0	1	0	0	0	0	0	0	"s1:1→1"	""	"8 e8+8 f5+16(g2+su(2))"
97	16	97	192	0	0	0	0	0	0	0	1	"s1:1→1"	""	"7 e8+e6+8 f5+su(3)+15(g2+su(2))"
97	17	97	191	0	0	0	0	0	0	0	1	"s1:1→1"	""	"7 e8+e6+8 f5+16(g2+su(2))"
97	18	97	191	0	0	0	0	0	0	0	1	"s1:1→1"	""	"7 e8+e6+8 f5+16(g2+su(2))"
97	24	97	273	0	0	0	0	0	0	1	0	"s1:97→1"	""	"7 e8+e7+7 f5+so(8)+15(g2+su(2))+so(7)+2 su(2)"
97	33	97	265	0	0	0	0	0	0	1	0	"s1:1→1"	""	"7 e8+e7+7 f5+so(8)+su(3)+15(g2+su(2))+so(7)+2 su(2)"
