"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"
73	1	76	192	1	2	0	0	0	0	0	1
73	1	76	193	0	2	0	0	0	0	0	1
73	1	76	198	2	1	0	0	0	0	0	1
73	1	76	200	1	1	0	0	0	0	0	1
73	1	76	201	0	1	0	0	0	0	0	1
73	10	76	263	1	0	0	1	0	0	0	0
73	11	76	263	1	1	0	1	0	0	0	0
73	15	76	200	2	1	0	0	0	0	0	0
73	15	76	201	1	1	0	0	0	0	0	0
73	15	76	202	0	1	0	0	0	0	0	0
73	15	76	209	1	0	0	0	0	0	0	0
73	20	76	230	1	1	0	0	0	0	1	0
73	20	76	231	0	1	0	0	0	0	1	0
73	20	76	258	1	1	0	0	0	1	0	0
73	29	76	200	2	1	0	0	0	0	0	0
73	29	76	201	1	1	0	0	0	0	0	0
73	29	76	202	0	1	0	0	0	0	0	0
73	29	76	209	1	0	0	0	0	0	0	0
73	31	77	268	1	0	0	1	0	0	0	0
