"TH"	"index"	"LST gauge algebra"	"full gauge algebra"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"
37	1	"2 e8+3 f5+6(g2+su(2))"	"3 e8+3 f5+2 su(3)+6(g2+su(2))"	44	103	0	2	0	0	0	0	0	1
37	1	"2 e8+3 f5+6(g2+su(2))"	"3 e8+3 f5+6(g2+su(2))+so(7)+2 su(2)"	44	108	2	1	0	0	0	0	0	1
37	1	"2 e8+3 f5+6(g2+su(2))"	"3 e8+3 f5+7(g2+su(2))"	44	110	1	1	0	0	0	0	0	1
37	1	"2 e8+3 f5+6(g2+su(2))"	"3 e8+3 f5+su(3)+6(g2+su(2))"	43	111	0	1	0	0	0	0	0	1
37	1	"2 e8+3 f5+6(g2+su(2))"	"3 e8+3 f5+su(3)+7(g2+su(2))"	44	102	1	2	0	0	0	0	0	1
37	5	"3 e8+2 f5+5(g2+su(2))"	"3 e8+2 f5+6(g2+su(2))"	43	171	1	1	0	0	0	0	0	0
37	5	"3 e8+2 f5+5(g2+su(2))"	"3 e8+2 f5+su(3)+5(g2+su(2))"	43	172	0	1	0	0	0	0	0	0
37	9	"3 e8+2 f5+5(g2+su(2))"	"3 e8+2 f5+6(g2+su(2))"	43	171	1	1	0	0	0	0	0	0
37	9	"3 e8+2 f5+5(g2+su(2))"	"3 e8+2 f5+7(g2+su(2))"	46	162	1	2	0	0	0	0	0	0
37	9	"3 e8+2 f5+5(g2+su(2))"	"3 e8+2 f5+su(3)+5(g2+su(2))"	43	172	0	1	0	0	0	0	0	0
37	9	"3 e8+2 f5+5(g2+su(2))"	"3 e8+2 f5+su(3)+6(g2+su(2))"	46	163	0	2	0	0	0	0	0	0
37	10	"2 e8+e7+3 f5+su(3)+5(g2+su(2))"	"2 e8+e7+3 f5+6(g2+su(2))"	43	234	1	0	0	0	0	0	0	0
37	11	"3 e8+2 f5+su(3)+5(g2+su(2))"	"3 e8+2 f5+6(g2+su(2))"	42	171	1	0	0	0	0	0	0	0
37	11	"3 e8+2 f5+su(3)+5(g2+su(2))"	"3 e8+2 f5+7(g2+su(2))"	43	162	1	1	0	0	0	0	0	0
