gram_bibj_pattern	ID	gauge_group	vertices	num_AB	delta	delta_28n	T_min	n_pos_bibj	n_neg_bibj	gram_b0bi	gram_bibj	hyper_strings	hypers
[[-2, 1, 0], [ 1,-2, 2], [ 0, 2,-4]]	clq-(0,3)-(0,3)-n82-0aa1e540	SU(8) x SU(16) x SO(24)	vtx-A07-65-n2-0,vtx-A15-257-n2-0,vtx-D12-108-n4-n2	0,3	-82	2	3	0	3	[ 0, 0,-2]	[[-2, 1, 0], [ 1,-2, 2], [ 0, 2,-4]]	(1,2) : 1 x (irr-A7-8, irr-A15-16),(2,3) : 1 x (irr-A15-16, irr-D12-24)	(1, 2):[[1, ['irr-A7-8', 'irr-A15-16']]]; (2, 3):[[1, ['irr-A15-16', 'irr-D12-24']]]
[[-2, 1, 0], [ 1,-2, 2], [ 0, 2,-4]]	clq-(0,3)-(0,3)-n81-1e1a5179	SU(9) x SU(17) x SO(25)	vtx-A08-82-n2-0,vtx-A16-290-n2-0,vtx-B12-125-n4-n2	0,3	-81	3	3	0	3	[ 0, 0,-2]	[[-2, 1, 0], [ 1,-2, 2], [ 0, 2,-4]]	(1) : 1 x (irr-A8-9),(1,2) : 1 x (irr-A8-9, irr-A16-17),(2,3) : 1 x (irr-A16-17, irr-B12-25)	(1, 2):[[1, ['irr-A8-9', 'irr-A16-17']]]; (1,):[[1, ['irr-A8-9']]]; (2, 3):[[1, ['irr-A16-17', 'irr-B12-25']]]
[[-2, 1, 0], [ 1,-2, 2], [ 0, 2,-4]]	clq-(0,3)-(0,3)-n80-9aa13595	SU(9) x SU(18) x SO(26)	vtx-A08-82-n2-0,vtx-A17-325-n2-0,vtx-D13-143-n4-n2	0,3	-80	4	3	0	3	[ 0, 0,-2]	[[-2, 1, 0], [ 1,-2, 2], [ 0, 2,-4]]	(2) : 1 x (irr-A17-18),(1,2) : 1 x (irr-A8-9, irr-A17-18),(2,3) : 1 x (irr-A17-18, irr-D13-26)	(1, 2):[[1, ['irr-A8-9', 'irr-A17-18']]]; (2, 3):[[1, ['irr-A17-18', 'irr-D13-26']]]; (2,):[[1, ['irr-A17-18']]]
[[-2, 1, 0], [ 1,-2, 2], [ 0, 2,-4]]	clq-(0,3)-(0,3)-n79-e38003c2	SU(9) x SU(18) x SO(27)	vtx-A08-82-n2-0,vtx-A17-325-n2-0,vtx-B13-162-n4-n2	0,3	-79	5	3	0	3	[ 0, 0,-2]	[[-2, 1, 0], [ 1,-2, 2], [ 0, 2,-4]]	(3) : 1 x (irr-B13-27),(1,2) : 1 x (irr-A8-9, irr-A17-18),(2,3) : 1 x (irr-A17-18, irr-B13-27)	(1, 2):[[1, ['irr-A8-9', 'irr-A17-18']]]; (2, 3):[[1, ['irr-A17-18', 'irr-B13-27']]]; (3,):[[1, ['irr-B13-27']]]
[[-2, 1, 0], [ 1,-2, 2], [ 0, 2,-4]]	clq-(0,3)-(0,3)-n79-c353d8e2	SU(10) x SU(18) x SO(26)	vtx-A09-101-n2-0,vtx-A17-325-n2-0,vtx-D13-143-n4-n2	0,3	-79	5	3	0	3	[ 0, 0,-2]	[[-2, 1, 0], [ 1,-2, 2], [ 0, 2,-4]]	(1) : 2 x (irr-A9-10),(1,2) : 1 x (irr-A9-10, irr-A17-18),(2,3) : 1 x (irr-A17-18, irr-D13-26)	(1, 2):[[1, ['irr-A9-10', 'irr-A17-18']]]; (1,):[[2, ['irr-A9-10']]]; (2, 3):[[1, ['irr-A17-18', 'irr-D13-26']]]
[[-2, 1, 0], [ 1,-2, 2], [ 0, 2,-4]]	clq-(0,3)-(0,3)-n78-c95fc898	SU(10) x SU(19) x SO(27)	vtx-A09-101-n2-0,vtx-A18-362-n2-0,vtx-B13-162-n4-n2	0,3	-78	6	3	0	3	[ 0, 0,-2]	[[-2, 1, 0], [ 1,-2, 2], [ 0, 2,-4]]	(1) : 1 x (irr-A9-10),(2) : 1 x (irr-A18-19),(1,2) : 1 x (irr-A9-10, irr-A18-19),(2,3) : 1 x (irr-A18-19, irr-B13-27)	(1, 2):[[1, ['irr-A9-10', 'irr-A18-19']]]; (1,):[[1, ['irr-A9-10']]]; (2, 3):[[1, ['irr-A18-19', 'irr-B13-27']]]; (2,):[[1, ['irr-A18-19']]]
[[-2, 1, 0], [ 1,-2, 2], [ 0, 2,-4]]	clq-(0,3)-(0,3)-n77-3e88f717	SU(10) x SU(19) x SO(28)	vtx-A09-101-n2-0,vtx-A18-362-n2-0,vtx-D14-182-n4-n2	0,3	-77	7	3	0	3	[ 0, 0,-2]	[[-2, 1, 0], [ 1,-2, 2], [ 0, 2,-4]]	(1) : 1 x (irr-A9-10),(3) : 1 x (irr-D14-28),(1,2) : 1 x (irr-A9-10, irr-A18-19),(2,3) : 1 x (irr-A18-19, irr-D14-28)	(1, 2):[[1, ['irr-A9-10', 'irr-A18-19']]]; (1,):[[1, ['irr-A9-10']]]; (2, 3):[[1, ['irr-A18-19', 'irr-D14-28']]]; (3,):[[1, ['irr-D14-28']]]
[[-2, 1, 0], [ 1,-2, 2], [ 0, 2,-4]]	clq-(0,3)-(0,3)-n76-fc93de43	SU(10) x SU(20) x SO(28)	vtx-A09-101-n2-0,vtx-A19-401-n2-0,vtx-D14-182-n4-n2	0,3	-76	8	3	0	3	[ 0, 0,-2]	[[-2, 1, 0], [ 1,-2, 2], [ 0, 2,-4]]	(2) : 2 x (irr-A19-20),(1,2) : 1 x (irr-A9-10, irr-A19-20),(2,3) : 1 x (irr-A19-20, irr-D14-28)	(1, 2):[[1, ['irr-A9-10', 'irr-A19-20']]]; (2, 3):[[1, ['irr-A19-20', 'irr-D14-28']]]; (2,):[[2, ['irr-A19-20']]]
[[-2, 1, 0], [ 1,-2, 2], [ 0, 2,-4]]	clq-(0,3)-(0,3)-n76-e66a8b26	SU(11) x SU(19) x SO(27)	vtx-A10-122-n2-0,vtx-A18-362-n2-0,vtx-B13-162-n4-n2	0,3	-76	8	3	0	3	[ 0, 0,-2]	[[-2, 1, 0], [ 1,-2, 2], [ 0, 2,-4]]	(1) : 3 x (irr-A10-11),(1,2) : 1 x (irr-A10-11, irr-A18-19),(2,3) : 1 x (irr-A18-19, irr-B13-27)	(1, 2):[[1, ['irr-A10-11', 'irr-A18-19']]]; (1,):[[3, ['irr-A10-11']]]; (2, 3):[[1, ['irr-A18-19', 'irr-B13-27']]]
[[-2, 1, 0], [ 1,-2, 2], [ 0, 2,-4]]	clq-(0,3)-(0,3)-n75-8ade35c6	SU(10) x SU(20) x SO(29)	vtx-A09-101-n2-0,vtx-A19-401-n2-0,vtx-B14-203-n4-n2	0,3	-75	9	3	0	3	[ 0, 0,-2]	[[-2, 1, 0], [ 1,-2, 2], [ 0, 2,-4]]	(2) : 1 x (irr-A19-20),(3) : 1 x (irr-B14-29),(1,2) : 1 x (irr-A9-10, irr-A19-20),(2,3) : 1 x (irr-A19-20, irr-B14-29)	(1, 2):[[1, ['irr-A9-10', 'irr-A19-20']]]; (2, 3):[[1, ['irr-A19-20', 'irr-B14-29']]]; (2,):[[1, ['irr-A19-20']]]; (3,):[[1, ['irr-B14-29']]]
